,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-377044.73149435304,-0.0,0.0
1,10,-377044.8800073947,0.09592882796569029,0.04796441398284514
2,20,-377045.86723685893,0.4990287606837228,0.220686018136621
3,30,-377049.0141865967,1.4578784756493406,0.5884229542491084
4,40,-377056.9835545785,2.9888907078478955,1.2050140386716521
5,50,-377072.58674547396,4.805842329726147,2.0592096101252535
6,60,-377097.98877937655,6.638082157837924,3.0929673562510285
7,70,-377134.60604298906,8.34171415001183,4.241977594405034
8,80,-377183.24788522685,9.86491288477555,5.45437137470435
9,90,-377244.29227850423,11.204752115387237,6.693414658635446
10,100,-377317.83155550103,12.379195111745505,7.934860642855346
11,110,-377403.77741231,13.412049450601621,9.163459009833604
12,120,-377501.9320062222,14.326122741313888,10.370019402112666
13,130,-377612.03363502707,15.140878540642742,11.549282665333157
14,140,-377733.7861994144,15.871936198443288,12.698479011895689
15,150,-377866.8771763307,16.531681278946042,13.816389918757341
16,160,-378010.988781745,17.129989338642915,14.902758128221466
17,170,-378165.8052010449,17.674627795911523,15.957912289051455
18,180,-378331.01633742225,18.171990283567006,16.982531790925712
19,190,-378506.32058527885,18.627338248489814,17.977502410604938
20,200,-378691.4260937296,19.045067264931248,18.94382220403058
21,210,-378886.051418457,19.429081295726064,19.882546059361626
22,220,-379089.92598456686,19.782672316290004,20.79474942207598
23,230,-379302.7900255318,20.108737366844444,21.68150207557919
24,240,-379524.3943705246,20.40994259548603,22.543855677481766
25,250,-379754.5003497663,20.688556691202418,23.382833948711774
26,260,-379992.87932747486,20.94658607743916,24.199424045563497
27,270,-380239.3123647067,21.185961032002524,24.994575620294924
28,280,-380493.5898014673,21.408400891820172,25.76920110506689
29,290,-380755.51098858344,21.61537235506694,26.524172811843158
30,300,-381024.8837053052,21.808227730492966,27.260322107726093
31,310,-381301.5239191568,21.988164664371276,27.978440387068254
32,320,-381585.2552461171,22.15632977345956,28.679280856945844
33,330,-381875.90867510356,22.313753419139502,29.363560682673416
34,340,-382173.32219914586,22.461342831631203,30.03196172086173
35,350,-382477.3404048917,22.5999143619338,30.685131505488975
36,360,-382787.81426138827,22.730114309530485,31.323683457021986
37,370,-383104.60060823633,22.852774027653478,31.948200759742765
38,380,-383427.5620061968,22.968555522279402,32.5592398662062
39,390,-383756.5665132325,23.077804358369086,33.15732698867142
40,400,-384091.48717787093,23.181120796769363,33.74296028527678
41,410,-384432.2019611603,23.27908018462904,34.316615517000166
42,420,-384778.5934703418,23.372029017523104,34.878745179448735
43,430,-385130.5487068292,23.46029691402667,35.42977777029664
44,440,-385487.9588380675,23.544293030054604,35.97012070489218
45,450,-385850.71898451116,23.624354856699874,36.50016232106573
46,460,-386218.72810854774,23.700760204839753,37.0202721115551
47,470,-386591.8886887324,23.773823836950793,37.53080208984539
48,480,-386970.10673572787,23.843707696557942,38.03208706455989
49,490,-387353.291434517,23.91070782346218,38.52444583425749
50,500,-387741.3551193218,23.97507222834978,39.00818337106611
51,510,-388134.21312546363,24.036900536269204,39.48358998096009
52,520,-388531.7835606984,24.09641557075669,39.95094217213554
53,530,-388933.9872874191,24.153754936293915,40.41050408830706
54,540,-389340.7477063602,24.209124637639462,40.86252826237323
55,550,-389751.9906983831,24.262704886714346,41.30725686825753
56,560,-390167.64453693875,24.314510481164405,41.74492075626404
57,570,-390587.63971290103,24.364720318559517,42.17574021667533
58,580,-391011.90887500386,24.41349618049854,42.59992700747461
59,590,-391440.38677676534,24.46084336266084,43.01768346417884
60,600,-391873.01010698656,24.50690768135246,43.42920297759119
61,610,-392309.7174632484,24.55183436044591,43.83467175220721
62,620,-392750.4492774235,24.595660269924018,44.23426839509629
63,630,-393195.1477132465,24.638446619860904,44.62816372118904
64,640,-393643.7566157765,24.68026867788285,45.01652154737676
65,650,-394096.221421416,24.721249122078056,45.399499601207935
66,660,-394552.4891220532,24.761440437313333,45.777249725972794
67,670,-395012.50820596825,24.800850560421484,46.149917370283944
68,680,-395476.22856192826,24.83956703357398,46.51764221986232
69,690,-395943.60146846704,24.877663953095855,46.88055902230553
70,700,-396414.5795118231,24.915223579722756,47.23879783221419
71,710,-396889.11656514154,24.952232807062632,47.59248366427201
72,720,-397367.16773233487,24.988713124988237,47.94173634365215
73,730,-397848.6892577637,25.024789118669446,48.28667173888316
74,740,-398333.63857124944,25.060439283918875,48.627401696538435
75,750,-398821.9741636015,25.095757815215514,48.964034041098785
