,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-404160.88866578613,-0.0,0.0
1,10,-404161.03670220345,0.06796683092252351,0.033983415461261754
2,20,-404161.93842535495,0.26267304036300626,0.1336350910132751
3,30,-404164.051448275,0.6673066461109556,0.3105211254558526
4,40,-404168.24164573103,1.437729917903198,0.6014551395455783
5,50,-404175.96361629467,2.6005364499724237,1.0412250242807204
6,60,-404188.92216528615,4.030339957607793,1.6371403324119456
7,70,-404208.68007591413,5.561281777723342,2.370236408240453
8,80,-404236.471617892,7.068323150533253,3.2092410178433055
9,90,-404273.17528854916,8.48149484565802,4.122205372843746
10,100,-404319.3626862505,9.772100047601269,5.082004533315922
11,110,-404375.36603383155,10.935991373898284,6.067700052691362
12,120,-404441.3421547994,11.98117569868919,7.064006223798788
13,130,-404517.3240204736,12.91938958487444,8.060121477329085
14,140,-404603.25887567725,13.763923031257574,9.048589756435103
15,150,-404699.03397506906,14.528239613762711,10.024433089914965
16,160,-404804.50109093013,15.222377122542824,10.984407028786517
17,170,-404919.4859019679,15.854817678553811,11.926424480882268
18,180,-405043.7992489894,16.43331761062145,12.849223692638041
19,190,-405177.24328222807,16.96415364579444,13.752129833319485
20,200,-405319.6158906278,17.4525027020427,14.634867496812511
21,210,-405470.7146701636,17.902468527189907,15.497429315010958
22,220,-405630.3375376703,18.31829031095257,16.340003345452715
23,230,-405798.2859981509,18.703398061335637,17.162923735276127
24,240,-405974.3651670963,19.06032926148039,17.96660953825267
25,250,-406158.3849749405,19.39154384926951,18.75153060818557
26,260,-406350.16001195816,19.69957165180527,19.51819940155183
27,270,-406549.51042188896,19.9863466149152,20.267154847838537
28,280,-406756.26189013047,20.253440966375678,20.998940966429654
29,290,-406970.2452712299,20.502818248226,21.714106421463658
30,300,-407191.2972553976,20.735853619349633,22.413200848134874
31,310,-407419.2598698787,20.953711316207773,23.096761494202653
32,320,-407653.98042549053,21.157749252347287,23.76531441201587
33,330,-407895.31151538715,21.34904228660448,24.41937458175962
34,340,-408143.1107821489,21.528646197842285,25.059442657639007
35,350,-408397.24078790966,21.697513115897927,25.686004868926826
36,360,-408657.56895786355,21.856381983775684,26.299530202896854
37,370,-408923.9672182789,22.005889599696108,26.900467950265007
38,380,-409196.31200244906,22.146831351425458,27.489250512424036
39,390,-409474.48379956675,22.28015023799085,28.0662991398698
40,400,-409758.3675010887,22.4060952061555,28.632018281715865
41,410,-410047.8518169961,22.52515818159153,29.18679152278783
42,420,-410342.8290949345,22.638137758968455,29.730990213770568
43,430,-410643.1955985051,22.745187006238865,30.264970772435483
44,440,-410948.8508199793,22.846708300273214,30.789071376343056
45,450,-411259.69769350823,22.943314415482792,31.30361877730102
46,460,-411575.6422798426,23.03540668005591,31.808929348246604
47,470,-411896.5938457696,23.122984217204827,32.30530339726465
48,480,-412222.46452812327,23.206391206663,32.79302583280078
49,490,-412553.16913353495,23.286277421253804,33.27237415026393
50,500,-412888.62543574284,23.362644095686846,33.743615666947875
51,510,-413228.75362735847,23.435482477142177,34.20700174003359
52,520,-413573.47645863896,23.505336127115953,34.66277421953855
53,530,-413922.7188917523,23.572560171529616,35.111169710042304
54,540,-414276.4085093252,23.636919995601133,35.552412723499586
55,550,-414634.47476759634,23.69856189074934,35.98671456556331
56,560,-414996.84938963776,23.757979014958096,36.41428084993095
57,570,-415363.4659611791,23.81537852481714,36.83531249172957
58,580,-415734.26025496103,23.870781570926233,37.250001920643996
59,590,-416109.1697010951,23.924121154399472,37.65853130983742
60,600,-416488.13372826425,23.97539499841514,38.06107305760161
61,610,-416871.0931841666,24.02513901102793,38.45779538486459
62,620,-417257.9907982331,24.07356131328283,38.84886437730166
63,630,-417648.7708567535,24.120314321070193,39.234437066836115
64,640,-418043.37919808144,24.16548359319563,39.614660973448196
65,650,-418441.76301462366,24.209486646519643,39.989680634377876
66,660,-418843.87102517555,24.252317795780204,40.35963713500678
67,670,-419249.65331812244,24.293884564899642,40.724664461284554
68,680,-419659.06122669135,24.33446849696338,41.084892022710115
69,690,-420072.04743330175,24.373970372667827,41.44044491184395
70,700,-420488.56582144066,24.41247741038392,41.79144272420453
71,710,-420908.57138637826,24.450193282039304,42.138002022582796
72,720,-421332.0204032816,24.486993848334382,42.48023505070668
73,730,-421758.8700962334,24.5230075936502,42.81824942453385
74,740,-422189.07887059386,24.558308773191158,43.15214974870759
75,750,-422622.6060705234,24.592947577002633,43.482037251292056
76,760,-423059.41209940513,24.626914870849358,43.808009411920644
77,770,-423499.4582835211,24.66023797029355,44.130160004094066
78,780,-423942.70686235896,24.693045788188517,44.44858017453807
79,790,-424389.1210097502,24.725327659616596,44.763358345157755
80,800,-424838.664725717,24.757141084876082,45.074579892505426
81,810,-425291.3028892246,24.788489273641435,45.38232739017258
82,820,-425747.00115961744,24.81941629859194,45.686680660318956
83,830,-426205.72599797,24.849970184682693,45.98771718014904
84,840,-426667.4446258587,24.880151202867452,46.28551193383173
85,850,-427132.12499596097,24.91001575801068,46.58013757640292
86,860,-427599.7357831489,24.939559183019263,46.871664517972384
87,870,-428070.2463543087,24.968835167633493,47.16016100777051
88,880,-428543.626735408,24.997888519347242,47.44569351795435
89,890,-429019.8476368714,25.026743983756624,47.72832666075265
90,900,-429498.88036426675,25.055421377314033,48.008123131484176
91,910,-429980.69689425826,25.083862904098286,48.28514333946369
92,920,-430465.2697359599,25.112188674946083,48.55944604829056
93,930,-430952.57202544913,25.14033334371508,48.831088417060535
94,940,-431442.57745055517,25.168280338213663,49.10012533113987
95,950,-431935.26020323945,25.19637465797846,49.366611660926
96,960,-432430.59507167735,25.22439074395197,49.63060119425063
97,970,-432928.55738088576,25.252158459428756,49.89214399463017
98,980,-433429.1228556095,25.27994070443397,50.151289049193295
99,990,-433932.26781975245,25.307747728179745,50.40808524621971
100,1000,-434437.96898268635,25.335664894519283,50.66258047841039
