,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-462302.2818140062,-0.0,0.0
1,10,-462302.38215745223,0.06908260982600041,0.034541304913000205
2,20,-462303.18061981874,0.28921123922918923,0.1413854196332977
3,30,-462305.3461487373,0.738409016773221,0.3367563989027985
4,40,-462309.86365041585,1.5238024750200565,0.6502998777425091
5,50,-462318.15559357934,2.647361711358826,1.1055113582558989
6,60,-462331.78470576316,3.992154817585834,1.7029270975239343
7,70,-462352.14393211226,5.417000787530561,2.422535293336842
8,80,-462380.32012656104,6.818701023899484,3.235632735011314
9,90,-462417.08656085964,8.139380930364132,4.1139893784697055
10,100,-462462.9490524784,9.353898240442504,5.033872119956505
11,110,-462518.2042159642,10.4572349283495,5.9768958923581526
12,120,-462582.99357135757,11.454934983450219,6.929513710381435
13,130,-462657.3481798991,12.356833787195496,7.882065505994251
14,140,-462741.2212068482,13.174155727782638,8.82783390566983
15,150,-462834.51317087153,13.917723795682836,9.762263593899114
16,160,-462937.0892872754,14.597254686593075,10.682351929377909
17,170,-463048.7920919658,15.220880911820865,11.586189106328673
18,180,-463169.45050441904,15.795157652377384,12.47261645355611
19,190,-463298.8848504996,16.32605094846513,13.341003752485266
20,200,-463436.9120719013,16.818502573092697,14.191099236509034
21,210,-463583.3482426092,17.276450968538114,15.02290587151583
22,220,-463738.0106445298,17.703070830350043,15.836592461066902
23,230,-463900.7191603731,18.10114328351627,16.632438094797543
24,240,-464071.29661866796,18.473509515007052,17.41080599121924
25,250,-464249.5703273257,18.82238450267324,18.172118462835353
26,260,-464435.37177533115,19.1493553584005,18.91682298670421
27,270,-464628.53730948264,19.456227706893685,19.64538033361023
28,280,-464828.9074786996,19.744764656369767,20.358265929850315
29,290,-465036.3283326868,20.016085263133593,21.055955931329663
30,300,-465250.64998871996,20.271651916657003,21.73892171493717
31,310,-465471.72774935735,20.512506181078766,22.407629454103155
32,320,-465699.42136796255,20.739727193536226,23.06253456539052
33,330,-465933.594915939,20.95469166174884,23.70408813099784
34,340,-466174.11740619707,21.157573150598946,24.33272424083261
35,350,-466420.86170877726,21.34950594049584,24.94885796446615
36,360,-466673.7047069617,21.53229383162686,25.552910543023607
37,370,-466932.5279369761,21.704545628753866,26.145274850232816
38,380,-467197.21677865036,21.866785254125716,26.726300379498568
39,390,-467467.6585388277,22.022608442943586,27.296362371989378
40,400,-467743.74651902757,22.171125240449356,27.855842571378886
41,410,-468025.37643138994,22.31198683117259,28.405079037264656
42,420,-468312.44738464523,22.4470256698492,28.944402933714443
43,430,-468604.8621159826,22.5746262606393,29.474125083977555
44,440,-468902.52636994846,22.695626741892255,29.99452558751072
45,450,-469205.3474529108,22.812959682400155,30.50590776665485
46,460,-469513.2377431989,22.92518790180035,31.008571921478865
47,470,-469826.1109762233,23.03160831877457,31.50277585627263
48,480,-470143.88406245084,23.133820730424418,31.98877026532209
49,490,-470466.47586831776,23.232269952575734,32.46681154370526
50,500,-470793.80856564484,23.32650544747601,32.937140577287934
51,510,-471125.80587874085,23.417070237905136,33.39998475174215
52,520,-471462.3942731968,23.504126051039165,33.85556508375084
53,530,-471803.5022187623,23.587798137395406,34.304092693302664
54,540,-472149.0600777111,23.668916307447944,34.745775723301634
55,550,-472499.00067058555,23.74678020182186,35.180812175794564
56,560,-472853.25841282355,23.82136786545169,35.60938278032408
57,570,-473211.7695080101,23.89405456539959,36.03167053470897
58,580,-473574.472010697,23.96445125963065,36.44785760164668
