,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-370024.1014114525,-0.0,0.0
1,10,-370024.23535927414,0.06418371482868679,0.032091857414343394
2,20,-370025.06262842385,0.26025503924465737,0.12924747463985115
3,30,-370027.07060351054,0.6879472038548557,0.3089691017601581
4,40,-370031.2289461801,1.4967431339493484,0.6107198608129694
5,50,-370039.07847713167,2.6973703836483764,1.0675497909214755
6,60,-370052.3626952758,4.162518250581343,1.6841633501680917
7,70,-370072.665313822,5.735196516677387,2.440696765098255
8,80,-370101.2465660421,7.298256403172855,3.306494684344943
9,90,-370139.0247020362,8.78410381276044,4.250641476918827
10,100,-370186.6217188242,10.161372984672198,5.246715893528017
11,110,-370244.4245516404,11.420497120519578,6.27389804823979
12,120,-370312.642363545,12.563502467970832,7.316490823216737
13,130,-370391.3534816829,13.597694201850386,8.36295833124823
14,140,-370480.54134982574,14.532426653947907,9.404961807421934
15,150,-370580.121470808,15.377482955918822,10.436559810260224
16,160,-370689.96155511774,16.142113292054276,11.453583615834212
17,170,-370809.8960811489,16.83486597999291,12.453167773269524
18,180,-370939.7370436399,17.463614064344444,13.433411281004373
19,190,-371079.28214085446,18.035272539207654,14.393124106922913
20,200,-371228.3205634161,18.555959770863417,15.331635536436806
21,210,-371386.6371953794,19.031226819942816,16.24865897880227
22,220,-371554.0160027341,19.46589751282006,17.144190188551146
23,230,-371730.2422057519,19.8642487696823,18.01842844519924
24,240,-371915.10398298444,20.23013042398962,18.87172099069212
25,250,-372108.3937357238,20.566882750499673,19.704519696201896
26,260,-372309.9088472748,20.877483584950077,20.517347420153236
27,270,-372519.4522780965,21.164556789971527,21.310773725945907
28,280,-372736.83291708044,21.430484400794406,22.085397184239987
29,290,-372961.86571941734,21.677361454036145,22.84183201695923
30,300,-373194.3719646015,21.90692476532421,23.58069504099112
31,310,-373434.1789696403,22.12096638986114,24.302600234228155
32,320,-373681.120245143,22.320986067131173,25.008155422008713
33,330,-373935.03540230176,22.50814940603303,25.697953396065714
34,340,-374195.76975826843,22.683707934958523,26.372569903043768
35,350,-374463.1744403039,22.848706115371925,27.032563930626203
36,360,-374737.10598661145,23.004058783122982,27.678474834420925
37,370,-375017.426285295,23.15063651652741,28.31082209026572
38,380,-375304.00228026905,23.289202368209967,28.93010540294417
39,390,-375596.7058454391,23.42043453725637,29.536804257456968
40,400,-375895.4135237879,23.544968509755577,30.13137834507579
41,410,-376200.006364083,23.663287660825894,30.714267130238294
42,420,-376510.36973581655,23.77594388211731,31.285890760006442
43,430,-376826.3930170301,23.88346588579146,31.846652430586254
44,440,-377147.9697039234,23.986073125485532,32.396936162978086
45,450,-377474.9968475454,24.08428803499568,32.93710837615654
46,460,-377807.3751930534,24.1784823298658,33.4675211670874
47,470,-378145.0089340918,24.268816590867903,33.98850965753227
48,480,-378487.80544942676,24.355706818308647,34.5003938367925
