,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-377696.78477817244,-0.0,0.0
1,10,-377696.7898980133,0.09293889198888793,0.04646944599444396
2,20,-377697.4712408382,0.47987827817851214,0.21290846153351597
3,30,-377700.51769337454,1.2403996604756686,0.5396113078240887
4,40,-377707.7552690675,2.2879957182914947,1.0323440493564704
5,50,-377720.78415087546,3.5101426032269947,1.6693577744656067
6,60,-377740.9192544797,4.797633317418512,2.420174811239849
7,70,-377769.1317492022,6.060895994836756,3.252898730179731
8,80,-377806.06746200804,7.250306751602331,4.138964044643217
9,90,-377852.113038928,8.348531620735594,5.055915528881451
10,100,-377907.4672032944,9.355865858131436,5.987516134051112
11,110,-377972.1989136349,10.27999342915136,6.922581855555473
12,120,-378046.2904080133,11.130441718624203,7.853622689095937
13,130,-378129.66658262955,11.916087349288865,8.775702145934337
14,140,-378222.21508512757,12.644409380084845,9.685599247118807
15,150,-378323.7991357759,13.321558966919834,10.581237261971546
16,160,-378434.26664618496,13.952377123013136,11.4613010126297
17,170,-378553.45584616734,14.540691199613512,12.324980185947787
18,180,-378681.1991500499,15.089818667501088,13.171809203824521
19,190,-378817.3259476167,15.602566759758329,14.001564695576233
20,200,-378961.66458428703,16.08137250624713,14.814192870331315
21,210,-379114.043558034,16.528522231907136,15.60976342660433
22,220,-379274.2927635367,16.946106171907733,16.38843844685543
23,230,-379442.2440679406,17.33609257275092,17.150448801158195
24,240,-379617.73204491707,17.700423725531437,17.896079206441936
25,250,-379800.59430406074,18.040871904959175,18.625655472156357
26,260,-379990.67203250667,18.359015952510536,19.33953090934228
27,270,-380187.8099352288,18.656537194718847,20.03808033796085
28,280,-380391.8566600232,18.934893309971095,20.72169486231359
29,290,-380602.6648807594,19.195360027045556,21.390772440359427
30,300,-380820.09113512543,19.43947589119489,22.045718188437597
31,310,-381043.99618494796,19.668532964691995,22.686943855947167
32,320,-381274.2449114159,19.883274715952552,23.314854426040256
33,330,-381510.70624134905,20.084837506660538,23.9298463132749
34,340,-381753.2527811013,20.27466811183554,24.53231891707037
35,350,-382001.761555334,20.453320902583084,25.12266609967628
36,360,-382256.11320150655,20.621396537596567,25.701264683529008
37,370,-382516.19209320756,20.78014543912576,26.268485744977806
38,380,-382781.8862847313,20.930204845682574,26.82469595336224
39,390,-383053.0876531775,21.071867087748263,27.370245527692894
40,400,-383329.6911625305,21.206073579029194,27.905473589581376
41,410,-383611.5953845195,21.332519343293068,28.43070218423745
42,420,-383898.7021139087,21.45416834246721,28.94626162513741
43,430,-384190.91532985494,21.57102290769691,29.45249423888308
44,440,-384488.14560656546,21.67860561889826,29.949667877770842
45,450,-384790.3013430115,21.781970829673778,30.438037567002173
46,460,-385097.2969225121,21.88275331987537,30.91791547945613
47,470,-385409.04910801665,21.97789734581891,31.389578912375143
48,480,-385725.4767196065,22.06918787977196,31.853273704695308
49,490,-386046.5014665076,22.157025324837118,32.30925317359433
50,500,-386372.0475066007,22.241210723877813,32.757757375984504
51,510,-386702.0411926107,22.322777311121172,33.19902024117545
52,520,-387036.41126217396,22.401248014171216,33.63326761464849
53,530,-387375.08897934994,22.47644418173877,34.06070615641218
54,540,-387718.0067469889,22.549788575430284,34.48154242131639
55,550,-388065.1001201886,22.621281252228034,34.895984771361675
56,560,-388416.3057788968,22.69082547846483,35.304229438803304
57,570,-388771.563101938,22.75815966459478,35.70645907437502
58,580,-389130.81254328927,22.82409786293283,36.10285151822464
59,590,-389493.9967220485,22.88877115090303,36.49358361943233
60,600,-389861.0600648286,22.951482253556605,36.87881860841736
61,610,-390231.94815310877,23.01400851587228,37.25872037459486
62,620,-390606.608574537,23.076271596463542,37.633458753146996
63,630,-390984.9907372942,23.136386911058754,38.00317983597634
64,640,-391367.04500140436,23.191694157011852,38.36798706491972
65,650,-391752.72309094697,23.253038762442927,38.72804170446324
66,660,-392141.9762371199,23.319657463775272,39.083575305100375
67,670,-392534.7650069151,23.378717119949528,39.43470741500422
68,680,-392931.040598571,23.43487427601353,39.781490705242305
69,690,-393330.7643659399,23.48874284978389,40.124014238791986
70,700,-393733.8901801845,23.54846104723421,40.46242581350669
71,710,-394140.3803874863,23.611264482118713,40.79690561713868
72,720,-394550.19602525356,23.670490242366213,41.12756053203702
73,730,-394963.2985298677,23.731403945399503,41.45448279913762
74,740,-395379.6521426795,23.79277689640003,41.7777886678341
75,750,-395799.2201812603,23.856055026881066,42.09759104073673
76,760,-396221.96922058996,23.91971236975509,42.41399793633099
77,770,-396647.8650620006,23.984030704590314,42.7271049242001
