,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-389500.4616889782,-0.0,0.0
1,10,-389500.9646004607,0.3744004398788093,0.18720021993940464
2,20,-389505.22007100884,1.439283158321632,0.7342212294592172
3,30,-389516.94644102093,2.9498247635609003,1.5856794796331086
4,40,-389538.7641162059,4.600196421192959,2.6523414928757116
5,50,-389572.2592784286,6.21784740944713,3.8491507864695444
6,60,-389618.3101256149,7.724934754960123,5.114680090327601
7,70,-389677.3148951119,9.090915100114946,6.407775731820584
8,80,-389749.355700057,10.31489804701414,7.701807938338606
9,90,-389834.31859808153,11.411066359352843,8.980437197352149
10,100,-389931.97576473415,12.39784044618136,10.234277350736376
11,110,-390042.0381515372,13.291976456039992,11.45835012104726
12,120,-390164.187191196,14.106684902095001,12.65030940663637
13,130,-390298.092164833,14.852087119262437,13.809322064195294
14,140,-390443.4209006649,15.535615383446563,14.935399590718589
15,150,-390599.8449077265,16.16311428668995,16.02901347349325
16,160,-390767.04208265786,16.739561129244976,17.090895235005156
17,170,-390944.6992887179,17.268848856432317,18.121913839600893
18,180,-391132.51216747396,17.754955537998473,19.123014368296573
19,190,-391330.1862552538,18.201683084308733,20.09519923779881
20,200,-391537.4377090412,18.61185830552131,21.03948735555023
21,210,-391753.9925545988,18.988670254762134,21.956895009730218
22,220,-391979.5869672194,19.335115968700848,22.848440660106284
23,230,-392213.9677496671,19.653683236219496,23.715129097336472
24,240,-392456.8909817044,19.946938119165125,24.55794429154848
25,250,-392708.12326340715,20.21696461477407,25.3778447946599
26,260,-392967.43989305466,20.465945722119077,26.175759966226902
27,270,-393234.6259205308,20.695801124961864,26.952591421886606
28,280,-393509.47487474664,20.90804245219332,27.70920489920681
29,290,-393791.78902376554,21.104448973773085,28.446432610031472
30,300,-394081.3784885132,21.28647407895187,29.165076987906644
31,310,-394378.06171179167,21.455163871635172,29.86590258607684
32,320,-394681.6640677183,21.611565691418946,30.54963433019293
33,330,-394992.0184822328,21.757150135688402,31.216968834056026
34,340,-395308.96410403773,21.892895435032536,31.86857696862353
35,350,-395632.34755586874,22.019165535508417,32.50509082090648
36,360,-395962.0204879278,22.136642900446972,33.12710370217392
37,370,-396297.84139011666,22.246411654715406,33.73518426031442
38,380,-396639.6731417072,22.349576874539963,34.329884824765756
39,390,-396987.38539912645,22.4458763441639,34.911725850131916
40,400,-397340.8516658809,22.536069892346973,35.48119436922425
