,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-516040.54733957525,-0.0,0.0
1,10,-516040.65857914474,0.13315295943612002,0.06657647971806001
2,20,-516041.8840719843,0.6265398859890412,0.2897879309333803
3,30,-516046.2071766612,1.518116000754526,0.6994422358897282
4,40,-516055.7516021132,2.6135996379132855,1.2791615240879766
5,50,-516071.99732085434,3.6999957181251375,1.975861050639651
6,60,-516095.7551286212,4.68830836652778,2.73655298632948
7,70,-516127.3874307925,5.5754198643000565,3.525489626228228
8,80,-516167.01404423936,6.38772794236429,4.322966898647429
9,90,-516214.6370828124,7.1552147246198725,5.119711824190745
10,100,-516270.21159956936,7.899781765285301,5.912212841600558
11,110,-516333.6876891639,8.63170620103483,6.699552211730043
12,120,-516405.0082819605,9.356100433372188,7.4817400116524375
13,130,-516484.12631806463,10.07216760617594,8.25896859148561
14,140,-516570.9919657962,10.775474887271422,9.03119804209273
15,150,-516665.55623190745,11.461851302527055,9.798098141008087
16,160,-516767.7627207384,12.129038118571032,10.559192292297666
17,170,-516877.551082557,12.773100934507964,11.313904172753245
18,180,-516994.85607097705,13.388160871548468,12.061476969546492
19,190,-517119.6002883466,13.974958832169072,12.80113240162027
20,200,-517251.7008898191,14.534950623288747,13.532268241733254
21,210,-517391.0704600986,15.063466031220743,14.254295960439777
22,220,-517537.6156099078,15.56091178742645,14.966606999641954
23,230,-517691.2329481006,16.031809186293707,15.668781676726212
24,240,-517851.82289688266,16.47492776708676,16.360526929546904
25,250,-518019.2768433831,16.89186596191572,17.041591910599525
26,260,-518193.4883968027,17.283112398962867,17.71179677597174
27,270,-518374.34772420465,17.650064905986085,18.3710173759202
28,280,-518561.7433004134,17.99634140554118,19.019233669119423
29,290,-518755.5668493314,18.321326841498376,19.65648185404716
30,300,-518955.70726317493,18.627275126287692,20.282821385028363
31,310,-519162.05677010154,18.914567915385145,20.89834964652109
32,320,-519374.5075927715,19.18399792285635,21.503173290120323
33,330,-519592.9525849561,19.439791125859493,22.097465547450703
34,340,-519817.2879197716,19.679862924304313,22.68141758612328
35,350,-520047.41178299347,19.90492464533597,23.25518340137205
36,360,-520283.2210266827,20.12037180115589,23.81898907608338
37,370,-520524.6194663398,20.324545411090355,24.373094703501557
38,380,-520771.51010226173,20.516044609746327,24.917698677961745
39,390,-521023.7996312117,20.694577210217524,25.45296172579183
40,400,-521281.3950142721,20.865636441740207,25.979097273752267
41,410,-521544.2050034786,21.034109641012037,26.496431261481483
42,420,-521812.14556272415,21.19027816647428,27.0052100099565
43,430,-522085.13145832217,21.817080111758,27.511162204267748
44,440,-522363.07732847764,23.703922950668478,28.034211943114496
45,450,-522646.3528714092,24.603135829529492,28.57694287980121
46,460,-522935.55811509537,22.868092081361134,29.098877273960532
47,470,-523229.44373856694,21.608455829302,29.577320681909622
48,480,-523527.92419917515,21.698969966336136,30.033228808732385
49,490,-523830.92478089855,21.794657962198816,30.481654214883747
50,500,-524138.3727582269,21.88574467181752,30.922906130603952
51,510,-524450.1973807503,21.972578940175246,31.35718101791208
52,520,-524766.3299130161,22.055300764512467,31.784668658160808
53,530,-525086.7033758493,22.13403690913987,32.205550526773735
54,540,-525411.252683778,22.20947912867996,32.62000552099344
