,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-369255.958349983,-0.0,0.0
1,10,-369256.42103694356,0.34137766779313095,0.17068883389656547
2,20,-369260.15278369025,1.3991148598812289,0.6911563827634382
3,30,-369271.00151757646,3.0630440135457317,1.5514424333247008
4,40,-369292.32951459516,5.008161652792477,2.687969975514716
5,50,-369326.4225850566,6.9463848518935265,4.008628667303128
6,60,-369374.587862028,8.728420135629133,5.430635497128241
7,70,-369437.41473135195,10.30919757383381,6.894375097037846
8,80,-369515.0356770317,11.698441851802635,8.361898968049356
9,90,-369607.3165780692,12.92276862086583,9.810983173835123
10,100,-369713.9757012944,14.008337437699083,11.229331635768178
11,110,-369834.65295199025,14.97614822100877,12.610482517698985
12,120,-369968.9490753079,15.842290811974092,13.951311978243758
13,130,-370116.448046715,16.619316687654646,15.250611916729396
14,140,-370276.7300853613,17.317434899014177,16.508296222538046
15,150,-370449.3795004787,17.945323035448368,17.724953474874926
16,160,-370633.98948084045,18.510589074622857,18.90158681797184
17,170,-370830.16514900356,19.019986866929685,20.039454104992913
18,180,-371037.5253490062,19.47955480394012,21.139964227985914
19,190,-371255.70370780356,19.894713369208343,22.20460806120318
20,200,-371484.3491167362,20.270315016736262,23.234911025284966
21,210,-371723.12587369664,20.610683057511036,24.23239944969173
22,220,-371971.7135144997,20.919661349238595,25.198576847526418
23,230,-372229.8064835088,21.200664658614567,26.134907710690456
24,240,-372497.11366017093,21.456706722686093,27.04280644839746
25,250,-372773.35781446635,21.690451643662545,27.923630204660004
26,260,-373058.2749837133,21.9042652419797,28.778675107571328
27,270,-373351.61386805377,22.100223217473804,29.60917437052558
28,280,-373653.1351768587,22.28016280720476,30.416297813570417
29,290,-373962.6109930745,22.4457148718444,31.20115294769639
30,300,-374279.8241740144,22.59830988175242,31.964786529722915
31,310,-374604.567724815,22.73922183090765,32.708186670186116
32,320,-374936.6442510124,22.869571397220625,33.43228536570168
33,330,-375275.8653879502,22.99036100908845,34.13796122195126
34,340,-375622.051292257,23.10248566879607,34.82604246142509
35,350,-375975.03015533887,23.206720081034288,35.49730947031712
36,360,-376334.637728406,23.303781978296996,36.15249768149078
37,370,-376700.7168885344,23.394312529511808,36.79230067858515
38,380,-377073.117255642,23.478845910687205,37.417372220127426
39,390,-377451.69477041054,23.55789186567563,38.028328657850935
40,400,-377836.31135752087,23.631931138283164,38.625752051767634
41,410,-378226.8345926617,23.701352979990887,39.210192080996066
42,420,-378623.137390538,23.76651048817439,39.7821676196647
43,430,-379025.09768611286,23.82775719604821,40.342169212473536
44,440,-379432.59819544863,23.88538802038532,40.890661020481645
45,450,-379845.5261350952,23.939662366494368,41.428082132866265
46,460,-380263.7729894687,23.990840697506727,41.954848388964464
47,470,-380687.2342839589,24.039147351268845,42.47135400666594
48,480,-381115.8093840953,24.084750696318224,42.977972436539126
49,490,-381549.4012816322,24.12794439083241,43.47505877048461
50,500,-381987.9164043022,24.168828052424907,43.96295056520103
51,510,-382431.26456044085,24.207382529381576,44.4419661254251
52,520,-382879.358486951,24.244000470923567,44.912408794268416
53,530,-383332.1140216255,24.27880873780829,45.37456954886294
54,540,-383789.44980073126,24.31175961194389,45.82872379960973
55,550,-384251.2871120462,24.343075162527228,46.27513336820121
56,560,-384717.5498253352,24.372838152793662,46.714048677861136
57,570,-385188.1642571306,24.40112326038369,47.14570824510592
58,580,-385663.0590200483,24.428066109446767,47.570339962792055
59,590,-386142.1649974854,24.45368478552268,47.988161356424094
60,600,-386625.41515690583,24.47804724646275,48.399379700304415
61,610,-387112.74450718635,24.501266310173378,48.80419347908101
62,620,-387604.08999192767,24.52343539055437,49.202793171050146
63,630,-388099.3904210251,24.544567359227177,49.595360964941214
64,640,-388598.5863981692,24.564666931144757,49.98207057898544
65,650,-389101.62018715544,24.583867712193843,50.3630887140942
66,660,-389608.43572124274,24.60224778488346,50.738576053840376
67,670,-390118.9784872625,24.619761045975512,51.108686278921965
68,680,-390633.1954975192,24.636419228697292,51.47356598035404
69,690,-391151.03515217314,24.652395182219383,51.83335666654021
70,700,-391672.4472851067,24.66765354608636,52.18819473666809
71,710,-392197.38306066766,24.682172967914084,52.53821038148963
72,720,-392725.7948747205,24.696095184632522,52.88352916198637
73,730,-393257.6364187216,24.709483490273172,53.22427286059537
74,740,-393792.8625172147,24.72221969812246,53.5605579231873
75,750,-394331.42921978387,24.73428131725086,53.89249515695629
76,760,-394873.2935217078,24.74598992428504,54.22019293102931
77,770,-395418.4136375487,24.757199728417618,54.54375653351818
78,780,-395966.7487314243,24.767630973676624,54.86328443593157
79,790,-396518.2589382893,24.777771321229878,55.17887263862358
80,800,-397072.905290358,24.787714566336945,55.490617192139325
81,810,-397630.649946028,24.796917047053284,55.79860779735827
82,820,-398191.4557065749,24.805734103143855,56.1029296627763
83,830,-398755.2863449011,24.814438485677297,56.40366870820581
84,840,-399322.1064808909,24.822579658578675,56.70090672774532
85,850,-399891.8815093094,24.83015452314424,56.994719910583086
86,860,-400464.57753123477,24.83750616942701,57.28518374870838
87,870,-401040.16145231685,24.84468126460706,57.57237337885382
88,880,-401618.60091002955,24.85171170834238,57.856361810796805
89,890,-402199.86423728504,24.858175917311936,58.13721739192333
90,900,-402783.92052141903,24.86411095972283,58.41500401539233
91,910,-403370.73923614866,24.87018045810407,58.68978730834496
92,920,-403960.2908487906,24.87592984257479,58.96163192240492
93,930,-404552.5461824664,24.88115956990805,59.23059686839551
94,940,-405147.4767978329,24.886317338969093,59.49674057190131
95,950,-405745.05470279267,24.89137051271232,59.76012181352489
96,960,-406345.25266914704,24.895868076151373,60.02079500631298
97,970,-406948.04380017694,24.900271167240724,60.27881289910947
98,980,-407553.40181882627,24.90481683415419,60.53423020435366
99,990,-408161.30105061986,24.90907842185864,60.78709902273768
100,1000,-408771.7161998664,24.912840605393427,61.03746665213767
101,1010,-409384.62257517263,24.916011180529384,61.285377445167256
102,1020,-409999.99571714865,24.919527695423895,61.53087858269647
103,1030,-410617.8118269256,24.923385114334522,61.77402043660332
104,1040,-411238.04759823304,24.92666403391624,62.014847473915864
105,1050,-411860.680063189,24.92928768547449,62.253398098588505
106,1060,-412485.686657792,24.931812467469868,62.48971188132636
107,1070,-413113.04517095163,24.934716722054873,62.72383213818392
108,1080,-413742.7339484708,24.937408335751158,62.95580047056136
109,1090,-414374.73166814307,24.939871891304133,63.185654517148926
110,1100,-415009.01731631096,24.94241645828879,63.41343221948408
111,1110,-415645.5704119001,24.944443276246602,63.63916919684924
112,1120,-416284.3706537723,24.94607371254824,63.8628979544519
113,1130,-416925.3981442252,24.948173127448214,64.08465450153598
114,1140,-417568.6333032739,24.95025363311288,64.30447558510494
115,1150,-418214.0570882768,24.95183888479385,64.52239277811312
116,1160,-418861.6504277344,24.953214857186452,64.73843599472528
117,1170,-419511.39493281004,24.954775270882237,64.95263729408106
118,1180,-420163.2721090423,24.956259869303736,65.1650284966985
