,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-444459.99253012,-0.0,0.0
1,10,-444460.0185687558,0.1058572723370162,0.0529286361685081
2,20,-444460.76397544716,0.5754579445958371,0.24972175848597547
3,30,-444464.30493692093,1.5069313103769673,0.6447414630310959
4,40,-444473.0445796662,2.6971419926965607,1.233039430514327
5,50,-444488.68372255773,3.939100249910552,1.9640922045924523
6,60,-444512.29660381225,5.163969539967367,2.788333024580788
7,70,-444544.5753101938,6.356368556892266,3.672690145070373
8,80,-444585.97509155807,7.508051948214414,4.595969717326079
9,90,-444636.7890038693,8.612579363179975,5.543699595377256
10,100,-444697.19383904495,9.665577885578388,6.505455120943952
11,110,-444767.2808280478,10.663534527602321,7.473440130113886
12,120,-444847.07489807415,11.603918688779226,8.441642857037369
13,130,-444936.54914141755,12.485907090942781,9.405366664875329
14,140,-445035.63568606594,13.309301431223874,10.360926054653103
15,150,-445144.23563045176,14.074436193615835,11.30540612174591
16,160,-445262.2230495755,14.783425452653319,12.236536040261853
17,170,-445389.4539493356,15.438761696041917,13.152599312011443
18,180,-445525.76897671673,16.043150773749215,14.052323615414206
19,190,-445670.9987663278,16.59999400954257,14.934808640082338
20,200,-445824.96635002183,17.112687111948635,15.799467765500594
21,210,-445987.49093912955,17.584776998680894,16.64597010993457
22,220,-446158.3890975508,18.01934175503846,17.47418577100252
23,230,-446337.4779252621,18.419536603795148,18.28414097421337
24,240,-446524.57428463444,18.788758981414148,19.075998161770986
25,250,-446719.49888809695,19.128755802666976,19.850005756603785
26,260,-446922.0740700204,19.442439936159644,20.6064739483525
27,270,-447132.12586021604,19.733447223399708,21.345801231888615
28,280,-447349.485301462,20.00275480292619,22.068427489781605
29,290,-447573.9875689624,20.25138618035711,22.77478137052967
30,300,-447805.4718969078,20.482693961952485,23.46532143392469
31,310,-448043.7822241644,20.699067592053325,24.140555595527985
32,320,-448288.7687509695,20.899712865473703,24.800969537955098
33,330,-448540.28535367874,21.085769452946227,25.447008906825793
34,340,-448798.19024611305,21.260405953886217,26.079143290907083
35,350,-449062.3469916209,21.42434250764926,26.697858355464266
