,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,,,0.0
1,10,,,
2,20,,,
3,30,,,
4,40,,,
5,50,,,
6,60,,,
7,70,,,
8,80,,,
9,90,,,
10,100,,,
11,110,,,
12,120,,,
13,130,,,
14,140,,,
15,150,,,
16,160,,,
17,170,,,
18,180,,,
19,190,,,
20,200,,,
21,210,,,
22,220,,,
23,230,,,
24,240,,,
25,250,,,
26,260,,,
27,270,-342513.03468049126,,
28,280,-342753.025492231,,
29,290,-342995.7998536151,-941.2203682719978,
30,300,-343232.87642599724,-897.618940942295,
31,310,-342180.330036019,1157.5905006415676,
32,320,-342515.90210517374,1127.2685130886734,
33,330,-342858.525380541,22.660128747903148,
34,340,-343208.0134257111,22.738411425179244,
35,350,-343564.18754778773,22.805823024158673,
36,360,-343926.87581851333,22.862932810024333,
37,370,-344295.9135127764,22.907087699764816,
38,380,-344671.1414699934,22.937328168106696,
39,390,-345052.4038968999,22.95337453211393,
40,400,-345439.5516774399,22.951310136879215,
41,410,-345832.43620362045,22.92948344504551,
42,420,-346230.91319502325,22.88464841195391,
43,430,-346634.8387380923,22.812721651786614,
44,440,-347044.0696158561,22.70939413208977,
45,450,-347458.4624089844,22.570126281614744,
46,460,-347877.8709404454,22.38868716431898,
47,470,-348302.148414349,22.159264902802533,
48,480,-348731.14068865584,21.880729523836635,
49,490,-349164.6933685671,21.546804093463184,
50,500,-349602.64437813614,21.15518955230069,
51,510,-350044.8275506166,20.711516824504397,
52,520,-350491.0722192583,20.22323936140161,
53,530,-350941.20605958725,18.842010480538086,
54,540,-351395.05639835075,14.652605230588271,
55,550,-351851.80495382624,14.57409609665774,
56,560,-352309.8943590955,22.436285918869544,
57,570,-352773.003190681,26.71976872383376,
58,580,-353240.7582383537,25.835654350795167,
59,590,-353712.95214242965,25.377278299386713,
60,600,-354189.43981026765,25.092059765069195,
61,610,-354670.1060286186,24.893406444370296,
62,620,-355154.84942202497,24.75071968469124,
63,630,-355643.58346001693,24.641046867208296,
64,640,-356136.2272400305,24.554605021793577,
65,650,-356632.7060005373,24.48664163943599,
66,660,-357132.9516861746,24.43077133290043,
67,670,-357636.89724360505,24.383502920585986,
68,680,-358144.4826603993,24.33869784665876,
69,690,-358655.64580184926,24.305166358996992,
70,700,-359170.33051571023,24.28099281547475,
71,710,-359688.4843116059,24.25396519134535,
72,720,-360210.0532240586,24.230586993985497,
73,730,-360734.9870271042,24.21429240168493,
74,740,-361263.23736962583,24.198154593258987,
75,750,-361794.75784802804,24.182078866761003,
76,760,-362329.501598757,24.168742791138357,
77,770,-362867.4257776808,24.15699099284695,
