,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-483058.73302447214,-0.0,0.0
1,10,-483058.8956208191,0.11191550586809172,0.05595775293404586
2,20,-483060.0557864136,0.5294097182311817,0.24426793542588715
3,30,-483063.6974337478,1.3572080030207871,0.6028216988204804
4,40,-483071.9667427197,2.4762302408751564,1.1385518127666727
5,50,-483086.59535338345,3.647595999689656,1.8128401928450328
6,60,-483108.64000143454,4.7523765740596,2.573631173985632
7,70,-483138.6740410166,5.776735808279773,3.382286541462963
8,80,-483176.9957706431,6.742437581613196,4.216312876619486
9,90,-483223.7626475542,7.673030665906845,5.06399470690958
10,100,-483279.06372775976,8.583209142074336,5.919434645452566
11,110,-483342.953612607,9.4777275741857,6.779400901382905
12,120,-483415.4645214447,10.354615018714684,7.641648992655973
13,130,-483496.60904156585,11.208752103924057,8.504197135253344
14,140,-483586.38069852535,12.033886297367285,9.365084638881672
15,150,-483684.7529385368,12.82439729491306,10.222346202189511
16,160,-483791.6794078842,13.576244680932717,11.074083758299093
17,170,-483907.0952282942,14.286642851779474,11.918536782571755
18,180,-484030.91872894537,14.954452965411479,12.754133631826699
19,190,-484163.0531482911,15.580201814653996,13.579540414000077
20,200,-484303.39016770746,16.16431343110161,14.393653560689565
21,210,-484451.8114931609,16.7077945079116,15.195566027607857
22,220,-484608.19023333176,17.213077105989214,15.984576956612
23,230,-484772.394208522,17.68220856145054,16.760179092767796
24,240,-484944.2868027851,18.11745668845252,17.522021945402958
25,250,-485123.72859094647,18.5212055339798,18.269893070425315
26,260,-485310.5791333859,18.895776465610815,19.003697497751272
27,270,-485504.6969022253,19.24347508844801,19.723438464183708
28,280,-485705.9418893184,19.56585890520364,20.429189451562703
29,290,-485914.17406548705,19.865356154547804,21.121085929751278
30,300,-486129.25587225833,20.144014933539438,21.799325652572588
31,310,-486351.05171999644,20.40290393460889,22.46413833051774
32,320,-486579.4285417763,20.643763606715936,23.11577623259218
33,330,-486814.2557021634,20.868633306716223,23.75452645268524
34,340,-487055.4059158027,21.07817089827445,24.380690967868578
35,350,-487302.7549974294,21.273812421764873,24.994575675339004
36,360,-487556.1811379447,21.457154122553753,25.596503310844128
37,370,-487815.5672211774,21.627671569936528,26.18678517235021
38,380,-488080.7976424451,21.787770889783847,26.765732200294586
39,390,-488351.7607114875,21.93854777708622,27.33367682925236
40,400,-488628.3486426189,22.079332990571885,27.890931924674078
41,410,-488910.45527644077,22.211850457848033,28.437799812151933
42,420,-489197.97897578334,22.336753998021535,28.974589775319327
43,430,-489490.8199394017,22.453855649665655,29.501594858154565
44,440,-489788.8824079935,22.564096597605385,30.01909639152727
45,450,-490092.0719099437,22.66857662402619,30.527379653736713
46,460,-490400.29865529237,22.766605789505476,31.02671583374467
47,470,-490713.47372637375,22.86000079927329,31.517370438016947
48,480,-491031.51195110386,22.948143453989076,31.999605096860613
49,490,-491354.33086263295,23.029962529032456,32.473647875482854
50,500,-491681.8486997937,23.109697060499457,32.93974446373104
51,510,-492013.9879683036,23.185075208225935,33.39814609324021
52,520,-492350.6732061319,23.25468939685379,33.84905353480644
53,530,-492691.8294466866,23.322144286857004,34.29267654658979
54,540,-493037.3859350831,23.386689022302782,34.72924019258426
55,550,-493387.2725433993,23.447702825978922,35.158944544239056
56,560,-493741.4221373841,23.505220286932428,35.581973517296866
57,570,-494099.76851489453,23.560179286841635,35.99850979493131
58,580,-494462.24778274726,23.61301020468232,36.408738467088554
59,590,-494828.7979455384,23.66314961283501,36.812834066098006
60,600,-495199.3582627343,23.710728365782288,37.210958635356654
61,610,-495573.87018947914,23.75600149414227,37.60326936212732
