,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-500377.99777342187,-0.0,0.0
1,10,-500378.0386243235,0.05641198219236685,0.028205991096183426
2,20,-500378.4489623685,0.35914911865547766,0.14619926185623627
3,30,-500380.37680541445,1.1421480588032864,0.4263445513206534
4,40,-500386.0831336882,2.4062766207847743,0.917487138719298
5,50,-500397.94362728944,3.907594039519609,1.6090311202693557
6,60,-500417.78007121576,5.415822197834497,2.4511090407075247
7,70,-500446.7712014806,6.812397433757724,3.389027373890713
8,80,-500485.5824900622,8.06178216098342,4.379488575649157
9,90,-500534.5267610075,9.170074691654008,5.3927985546913995
10,100,-500593.6938197136,10.158172498937349,6.410155773619045
11,110,-500663.03820805287,11.049322517472316,7.42030633117829
12,120,-500742.43783936073,11.863402580819095,8.41685670465813
13,130,-500831.7290097072,12.614715344086294,9.396346504913527
14,140,-500930.72653427726,13.313642570853697,10.357015098974808
15,150,-501039.2343201126,13.96772679270362,11.298093226738274
16,160,-501157.05420796765,14.581814817315902,12.219365832869517
17,170,-501283.9869019652,15.159361107535357,13.120911107896973
18,180,-501419.83641870134,15.702160631175502,14.00294579852707
19,190,-501564.40856877674,16.212579133441622,14.86576374647193
20,200,-501717.5123197265,16.692736951576084,15.709728989562429
21,210,-501878.96198113234,17.14283139431791,16.535210065597497
22,220,-502048.57369465486,17.565394480791277,17.342586228770237
23,230,-502226.1684056676,17.962304474932882,18.132284619587157
24,240,-502411.57215045736,18.333677464386,18.904721113318374
25,250,-502604.613620594,18.681519701131055,19.66030312118237
26,260,-502805.1267353672,19.007163062362824,20.399455881788892
27,270,-503012.9492670423,19.311988266000128,21.12260766070613
28,280,-503227.9231096037,19.59845591711928,21.83020950013088
29,290,-503449.8952664772,19.866587272538155,22.522709293990196
30,300,-503678.71727800753,20.116639311716416,23.200513982620038
31,310,-503914.24345525354,20.35173225781765,23.86404505057581
32,320,-504156.3336321603,20.572816935740377,24.513749061290582
33,330,-504404.8519437174,20.77950887860061,25.150040369526685
34,340,-504659.6660074828,20.973413810803322,25.77331396918307
35,350,-504920.64771567046,21.155736758279076,26.383971336056856
36,360,-505187.67298728856,21.327028185973177,26.982404871694598
37,370,-505460.62147249014,21.488550985010818,27.568999420621548
38,380,-505739.37666507874,21.640789925502045,28.144132480605187
39,390,-506023.82609523955,21.783467202982838,28.70815493701812
40,400,-506313.8601217379,21.91725928848612,29.261395898675254
41,410,-506609.37273563305,22.044531636770973,29.804197391449268
42,420,-506910.2608376855,22.165457144624103,30.33690763293416
43,430,-507216.42623616,22.278628280517296,30.85983593996643
44,440,-507527.77151281846,22.385698927816655,31.3732726995433
45,450,-507844.20404206414,22.48697747034745,31.877510947130936
46,460,-508165.63282334036,22.582669682093563,32.37283005324934
47,470,-508491.9702723864,22.674021253382804,32.859506846198926
48,480,-508823.13123793365,22.760229346831295,33.33780556061902
49,490,-509159.0335420732,22.841568315638835,33.80796851069245
50,500,-509499.59651031595,22.91951355829962,34.27024087398604
51,510,-509844.7429899769,22.993967873322145,34.724867067150626
52,520,-510194.3973935449,23.0642548772215,35.17206980624396
53,530,-510548.4869224871,23.13037662146093,35.61205258795817
54,540,-510906.9400112948,23.194144541298776,36.04502428576525
55,550,-511269.6877430135,23.255644097953336,36.4711998297149
56,560,-511636.66347685305,23.31321708819584,36.890768500061675
57,570,-512007.8017592475,23.368192370700207,37.30390636766606
58,580,-512383.03924033145,23.420595511287807,37.71079219671083
59,590,-512762.3145069697,23.470600674282426,38.111597277697726
60,600,-513145.5671386452,23.519277863757324,38.50649465544047
61,610,-513532.7395263355,23.565499440436586,38.89564846911743
62,620,-513923.7745555348,23.608991582682982,39.27920339400515
63,630,-514318.6173322196,23.65135832176443,39.657307680443765
64,640,-514717.2135798971,23.692286429926753,40.030112861207456
65,650,-515119.5118735461,23.730765565145795,40.39775319944238
66,660,-515525.46028327814,23.767848277499336,40.76035700659122
67,670,-515935.0099629127,23.803252894309164,41.11805267886812
68,680,-516348.11174319097,23.83752453870858,41.47096481022309
69,690,-516764.71894952963,23.871216771978656,41.81922055762989
70,700,-517184.78527636186,23.90277740266164,42.162934513615625
71,710,-517608.26632268104,23.931517653919535,42.50220045238457
72,720,-518035.1175394771,23.960775880445624,42.83712654379633
73,730,-518465.2962409896,23.990870889961613,43.167841854236755
74,740,-518898.7613447482,24.017200106437723,43.494441266827195
75,750,-519335.47184197756,24.041926295139948,43.816999154559014
76,760,-519775.3874203471,24.068550709768846,44.135624391547026
77,770,-520218.4698036563,24.093965596010094,44.450424441952784
78,780,-520664.68115421425,24.11570580010308,44.761466621697764
79,790,-521113.98411109915,24.138480409271367,45.06882967185447
80,800,-521566.34191669687,24.16203303320799,45.372617570775766
81,810,-522021.72043393913,24.18026349670539,45.67289116301545
82,820,-522480.0836956961,24.199673728665395,45.96971103494798
83,830,-522941.3976276417,24.221813075290875,46.26318455769651
84,840,-523405.63019358733,24.24013142043259,46.55338559084484
85,850,-523872.7479842721,24.258086340443636,46.84036671292706
86,860,-524342.7196112026,24.276877020657167,47.12420597230011
87,870,-524815.513910945,24.294832245342153,47.40497607881552
88,880,-525291.1005995251,24.311105270334707,47.68273283143499
89,890,-525769.449875432,24.326334396036565,47.957528911357805
90,900,-526250.5320902433,24.341679073084315,48.22942526174156
91,910,-526734.3190239171,24.356174848551746,48.49848194867809
92,920,-527220.7821049939,24.37214848799644,48.7647644139477
93,930,-527709.8941833246,24.387388688785855,49.028336735637275
94,940,-528201.6287060437,24.401029005489278,49.28924443606374
95,950,-528695.9585421683,24.41397597991454,49.54753175396035
96,960,-529192.8587236915,24.42584311058772,49.803244297248604
97,970,-529692.3024698455,24.43919118743513,50.05643744242261
98,980,-530194.2661759688,24.451637045020192,50.30716590495867
99,990,-530698.7244145073,24.463854765941505,50.55547397723858
100,1000,-531205.6538882644,24.47568407893428,50.801407219683455
101,1010,-531715.030744933,24.486888890104968,51.04500786230637
102,1020,-532226.8318741916,24.49805183942648,51.28631857394357
103,1030,-532741.0348531371,24.507545914547737,51.525375732840615
104,1040,-533257.6169392716,24.517523583281076,51.76221711186372
105,1050,-533776.5564549002,24.528604300183137,51.996892699018645
106,1060,-534297.8318211143,24.538906739367015,52.22944513672992
107,1070,-534821.4222868729,24.548341554231516,52.45990657324292
108,1080,-535347.3066677643,24.5579829106223,52.68831281499152
109,1090,-535875.4650689593,24.567388421681244,52.914701622619766
110,1100,-536405.8770636405,24.57635415426921,53.13910676562228
111,1110,-536938.5234064298,24.58422851497622,53.361557234408984
112,1120,-537473.3843155728,24.59171165386215,53.58208142952063
113,1130,-538010.4409253472,24.60010842141354,53.80071589380969
114,1140,-538549.6743216672,24.60911693854125,54.017500654487236
115,1150,-539091.0664472455,24.61801215902936,54.23247021337593
116,1160,-539634.5991056347,24.6242562821717,54.44564408454899
117,1170,-540180.2547559818,24.63058007199442,54.65704200944456
118,1180,-540728.0150124582,24.639447658963036,54.86670533787401
119,1190,-541277.8637758539,24.646580667485335,55.07466683873499
120,1200,-541829.7832744203,24.653676433721472,55.28094755217026
121,1210,-542383.7573606562,24.66067186798883,55.485574806737716
