,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-451691.0129247423,-0.0,0.0
1,10,-451691.0683510397,0.10197046574903652,0.05098523287451826
2,20,-451691.77534339286,0.5917744508420583,0.24991407845955108
3,30,-451695.2580222645,1.6305139170537586,0.6696100106790254
4,40,-451704.37325106026,2.995720534439897,1.3158273969929724
5,50,-451721.18787905003,4.397120435991383,2.1300045073970977
6,60,-451746.92836407205,5.729091821770997,3.0471408694771522
7,70,-451782.2946993235,6.979168760325411,4.023077242267027
8,80,-451827.6774225623,8.154051872971468,5.031217538636701
9,90,-451883.28248394164,9.261342141986821,6.055364788585575
10,100,-451949.19674041745,10.306744475383312,7.085221020242897
11,110,-452025.43178919086,11.292783112500913,8.113866567307559
12,120,-452111.9430361741,12.220399354136312,9.136358197025402
13,130,-452208.6457603037,13.090492011833703,10.149021965441353
14,140,-452315.42399644456,13.90350323389285,11.149056114359702
15,150,-452432.13816837606,14.66038324525289,12.134289242792876
16,160,-452558.629251669,15.363125302852126,13.103066350015435
17,170,-452694.7249317691,16.013702290573555,14.054155259569963
18,180,-452840.24232015054,16.61463331459381,14.986664095482412
19,190,-452994.9909946693,17.169043465460714,15.89999862085606
20,200,-453158.77679599787,17.679853491805275,16.79381189145279
21,210,-453331.4024122337,18.150588517558926,17.66796509821361
22,220,-453512.6709788288,18.584084697428633,18.522487528984495
23,230,-453702.38637935533,18.98295537969682,19.35752603332658
24,240,-453900.35440656415,19.35077025506179,20.17334002334392
25,250,-454106.3841819199,19.690022291251807,20.97028151614941
26,260,-454320.28911805793,20.0026695438544,21.748748683971645
27,270,-454541.8860201505,20.291416334170208,22.509182375120144
28,280,-454770.9971673115,20.558311469783085,23.252062049088998
29,290,-455007.4492159132,20.805301246816775,23.97788684436891
30,300,-455251.07423295046,21.0341103536339,24.68716744072517
31,310,-455501.70937891287,21.24600574148794,25.38041345857855
32,320,-455759.19677906093,21.442818097444217,26.058135003310596
33,330,-456023.3837428693,21.626118934103555,26.720847504781702
34,340,-456294.1228477932,21.796484461863308,27.369052509684114
35,350,-456571.2715843216,21.95488313578973,28.003230233542126
36,360,-456854.6918394218,22.103088478243457,28.623858761171867
37,370,-457144.2507207863,22.241524923752877,29.231407248765752
38,380,-457439.81981824845,22.370462227892144,29.82631658359314
39,390,-457741.2747490604,22.491402475691547,30.409016084593166
40,400,-458048.4956520518,22.604923257546048,30.979928939103413
41,410,-458361.3668824378,22.711226047961112,31.53945665113934
42,420,-458679.77640911273,22.81127985546764,32.08798567787817
43,430,-459003.6163095205,22.905243217245182,32.62588857071023
44,440,-459332.7821946074,22.99348778582653,33.153518242049905
45,450,-459667.172939596,23.07687840071594,33.67121763598771
46,460,-460006.6911508165,23.155413528243564,34.17931667347657
47,470,-460351.24235047214,23.229510585451532,34.678128403994194
48,480,-460700.73524922406,23.299561386555467,35.1679546214742
49,490,-461055.0815575912,23.365755987007148,35.64908446741756
50,500,-461414.1956487871,23.42854761009221,36.121796025018554
51,510,-461777.9948512303,23.487937767630537,36.58635540080213
52,520,-462146.39888643817,23.54420268870308,37.04301586479923
53,530,-462519.330056844,23.599303847465603,37.49203737107091
54,540,-462896.7130492344,23.649603001610338,37.93365011859859
55,550,-463278.47605781426,23.694117599916353,38.36802899325921
56,560,-463664.5454364763,23.740695975115642,38.795400562127185
57,570,-464054.85414431174,23.786787241647673,39.21602709034051
58,580,-464449.3354637004,23.82838933332237,39.63010026820121
59,590,-464847.92471308407,23.86785265080265,40.037787355345074
60,600,-465250.55886287853,23.90561326086754,40.439270736904305
61,610,-465657.1768768739,23.942072025658767,40.83473067275847
62,620,-466067.7193375639,23.976184350892524,41.22433349018249
63,630,-466482.1287600248,24.008403822677792,41.60823270307448
64,640,-466900.3483182821,24.040685529168513,41.98659344625266
65,650,-467322.3240741742,24.07119391938627,42.35957433209842
66,660,-467748.00272745604,24.099593058909573,42.72731003693625
67,670,-468177.3324307356,24.127369786283765,43.089937710030064
68,680,-468610.2629506051,24.153880743257517,43.447594772723825
69,690,-469046.74518716935,24.17932745396388,43.80040935479483
70,700,-469486.7313388972,24.204030782013536,44.148507806734415
71,710,-469930.1749450257,24.22740676827535,44.49200928151331
72,720,-470377.0306019219,24.249632389470833,44.83102504706185
73,730,-470827.2539461318,24.27141069645586,45.16566781100555
74,740,-471280.80188294075,24.292415956652366,45.49604829567542
75,750,-471737.6323503592,24.31231071121136,45.822268312736554
76,760,-472197.70419961185,24.331659238913343,46.14442708966379
77,770,-472660.9773202993,24.35036786812847,46.462623067053926
78,780,-473127.4126527245,24.368179762229722,46.776948619452
79,790,-473596.97183198907,24.38545540055795,47.0874932252991
80,800,-474069.6176082793,24.402060006279385,47.394344425658346
81,810,-474545.3134097044,24.417979995608096,47.69758557227542
82,820,-475024.0235938372,24.433458590126364,47.99729834745158
83,830,-475505.713249146,24.44854528466385,48.293563244331025
84,840,-475990.348339683,24.463082553067764,48.586457224237535
85,850,-476477.8955200501,24.476900290763055,48.87605257727919
86,860,-476968.32217245887,24.490326733281897,49.16241996423778
87,870,-477461.59633226745,24.503422244117246,49.4456298505509
88,880,-477957.6868548781,24.51591693050014,49.72574909888135
89,890,-478456.5630857465,24.528162887479994,50.002842749348204
90,900,-478958.1951359021,24.54019059808317,50.27697580946697
91,910,-479462.5537326581,24.551609640411463,50.54820915574673
92,920,-479969.610168303,24.562404408620466,50.81659943812265
93,930,-480479.33629589516,24.573114763438802,51.08220428666391
94,940,-480991.70450696856,24.583817984611827,51.3450827961773
95,950,-481506.6879407509,24.593662045735982,51.60528811201365
96,960,-482024.2600447765,24.60325966835967,51.862870416009535
