,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-421191.7823862891,-0.0,0.0
1,10,-421192.8337343204,0.38129799695743716,0.19064899847871858
2,20,-421198.32091267884,1.2659190939186376,0.6977777704370967
3,30,-421210.18835026136,2.4030389504187037,1.4147640356532067
4,40,-421230.17782094696,3.7259570882248223,2.2810151634177602
5,50,-421259.5834855412,5.106390641769394,3.2573988636228024
6,60,-421299.29430009733,6.450865605191212,4.305610061565677
7,70,-421349.82974595524,7.700448466125819,5.393214228626313
8,80,-421411.416549949,8.83508100134786,6.495438824505254
9,90,-421484.07856903283,9.859938537691777,7.595405750294594
10,100,-421567.71420480736,10.789716292347293,8.682665928117057
11,110,-421662.14934116683,11.639781904210395,9.751232738380349
12,120,-421767.17072483513,12.42306580682052,10.797941475977131
13,130,-421882.5465929525,13.148785718742882,11.821291745571944
14,140,-422008.03746421897,13.823179879979582,12.820699268929458
15,150,-422143.4016469497,14.45077701047557,13.796076831658866
16,160,-422288.3990032599,15.035187932779081,14.747619021574065
17,170,-422442.79210630816,15.579143907208337,15.675678759391303
18,180,-422606.34851213277,16.084553166784474,16.580682017830988
19,190,-422778.83937486005,16.554319872749343,17.463115158004076
20,200,-422960.0414724874,16.990679220063605,18.323522135156963
21,210,-423149.73784314404,17.39521280433399,19.162460849095076
22,220,-423347.7157912821,17.770484427164774,19.98050722860353
23,230,-423553.77005010296,18.11825996960397,20.778257091405976
24,240,-423767.7000817626,18.440822943183576,21.556316119452823
25,250,-423989.3122744003,18.73999285391621,22.315299787847472
26,260,-424218.4190771484,19.017201903421665,23.055815066145442
27,270,-424454.83848726394,19.274612737179268,23.778467760275817
28,280,-424698.3953062318,19.51350694943688,24.48386051442649
29,290,-424948.9196819604,19.735582450313107,25.172584658602865
30,300,-425206.2479738144,19.942079275191613,25.84522130945916
31,310,-425470.2223696918,20.13379286939888,26.502327892046743
32,320,-425740.69008043053,20.312412882549722,27.144447938004305
33,330,-426017.50414499664,20.479015910638545,27.772117509152302
34,340,-426300.5227031499,20.63435099477066,28.385851967168854
35,350,-426589.6089698901,20.7793835529301,28.986146641797674
36,360,-426884.6310329219,20.914860789861983,29.573479155905076
37,370,-427185.4616617012,21.04146823645277,30.14830749889952
38,380,-427491.9780969049,21.15992932894148,30.71107178700622
39,390,-427804.0618867409,21.27101087390908,31.262197177369668
40,400,-428121.5987707078,21.375223924929756,31.80209274404551
41,410,-428444.47853318974,21.472904273828288,32.33114772937333
42,420,-428772.59466843563,21.564600702861178,32.84973385257835
43,430,-429105.8443545399,21.650868299884436,33.358209572073974
44,440,-429444.1282811186,21.732047482888447,33.85691893966359
45,450,-429787.35051849455,21.808462290020447,34.34619027236331
46,460,-430135.41830060416,21.880450411743368,34.82633750276654
47,470,-430488.2419822626,21.94829833300322,35.29766102096036
48,480,-430845.73479870864,22.0123692489463,35.76044906942771
49,490,-431207.8128488672,22.07292552569561,36.214978516373236
50,500,-431574.3949378539,22.130112581944417,36.66151357612835
51,510,-431945.4024301867,22.18413598064657,37.10030623116982
52,520,-432320.75916706474,22.235322660388192,37.53159893981865
53,530,-432700.39133384393,22.28388244643429,37.9556254253439
54,540,-433084.2274906297,22.329781046925966,38.37260796335831
55,550,-433472.19826198905,22.373300776038416,38.78275883869283
56,560,-433864.23639274796,22.41461312107276,39.18628295640665
57,570,-434260.27668160765,22.45389713722248,39.58337744067758
58,580,-434660.25573280983,22.491305439229514,39.974232014784505
59,590,-435064.1122220243,22.526736770663327,40.35902712781972
60,600,-435471.7863180022,22.560177071689438,40.73793315232106
61,610,-435883.22012635326,22.59202164007729,41.11111513316501
62,620,-436298.3570212424,22.62282362242395,41.47873776439883
63,630,-436717.14247110195,22.65203292499368,41.84095792947337
64,640,-437139.52309456153,22.679678151104554,42.19792095411613
65,650,-437565.4470589776,22.70597285022072,42.549767269288715
66,660,-437994.8639667251,22.731160449225033,42.89663435988477
67,670,-438427.72455322265,22.755253699944344,43.23865544698273
68,680,-438863.98129976704,22.778011750493945,43.575956153620055
69,690,-439303.5872735572,22.800057916017302,43.90865934512403
70,700,-439746.4974632504,22.821105237992118,44.23688505066675
71,710,-440192.6674187706,22.841155469117705,44.560746152752834
72,720,-440642.05425829836,22.859966624644585,44.88034912850853
73,730,-441094.61582058633,22.87780692444664,45.19579620443692
74,740,-441550.31103480444,22.89608813179641,45.50719681032642
75,750,-442009.1000070182,22.91375798271469,45.814658495065665
76,760,-442470.94407516555,22.92908222879643,46.118266106806544
77,770,-442935.80486437416,22.942929804735304,46.41809539566311
78,780,-443403.6450535418,22.957627371084527,46.71423973734999
79,790,-443874.4281268235,22.972697796292778,47.00680083686529
80,800,-444348.11917415966,22.987599463434947,47.295870155007286
81,810,-444824.6831349925,23.000940617166634,47.581523766574534
82,820,-445304.0870945092,23.011395105021016,47.86381826628203
83,830,-445786.29663235514,23.021982468821925,48.14281829244719
84,840,-446271.2800856417,23.03459307969321,48.41861560691905
85,850,-446759.00506102806,23.04682094643061,48.69129581499146
86,860,-447249.4419306217,23.056967713718585,48.96091748784092
87,870,-447742.5590524993,23.066934848309153,49.22753821679362
88,880,-448238.3279466313,23.076657458068865,49.4912241797967
89,890,-448736.7185312571,23.086476383577974,49.752040857243266
90,900,-449237.7033523946,23.095319779691508,50.01004749487838
91,910,-449741.253954457,23.10392218699986,50.265299454388874
92,920,-450247.3433447266,23.111884592782204,50.517852150229004
93,930,-450755.94494784897,23.11871603862389,50.767754390918704
94,940,-451267.03198253375,23.126383363312925,51.0150612406338
95,950,-451780.579475021,23.137390080650153,51.25984965536481
96,960,-452296.56163453805,23.145075439056313,51.50217266054315
97,970,-452814.95606117434,23.145613330954802,51.74202721366601
98,980,-453335.7350679753,23.152940375194746,51.979461745689335
99,990,-453858.8772301446,23.16380185101894,52.21457789073902
100,1000,-454384.3586811575,23.169643031724263,52.44741500413511
101,1010,-454912.1575109738,23.174797250439372,52.67798993835531
102,1020,-455442.25015155243,23.17946560998098,52.906341488838365
103,1030,-455974.61592932796,23.1816996340044,53.132498842755005
104,1040,-456509.23160846106,23.188163255318216,53.35651291936229
105,1050,-457046.07694948174,23.196764051805,53.578455254673464
106,1060,-457585.13158969866,23.2019411660351,53.79835915458025
107,1070,-458126.37483213143,23.206678271800275,54.0162446951188
108,1080,-458669.7870204329,23.20927472162883,54.23213746288311
109,1090,-459215.3481085276,23.212409130153382,54.446066749780584
110,1100,-459763.0384788418,23.21806873720213,54.65808236682278
111,1110,-460312.8397002009,23.22053523824312,54.868216048478644
112,1120,-460864.7328713369,23.223332306859163,55.07648864471194
