,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-362038.26309326955,-0.0,0.0
1,10,-362038.4049485624,0.17912950571189867,0.08956475285594934
2,20,-362040.150439491,0.8151354951725807,0.38291337950504384
3,30,-362045.85383937653,1.9987427668253075,0.9198210477690736
4,40,-362058.34049561585,3.5652016045991335,1.69859504281485
5,50,-362079.95263374835,5.2238320175747495,2.6666284451472166
6,60,-362112.1825677867,6.790174512262455,3.754859522926563
7,70,-362155.8420842608,8.205302333616418,4.906800422778178
8,80,-362211.29247003933,9.468478222598787,6.084673335520346
9,90,-362278.6189766796,10.598721029482846,7.265271059404039
10,100,-362357.74476340495,11.616696672848779,8.434923728017747
11,110,-362448.5012958961,12.539411956421095,9.5857318324066
12,120,-362550.66384346195,13.381051691947505,10.713248923650825
13,130,-362663.9814767723,14.15145526281704,11.815079485026217
14,140,-362788.1864291588,14.858181406563373,12.890015561852488
15,150,-362923.0045969187,,
16,160,-363068.1609617315,,
17,170,,,
18,180,,,
19,190,,,
20,200,,,
21,210,,,
22,220,,,
23,230,-364351.5916608455,,
24,240,-364570.1845673556,,
25,250,,,
26,260,,,
27,270,,,
28,280,,,
29,290,,,
30,300,,,
31,310,,,
32,320,,,
33,330,,,
34,340,,,
35,350,,,
36,360,,,
37,370,,,
38,380,,,
39,390,,,
40,400,,,
41,410,,,
42,420,,,
43,430,,,
44,440,,,
45,450,,,
46,460,,,
47,470,,,
48,480,,,
49,490,,,
50,500,,,
51,510,,,
52,520,,,
53,530,,,
54,540,,,
55,550,,,
56,560,,,
57,570,,,
58,580,,,
59,590,,,
60,600,,,
61,610,,,
62,620,,,
63,630,,,
64,640,,,
65,650,,,
66,660,,,
67,670,,,
68,680,,,
69,690,,,
70,700,,,
71,710,,,
72,720,,,
73,730,,,
74,740,,,
75,750,,,
76,760,,,
77,770,,,
78,780,,,
79,790,,,
80,800,,,
81,810,,,
82,820,,,
83,830,,,
84,840,,,
85,850,,,
86,860,,,
87,870,-390850.1523088901,,
88,880,-391378.20392073557,,
89,890,-391914.8555458047,59.43347793485869,
90,900,-392457.9571647033,48.02099733192868,
91,910,-393006.2704581957,41.27998274608114,
92,920,-393559.05307415186,37.01639143505024,
93,930,-394115.8304179476,34.07261998974129,
94,940,-394676.24306683306,31.806757625640536,
95,950,-395240.0452680177,30.29016181602499,
96,960,-395806.96784999326,29.37951009990661,
97,970,-396377.01387043134,28.283471601235146,
98,980,-396949.9340956951,27.395296628645156,
99,990,-397525.64576010325,26.996584925122583,
100,1000,-398104.0820951229,26.51250854891245,
101,1010,-398685.185360856,26.062830315207176,
102,1020,-399268.83509797027,24.06527962777487,
103,1030,-399855.0468746049,-12.342751195457822,
104,1040,-400443.02546537755,-46.19372413884841,
105,1050,-401020.11508691864,-10.963852761051385,
106,1060,-401599.44901580835,23.57239264891541,
107,1070,-402181.00659341866,23.57886344140417,
108,1080,-402764.7678087482,23.584196293540145,
