,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-523990.5587154656,-0.0,0.0
1,10,-523990.81105193455,0.1456868107430637,0.07284340537153185
2,20,-523992.48730001465,0.6247669627657161,0.3018785514344927
3,30,-523997.1431973022,1.496383445993706,0.7074675331248728
4,40,-524006.911223819,2.628959668730385,1.285484732715122
5,50,-524023.42712194973,3.7791408305347427,1.9920187743598943
6,60,-524047.6247443107,4.8295299806603005,2.7723936891350602
7,70,-524079.94417324156,5.765811098432461,3.5866981707447847
8,80,-524120.5351313401,6.6134031519410215,4.411879517629131
9,90,-524169.4087165244,7.403444681498514,5.236519696930918
10,100,-524226.5125341292,8.16002466379723,6.055823412426252
11,110,-524291.7774583917,8.897172238516212,6.8682415655486695
12,120,-524365.1300355735,9.621788858994838,7.6735663546060096
13,130,-524446.4995538536,10.335802260527275,8.472005079904921
14,140,-524535.8201665478,11.03626740904875,9.263688343545073
15,150,-524633.0241178095,11.718599701955096,10.04846074107627
16,160,-524738.0424901193,12.379567620437584,10.825942219280115
17,170,-524850.7982809705,13.016320445956074,11.595636661711616
18,180,-524971.213732742,13.625599426240663,12.356958488955572
19,190,-525099.199080475,14.20671402517764,13.109308257306113
20,200,-525234.6640852008,14.757797786267481,13.852114097362211
21,210,-525377.5087516115,15.27932223428508,14.584852428549496
22,220,-525527.630033232,15.772007705835849,15.30710053566727
23,230,-525684.9218936703,16.23373024761675,16.018462435550465
24,240,-525849.2723589103,16.66846438329665,16.718629289498494
25,250,-526020.5676100729,17.077369028047553,17.40743634471146
26,260,-526198.6954585607,17.459287016448798,18.084739244819502
27,270,-526383.5371169203,17.81932949862966,18.750482347674552
28,280,-526574.9789997749,18.156532842083834,19.404693731734007
29,290,-526772.9056304324,18.471097615800673,20.04738473275793
30,300,-526977.2004450492,18.768248817039463,20.678656079981014
31,310,-527187.7515199663,19.047457730851633,21.2986772871067
32,320,-527404.4462220796,19.307766104768916,21.907578192668733
33,330,-527627.1747743142,19.552391445846297,22.505510393295843
34,340,-527855.8267067409,19.78361051613466,23.092694197302624
35,350,-528090.2978970812,20.000018622580697,23.669344197820465
36,360,-528330.4820273035,20.203237791883332,24.235659274458886
37,370,-528576.2781839884,20.396712689750697,24.791891051910355
38,380,-528827.5853898572,20.57983684770878,25.338309631418092
