,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-481616.7127239945,-0.0,0.0
1,10,-481616.7872490003,0.08898372913390631,0.04449186456695316
2,20,-481617.5173645075,0.4882002381025814,0.2110337886595517
3,30,-481620.49564817717,1.347998832994199,0.5577503203508969
4,40,-481628.0860097825,2.5250047223002188,1.098042382804124
5,50,-481642.1773651273,3.7517445172561557,1.788842424817267
6,60,-481663.90470228053,4.899330653363723,2.572294430989859
7,70,-481693.8730382155,5.954122184451263,3.405866427183355
8,80,-481732.3855991343,6.939799770072568,4.264898354559409
9,90,-481779.5922666434,7.881840636694686,5.136515875560871
10,100,-481835.56549483846,8.797066963554242,6.01424925911051
11,110,-481900.3418979011,9.691493664275916,6.894625046573491
12,120,-481973.9336583968,10.564034496713436,7.7753155898884865
13,130,-482056.3333243016,11.410994856822064,8.654368111488292
14,140,-482147.51527027757,12.227004318419487,9.52993125471621
15,150,-482247.4355041077,13.006988310626184,10.400176257394921
16,160,-482356.03118021094,13.747701248084198,11.263358198418427
17,170,-482473.22298607545,14.447100223872997,12.11788857488791
18,180,-482598.9163432645,15.103775829792726,12.962352615960118
19,190,-482733.00364504056,15.717922147958589,13.795531474774908
20,200,-482875.3654526065,16.291208260168784,14.616441211488564
21,210,-483025.87466642243,16.82454595271412,15.424305845438358
22,220,-483184.39697846887,17.31963505698078,16.218518342360767
23,230,-483350.79244199995,17.77939286902108,16.998654952468495
24,240,-483524.91874988936,18.205665182427012,17.764448184399953
25,250,-483706.63090082793,18.60124411228754,18.515757757946268
26,260,-483895.7832966139,18.968327679144586,19.252558172483262
27,270,-484092.2313502356,19.30821944418858,19.974893324111328
28,280,-484295.82988592173,19.62368042624439,20.682875808202517
29,290,-484506.4365691902,19.916926510579643,21.37669395762205
30,300,-484723.9103044099,20.18964961137682,22.05658340247683
31,310,-484948.113410918,20.44231968740496,22.722792396334263
32,320,-485178.9102557133,20.677695385133802,23.375596220394797
33,330,-485416.1674393392,20.898277934502403,24.0153257855527
34,340,-485659.75732624804,21.10280961860266,24.642301795885576
35,350,-485909.55271374166,21.293884256439963,25.25683557797383
36,360,-486165.43123162823,21.472866227407927,25.859268177652844
37,370,-486427.27385586576,21.639814089906565,26.44993235094516
38,380,-486694.9638772611,21.796515603738953,27.02915852902297
39,390,-486968.38939160056,21.94333700986464,27.597279620426704
40,400,-487247.44022352947,22.08126572432228,28.15462027544054
41,410,-487532.01091401215,22.210537608520784,28.701496311732626
42,420,-487821.99783552217,22.332140215829728,29.238215338563897
