,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-455581.12136156287,-0.0,0.0
1,10,-455581.2951882749,0.12198564264253944,0.06099282132126972
2,20,-455582.6136094031,0.5443611325405072,0.2580759257776662
3,30,-455586.5222674046,1.365445578035724,0.6217404719187469
4,40,-455594.9930798941,2.5544818795111492,1.1686249698635947
5,50,-455609.9552875748,3.938526605903462,1.8817878653928346
6,60,-455632.91736918024,5.349561644592906,2.7214373296992562
7,70,-455664.8965205922,6.690574582546834,3.645132317882963
8,80,-455706.50540276367,7.926503525860607,4.618436972716882
9,90,-455758.06960836705,9.05625970108376,5.616968982032268
10,100,-455819.7259539764,10.09192462678766,6.624690752320749
11,110,-455891.4927392578,11.047430551215074,7.631442917806272
12,120,-455973.31420369627,11.934371399640806,8.630864326937445
13,130,-456065.08834488026,12.761279900818781,9.618948259646277
14,140,-456166.68369141495,13.534064878005294,10.593126177298837
15,150,-456277.9494271206,14.256913111195896,11.55171607426746
16,160,-456398.7219359279,14.932952542812572,12.493601278270216
17,170,-456528.82894432417,15.564784563051944,13.418043826499343
18,180,-456668.09256179794,16.154825232509744,14.32457675311307
19,190,-456816.331484029,16.705399312508217,15.212937669842358
20,200,-456973.36279929575,17.21879816503499,16.08302339535003
21,210,-457139.0032854444,17.69730144392964,16.934857669569467
22,220,-457313.0706331236,18.143170576356344,17.76856677548931
23,230,-457495.3842324673,18.558661867745098,18.58436073235353
24,240,-457685.7660498176,18.945949711895082,19.382517189055946
25,250,-457884.0411131732,19.307030536911054,20.163365085458647
26,260,-458090.03804936475,19.643835197205753,20.927271757681595
27,270,-458303.58924273815,19.95831661767148,21.674636275049124
28,280,-458524.5313338307,20.252186996181273,22.40588092729231
29,290,-458752.70524877374,20.527075438831567,23.121442217425646
30,300,-458987.9563140054,20.78436674833938,23.821763423670927
31,310,-459230.13446231117,21.025366946434907,24.50728835785994
32,320,-459479.09378317796,21.251524023199465,25.178462242439124
33,330,-459734.6931815859,21.46393783956884,25.83572848468902
34,340,-459996.7956573795,21.66372051014619,26.479523789225638
35,350,-460265.2687952117,21.851710586852278,27.110275208472736
36,360,-460539.98426159297,22.028804804768917,27.728398124859083
37,370,-460820.81779236527,22.196170772732902,28.33430200083312
38,380,-461107.6493155895,22.354144866595757,28.928383739605486
39,390,-461400.3626498137,22.503165492600253,29.511019346392274
40,400,-461698.845048393,22.644459400849826,30.082577210602906
41,410,-462002.98767699813,22.778371524612872,30.64341797170637
42,420,-462312.68524059735,22.905203092948128,31.193883979500974
43,430,-462627.83550567,23.02608610205781,31.73431015593597
44,440,-462948.33991193783,23.14070943460095,32.265017950380575
45,450,-463274.1029493205,23.249090255623805,32.786303782654436
46,460,-463605.0315918552,23.353264411937595,33.29846683828146
47,470,-463941.03625097603,23.452703414087658,33.801803513676724
48,480,-464282.0304582178,23.546336987405084,34.29657470212624
49,490,-464627.929300218,23.63635702721062,34.783036362349236
50,500,-464978.65127206984,23.7227151560365,35.261450830513795
51,510,-465334.1173347883,23.804178291741227,35.73205227905201
52,520,-465694.2502580467,23.882893755892255,36.195069785221136
53,530,-466058.97531311685,23.95880783522585,36.650739483423976
54,540,-466428.2207007589,24.030190477240716,37.099267736113696
55,550,-466801.9154105663,24.098797726954295,37.5408494791278
56,560,-467179.99128456536,24.165640547743692,37.97569410621145
57,570,-467562.38190636266,24.22894302990737,38.403993341940804
58,580,-467949.0230401916,24.28959075066369,38.82592095363506
59,590,-468339.8511691975,24.348350608808687,39.24165593165962
60,600,-468734.8062377149,24.404073356796374,39.65136516394486
61,610,-469133.82778837736,24.458048589427285,40.05520825002822
62,620,-469536.858817476,24.510304049105528,40.45334780046978
63,630,-469943.842472206,24.560223997793308,40.845933955482174
64,640,-470354.7244966237,24.607367905322462,41.23310142992341
65,650,-470769.4509490491,24.653713101317223,41.61499043861695
66,660,-471187.96978071216,24.69838985343813,41.99174339959136
67,670,-471610.23094164685,24.740198758177623,42.36348076257418
68,680,-472036.18378592393,24.78161149953385,42.73032684313002
69,690,-472465.78120215994,24.821426818959253,43.09240998647583
70,700,-472898.97520966484,24.86031537859521,43.4498490794831
71,710,-473335.72069561156,24.89609103093244,43.80274734548366
72,720,-473775.9725279078,24.930581247224524,44.15120096664759
73,730,-474219.68615584116,24.966371061111623,44.49533254460111
74,740,-474666.8201690659,24.99797561170703,44.83524032673522
