,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-406369.33430726564,-0.0,0.0
1,10,-406369.7661150498,0.29509769274882275,0.14754884637441137
2,20,-406373.35473681305,1.0840019722149008,0.5660981858025479
3,30,-406382.433638328,2.2374931260870654,1.210014199870784
4,40,-406399.05520580476,3.651910601987038,2.0394185461336747
5,50,-406424.93440328736,5.169968896829232,3.0129042610649774
6,60,-406461.27478081634,6.653672902390826,4.084373892613803
7,70,-406508.7949194214,8.034467493688863,5.212737169743195
8,80,-406567.8521751772,9.295899481012018,6.367621422569936
9,90,-406638.56667837646,10.444702321864314,7.52887638023676
10,100,-406720.9090669431,11.49332347637392,8.68380379415903
11,110,-406814.75933653984,12.45281112659141,9.824506837368244
12,120,-406919.9392526145,13.332206834253157,10.946052324852644
13,130,-407036.23494425445,14.138821666697904,12.04536177628106
14,140,-407163.4101277334,14.878453331731718,13.120535942891728
15,150,-407301.21461863583,15.556480507555538,14.170458626419713
16,160,-407449.39086951443,16.177673609857464,15.194560276979608
17,170,-407607.67824103736,16.746631536893258,16.192660563666866
18,180,-407775.8157953201,17.267785677153714,17.16486926330035
19,190,-407953.5457023492,17.74512580651643,18.111506971462948
20,200,-408140.6135781861,18.182533088460353,19.033047293582783
21,210,-408336.77132325375,18.583415379682265,19.93007289173911
22,220,-408541.776427229,18.951450445488437,20.803249945535935
23,230,-408755.39392583387,19.289643641120357,21.653304807542735
24,240,-408977.39645890007,19.60014324121873,22.480981204222914
25,250,-409207.56373474636,19.8860317029903,23.28703815580811
26,260,-409445.6833959732,20.149830684115305,24.072255533793207
27,270,-409691.55119438365,20.39311566781981,24.83740256786331
28,280,-409944.9700725603,20.61785478016248,25.58322883622531
29,290,-410205.7506772325,20.825952348626743,26.310472958384338
30,300,-410473.7108274048,21.018969837998114,27.019857266292814
31,310,-410748.67561159673,21.19793733024418,27.712075645263386
32,320,-411030.47687536664,21.363969707814988,28.387789886951943
33,330,-411318.95272316126,21.51873304965843,29.04764332347986
34,340,-411613.94788546325,21.663293195565387,29.692262574434427
35,350,-411915.31314751325,21.7979987531508,30.32224039773355
36,360,-412222.90512284875,21.92377406353475,30.93813724191496
37,370,-412536.5855704403,22.041753263305846,31.54049563449371
38,380,-412856.22210919374,22.15237167931342,32.12983573980673
39,390,-413181.6869158141,22.256192830810296,32.706650120057745
40,400,-413512.85738151695,22.353510494402116,33.271404806760984
41,410,-413849.6151256298,22.4452960277049,33.824546810230096
42,420,-414191.84616433457,22.532160707729084,34.366509940944525
43,430,-414539.44118522864,22.613422133747402,34.89769671836693
44,440,-414892.2941478262,22.69033491168514,35.41848820226951
45,450,-415250.30298634723,22.763757036118477,35.92926355090967
46,460,-415613.3697085103,22.832823638716945,36.430377050282544
47,470,-415981.3992381646,22.89812815307662,36.92215702393223
48,480,-416354.29989844543,22.960197351733257,37.40492285435757
49,490,-416731.9832586229,23.019230534197483,37.87898168426327
50,500,-417114.3635861737,23.075853608170327,38.34463032783679
51,510,-417501.3584876805,23.129479061716047,38.80214846256277
52,520,-417892.8879567885,23.180210454977313,39.25179470019721
53,530,-418288.87448462966,23.228992149910482,39.69382277456389
54,540,-418689.2432585225,23.275465472685717,40.12847777913194
55,550,-419093.92179640895,23.320040439022822,40.55599171595095
56,560,-419502.8396457918,23.362995958013926,40.97659026177498
57,570,-419915.92913759843,23.403658023332415,41.39048368579024
58,580,-420333.12388731685,23.442788095358992,41.797871932431
59,590,-420754.3600984534,23.480379216080557,42.19895119779612
60,600,-421179.57556890766,23.516407245624578,42.593907522719384
61,610,-421608.70996047184,23.551271101269144,42.98292078884769
62,620,-422041.7048553289,23.584691286904942,43.36616311787729
63,630,-422478.5032789501,23.61682423861789,43.74379735416369
64,640,-422919.05007161264,23.648027143534136,44.11598267922746
65,650,-423363.2914064688,23.678016029502125,44.48287147612864
66,660,-423811.1753048611,23.707392455264973,44.8446115189654
67,670,-424262.65062077483,23.735698919949797,45.20134505845199
