,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-513119.4662691011,-0.0,0.0
1,10,-513119.4951483944,0.023170919812400825,0.011585459906200413
2,20,-513119.7181166017,0.12833447937155143,0.05525453965528868
3,30,-513120.47974377347,0.4173117452388396,0.15689011703798314
4,40,-513122.53665368975,0.9834400802152232,0.3493720846046926
5,50,-513127.02849575575,1.8172517455750492,0.6540272691891005
6,60,-513135.18959157995,2.823761869440204,1.0710659328666225
7,70,-513148.1152617026,3.898348397364317,1.5848328789412336
8,80,-513166.66760859976,4.9685811892501075,2.1738226602239594
9,90,-513191.47830420587,5.997381260986731,2.8175468323846875
10,100,-513222.9885315658,6.97227321928949,3.4993483411817583
11,110,-513261.4963745357,7.893954167841001,4.20677810068446
12,120,-513307.19854740903,8.767534279846586,4.930908127549628
13,130,-513360.21973274864,9.598669815335597,5.665401664158708
14,140,-513420.6336775184,10.391992578716602,6.405723864537867
15,150,-513488.4774596241,11.15030043576553,7.1485431378270725
16,160,-513563.76021499553,11.875187006150377,7.891319412961457
17,170,-513646.469320995,12.567546702876284,8.632052733458842
18,180,-513736.57471998804,13.227825486616345,9.36912605686448
19,190,-513834.03188049025,13.856343488616403,10.10120627183642
20,200,-513938.7843927286,14.453276982589164,10.827178814522632
21,210,-514050.76568943524,15.01927993815771,11.546112642376832
22,220,-514169.9006194343,15.555171015756777,12.257241159660774
23,230,-514296.1076506434,16.061674399413448,12.959934608425105
24,240,-514429.2989752596,16.540042201720652,13.653685655730806
25,250,-514569.3829586331,16.991144236853884,14.33809275300373
26,260,-514716.26406808774,17.41636881567247,15.01284580727297
27,270,-514869.84409740183,17.81741233940554,15.677728057164495
28,280,-515030.02357447846,18.19493420839425,16.33258967695947
29,290,-515196.7014025993,18.550560191149998,16.97733646107008
30,300,-515369.775844024,18.885883079376082,17.61193842373468
31,310,-515549.14568737074,19.201583003082522,18.236406093386904
32,320,-515734.70929100877,19.499389098444965,18.85078699971273
33,330,-515926.3662082752,19.780300741066448,19.45516648075573
34,340,-516124.01697436656,20.044960691884626,20.04964684083971
35,350,-516327.56285129004,20.295391326471872,20.634359836350637
36,360,-516536.9069644207,20.53200251699886,21.209460699782362
37,370,-516751.9542272494,20.755104684960653,21.775101789041948
38,380,-516972.6102906048,20.96635016650258,22.331449205183162
39,390,-517198.7835542196,21.16678936525428,22.878691328116112
40,400,-517430.3834590695,21.356947490188745,23.41702226616981
41,410,-517667.32240874384,21.53661678419735,23.946625777897136
42,420,-517909.5135750243,21.706935094416213,24.46768333997825
43,430,-518156.8725967161,21.86931137634818,24.980393552289026
44,440,-518409.31696249766,22.02410541867721,25.4849617958309
45,450,-518666.7663301547,22.17087677784736,25.981578796352554
46,460,-518929.142263988,22.31001503200681,26.470422035053346
47,470,-519196.3675096181,22.44393114267727,26.951687423366824
48,480,-519468.3675785496,22.571552889025753,27.42557299088294
49,490,-519745.06990707526,22.69222138608746,27.892246612926833
50,500,-520026.40252051875,22.808226018460154,28.351882152561306
51,510,-520312.2965668884,22.919176954522918,28.804662226025542
52,520,-520602.68404330267,23.025447918288428,29.250758576981028
53,530,-520897.4990517639,23.12735738637275,29.69033973150945
54,540,-521196.67744910065,23.224236183441807,30.12356157228278
55,550,-521500.1561459876,23.318227188225098,30.550584679732857
56,560,-521807.8739928123,23.408422244968804,30.97157233330654
57,570,-522119.7719508937,23.494218050563337,31.38666573537339
58,580,-522435.7908381275,23.577183539170115,31.7960069496301
59,590,-522755.87492636155,23.657016846252308,32.199741725476635
60,600,-523079.9678100214,23.73438264930151,32.598011441166456
61,610,-523408.0165573184,23.808212266862522,32.990947244119894
62,620,-523739.96770368156,23.87929457552673,33.378671481250066
63,630,-524075.7701307453,23.948690456434225,33.76131540938078
64,640,-524415.373593842,24.0147355858237,34.13899950302148
65,650,-524758.7292219223,24.07844095992191,34.51183340140051
66,660,-525105.7886937436,24.14150500461101,34.879942367444166
67,670,-525456.5058152286,24.202451040595722,35.24344786314614
68,680,-525810.8350087996,24.259357413009226,35.60244079745607
69,690,-526168.7316330366,24.314819111488763,35.9570127668805
70,700,-526530.1515340984,24.3704935159478,36.307282061953444
71,710,-526895.0529981557,24.42317068704584,36.65335117540671
72,720,-527263.3940556921,24.474684230494262,36.995308420108636
73,730,-527635.1338960562,24.525915447779543,37.33325722728769
74,740,-528010.2336240805,24.572386518702842,37.66727258817264
75,750,-528388.6536517363,24.617962099801094,37.99742197414453
76,760,-528770.3555635602,24.666127974493325,38.323818879203465
77,770,-529155.302987203,24.710992474251434,38.646557027022936
78,780,-529543.4596756579,24.751620050665224,38.96568224820949
79,790,-529934.7892018771,24.79370318630821,39.28126865136874
80,800,-530329.2569262432,24.836342639522684,39.59341796493099
81,810,-530726.8291903164,24.876132227887865,39.90220147820509
82,820,-531127.4723481482,24.914560546632856,40.207675902095794
83,830,-531531.1536884978,24.95277348817035,40.50991186678875
84,840,-531937.8412142224,24.98925457993755,40.808975342343906
85,850,-532347.5036196857,25.023761318283686,41.10491950130963
86,860,-532760.1097253346,25.06033143541414,41.39781769866822
87,870,-533175.6294385527,25.096100736581015,41.687747764040246
88,880,-533594.0342045563,25.127363359579135,41.9747473380412
89,890,-534015.2936945399,25.160529772672643,42.25886773889652
90,900,-534439.3802125778,25.19280861064889,42.54017907759117
91,910,-534866.2660537958,25.222507226702874,42.81872432997043
92,920,-535295.9230244262,25.25493041005697,43.09456459108915
93,930,-535728.3252294151,25.28568790880672,43.367764206315044
94,940,-536163.4462408008,25.313236708234562,43.63835364107217
95,950,-536601.2599697263,25.34164619375945,43.906375602410115
96,960,-537041.741047264,25.370520863402703,44.171890817137324
97,970,-537484.864876856,25.397127995808635,44.43494197754045
98,980,-537930.6069040869,25.42304832955727,44.69556443869952
99,990,-538378.9428264581,25.45028310318331,44.953810652301776
100,1000,-538829.84951533,25.47734886873485,45.20973417999486
101,1010,-539283.3037187282,25.503249407716794,45.46337463427773
102,1020,-539739.2830661207,25.52595864788178,45.714755592490846
103,1030,-540197.7649077935,25.54977353430564,45.96391086763034
104,1040,-540658.7267967733,25.57433245859582,46.21089241593145
105,1050,-541122.148339008,25.597756372430087,46.45574001533095
106,1060,-541588.0068091407,25.62102513870923,46.69848798545863
107,1070,-542056.2832964596,25.641320780210663,46.93916113360464
108,1080,-542526.9551328812,25.664650381647363,47.1777982154279
109,1090,-543000.0037943898,25.688286876867487,47.41445221960311
110,1100,-543475.408882689,25.707507500512214,47.649140704757876
111,1110,-543953.1511865867,25.725825867679905,47.88187511008145
112,1120,-544433.2108170424,25.747184357373044,48.11269999589422
113,1130,-544915.5691466639,25.770955304568393,48.34167355888785
114,1140,-545400.2081743806,25.790021755965427,48.5688184650804
115,1150,-545887.1095687958,25.807295533799497,48.794138228344664
116,1160,-546376.2546621595,25.827317271603135,49.0176685045124
117,1170,-546867.6264415481,25.84323409697964,49.2394343192791
118,1180,-547361.2071214113,25.858416779903592,49.459445053260424
119,1190,-547856.9786080088,25.88154727050278,49.67776061282202
120,1200,-548354.9251456733,25.90189277753268,49.894431162996625
121,1210,-548855.0304542243,25.916928535539945,50.109450462250976
122,1220,-549357.2771341945,25.934361597127108,50.322833575466944
123,1230,-549861.649880121,25.951685561559774,50.53461659942259
