,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-474626.36793949397,-0.0,0.0
1,10,-474626.3844557271,0.04337081250996562,0.02168540625498281
2,20,-474626.6505806216,0.28242516370955856,0.11397710343735526
3,30,-474628.1523206938,0.8814779731153977,0.33149638988397784
4,40,-474632.58172502345,1.836267457559006,0.7079428175980866
5,50,-474641.6732253021,3.009947996244591,1.2384710494174214
6,60,-474656.8755440009,4.267882857407677,1.8951227538258535
7,70,-474679.2737138803,5.519431234577496,2.6450247467939336
8,80,-474709.621915361,6.7170015607378435,3.459082432524155
9,90,-474748.4138095132,7.842958271347742,4.314614934034034
10,100,-474795.95329452486,8.895775092576516,5.195123592626623
11,110,-474852.41149746324,9.880323133504135,6.08901794423291
12,120,-474917.867774059,10.802726630866523,6.988237150829809
13,130,-474992.33763317147,11.668307868250126,7.8871318323050215
14,140,-475075.7913423627,12.481118897220588,8.781667150490103
15,150,-475168.16625462816,13.244216387924093,9.66889527641688
16,160,-475269.37525037274,13.960050797089934,10.546620743423409
17,170,-475379.31278645265,14.630726886604686,11.413187827497314
18,180,-475497.8592853755,15.258261449506977,12.267343919981796
19,190,-475624.8845580103,15.844702761963699,13.108150377958374
20,200,-475760.25056804385,16.392127019818865,13.934919415610786
21,210,-475903.81359854055,16.902676738442096,14.74716727535488
22,220,-476055.4261047518,17.378535862010896,15.544578683740113
23,230,-476214.9382138107,17.821880534007526,16.326977593398627
24,240,-476382.1989793907,18.234858884266586,17.094302672342746
25,250,-476557.05740392255,18.619554040887998,17.846586646582725
26,260,-476739.3632855034,18.977979935964704,18.58393888001519
27,270,-476928.96788049984,19.31205718025307,19.306530721153102
28,280,-477125.72448382527,19.623577971663316,20.01458244488458
29,290,-477329.488812159,19.914235420149602,20.70835236664716
30,300,-477540.1193649638,20.185648443584796,21.388128727261208
31,310,-477757.4776547425,20.4392796340544,22.05422200187022
32,320,-477981.4284440271,20.676460530702002,22.706957498211704
33,330,-478211.8397613699,20.89848043056554,23.346670836891278
34,340,-478448.58309875376,21.106486655367213,23.973703989416386
35,350,-478691.53335942834,21.301563278648246,24.58840154589197
36,360,-478940.56891425146,21.484738652670032,25.191108740683553
37,370,-479195.5716012338,21.65679618647846,25.78216729656269
