,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,,,0.0
1,10,,,
2,20,,,
3,30,,,
4,40,,,
5,50,,,
6,60,,,
7,70,,,
8,80,,,
9,90,,,
10,100,,,
11,110,,,
12,120,,,
13,130,,,
14,140,,,
15,150,,,
16,160,,,
17,170,,,
18,180,,,
19,190,,,
20,200,,,
21,210,,,
22,220,,,
23,230,,,
24,240,,,
25,250,,,
26,260,,,
27,270,,,
28,280,,,
29,290,,,
30,300,,,
31,310,,,
32,320,,,
33,330,,,
34,340,,,
35,350,,,
36,360,,,
37,370,,,
38,380,,,
39,390,,,
40,400,,,
41,410,,,
42,420,,,
43,430,,,
44,440,,,
45,450,,,
46,460,,,
47,470,,,
48,480,,,
49,490,,,
50,500,,,
51,510,,,
52,520,,,
53,530,,,
54,540,,,
55,550,,,
56,560,,,
57,570,,,
58,580,,,
59,590,,,
60,600,,,
61,610,,,
62,620,,,
63,630,,,
64,640,,,
65,650,,,
66,660,,,
67,670,,,
68,680,,,
69,690,,,
70,700,,,
71,710,,,
72,720,,,
73,730,,,
74,740,,,
75,750,,,
76,760,,,
77,770,,,
78,780,,,
79,790,,,
80,800,,,
81,810,,,
82,820,,,
83,830,,,
84,840,,,
85,850,,,
86,860,,,
87,870,,,
88,880,,,
89,890,,,
90,900,,,
91,910,,,
92,920,,,
93,930,,,
94,940,,,
95,950,,,
96,960,,,
97,970,,,
98,980,,,
99,990,,,
100,1000,,,
101,1010,,,
102,1020,,,
103,1030,,,
104,1040,,,
105,1050,,,
106,1060,,,
107,1070,,,
108,1080,,,
109,1090,,,
110,1100,,,
111,1110,,,
112,1120,,,
113,1130,,,
114,1140,,,
115,1150,,,
116,1160,,,
117,1170,,,
118,1180,,,
119,1190,,,
120,1200,,,
121,1210,,,
122,1220,,,
123,1230,,,
124,1240,,,
125,1250,,,
126,1260,,,
127,1270,,,
128,1280,,,
129,1290,,,
130,1300,,,
131,1310,,,
132,1320,,,
133,1330,,,
134,1340,,,
135,1350,,,
136,1360,,,
137,1370,,,
138,1380,,,
139,1390,,,
140,1400,,,
141,1410,,,
142,1420,-478692.5416480196,,
143,1430,-479299.0968101155,,
144,1440,-479907.4010172041,25.098679302585936,
145,1450,-480517.45237748424,25.091496109751255,
146,1460,-481129.2322417504,25.08437097696598,
147,1470,-481742.72973688325,25.0911629374111,
148,1480,-482357.93589670135,25.092998720769643,
149,1490,-482974.8346236122,25.102729996545634,
150,1500,-483593.42144319846,25.096191302145602,
151,1510,-484213.67849825963,25.094761260026797,
152,1520,-484835.59930737613,25.088874038937178,
153,1530,-485459.1699917839,25.08934925458474,
154,1540,-486084.3795068272,25.104267628121306,
155,1550,-486711.22079230286,25.10127938992809,
156,1560,-487339.6802952726,25.09915747023814,
157,1570,-487969.7493423418,25.086957030894812,
158,1580,-488601.41676512064,25.0922733588377,
159,1590,-489234.66947378987,25.110979052996615,
160,1600,-489869.5057092367,25.11524394294213,
161,1610,-490505.90683267266,25.091706605341574,
162,1620,-491143.87346433854,25.075948206160568,
163,1630,-491783.37815592944,25.11787172937731,
164,1640,-492424.43281159,25.100757309643086,
165,1650,-493067.01337408915,25.080877982268923,
166,1660,-493711.1142947707,25.10911955219997,
167,1670,-494356.72880509304,25.103837102741075,
168,1680,-495003.8461682049,25.097550938464224,
169,1690,-495652.45713121135,25.097542686796565,
170,1700,-496302.5536490054,25.101767513842788,
171,1710,-496954.12570411945,25.106142674467023,
172,1720,-497607.1674280445,25.111721639067156,
173,1730,-498261.6670589397,25.105581408291854,
174,1740,-498917.62114234845,25.07554002548933,
175,1750,-499575.01317246706,25.09313226200902,
176,1760,-500233.8393486123,25.12618428301016,
177,1770,-500894.0948590829,25.094326362304855,
178,1780,-501555.7680513041,25.094843059768976,
179,1790,-502218.8475799049,25.10984838463868,
180,1800,-502883.33604457113,25.084710888768313,
181,1810,-503549.2114400307,25.094354589449615,
182,1820,-504216.47841803567,25.114183444041345,
183,1830,-504885.121013878,25.11042601292138,
184,1840,-505555.14039225713,25.086025448120722,
185,1850,-506226.51920543297,25.087005153945938,
186,1860,-506899.2558502717,25.105024082748358,
187,1870,-507573.34161431855,25.107981056134108,
188,1880,-508248.7702381965,25.104911271157277,
189,1890,-508925.5347143391,25.087380093285823,
190,1900,-509603.6260966045,25.09712290148336,
191,1910,-510283.03731279215,25.099023511500214,
192,1920,-510963.7655598339,25.086506871319216,
193,1930,-511645.7962512476,25.097377682602108,
194,1940,-512329.1313786615,25.090150832805023,
195,1950,-513013.7567187564,25.094020300668767,
196,1960,-513699.6704244649,25.113803846592504,
197,1970,-514386.86467760894,25.104784844229904,
