,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-594363.7757812453,-0.0,0.0
1,10,-594364.0687828728,0.1278059438627679,0.06390297193138395
2,20,-594365.7333273445,0.5223421043890994,0.25839146996004275
3,30,-594369.7670238821,1.3359594460576771,0.6116369037335971
4,40,-594378.1377155315,2.678580896742642,1.169119423502707
5,50,-594393.2780575056,4.380637852460495,1.9420058208415867
6,60,-594417.3279126859,6.1871439886686845,2.8956649384766933
7,70,-594451.8341939488,7.9180432366236335,3.976834787767438
8,80,-594497.7657364315,9.486747299716807,5.135331010901426
9,90,-594555.6362917441,10.869392766966484,6.332107870854087
10,100,-594625.6372966756,12.074976787436755,7.539711863946286
11,110,-594707.746801837,13.125753061706204,8.740085842486588
12,120,-594801.8087640695,14.046607181348374,9.921986280877901
13,130,-594907.5873230634,14.860206597368233,11.078807987691835
14,140,-595024.8022554012,15.585405418492153,12.206976017371927
15,150,-595153.1515568971,16.23717060266063,13.30483665954962
16,160,-595292.3254765,16.827138436166564,14.371923755768512
17,170,-595442.0149123379,17.364367928521812,15.40848853567877
18,180,-595601.9165436892,17.855879365786677,16.415201888508456
19,190,-595771.7356040811,18.307231110654552,17.392967777312155
20,200,-595951.1873428024,18.722992493771038,18.342811829410497
21,210,-596139.9978350046,19.10687271468921,19.265812182580706
22,220,-596337.9041269032,19.46197457145315,20.163055327303304
23,230,-596544.6541091942,19.791019631459527,21.035612488405608
24,240,-596760.0063193156,20.096370718209073,21.884526435573935
25,250,-596983.7295479602,20.3800849023537,22.7108025235837
26,260,-597215.6024629251,20.64403328684276,23.515404861762363
27,270,-597455.41312257,20.889888825544013,24.299255294959586
28,280,-597702.9586577452,21.119129973417138,25.063232408979093
29,290,-597958.0446806251,21.333147392069804,25.80817261600314
30,300,-598220.4850382415,21.533161096042033,26.534871520340676
31,310,-598490.1012695658,21.72030867434804,27.24408509787172
32,320,-598766.7223001992,21.89562255386261,27.936531759539502
33,330,-599050.1840632475,22.060005853307686,28.61289337487251
34,340,-599340.3290903493,22.214354412141304,29.273817570332902
35,350,-599637.0062579636,22.3594408607605,29.919919836589543
36,360,-599940.0704151018,22.495963633758947,30.551784359672457
37,370,-600249.3820993777,22.624585744648357,31.16996594422817
38,380,-600564.807255003,22.74589205653748,31.774991642801616
39,390,-600886.2169524076,22.86043887145059,32.367362245811094
40,400,-601213.4871391742,22.968739651725656,32.94755404109165
41,410,-601546.4984094083,23.071225954566064,33.51601970081829
42,420,-601885.1357629972,23.168315898027593,34.07318939939869
43,430,-602229.2883795353,23.260422224996667,34.619472709771074
44,440,-602578.8494495802,23.347892743430535,35.155259698636655
45,450,-602933.7159517321,23.4310350355082,35.68092149535805
46,460,-603293.7884932026,23.510148047917788,36.196811416563285
47,470,-603658.9711106272,23.585528334131265,36.70326637993567
48,480,-604029.1711438233,23.657420319272205,37.200607717489774
49,490,-604404.2990595938,23.726033352460945,37.68914156029642
50,500,-604784.2683113767,23.79160390337347,38.169159980477716
51,510,-605168.9951990523,23.854350142628974,38.64094219738036
52,520,-605558.3987620528,23.914429067913332,39.10475480859459
53,530,-605952.4006327402,23.972006898472394,39.56085225041607
54,540,-606350.9249273965,24.02725393032302,40.00947783232114
55,550,-606753.8981471063,24.080304527000447,40.45086426508642
56,560,-607161.2490586145,24.13130736472101,40.88523422589351
57,570,-607572.9086102193,24.18038908923914,41.31280100358563
58,580,-607988.8098379502,24.227647317125147,41.733768708402934
59,590,-608408.8877674299,24.273198126506717,42.14833280586754
60,600,-608833.0793395735,24.317148881906263,42.55668078208546
61,610,-609261.3233301501,24.359589777165223,42.958992458099964
62,620,-609693.5602737848,24.400606003560824,43.35544030743913
63,630,-610129.7323943635,24.440275681382538,43.74618983002875
64,640,-610569.78353445,24.478678432665674,44.13139994719968
65,650,-611013.6590939302,24.515887817411475,44.51122337489651
66,660,-611461.3059691356,24.55196597767072,44.88580686959322
67,670,-611912.6724936921,24.586974130463204,45.25529149341892
68,680,-612367.7083832016,24.620971428172194,45.61981292960846
69,690,-612826.3646839798,24.654013829116593,45.979501758351404
70,700,-613288.5937216372,24.68614883878026,46.33448366703816
71,710,-613754.3490561973,24.717421754045063,46.684879651981475
72,720,-614223.5854308377,24.747886705538207,47.03080632670608
73,730,-614696.2587364453,24.777582526212843,47.372376120407715
74,740,-615172.3259659858,24.806536724406918,47.70969732438971
75,750,-615651.745174242,24.834799162490473,48.04287438676401
76,760,-616134.4754399038,24.862408303946722,48.37200819019781
77,770,-616620.4768382586,24.88937551972351,48.69719598743832
78,780,-617109.7103918765,24.9157600263948,49.01853171942057
79,790,-617602.1380479997,24.941577730627614,49.33610621674889
80,800,-618097.7226566833,24.966837099986208,49.65000703552651
81,810,-618596.4279046931,24.991604248146235,49.96031892942702
82,820,-619098.2183400401,25.01586930055631,50.26712387987064
83,830,-619603.0592943485,25.039664146012974,50.57050101856585
84,840,-620110.9168864703,25.06304468951403,50.870527158661574
85,850,-620621.757992026,25.085974185043778,51.16727650250978
86,860,-621135.550216086,25.108474723639787,51.460820560746654
87,870,-621652.261854026,25.130637910144287,51.751229018460435
88,880,-622171.8619060382,25.152430257480717,52.038569507520876
89,890,-622694.3200323065,25.173845140749282,52.32290713937109
90,900,-623219.6065188348,25.19494366421707,52.604305144913084
91,910,-623747.6922982907,25.215691715505155,52.882824810837334
92,920,-624278.5488843711,25.236156509071392,53.15852559202176
93,930,-624812.1483848091,25.256352376320997,53.431465457260494
94,940,-625348.4634918678,25.27623955798944,53.70170038074866
95,950,-625887.4674185863,25.295885364713993,53.969284702265576
96,960,-626429.1339459849,25.315296384505928,54.23427144302987
97,970,-626973.4373514643,25.334418918509687,54.49671173327224
98,980,-627520.3524402622,25.353223282459588,54.75665470152453
99,990,-628069.8544674015,25.371883137882175,55.01414870546578
100,1000,-628621.9191889405,25.390378138981617,55.26924142008939
101,1010,-629176.522849253,25.408602160814773,55.52197846999625
102,1020,-629733.6420888745,25.426683768932925,55.77240423591866
103,1030,-630293.2540438415,25.44455720434191,56.02056211061135
104,1040,-630855.3362373452,25.46224531030748,56.26649401950854
105,1050,-631419.8666198686,25.479770083387923,56.510240898915804
106,1060,-631986.8235570892,25.497059814550298,56.75184228747676
107,1070,-632556.185774975,25.514246536628267,56.991336888651134
108,1080,-633127.9324088386,25.531345476745628,57.22876301326033
109,1090,-633702.0429661699,25.54822062349428,57.46415735934862
110,1100,-634278.4973144684,25.564949617371973,57.697555348376056
111,1110,-634857.2756511716,25.58157438169858,57.928991981853336
112,1120,-635438.3585654135,25.598021814227025,58.15850118198723
113,1130,-636021.726921536,25.61441208929496,58.386116171676264
114,1140,-636607.3619670066,25.6307273908169,58.61186974927842
115,1150,-637195.2452404277,25.64683990702898,58.835793219886554
116,1160,-637785.3586062806,25.662779533036684,59.05791664850404
117,1170,-638377.684199287,25.678730302961693,59.27827024121362
118,1180,-638972.2044798764,25.694653360533742,59.49688405473426
119,1190,-639568.9022112413,25.710323451211856,59.71378627368977
120,1200,-640167.7604054589,25.725910252542405,59.92900413553143
121,1210,-640768.7623487255,25.74145022757028,60.1425650572899
122,1220,-641371.8916344588,25.756865248113172,60.35449560947745
123,1230,-641977.1320565328,25.772342508463684,60.564822152578564
124,1240,-642584.4677373106,25.787733528658194,60.77357056901819
125,1250,-643193.8830139363,25.802910299171256,60.980765006701404
126,1260,-643805.3624638813,25.817996083171053,61.186429013307496
127,1270,-644418.8909026356,25.83307597845278,61.39058640225412
128,1280,-645034.4533796847,25.848206374421352,61.59326098194143
129,1290,-645652.0351932179,25.863183144817683,61.794475434001654
130,1300,-646271.6218599802,25.87793117298879,61.9942508344233
131,1310,-646893.199075473,25.892771245789206,62.19260871010193
132,1320,-647516.7527806365,25.907669683755188,62.38957119370753
133,1330,-648142.2691474215,25.92241110902434,62.5851589794882
134,1340,-648769.734510288,25.937085225695427,62.77939182158299
135,1350,-649399.1354332373,25.951731491629815,62.97228951437866
136,1360,-650030.4586534397,25.9663594376062,63.163871595177625
137,1370,-650663.6911209766,25.980854309475788,63.3541567880995
138,1380,-651298.8199611318,25.995365555531848,63.54316353135073
139,1390,-651935.8324596091,26.00992640923029,63.73091052480013
140,1400,-652574.7161573907,26.024217406230083,63.917415044757945
141,1410,-653215.4586691508,26.038549426698996,64.10269396000658
142,1420,-653858.0478443372,26.053123786119375,64.28676559302112
143,1430,-654502.4717012249,26.06746372184073,64.46964692242909
144,1440,-655148.7184393924,26.08155384343138,64.65135285132274
145,1450,-655796.7763315429,26.09577561928038,64.83189923533791
146,1460,-656446.6339105152,26.110172214592087,65.01130306650302
147,1470,-657098.2797965144,26.124520674033974,65.18958037835546
148,1480,-657751.7028534777,26.13861619096673,65.36674542799301
149,1490,-658406.8919745946,26.152597852475747,65.54281195925141
150,1500,-659063.8362873025,26.166723322821994,65.71779476580559
151,1510,-659722.524984313,26.180881134654108,65.89170883626794
152,1520,-660382.9475140135,26.194853695691563,66.06456777754792
153,1530,-661045.0933267822,26.209100300885403,66.2363857140197
154,1540,-661708.952123276,26.223347260180166,66.40717710645549
155,1550,-662374.5137216178,26.2371462108133,66.57695379983197
156,1560,-663041.767991567,26.251363606041053,66.74572874126753
157,1570,-663710.7049928948,26.265441436797623,66.91351562984929
158,1580,-664381.3149787314,26.27875249261784,67.0803241416681
159,1590,-665053.588096385,26.29281052775332,67.24616654493438
160,1600,-665727.5148146282,26.307461844758105,67.41105915731168
161,1610,-666403.0857434042,26.321395226812456,67.57501343901386
162,1620,-667080.2915159861,26.334684490790593,67.73803679285484
163,1630,-667759.1228674984,26.34865265847207,67.90014077116794
164,1640,-668439.5706085763,26.36313083607214,68.06134025796783
165,1650,-669121.6259186254,26.376602663468912,68.2216447558385
166,1660,-669805.2797330777,26.390418279659702,68.38106306650442
167,1670,-670490.5232976708,26.40475612985854,68.53960843426756
168,1680,-671177.347994514,26.41851509423043,68.69729112336353
169,1690,-671865.7451692023,26.43205842260552,68.85411901266198
170,1700,-672555.7063785918,26.44610309562971,69.0101030251055
171,1710,-673247.2231492363,26.460366298488225,69.16525517336996
172,1720,-673940.2873751627,26.473700850468106,69.31958309817564
173,1730,-674634.8906886383,26.48745728848202,69.47309487564489
174,1740,-675331.02504635,26.501664426009185,69.62580242853001
175,1750,-676028.6824956215,26.515504091657682,69.77771521976975
