,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-527264.2817904002,-0.0,0.0
1,10,-527264.6284097163,0.2310724901035428,0.1155362450517714
2,20,-527266.9356437081,1.1543511013267562,0.5196602654352319
3,30,-527274.5645479527,3.0621887855348175,1.3186128383560574
4,40,-527292.6765190426,5.631074170488865,2.5328619072563017
5,50,-527325.3298699963,8.19764802903228,4.0565109814706375
6,60,-527374.728136082,10.40587893705815,5.743432362462045
7,70,-527441.6763762721,12.194786031145485,7.481645085632044
8,80,-527526.1522793684,13.625365682621485,9.204286585877707
9,90,-527627.7073741545,14.78250657949539,10.87712230656907
10,100,-527745.7032510679,15.739347384689612,12.485340041331073
11,110,-527879.438401279,16.549924013353294,14.024576683899793
12,120,-528028.2116123062,17.251548996870397,15.4956604987703
13,130,-528191.3509702703,17.8692997018021,16.901755798068187
14,140,-528368.2251368674,18.420021337171804,18.2468944607288
15,150,-528558.2459998826,18.91527209711784,19.535261435531723
16,160,-528760.8672938205,19.363290890492493,20.77087334576354
17,170,-528975.5817550871,19.77020084133836,21.95745268142491
18,180,-529201.9176779998,20.14082531273596,23.098396546556614
19,190,-529439.4356299184,20.479137837226162,24.19678859628184
20,200,-529687.725451763,20.7884420483024,25.255424327416407
21,210,-529946.4034791437,21.071610521437833,26.27684039103915
22,220,-530215.1101096228,21.331249832292087,27.26334653600643
23,230,-530493.5077293623,21.569629989360692,28.217052668327234
24,240,-530781.2788580868,21.788744513271368,29.139889845455762
25,250,-531078.1243795624,21.99045809036764,30.033631184622934
26,260,-531383.7621807395,22.17642849672703,30.8999101252135
27,270,-531697.9257627071,22.348095285121197,31.740233520387843
28,280,-532020.363085695,22.506796817295253,32.555994222802106
29,290,-532350.8354351631,22.65376450585902,33.348483455477975
30,300,-532689.1165575322,22.790058278013063,34.11889990676427
31,310,-533034.9916793513,22.91661963043439,34.86835710866289
32,320,-533388.2567737402,23.03432460837064,35.59789132793376
33,330,-533748.7177553207,23.14398730903056,36.308469124318805
34,340,-534116.1898957086,23.246321376750736,37.00099326600321
35,350,-534490.4971492405,23.34192144709229,37.67630695398112
36,360,-534871.4716310614,23.43136182037415,38.3351985554924
37,370,-535258.953024814,23.5152098371152,38.97840724223789
38,380,-535652.7882128813,23.593935112445507,39.60662686278229
39,390,-536052.8307488601,23.667882871514358,40.22050777320838
40,400,-536458.9405158722,23.737442830111917,40.82066020437342
41,410,-536870.9832245694,23.803073531694885,41.40765962428268
42,420,-537288.8302616932,23.865021612559183,41.982048408965056
43,430,-537712.3582110412,23.923505551754957,42.544336106228
44,440,-538141.4485995262,23.97890006530794,43.09500390408357
45,450,-538575.9876212821,24.03141653153586,43.63450714406499
46,460,-539015.8659374185,24.08114657691916,44.16327447653166
47,470,-539460.9782906622,24.128454631264255,44.68171175732569
48,480,-539911.2234027691,24.173544468032162,45.19020519976766
49,490,-540366.5038150476,24.216360685107205,45.6891186759196
50,500,-540826.7254885096,24.25718698767021,46.17879626707291
51,510,-541291.7977971351,24.29622282914046,46.659566399980406
52,520,-541761.6333238403,24.33350794288559,47.13174070092356
53,530,-542236.1476402651,24.36917006970907,47.59561456968223
54,540,-542715.259242204,24.40334234582268,48.051469274100974
55,550,-543198.8893098627,24.436121023099986,48.499572702428864
56,560,-543686.9617104535,24.467558807926252,48.940179603683646
57,570,-544179.4027038409,24.497804299876023,49.37353297035734
58,580,-544676.1410064229,24.526868139661218,49.799864508977045
59,590,-545177.1075394329,24.55484235786708,50.21939491181111
60,600,-545682.235383868,24.58186313509941,50.63233565565898
61,610,-546191.4597257761,24.607923742156622,51.03888880808664
62,620,-546704.7176700698,24.633049507200617,51.439246726113204
63,630,-547221.9482555568,24.657321630782278,51.83359337998701
