,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-735003.2041733153,-0.0,0.0
1,10,-735003.3706498998,0.08769651165348477,0.043848255826742386
2,20,-735004.3629563368,0.41342500349273903,0.19105276252666953
3,30,-735007.211463535,1.1130707829172024,0.47992081055272134
4,40,-735013.7902394282,2.1521340258186683,0.9344493609329219
5,50,-735025.8932209424,3.3058934245782443,1.5340554566180797
6,60,-735044.7388627777,4.412269425310661,2.2323339178517925
7,70,-735071.0221257464,5.426302538687013,2.9876160751053247
8,80,-735105.1026156293,6.362144163413905,3.7728431237963376
9,90,-735147.1584736286,7.2466403499653085,4.573068264563335
10,100,-735197.277089298,8.100508917006662,5.380684840967296
11,110,-735255.5021119551,8.934574465744667,6.191827307987841
12,120,-735321.8535986347,9.7517553672893,7.004267469461775
13,130,-735396.3351119752,10.550520770106226,7.816379870154197
14,140,-735478.9359591957,11.327317319001299,8.626716177650087
15,150,-735569.6312528264,12.078088054899133,9.43386615992058
16,160,-735668.3820835253,12.799298841459674,10.2364471838795
17,170,-735775.1356284907,13.488299244883821,11.033139956348169
18,180,-735889.8264549585,14.143340842716873,11.82272521898558
19,190,-736012.3771788488,14.763783103605956,12.604116405939568
20,200,-736142.7004727089,15.349542815412853,13.37637558431452
21,210,-736280.7003778461,15.901048095410816,14.138710537923908
22,220,-736426.2735760901,16.419403980538476,14.89047519343294
23,230,-736579.3112875014,16.905827072187076,15.63116144554806
24,240,-736739.7001412541,17.36189285782168,16.36038552658283
25,250,-736907.323635543,17.789279397184156,17.07787721573113
26,260,-737082.0631945145,18.189543272840055,17.783461712767892
27,270,-737263.7988306201,18.56445065405569,18.477046745084223
28,280,-737452.4101605023,18.915635007596585,19.1586120648717
29,290,-737647.7769155551,19.244683917137433,19.828196156558985
30,300,-737849.7794622153,19.553224590432396,20.485888128189252
31,310,-738058.2993921,19.842651694762775,21.131817973966825
32,320,-738273.2197300488,20.11430847337465,21.766146813133673
33,330,-738494.4252901864,20.36950128361351,22.38906169035763
34,340,-738721.802883474,20.60943753721081,23.000770461467617
35,350,-738955.2414928591,20.83522121017447,23.601496442538334
36,360,-739194.6324340019,21.047902810410584,24.191474443304465
37,370,-739439.8693769148,21.248460121970883,24.770947779781995
38,380,-739690.848543208,21.437678150599822,25.340163845289496
39,390,-739947.4685692105,21.616410883000896,25.899372030656373
40,400,-740209.6306294147,21.785468769841785,26.448823863138387
41,410,-740477.2384393349,21.94549946676708,26.988770265039058
42,420,-740750.1981843913,22.097124168626078,27.51945930932416
43,430,-741028.4185528415,22.240939606333285,28.04113588814944
44,440,-741311.8106195284,22.37749699689448,28.554041203568342
