,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-609860.8152033003,-0.0,0.0
1,10,-609861.0725513358,0.2128088956291322,0.1064044478145661
2,20,-609863.356785959,0.9282634991279337,0.4448747704111156
3,30,-609870.0996032319,2.2550102462642827,1.0527756862371462
4,40,-609884.4636386002,4.0573728185030635,1.9357823295940761
5,50,-609909.1934584115,6.003333251559527,3.0432872570629117
6,60,-609946.1442194264,7.8426617605320645,4.2971757289298695
7,70,-609996.3139796036,9.469043102400608,5.6270910972409185
8,80,-610060.1092119896,10.873924002656715,6.983071569007007
9,90,-610137.5433185237,12.088670939306033,8.334284649134498
10,100,-610228.443824566,13.150885614391877,9.663421759815538
11,110,-610332.5000838407,14.090787202192585,10.961456367907523
12,120,-610449.3819796,14.923997646127834,12.22377993053524
13,130,-610578.6960753475,15.677399064405469,13.448590052883084
14,140,-610720.0667934543,16.366576489555882,14.636087528888313
15,150,-610873.1302178217,17.192877846813637,15.793704046028143
16,160,-611037.5132544218,18.113238422013808,16.932838674943195
17,170,-611213.412034554,18.592364030407047,18.04571161181957
18,180,-611400.2428114442,18.774600780545747,19.114062536356506
19,190,-611597.4405901815,19.10966149131127,20.138465053423715
20,200,-611804.6937035345,19.5140142387827,21.129201238112
21,210,-612021.7000121064,19.88617278921885,22.09053189858678
22,220,-612248.1726241024,20.230481791461337,23.023795880170656
23,230,-612483.8378583918,20.54840669601981,23.930284050641056
24,240,-612728.4342388366,20.842389225005164,24.811204986220403
25,250,-612981.7120641485,21.11460389722195,25.66771350635245
26,260,-613243.4331689458,21.36662769910762,26.500902270818187
27,270,-613513.3696361408,21.60032538846718,27.311804983051843
28,280,-613791.3038339767,21.81742545546733,28.101407891897544
29,290,-614077.02769019,22.01911574959811,28.8706447017481
30,300,-614370.3422496583,22.207015904219567,29.6204015602023
31,310,-614671.0569383766,22.382386053088716,30.351524718602015
32,320,-614978.9900198788,22.545570197608356,31.064805479602366
33,330,-615293.9666846963,22.69789146842959,31.760987460431355
34,340,-615615.8197528464,22.840629389445546,32.44078651559103
35,350,-615944.3890267352,22.974271983694056,33.10488200974069
36,360,-616279.5208145074,23.09953153508242,33.75391272209818
37,370,-616621.0676796127,23.216951058155917,34.3884821308413
38,380,-616968.8880223185,23.327493546623764,35.00916541726911
39,390,-617322.8457390395,23.43173716349128,35.616513008541375
40,400,-617682.8104864944,23.529462436912638,36.21103817571421
41,410,-618048.6563494032,23.621515336976096,36.79322371638264
42,420,-618420.2624131073,23.708620803320052,37.363536462343475
43,430,-618797.5123405835,23.790884473288315,37.92242013964715
44,440,-619180.2939785805,23.86859649004188,38.47029238222022
45,450,-619568.4993870878,23.942327961136503,39.00755229947828
