,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-622612.8634200703,-0.0,0.0
1,10,-622613.0285859291,0.09504908485687337,0.047524542428436685
2,20,-622614.0407506241,0.5003844790451694,0.2201452046181657
3,30,-622617.160881041,1.5130728396732596,0.597420130991668
4,40,-622625.2257707589,3.193828066077549,1.2488274458635715
5,50,-622641.4674806818,5.1957061920984415,2.1676265733331093
6,60,-622668.3490715545,7.14819088235381,3.282879766072438
7,70,-622707.3397298595,8.868284358360688,4.512011222341972
8,80,-622759.1269782324,10.319062238442712,5.79040149498469
9,90,-622823.8878896564,11.530288552513227,7.075914471138094
10,100,-622901.5001961025,12.55045942362631,8.344009028570143
11,110,-622991.6817763533,13.425624224610514,9.581787646324663
12,120,-623094.0752516672,14.192471821303482,10.78339628545218
13,130,-623208.296114776,14.87776642788085,11.946971063694217
14,140,-623333.9585466362,15.500051733152938,13.072766125565977
15,150,-623470.6881960538,16.071795329771703,14.162065912742401
16,160,-623618.1277036999,16.601298631168888,15.216583005958817
17,170,-623775.938398211,17.09414327756384,16.238142508111192
18,180,-623943.8001073415,17.554197931458475,17.22852803724672
19,190,-624121.4101139625,17.98429342966704,18.18941552618198
20,200,-624308.4818397197,18.386643158271916,19.122352484866855
21,210,-624504.7435000922,18.763104923118924,20.028759157231246
22,220,-624709.9368584144,19.115330257971088,20.909939074683635
23,230,-624923.8161336945,19.44484406835693,21.76709240021445
24,240,-625146.1470230328,19.753083343757325,22.601328971362094
25,250,-625376.7058874157,20.04141676785367,23.413679876380776
26,260,-625615.278993224,20.311162062350167,24.205107482167662
27,270,-625861.6619079654,20.56356837437488,24.976513574345155
28,280,-626115.6589050497,20.79982622268146,25.728745864355005
29,290,-626377.082474255,21.021069300195045,26.46260356193088
30,300,-626645.7528543363,21.22835783008485,27.178841755079336
31,310,-626921.4976188897,21.422688853443855,27.878174958485758
32,320,-627204.1512807297,21.605001193936914,28.561280341712703
33,330,-627493.5549426901,21.776168095070197,29.228800426202362
34,340,-627789.5559586155,21.93699650850032,29.881345256867647
35,350,-628092.0076217572,22.088238020616675,30.519494404135916
36,360,-628400.7688676878,22.230592185922433,31.143798886377773
37,370,-628715.7040014194,22.364703952099028,31.75478284026467
38,380,-629036.6824347444,22.491166733071427,32.352944973729606
39,390,-629363.5784394081,22.610528932884336,32.93875995417474
40,400,-629696.2709141517,22.72329824278131,33.512679758272135
41,410,-630034.6431634818,22.829942721058615,34.07513492192957
42,420,-630378.5826918017,22.930896994681127,34.62653572653653
43,430,-630727.9810024054,23.026554574794197,35.16727323011146
44,440,-631082.7334189705,23.1172757857246,35.69772018044896
45,450,-631442.7388920962,23.203408346831598,36.21823214449396
46,460,-631807.899851399,23.285263700335086,36.72914848518704
47,470,-632178.1220336509,23.363125075053507,37.23079306135915
48,480,-632553.3143392191,23.437255111941965,37.72347501921904
49,490,-632933.3886859077,23.507904233882506,38.207489667116896
50,500,-633318.2598729659,23.575305501726795,38.68311929594929
51,510,-633707.8454640697,23.639656224864193,39.15063368650444
52,520,-634102.065651114,23.70115301250469,39.610290724085644
53,530,-634500.8431490748,23.759985352130062,40.062337231337736
54,540,-634904.1030854256,23.816311920754494,40.50700944322016
55,550,-635311.7728984966,23.87028510736119,40.944533441778916
56,560,-635723.782232271,23.922055294225032,41.375125813076735
57,570,-636140.0628552692,23.971758050675433,41.79899417188135
58,580,-636560.5485614695,24.019505832844715,42.216337456728795
59,590,-636985.1750983931,24.065411526046102,42.62734632765932
60,600,-637413.8800671045,24.109601809002967,43.03220384154264
61,610,-637846.602874755,24.152171237269197,43.431085806649925
62,620,-638283.2846406121,24.19319886039589,43.824160865771404
63,630,-638723.8681404529,24.23277041608526,44.21159088292479
64,640,-639168.2977295135,24.27098298314968,44.593531512211484
65,650,-639616.5192921292,24.307922840263743,44.97013258861553
66,660,-640068.4801827794,24.343629551189995,45.34153804645757
67,670,-640524.1291655534,24.378177069532246,45.707886177000184
68,680,-640983.4163509248,24.411655223101747,46.06931033642468
69,690,-641446.2931745414,24.44408383226255,46.4259388435632
70,700,-641912.7123162602,24.47552559894408,46.777895068675576
71,710,-642382.6276669105,24.506066919027948,47.12529818757467
72,720,-642855.9942962236,24.53572607820388,47.46826311027835
73,730,-643332.7683941636,24.564534463800218,47.80690033298597
74,740,-643812.9072351194,24.59256185141837,48.14131652749492
75,750,-644296.3691403009,24.619841973835932,48.471614765776025
76,760,-644783.1134506916,24.646403394115627,48.79789443635236
77,770,-645273.1004688243,24.672301401832264,49.12025157646566
78,780,-645766.2914575238,24.69754206273361,49.43877890315343
79,790,-646262.6485772966,24.722164367928166,49.75356587521237
80,800,-646762.1348705421,24.746228823205456,50.06469920009113
81,810,-647264.7142373477,24.769719452867694,50.37226263303164
82,820,-647770.351397972,24.792676023015694,50.676336989625995
83,830,-648279.0118576224,24.815146783986652,50.97700067947298
84,840,-648790.6619137058,24.837114220799293,51.274329481121086
85,850,-649305.268584781,24.858638537261868,51.56839673223439
86,860,-649822.7996266875,24.879753068165094,51.85927374488819
87,870,-650343.2234947806,24.90043071320118,52.14702939566777
88,880,-650866.5093178406,24.920705596590352,52.43173023746931
89,890,-651392.6268786713,24.940602748124967,52.713440901407736
90,900,-651921.5466024466,24.960132226726337,52.99222404844331
91,910,-652453.2395222242,24.979329466883986,53.26814051270776
92,920,-652987.6772791534,24.998213450587485,53.54124943142233
93,930,-653524.8320908174,25.016777506112703,53.811608090928345
94,940,-654064.6767443169,25.03502596874585,54.0792719264733
95,950,-654607.1845637143,25.052895389089826,54.34429430237505
96,960,-655152.3294120204,25.070619782153585,54.60672779122688
97,970,-655700.0856241435,25.088271960115595,54.86662492541073
98,980,-656250.4281712997,25.10543559852522,55.124034872031196
99,990,-656803.3323637315,25.122243920661276,55.37900384896785
100,1000,-657358.7740471499,25.13893036666559,55.631578520602496
101,1010,-657916.7295049035,25.15545364951526,55.8818051211958
102,1020,-658477.1754951468,25.171750629076413,56.12972800441203
103,1030,-659040.0892019764,25.18781328441677,56.375389877142155
104,1040,-659605.4482179001,25.203731212601923,56.61883260009199
105,1050,-660173.2305741112,25.219453266123608,56.86009701936855
106,1060,-660743.4146834275,25.234920456173207,57.099222297630334
107,1070,-661315.9793570141,25.25029905436072,57.33624699294742
108,1080,-661890.9037604479,25.2656573788377,57.571209680616455
109,1090,-662468.1675040494,25.28073250741597,57.80414697950765
110,1100,-663047.7504883492,25.29558154186816,58.0350935584851
111,1110,-663629.6329841149,25.310376166910125,58.264084178039056
112,1120,-664213.7956095386,25.325040653487747,58.49115309869667
113,1130,-664800.2193204568,25.33953022028751,58.71633313103376
114,1140,-665388.8853881041,25.353900509595405,58.939656264192315
115,1150,-665979.7754020095,25.36821342486631,59.16115416232497
116,1160,-666572.8712721117,25.38242899602038,59.380857763967654
117,1170,-667168.1552099708,25.39647230733527,59.59879671843956
118,1180,-667765.609717842,25.41040205901389,59.8149998465422
119,1190,-668365.217572567,25.424307307478824,60.029495862327174
120,1200,-668966.9618591855,25.438114539370957,60.24231282686087
121,1210,-669570.8259208129,25.451793299592186,60.45347767036
122,1220,-670176.7933720421,25.46539471411961,60.66301674172427
123,1230,-670784.8480850256,25.47893651858886,60.870956026180636
124,1240,-671394.9741946411,25.49240287615676,61.0773208859391
125,1250,-672007.1560822524,25.505787253496504,61.28213598203436
126,1260,-672621.3783730066,25.519100816664107,61.485425404130346
127,1270,-673237.6259314003,25.532370138799617,61.68721281949109
128,1280,-673855.8838532186,25.54558718055523,61.88752141169389
129,1290,-674476.1374719306,25.558714684439654,62.08637364721653
130,1300,-675098.3723294246,25.571803947211894,62.2837915249198
131,1310,-675722.5741953087,25.584848803171376,62.479796711693055
132,1320,-676348.7290529989,25.597825952258333,62.67441026830202
133,1330,-676976.8230862604,25.610784200945538,62.867652873854965
134,1340,-677606.8426935285,25.623687069682923,63.059544790115616
135,1350,-678238.774468701,25.636540178980503,63.250105711574726
136,1360,-678872.6051958699,25.64937887243005,63.439355047416754
137,1370,-679508.3218630465,25.662167779446463,63.62731178108806
138,1380,-680145.9116331738,25.674927628459017,63.81399442783149
139,1390,-680785.3618611232,25.687664175723725,63.99942119763145
140,1400,-681426.660078486,25.700365072116256,64.18360988544299
141,1410,-682069.7939927757,25.71303916001323,64.36657789348682
142,1420,-682714.7514852473,25.725697554508628,64.54834232550928
143,1430,-683361.5206036225,25.738347834505433,64.7289199908002
144,1440,-684010.0895673761,25.750961090298574,64.9083272733391
145,1450,-684660.4467523252,25.76354337434168,65.08658013741952
146,1460,-685312.5806942522,25.776135951559365,65.2636943803489
147,1470,-685966.4800854069,25.788724984802162,65.43968557018815
148,1480,-686622.1337761835,25.801274946739856,65.6145687912518
149,1490,-687279.5307586206,25.81382016010445,65.78835881825071
150,1500,-687938.660175668,25.826376912008797,65.96107029887497
151,1510,-688599.511316441,25.838916663363616,66.13271754861489
152,1520,-689262.0736089956,25.851448003179826,66.30331453321996
153,1530,-689926.3366203974,25.86397472824319,66.47287498435472
154,1540,-690592.2900549558,25.876509639626164,66.64141241927136
155,1550,-691259.9237478122,25.889054725964375,66.80894014071964
156,1560,-691929.2276722508,25.90158440853702,66.97547111922613
157,1570,-692600.1919216078,25.91411003677058,67.1410180308274
158,1580,-693272.8067214455,25.92665496956414,67.30559342016932
159,1590,-693947.062416432,25.939199778265902,67.46920960727876
160,1600,-694622.9494807591,25.95175812253728,67.63187866203516
161,1610,-695300.458496106,25.96435446659207,67.79361254736868
162,1620,-695979.5801796033,25.976908454904333,67.95442283194862
163,1630,-696660.305347076,25.989489380593064,68.11432083539111
164,1640,-697342.6249299179,26.00211472342443,68.27331793546473
165,1650,-698026.5299868512,26.014697633654578,68.43142509254685
166,1660,-698712.0116594333,26.027338147734298,68.58865310644906
167,1670,-699399.061219992,26.040014304115665,68.74501281796256
168,1680,-700087.6700366951,26.052644776947773,68.90051456591027
169,1690,-700777.8295823075,26.06528926633836,69.05516843960794
170,1700,-701469.5314246181,26.07806685537895,69.20898487667436
171,1710,-702162.7672438576,26.090799055833486,69.361973959436
172,1720,-702857.5288282718,26.10346635739552,69.51414501520776
173,1730,-703553.808016298,26.116318248224225,69.66550787343004
174,1740,-704251.596805497,26.1291238181402,69.8160722511413
175,1750,-704950.8872438247,26.141852847649716,69.96584694841003
176,1760,-705651.6714778527,26.15471490197865,70.11484112388135
177,1770,-706353.9417520022,26.167613004138772,70.26306410196267
178,1780,-707057.6904035953,26.18052916379453,70.41052472496668
179,1790,-707762.9098450395,26.193526756729042,70.5572318130813
180,1800,-708469.5925943186,26.20646009151926,70.70319381141454
181,1810,-709177.7312401453,26.21934757566701,70.84841867084033
182,1820,-709887.3184428399,26.2323814274328,70.99291478973319
183,1830,-710598.346966207,26.245534087947973,71.13669088120659
