,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-679448.1482958649,-0.0,0.0
1,10,-679448.3185650476,0.14968026338319762,0.07484013169159881
2,20,-679449.6781662513,0.7762640315340832,0.3437462712667184
3,30,-679454.6463139482,2.095231142034754,0.8870174694893649
4,40,-679466.7333172683,3.9208874352392744,1.7263335892333997
5,50,-679488.910478076,5.839945685176644,2.8004390871559734
6,60,-679522.9973426377,7.595503387867939,4.0173922713292995
7,70,-679569.8942076851,9.10568237785483,5.300756771117449
8,80,-679629.8980572596,10.373439972195776,6.599502653512172
9,90,-679702.9104080249,11.446706238263868,7.8837707761224
10,100,-679788.6659717425,12.373397464514708,9.13836877369613
11,110,-679886.8008583125,13.188458774515311,10.35651404576347
12,120,-679996.9274760834,13.919597086496651,11.535972656542436
13,130,-680118.6493405075,14.58836227152206,12.6770467250768
14,140,-680251.5876373793,15.21208302940941,13.781426261295566
15,150,-680395.3850912302,15.792912626537149,14.851145361801903
16,160,-680549.710893045,16.333495451509947,15.887997515546159
17,170,-680714.2352756236,16.840695900435094,16.89373383371276
18,180,-680888.6678873394,17.32775042204302,17.87037481963198
19,190,-681072.7106268416,17.78902137695403,18.819833361743076
20,200,-681266.1309936828,18.20368989912094,19.74305775071989
21,210,-681468.6365493796,18.60905030778961,20.641222624573857
22,220,-681680.0014798244,18.99908323551647,21.51609259721154
23,230,-681900.0082820276,19.346614842547563,22.368468527006918
24,240,-682128.415753667,19.675052420818247,23.198944035974275
25,250,-682365.0263013582,19.987020485496032,24.00858137111791
26,260,-682609.6217815443,20.2861134510371,24.798439347193927
27,270,-682862.0235534657,20.56641525507149,25.569416455320606
28,280,-683122.0372147309,20.834529302699927,26.322321163200833
29,290,-683389.489568914,21.07368093067776,27.05770565571147
30,300,-683664.216261207,21.27642063377424,27.77565199266537
31,310,-683946.0227304737,21.50906462908027,28.477179400471506
32,320,-684234.7638685282,21.72463125474752,29.163547161070163
33,330,-684530.3095238127,21.885289204711434,29.83458981540607
34,340,-684832.4672649178,22.072359994391473,30.49077863571583
35,350,-685141.1239404302,22.251400574532454,31.13324931610987
36,360,-685456.1381436537,22.395843803440208,31.76217985333351
37,370,-685777.3685291329,22.55126484049254,32.37798006166122
38,380,-686104.6932932824,22.69045942829689,32.98128556051815
39,390,-686437.9928636091,22.818833498345366,33.57239338462095
40,400,-686777.1331370461,22.95114209677564,34.15183180824533
41,410,-687122.0211298785,23.068912790456583,34.720049289216696
42,420,-687472.5241229066,23.171536208497038,35.27722911550809
43,430,-687828.5556525288,23.270446326292586,35.823667322227266
44,440,-688189.9832384895,23.384846760705145,36.359990802424726
45,450,-688556.7371019942,23.47368879141868,36.88654646178183
46,460,-688928.701305673,23.558258783270205,37.40343325638386
47,470,-689305.7840526076,23.65008343784724,37.911097918954326
48,480,-689687.9048152767,23.735152469482273,38.40993572282896
49,490,-690074.9587338064,23.816775790494354,38.900205218778865
50,500,-690466.887618605,23.855635489162452,39.38178989806329
51,510,-690863.5756809566,23.923202578659257,39.85488745470647
52,520,-691264.9549303247,24.02480749590326,40.320436420841716
53,530,-691670.9559242469,24.094321253889976,40.778749102714926
54,540,-692081.502863195,24.141087163909106,41.22958260505546
55,550,-692496.5205609364,24.17913328303257,41.672921492479496
56,560,-692915.9330828534,24.231345913163267,42.10908309784864
57,570,-693339.6700218318,24.299338467224192,42.5385864924625
58,580,-693767.6714067355,24.33435650247864,42.96151751964645
59,590,-694199.8716500725,24.38053088145102,43.377911123499516
60,600,-694636.192045447,24.458122613082978,43.78834348042875
61,610,-695076.6024517922,24.47425972623464,44.192769855151724
62,620,-695521.0180992337,24.491654117451937,44.590891881089206
63,630,-695969.3819484144,24.56734996270966,44.98338418870409
64,640,-696421.6452201931,24.61409601662308,45.370660781791955
65,650,-696877.7597624732,24.60967200499722,45.752263576191034
66,660,-697337.6561511628,24.6362988983341,46.12820737347793
67,670,-697801.2819900735,24.705019219737824,46.49921181656828
68,680,-698268.598172374,24.737267099344127,46.865469301489064
69,690,-698739.5534828797,24.729043891728892,47.226556941567104
70,700,-699214.091527173,24.763860232633306,47.582637627744404
71,710,-699692.1606533042,24.826996473470505,47.934360347026086
72,720,-700173.7356592477,24.84318703205795,48.28172048252746
73,730,-700658.7548639955,24.83105262043542,48.62431831757422
74,740,-701147.1815618959,24.861776263581074,48.96237899520784
75,750,-701638.9551309171,24.926626092492214,49.29654147724505
76,760,-702134.0662625243,24.922404389921468,49.62668217130413
