,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-580446.0550717685,-0.0,0.0
1,10,-580446.1945141631,0.12017481263028457,0.06008740631514228
2,20,-580447.2236518383,0.6882006919302512,0.2922249856128474
3,30,-580451.2803914575,2.0188111778581517,0.8007436882384353
4,40,-580462.1562457466,3.9805782157578506,1.634784494851192
5,50,-580483.2837511234,6.1079750878416235,2.7431542806050855
6,60,-580516.8946218126,8.08071994180209,4.0273451178727555
7,70,-580564.150911492,9.795734001867823,5.400433732203965
8,80,-580625.5044641573,11.263786111283114,6.804115650006861
9,90,-580700.9936947284,12.529359415336513,8.204177805036306
10,100,-580790.4332370583,13.635700811108107,9.582038368665962
11,110,-580893.5225198107,14.615533612828585,10.928165846168122
12,120,-581009.9048132038,15.491643092699821,12.237993411977369
13,130,-581139.1987398488,16.279809143402954,13.50962504635536
14,140,-581281.0151996583,16.991425528953545,14.742608177904913
15,150,-581434.9666803281,17.635246651974732,15.937286359004792
16,160,-581600.6725161956,18.21844796421938,17.094454412952473
17,170,-581777.7619452127,18.747225957209594,18.21516991057579
18,180,-581965.8759526433,19.227082747779793,19.30064454120002
19,190,-582164.6683299966,19.662954991767787,20.35217635707668
20,200,-582373.8062396417,20.059303746849757,21.37110513474181
21,210,-582592.9704095001,20.42018028262245,22.358782497046924
22,220,-582821.8551341338,20.74923441575958,23.316550775129873
23,230,-583060.1680704942,21.049738869385312,24.245727303478635
24,240,-583307.6299093819,21.324636891880047,25.14759359095915
25,250,-583563.9739730003,21.576561121619342,26.02338808197237
26,260,-583828.9457461163,21.80785941061913,26.874301216147433
27,270,-584102.302373301,22.020626040032937,27.70147249900183
28,280,-584383.8121357902,22.21672536134721,28.505989108709038
29,290,-584673.2539232906,22.397815432972845,29.288885578907504
30,300,-584970.4167045518,22.565373383578855,30.051144366903465
31,310,-585275.0990118085,22.720717464579515,30.79369710820902
32,320,-585587.1084378248,22.86502339271823,31.517426283632815
33,330,-585906.2611551194,22.999328014036305,32.22316694102338
34,340,-586232.3814503386,23.12456327118566,32.91170871483192
35,350,-586565.3012717806,23.24157516870759,33.58379832417123
