,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-601277.0848747923,-0.0,0.0
1,10,-601277.2648616532,0.0987354677869007,0.04936773389345035
2,20,-601278.2910895782,0.5227087740146089,0.22941266129055293
3,30,-601281.5742540866,1.5171940597530917,0.6129555314197205
4,40,-601289.9514798444,3.030108332517557,1.2445847496099305
5,50,-601306.11290065,4.727762005160913,2.0961244916907162
6,60,-601331.9129534358,6.3812916030816265,3.1006749924636097
7,70,-601368.4736432547,7.911345543229252,4.197545402951072
8,80,-601416.4163710477,9.305898128543049,5.344260146215674
9,90,-601476.0420746779,10.574348325494796,6.513342575110436
10,100,-601547.4492793024,11.730221137695484,7.687317427856033
11,110,-601630.6076097699,12.785649805600407,8.85499438499537
12,120,-601725.4030721078,13.750386066699864,10.009093038029095
13,130,-601831.6664168823,14.632284395938033,11.144805959882795
14,140,-601949.1914851356,15.438015266309955,12.258943817039833
15,150,-602077.7476375207,16.173585413474946,13.349421018904831
16,160,-602217.08851321,16.844619964901355,14.414934906590497
17,170,-602366.9584192616,17.45648197469999,15.454755220926018
18,180,-602527.0970911966,18.014284843654597,16.468577962570997
19,190,-602697.2432762372,18.522874781562127,17.45641883698263
20,200,-602877.1374132802,18.986807958281133,18.41853310913866
21,210,-603066.5236590686,19.410319739146537,19.35535377807537
22,220,-603265.1513512804,19.797310994757588,20.26744313429954
23,230,-603472.7760794985,20.15134719080815,21.1554547855616
24,240,-603689.1604001801,20.475669296714486,22.020103994260715
25,250,-603914.0743211297,20.773204098004474,22.86214451990236
26,260,-604147.2955645744,21.046593345858827,23.682350781590504
27,270,-604388.6096893178,21.29821111210913,24.481504278209467
28,280,-604637.810103347,21.530175941926437,25.260383022634777
29,290,-604894.6979628571,21.744393597214387,26.019753788052185
30,300,-605159.0820363222,21.942547246639172,26.76036624671251
31,310,-605430.778503427,22.126204428155315,27.482949632460077
32,320,-605709.6106989597,22.29674878390506,28.18821059717884
33,330,-605995.4089851946,22.455302572413338,28.876829154085137
34,340,-606288.010297577,22.602988436707516,29.549457900018027
35,350,-606587.2580155348,22.74083023484859,30.206723792148118
36,360,-606893.0016472964,22.869681238580977,30.849227257150055
37,370,-607205.0965661434,22.99033431182909,31.47754191220011
38,380,-607523.4037539475,23.10349154435679,32.092215415397376
39,390,-607847.7895322243,23.209796343283905,32.69377021677211
40,400,-608178.1253253821,23.30982662551108,33.282704541171555
41,410,-608514.2874176316,23.404093789964158,33.85949315191684
42,420,-608856.1567234423,23.493068613141077,34.424588318094905
43,430,-609203.618565273,23.5771838685206,34.97842100714334
44,440,-609556.5624725625,23.65682195306293,35.52140183013399
45,450,-609914.8819769782,23.732331503953965,36.05392192459404
46,460,-610278.4744234583,23.804032090859124,36.57635397610866
47,470,-610647.2407944646,23.87220009979501,37.089053030886866
48,480,-611021.085532694,23.93711599046378,37.5923575646506
49,490,-611399.9163779934,23.999031319215906,38.08659059757047
50,500,-611783.6442385884,24.058129917539084,38.57205997143174
51,510,-612172.1830074971,24.114636130808467,39.04905927188957
52,520,-612565.4494484168,24.16875360691931,39.517869134777
53,530,-612963.3630771034,24.220622780153757,39.9787574377042
54,540,-613365.8460071736,24.270401398034224,40.431979817897094
55,550,-613772.8228620155,24.318221387438825,40.877780496653585
56,560,-614184.2206410401,24.364245744561856,41.31639314497298
57,570,-614599.9686261184,24.408606868932758,41.74804163997615
58,580,-615019.9983075813,24.45137718831534,42.17293996092776
59,590,-615444.2432371469,24.492670160022723,42.59129269666592
60,600,-615872.638992873,24.532590901013336,43.00329595553049
61,610,-616305.1230482839,24.571246505770294,43.4091378729223
62,620,-616741.6347387654,24.608686674671524,43.80899868340785
63,630,-617182.1151522115,24.645012527197743,44.203051171527484
64,640,-617626.507056706,24.680279305763634,44.5914611911212
65,650,-618074.7548831406,24.71449055591083,44.974387339012175
66,660,-618526.8045492127,24.74783992398884,45.35198244061467
67,670,-618982.6035313348,24.78036125267104,45.72439414545225
68,680,-619442.1007325824,24.812006087275222,46.091763435732
69,690,-619905.246425053,24.842918687724016,46.454225806873005
70,700,-620371.9922136505,24.873110439570105,46.811912031352406
71,710,-620842.2910107641,24.902590922860064,47.16494746453245
72,720,-621316.0969006841,24.931508921901695,47.513453301768465
73,730,-621793.3652251641,24.959838679031236,47.85754657956423
74,740,-622274.0524260076,24.987560238828777,48.19733924521425
75,750,-622758.1160634978,25.014763492508685,48.53293920164288
76,760,-623245.5147406494,25.04151480054732,48.864451099491276
77,770,-623736.2081090276,25.067803436413055,49.191975851781905
78,780,-624230.156799923,25.09362732279092,49.51561038157671
79,790,-624727.3223901087,25.11908318369522,49.83544850611652
80,800,-625227.6673860289,25.14416525047295,50.151581078069285
81,810,-625731.1551943208,25.168893445929452,50.46409565067443
82,820,-626237.75005476,25.193310726119613,50.77307693879412
83,830,-626747.4170817161,25.217380385179304,51.078606617155316
84,840,-627260.1221433575,25.241155971586764,51.38076352320787
85,850,-627775.8319235139,25.264719561397335,51.679624496649204
86,860,-628294.5138300367,25.288069206604085,51.97526415224712
87,870,-628816.1360451053,25.31110988376288,52.26775395918231
88,880,-629340.6674093702,25.333922639931615,52.557162850211895
89,890,-629868.0774585973,25.35658536985018,52.843558319281144
90,900,-630398.3364080854,25.37905445930658,53.127005793074204
91,910,-630931.415090233,25.401386632752644,53.40756859849207
92,920,-631467.2849865603,25.423564374237387,53.685308202425944
93,930,-632005.9181665424,25.445568567799835,53.96028388002305
94,940,-632547.2872886762,25.467453162494415,54.23255318850424
95,950,-633091.3655734187,25.489284760624287,54.50217249521956
96,960,-633638.1268049038,25.510980823729255,54.769196317328905
