,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-643080.4770294322,-0.0,0.0
1,10,-643080.6300244221,0.0905881091428455,0.04529405457142275
2,20,-643081.5826385606,0.4676967758685351,0.20751230310997926
3,30,-643084.5595387676,1.3593534834100864,0.5509954109787941
4,40,-643092.0421832063,2.7669910973287184,1.1234282120465648
5,50,-643106.6137662252,4.401597111253068,1.9094618103379615
6,60,-643130.1716388253,6.009815472067568,2.850439477468899
7,70,-643163.8807705728,7.4825423193222385,3.8857247419975467
8,80,-643208.3665309248,8.800074049527755,4.970196678616048
9,90,-643263.9051596023,9.978589557952361,6.0745673932644415
10,100,-643330.5617932719,11.042896331666272,7.181078296400663
11,110,-643408.278835556,12.014723642746688,8.279346914927007
12,120,-643496.9286409457,12.909826888062526,9.36338017053931
13,130,-643596.3424156652,13.739177914080207,10.429719543980898
14,140,-643706.328244913,14.51002683094121,11.4763647077154
15,150,-643826.6803893561,15.22731147074956,12.50215700070257
16,160,-643957.1850683973,15.894805512856692,13.50644672200433
17,170,-644097.624526969,16.515510881511723,14.488909714325565
18,180,-644247.7789056638,17.09237815031084,15.449448316323107
19,190,-644407.4286901855,17.628141684358706,16.388135063654047
20,200,-644576.3558054864,18.125388912798357,17.305168251851867
21,210,-644754.3447306323,18.586804750820733,18.200845944929462
22,220,-644941.1834831347,19.015053034183786,19.075549211418547
23,230,-645136.6642086996,19.412675098722694,19.929724183709187
24,240,-645340.5839844815,19.781906699202963,20.76386191600177
25,250,-645552.7448608517,20.12496547984486,21.57848428183206
26,260,-645772.954330327,20.444238924613483,22.374142032286912
27,270,-646001.0254577715,20.741589185711916,23.15140397658397
28,280,-646236.7773514411,21.01864804167996,23.910840480767366
29,290,-646480.0343349664,21.277468523944812,24.653026387096908
30,300,-646730.6270126147,21.519496159715334,25.378537562010752
31,310,-646988.3914446082,21.7459119420761,26.087936346534118
32,320,-647253.1693353347,21.958266720455185,26.781774779236002
33,330,-647524.8077954656,22.157820976208313,27.460597256988695
34,340,-647803.1594914552,22.34546371241448,28.12493157771096
35,350,-648088.0821111426,22.522245865766305,28.775287707698592
36,360,-648379.4384284138,22.689003338897614,29.412159123583116
37,370,-648677.0961363805,22.846567347875627,30.036021566549607
38,380,-648980.9273690823,22.995951032615267,30.647337266203248
39,390,-649290.8091533458,23.137793736349032,31.24655395049922
40,400,-649606.6225739957,23.272159631829652,31.834094327132334
41,410,-649928.2532408099,23.39960728235595,32.41035738694918
42,420,-650255.589938541,23.522036740748504,32.97574269828183
43,430,-650588.5262134275,23.63916533802694,33.530640960753956
44,440,-650926.9592428392,23.749956526013463,34.0754008459262
45,450,-651270.7891072899,23.85608936419885,34.610354375142194
46,460,-651619.9194167067,23.959198740270352,35.13584810800821
47,470,-651974.2574139204,24.057698893305563,35.652207148222075
48,480,-652333.7136764352,24.15137161128223,36.15971690278966
49,490,-652698.2003579069,24.242739920029894,36.658668587550345
50,500,-653067.6340791731,24.330681212450145,37.14935029681801
51,510,-653441.9332936648,24.415572247913296,37.63202546431421
52,520,-653821.019026881,24.49851263866283,38.106956441211516
53,530,-654204.8156978525,24.578209532919573,38.574388963991076
54,540,-654593.2489843109,24.65536690576708,39.034549299557696
55,550,-654986.2476941405,24.730443445863823,39.48766194701457
56,560,-655383.7421764858,24.80404152669948,39.933948816647174
57,570,-655785.6654674801,24.875632680629415,40.37362077735161
58,580,-656191.9525411798,24.94517893026346,40.806872727518204
59,590,-656602.5398251569,25.013506839974518,41.23389624499396
60,600,-657017.3664775499,25.07919209013913,41.65486838393699
61,610,-657436.3724925558,25.14463241164622,42.06996519571258
62,620,-657859.4998753134,25.209394102386476,42.47937030541216
63,630,-658286.6934435032,25.27231610816975,42.883245808120414
64,640,-658717.8973983042,25.33481678981343,43.28174800165725
65,650,-659153.06030944,25.39402131993834,43.675014883365655
66,660,-659592.1291817887,25.45387020485345,44.063185858940415
67,670,-660035.0542654198,25.514447555801738,44.44642453402048
68,680,-660481.787553276,25.571022467326987,44.82485308308824
69,690,-660932.2807274031,25.62812453332299,45.19858635445563
70,700,-661386.4877026854,25.687600073986587,45.567780259469885
71,710,-661844.3640731738,25.743660673103093,45.93255650216307
72,720,-662305.8664807085,25.797995685436916,46.29300263500045
73,730,-662770.9508897463,25.85398390218325,46.64923746433779
74,740,-663239.5774785568,25.908138114621348,47.00137453312055
75,750,-663711.7042728405,25.963697181359798,47.3495208349239
76,760,-664187.292875386,26.01957120337751,47.693793538962204
77,770,-664666.3049610981,26.072266764383112,48.03427536199307
78,780,-665148.7027833748,26.1246892989612,48.371041752572644
79,790,-665634.4496840385,26.179059319381373,48.70419795847411
80,800,-666123.5099679272,26.234016304603074,49.03385080923472
81,810,-666615.8496268875,26.28604072103917,49.36007292176219
82,820,-667111.434160632,26.338851956126746,49.68293518821593
83,830,-667610.2303305863,26.394002154673217,50.00253795702593
84,840,-668112.2065738031,26.445648529054537,50.318952544583595
85,850,-668617.3310353236,26.498913288509236,50.63224307968194
86,860,-669125.5721529404,26.554402104666224,50.94250509895065
87,870,-669636.9018169024,26.60467072466569,51.2497915641623
88,880,-670151.2886167776,26.65837652999889,51.554160019091796
89,890,-670668.7046309984,26.715154687527747,51.85571320625168
90,900,-671189.1225244921,26.766499496094376,52.15450111992396
91,910,-671712.5142561899,26.820488111727173,52.450569214197465
92,920,-672238.8526542048,26.874894390255278,52.74399374213536
93,930,-672768.113106925,26.928707913428727,53.03483095031261
94,940,-673300.267520609,26.98792141465806,53.3231617233294
95,950,-673835.2941976229,27.040341995132486,53.60903208625969
96,960,-674373.1666088917,27.092747423518517,53.89245773520524
97,970,-674913.8606954766,27.153115897273597,54.17353030963713
98,980,-675457.3543419342,27.20942216310643,54.45231840703636
99,990,-676003.6243545251,27.261730648280214,54.72882749782583
100,1000,-676552.6479615739,27.3204602487386,55.003115307394175
101,1010,-677104.4028542396,27.38365739983579,55.2752802690331
102,1020,-677658.8697653131,27.436265169270264,55.54533442535612
103,1030,-678216.0263667856,27.492220221672177,55.813283301000766
104,1040,-678775.8508887265,27.557638895022535,56.07922932925139
105,1050,-679338.326469709,27.61441742896583,56.34321520363737
106,1060,-679903.4311040227,27.676513920357834,56.60526202345354
107,1070,-680471.1463507006,27.743477244133828,56.86545403444616
108,1080,-681041.4552868359,27.799847994174343,57.12379945144785
109,1090,-681614.3376250545,27.860785186407156,57.380304218331005
