,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-545993.5661285243,-0.0,0.0
1,10,-545993.5895301208,0.15890385592065287,0.07945192796032644
2,20,-545994.4880770231,0.9748982499528209,0.4026284184088581
3,30,-545999.9924875508,2.728855992603348,1.1011623129976214
4,40,-546014.9079905209,5.023414569231682,2.1838984662521392
5,50,-546042.7801915489,7.311229771905345,3.5429482645966344
6,60,-546085.5620497111,9.32784776383778,5.051391888773651
7,70,-546144.0577337221,11.0327196701488,6.6167639407707615
8,80,-546218.4017606602,12.47307974167634,8.18438282963616
9,90,-546308.3793882963,13.707916797805229,9.725501246702333
10,100,-546413.6068703177,14.783708196307996,11.226237589729134
11,110,-546533.6251175273,15.732541819434843,12.680538536791572
12,120,-546667.9468127604,16.576106394105587,14.086325173793009
13,130,-546816.0800897381,17.329631899949153,15.443520577391606
14,140,-546977.5404431835,18.004595393792265,16.75306614529981
15,150,-547151.8570062565,18.610258892818827,18.016429372457782
16,160,-547338.5757747317,19.154487204318855,19.23534906068671
17,170,-547537.2612798223,19.644162264224736,20.411696264181224
18,180,-547747.4973242907,20.085371537011834,21.54739272967999
19,190,-547968.887111657,20.483556343818787,22.644360673235493
20,200,-548201.0530328208,20.84356761770323,23.704490820094357
21,210,-548443.6362200049,21.169690268250967,24.729620255019103
22,220,-548696.2958765863,21.465734692366087,25.721518106145954
23,230,-548958.7085479114,21.73508250813469,26.68187750644574
24,240,-549230.5673288835,21.98069976728877,27.612310545252697
25,250,-549511.5810193103,22.205202994373387,28.514345850292013
26,260,-549801.4732807927,22.410902376053855,29.38942880202667
27,270,-550099.9818155002,22.59982632831378,30.238922996250043
28,280,-550406.8575440497,22.773762558179442,31.064112630022287
29,290,-550721.8638358802,22.934288893543957,31.866205735444968
30,300,-551044.7757538185,23.08279440374463,32.646337749534
31,310,-551375.3793581823,23.22049878983821,33.405575163626054
32,320,-551713.4710227922,23.34849022161211,34.14491949736839
33,330,-552058.8568144068,23.467736241637663,34.865311418318015
34,340,-552411.3519045429,23.579079505184176,35.56763434874883
35,350,-552770.7800115303,23.68327322199177,36.2527179925426
36,360,-553136.9728798291,23.78099382453365,36.92134204803878
37,370,-553509.7698066217,23.872839949573976,37.574239574199595
38,380,-553889.017181587,23.959352893708328,38.21210016280237
39,390,-554274.5680773343,24.041007879012586,38.83557285587157
40,400,-554666.281854812,24.118228961364423,39.44526876761957
41,410,-555064.0237920254,24.191403336371877,40.04176374349481
42,420,-555467.6647569984,24.260884928202692,40.62560091602209
43,430,-555877.0808758251,24.326968487649022,41.19729270129174
44,440,-556292.1532638783,24.389949658675988,41.7573229467409
45,450,-556712.7676977529,24.450097466542502,42.306149215217744
46,460,-557138.8144522661,24.50761345741921,42.84420406764403
47,470,-557570.187939651,24.562727743550237,43.37189678473515
48,480,-558006.7866088777,24.615595567831804,43.889614852859815
49,490,-558448.5126306925,24.666405926362565,44.39772532634816
50,500,-558895.2717617959,24.715378992259573,44.896577135927515
51,510,-559346.9731633065,24.76258512480701,45.38650136825018
52,520,-559803.5292179078,24.808127637160794,45.8678114994691
53,530,-560264.8553313125,24.852194309351034,46.34080585158372
54,540,-560730.8698491253,24.89489027025411,46.805768758122575
55,550,-561201.4938723822,24.93631362974698,47.2629707616361
56,560,-561676.6511398022,24.97655621636659,47.712669488124085
57,570,-562156.2679142735,25.015630750227178,48.155109811799775
58,580,-562640.2728277765,25.053656427713577,48.59052496604854
59,590,-563128.5967847615,25.090805029185056,49.01913870376447
60,600,-563621.1728994941,25.127048283058855,49.44116471371525
61,610,-564117.9363705235,25.162414557274488,49.856806082390534
62,620,-564618.8243367337,25.1970307892595,50.26625724324403
63,630,-565123.7759002575,25.23090891764714,50.669704413317945
64,640,-565632.7319228696,25.264182388223617,51.06732614709617
65,650,-566145.6350547011,25.296856635381207,51.45929377689171
66,660,-566662.4296229981,25.32875278938445,51.84576947260793
67,670,-567183.0615055357,25.360197692754493,52.22690917009894
68,680,-567707.478082393,25.391316491633333,52.60286523331742
69,690,-568235.6283729033,25.42177969693444,52.973781884778866
70,700,-568767.4626103123,25.45181456743744,53.33979635516588
71,710,-569302.9325038634,25.481388469878382,53.701041428322775
72,720,-569841.9910322701,25.510608394327424,54.05764482873637
73,730,-570384.5923466374,25.53971382544561,54.409731378224386
74,740,-570930.6920144471,25.568215964629886,54.75741914095124
75,750,-571480.2465531514,25.59640765073698,55.10082007460005
76,760,-572033.2136539022,25.624484097445276,55.440044924491666
77,770,-572589.5521770791,25.6520899983649,55.7751990696881
78,780,-573149.2218639349,25.67950153496937,56.10638327199122
79,790,-573712.183562045,25.706798847808386,56.43369671984838
80,800,-574278.3990491137,25.733782205497846,56.75723411716317
81,810,-574847.8310476933,25.76058507922839,57.07708621322672
82,820,-575420.4431253953,25.78724692966201,57.39334148105263
83,830,-575996.1998099239,25.813615346181905,57.70608449850406
84,840,-576575.0663465207,25.83994455174549,58.01539739916916
85,850,-577157.0088687069,25.866129758607954,58.32136029739195
86,860,-577741.9943031468,25.891966015182092,58.62404868798913
87,870,-578329.9902238469,25.917762751036207,58.92353603361262
88,880,-578920.9650346638,25.943670257436793,59.219895910473134
89,890,-579514.887791746,25.969555509253215,59.5131995071104
90,900,-580111.7283435705,25.994851504132512,59.803511728065494
91,910,-580711.4570699863,26.02005565107412,60.09089490849728
92,920,-581314.0449198124,26.045660004357472,60.37541474726313
93,930,-581919.463735326,26.070988514134594,60.65713385220151
94,940,-582527.6856960561,26.09634427360718,60.936110798997106
95,950,-583138.6837290588,26.121543491579224,61.21240294872841
96,960,-583752.4312996503,26.146403270959922,61.486063940281745
97,970,-584368.9022674197,26.171592683464336,61.757148240909736
98,980,-584988.0712379408,26.196779874846037,62.02571039801259
99,990,-585609.9132151346,26.221668672241574,62.291800108252204
100,1000,-586234.4037394455,26.246466599986817,62.555465111313964
101,1010,-586861.5187764545,26.271529291052282,62.816754520012175
102,1020,-587491.2348275902,26.29674346174579,63.07571720091509
103,1030,-588123.5289038302,26.321337457242844,63.33239628892188
