,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-699252.6623987762,-0.0,0.0
1,10,-699252.7620300744,0.09211906979908235,0.04605953489954118
2,20,-699253.5875525947,0.49031406225403773,0.21469758536259176
3,30,-699256.6460554628,1.3570430245308671,0.5634499383479123
4,40,-699264.3189876584,2.576472273701802,1.1116828099824487
5,50,-699278.6239878449,3.8679647038079565,1.8205383145759697
6,60,-699300.815145459,5.068338886625133,2.6296963588421933
7,70,-699331.5456378575,6.144965901784598,3.4909840685693783
8,80,-699371.1002291705,7.123017890169287,4.375098822546715
9,90,-699419.5813787375,8.036546146549517,5.2667622266017124
10,100,-699477.0004023329,8.911017304257255,6.158787877733993
11,110,-699543.335102491,9.759401845361573,7.0479479177360185
12,120,-699618.5446447122,10.585809102281923,7.932632471786928
13,130,-699702.5775602276,11.38979972350062,8.811777071183315
14,140,-699795.3749174325,12.166674592654461,9.684370383912755
15,150,-699896.865555575,12.91333320160629,10.549338916561101
16,160,-700006.9671175604,13.627646025782454,11.405647294920346
17,170,-700125.5891061267,14.305723953762218,12.252267820101407
18,180,-700252.6284327528,14.946281746588644,13.088198899937563
19,190,-700387.9731836284,15.549584908172246,13.912572995744997
20,200,-700531.503707382,16.11669270851417,14.724689916304488
21,210,-700683.0932293579,16.648030185568487,15.523988905102307
22,220,-700842.6123674283,17.14360873546684,16.30999804744788
23,230,-701009.9238087741,17.606949238869145,17.082385284770865
24,240,-701184.8912251753,18.040020317793832,17.840978807453943
25,250,-701367.3751694753,18.44327567567232,18.585678077588096
26,260,-701557.2367834521,18.818990492494777,19.316447254418748
27,270,-701754.3357712576,19.17070091002972,20.033363897551318
28,280,-701958.5346347942,19.49952354875859,20.736582655023085
29,290,-702169.6974114252,19.80436814079586,21.426243055796657
30,300,-702387.6889483489,20.090045024233394,22.10253176265105
31,310,-702612.3754214421,20.35845683145742,22.765728053347264
32,320,-702843.6299886025,20.60854072328658,23.41609870910761
33,330,-703081.3224080157,20.843589874048508,24.05391912569758
34,340,-703325.3317047602,21.063147137430448,24.679483257271933
35,350,-703575.5343520124,21.269785101074337,25.293089493930164
36,360,-703831.8135940208,21.46543428524167,25.895074598542124
37,370,-704094.054621839,21.649386524595347,26.485764907640988
38,380,-704362.1459658205,21.822233890072702,27.06545884144871
39,390,-704635.9796338542,21.982733801487484,27.634423418428923
40,400,-704915.4491101361,22.1350442210678,28.192941391724162
41,410,-705200.4510395121,22.283633768878644,28.741381075815298
42,420,-705490.8872986728,22.423410553776193,29.280078070878517
43,430,-705786.6625756761,22.552833833301005,29.80926568848954
44,440,-706087.6811163083,22.67731750034727,30.329204732141804
45,450,-706393.8534921502,22.795521679508965,30.840185096135244
46,460,-706705.090677126,22.90662757517998,31.342453752690922
47,470,-707021.3070945616,23.014507380203543,31.836274019925618
48,480,-707342.4190445307,23.118893127981522,32.32193100823788
49,490,-707668.3475117647,23.21533122372923,32.79964394659037
50,500,-707999.0131562088,23.307215661188962,33.26960723813828
51,510,-708334.3392197627,23.399364406219792,33.73208492814448
52,520,-708674.2530404158,23.486052793345806,34.18731789224404
53,530,-709018.6833704322,23.56686817375299,34.63547426798469
54,540,-709367.5591190793,23.64605229651214,35.0767481416915
55,550,-709720.8138367046,23.724294396772088,35.51136847396993
56,560,-710078.3807920364,23.79859437723644,35.9395313273737
57,570,-710440.1983352655,23.867475158750434,36.36138259435248
58,580,-710806.2014609773,23.937527739221572,36.77710440928641
59,590,-711176.331939201,24.0042102922073,37.186887917989225
60,600,-711550.5307697384,24.0674002016312,37.59087509728706
61,610,-711928.7395840125,24.13102758328618,37.989232073693714
62,620,-712310.9050119672,24.190484693553387,38.382111935733704
63,630,-712696.9708534689,24.250269852328213,38.76965894885944
64,640,-713086.8860185144,24.30839562620963,39.15203074883466
65,650,-713480.5991196568,24.363518759404634,39.529351772429074
66,660,-713878.059772328,24.41650547400345,39.90173698151193
67,670,-714279.220320466,24.469839120857017,40.269321247538024
68,680,-714684.0314082471,24.5243637662265,40.63225819140934
69,690,-715092.4503804517,24.572142253158525,40.990643397407254
70,700,-715504.4291404992,24.62230965957875,41.3445760396673
71,710,-715919.9251605843,24.67364151681249,41.69420771894366
72,720,-716338.8967639854,24.71892409692498,42.039624952911986
73,730,-716761.3005838249,24.765847738698206,42.38091324213019
74,740,-717187.097123081,24.812965642672705,42.718197509492164
75,750,-717616.2463345935,24.857663194197865,43.05157043738145
76,760,-718048.7098960375,24.90528860726616,43.38113877495198
77,770,-718484.4495057324,24.94875742820721,43.7069942762595
78,780,-718923.4307156294,24.98558800866606,44.02916322032106
79,790,-719365.6130703405,25.030727487261174,44.34774957188638
80,800,-719810.964657277,25.078339920379168,44.66291152225749
81,810,-720259.4504210181,25.119369066279845,44.97470898050233
82,820,-720711.0377688848,25.15819515938044,45.283170443265405
83,830,-721165.692398395,25.201595127629,45.588390910404264
84,840,-721623.3831708143,25.24470861753234,45.890473871245916
85,850,-722084.0797228215,25.278555744109266,46.189437380699374
86,860,-722547.7498625616,25.320134978764507,46.48534485451527
87,870,-723014.3628381863,25.36987321621867,46.77835881065984
88,880,-723483.8933612758,25.4066721021199,47.06851877120789
89,890,-723956.3102630759,25.442275327752387,47.355808993752
90,900,-724431.5853473091,25.481258550484007,47.64030567230948
91,910,-724909.6924184498,25.522893849737205,47.92210390030523
92,920,-725390.6023371427,25.569045315205585,48.201301783598325
93,930,-725874.2934282632,25.604003692100907,48.47791992022685
94,940,-726360.7363032002,25.64002226506736,48.751958951209964
95,950,-726849.9069127828,25.684239910886593,49.02352225842188
96,960,-727341.7809170302,25.722854917030645,49.29267567117204
97,970,-727836.334814107,25.762817003082976,49.559446899654
98,980,-728333.5433870755,25.80491387937807,49.82390264931746
99,990,-728833.3865574944,25.843922486761585,50.08608523423609
100,1000,-729335.8384750308,25.886191851168405,50.34604105453618
101,1010,-729840.8802897653,25.927468991914353,50.60382582068269
102,1020,-730348.4880397266,25.965202574443538,50.859460032350036
103,1030,-730858.6423265875,26.009121698426096,51.112998309449175
104,1040,-731371.3200368045,26.057428226945774,51.36453227901657
105,1050,-731886.5049931954,26.095761264179824,51.61407390609093
106,1060,-732404.174121662,26.129978210333427,51.86159405012005
107,1070,-732924.3089021897,26.175588478779233,52.10716449833272
108,1080,-733446.8885756555,26.22659244717805,52.35089974182338
109,1090,-733971.8980779051,26.266405280327618,52.59280724891724
110,1100,-734499.3165824072,26.307726224069405,52.83287592027919
111,1110,-735029.1263014297,26.355629500278155,53.07117554582802
112,1120,-735561.3110350586,26.40356451794537,53.30776765351475
113,1130,-736095.8520490986,26.451394669836656,53.542682278734
114,1140,-736632.7353321806,26.49427017273839,53.77592678742367
115,1150,-737171.9411223143,26.53896522952701,54.00751653212356
116,1160,-737713.455864451,26.59146082774977,54.23752170310618
117,1170,-738257.2611399577,26.645544034047468,54.466009915042385
118,1180,-738803.3458659723,26.693442069092747,54.692987566719246
119,1190,-739351.690745305,26.741429633117683,54.91845432013507
120,1200,-739902.2844919239,26.798233056441205,55.1424725725752
121,1210,-740455.1090664954,26.854534894655636,55.36510102943429
122,1220,-741010.1558622275,26.898261614784133,55.586308959001315
123,1230,-741567.4049198824,26.95238079605042,55.806110259672266
124,1240,-742126.8463347,27.019040789350314,56.0246205283518
125,1250,-742688.4657751543,27.078309150601942,56.24188151007255
126,1260,-743252.2526267819,27.13300194803133,56.457865389325875
127,1270,-743818.1916893544,27.18714369722875,56.67257203078478
128,1280,-744386.2725702759,27.25266805328465,56.88606376417593
129,1290,-744956.4804834591,27.329469009588053,57.09844767321484
130,1300,-745528.8089725366,27.3943332573981,57.309738667891374
131,1310,-746103.2435315202,27.450594753559283,57.5198747505303
132,1320,-746679.7744004149,27.527370291366054,57.728918354961216
133,1330,-747258.3884405749,27.602206016096265,57.936956388763804
134,1340,-747839.0814556542,27.665671604284043,58.143954198480074
135,1350,-748421.8347649727,27.749491262308045,58.34996020997061
136,1360,-749006.6469203277,27.833129398920473,58.555063785148384
137,1370,-749593.5031608556,27.91802056262638,58.759282052757044
138,1380,-750182.3985995302,28.00708046744694,58.96264756798192
139,1390,-750773.3228036182,28.081620396097822,59.16513552021934
140,1400,-751366.2682730712,28.170755437982535,59.366758384076824
141,1410,-751961.2234882213,28.27936056785653,59.56764964538016
142,1420,-752558.1867338801,28.390586235449785,59.76789791877527
143,1430,-753157.1466864607,28.492986555164883,59.96749059883295
144,1440,-753758.1025429243,28.589136236021602,60.16638426010177
145,1450,-754361.0399508694,28.710356773342728,60.36465332450753
146,1460,-754965.9597787008,28.840723830898163,60.56242415692105
147,1470,-755572.8533136983,28.9688518597338,60.759727268808646
148,1480,-756181.7185826502,29.10079636662246,60.956574279774216
149,1490,-756792.5493573054,29.243543750091654,61.15302047816076
150,1500,-757405.3424666986,29.416003417427202,61.349206520033476
151,1510,-758020.0960166843,29.59388798951113,61.54525287134602
152,1520,-758636.810618325,29.75064413500982,61.74110983890424
153,1530,-759255.4821165903,29.935778120026008,61.936803140136185
154,1540,-759876.1078868291,30.164937282493447,62.13257058845775
155,1550,-760498.6945637171,30.390816568673582,62.328543588674805
156,1560,-761123.2402039779,30.64194124705347,62.524789830982634
157,1570,-761749.7498022165,30.93878211120318,62.72153233435384
158,1580,-762378.2294291388,31.247395838913736,62.91894765162142
159,1590,-763008.6875329736,31.590610164942223,63.11717335706781
160,1600,-763641.1293874235,32.003457969520355,63.31652570462174
161,1610,-764275.5725870426,32.48334296447865,63.51741645787115
162,1620,-764912.0302102006,33.05238910577621,63.72030995158857
163,1630,-765550.5280368791,33.746172916609794,63.925839366053694
164,1640,-766191.0921167075,34.63181901563681,64.13494004796812
165,1650,-766833.7647561431,35.81766915971844,64.34906325343327
166,1660,-767478.6008083401,37.510751453739815,64.57058583595207
167,1670,-768125.6845467185,40.070516949341744,64.80354163471056
168,1680,-768775.1482352628,31.177932110592508,65.01630470695818
169,1690,-769427.2020659045,9.829272652292275,65.13817685989343
170,1700,-770079.1189793547,5.3428077041169075,65.18297168852004
171,1710,-770731.0460401562,17.705857541100947,65.25045734210434
172,1720,-771384.3468546711,23.84128992651773,65.3715349307502
173,1730,-772039.03173547,24.103628826553894,65.51050467324676
174,1740,-772695.119216017,24.13494158369214,65.64952162078843
175,1750,-773352.5905241542,24.154572606130387,65.78788796579029
176,1760,-774011.4398397958,24.190767305204645,65.92562480113266
177,1770,-774671.6703580056,24.13621546334521,66.06252997150004
178,1780,-775333.258365235,24.140147638745333,66.19852077459363
179,1790,-775996.204703826,24.176536111260575,66.33386240184772
180,1800,-776660.5016429524,24.176018260535272,66.46855023190146
181,1810,-777326.1416275484,24.17184999272842,66.60247890445899
