,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-660666.2446722623,-0.0,0.0
1,10,-660666.3305404757,0.07485746083839331,0.03742873041919666
2,20,-660666.9977679541,0.44021164880250585,0.18491037303901975
3,30,-660669.4965753359,1.3926431277184748,0.5270704731927254
4,40,-660676.555096622,2.9721992386039346,1.1307025659712964
5,50,-660691.2311852323,4.84655505482806,1.9868829762795943
6,60,-660715.8344176759,6.671444169647292,3.0274921625663413
7,70,-660751.7382355673,8.281586202219477,4.174987714957388
8,80,-660799.590033194,9.64719598859083,5.36947933583142
9,90,-660859.5686356294,10.798828375243463,6.572363994854094
10,100,-660931.5816286552,11.78262924365117,7.761430366772401
11,110,-661015.3938284703,12.640953725986764,8.92515063468163
12,120,-661110.703741091,13.406467608490491,10.058342257428738
13,130,-661217.1861257693,14.10212610070012,11.159334539860717
14,140,-661334.5140788883,14.743169195269012,12.228265762246153
15,150,-661462.3695803012,15.339361074526101,13.266119555037584
16,160,-661600.4477572436,15.896875546546653,14.274208951684706
17,170,-661748.4579976986,16.41968595826764,15.253918252463338
18,180,-661906.1236244653,16.91047642549965,16.206585648676267
19,190,-662073.1809702918,17.37122949185141,17.133458723146763
20,200,-662249.3783281881,17.803577980201233,18.03568579085841
21,210,-662434.4749523416,18.20899410174752,18.914322718976475
22,220,-662628.2401878713,18.58888467291252,19.770344849246612
23,230,-662830.4527326805,18.94463597379509,20.604659413377522
24,240,-663040.900019687,19.277625783788963,21.418116529680265
25,250,-663259.3777060172,19.589230734636676,22.211518348201935
26,260,-663485.6892278091,19.880758800014192,22.985625247510328
27,270,-663719.6454485294,20.15349153421994,23.741160338315243
28,280,-663961.0642187004,20.408748141804224,24.478815075608146
29,290,-664209.7702155367,20.64771630752072,25.19925211546215
30,300,-664465.59456408,20.871500984154387,25.903105573948416
31,310,-664728.374591244,21.08119522335769,26.590983201480412
32,320,-664997.9535774385,21.277807455323682,27.263468220765937
33,330,-665274.180509175,21.462282732999288,27.92112006427051
34,340,-665556.9098501161,21.635501408239328,28.564475304642112
35,350,-665846.0013152673,21.7982803676277,29.1940484482504
36,360,-666141.3196538623,21.951378598006002,29.810332711807863
37,370,-666442.7344417797,22.095496923947966,30.41380076638307
38,380,-666750.1198782729,22.23128376315578,31.004905454273107
39,390,-667063.3545919936,22.359338454980808,31.584080531213843
40,400,-667382.3214540131,22.48021259414962,32.15174137396098
41,410,-667706.9073970332,22.594415566246578,32.70828568463476
42,420,-668037.0032423475,22.702419634029532,33.25409423828678
43,430,-668372.5035343325,22.804655650118274,33.78953155322816
44,440,-668713.3063827143,22.90152091376946,34.31494652360271
45,450,-669059.3133047947,22.99338737127261,34.83067316134402
46,460,-669410.4290875482,23.080593359097904,35.337031258019856
47,470,-669766.5616418092,23.163449883268846,35.8343269524019
48,480,-670127.6218735639,23.242250294331427,36.32285340591042
49,490,-670493.5235531924,23.31726256297268,36.802891430452284
50,500,-670864.1832014915,23.38872666688978,37.27470994776376
51,510,-671239.519964627,23.456874140066866,37.73856656874704
52,520,-671619.4555107526,23.521922458382434,38.19470825439202
53,530,-672003.9139244067,23.584059628524006,38.6433717142936
54,540,-672392.8216065202,23.643465485080263,39.08478381957829
55,550,-672786.1071744722,23.70031838514846,39.51916223615699
56,560,-673183.7013804249,23.754769535991443,39.94671583259333
57,570,-673585.5370197268,23.80695636563477,40.36764493974042
58,580,-673991.5488468553,23.85702040074385,40.782141859288096
59,590,-674401.6735010275,23.90508951256039,41.19039133260376
60,600,-674815.8494308034,23.95127448480352,41.59257079098752
61,610,-675234.0168226757,23.995684381516185,41.98885068258096
62,620,-675656.1175310748,24.038423896883614,42.379394877367304
63,630,-676082.0950193282,24.079586354378396,42.76436096280959
64,640,-676511.8942919248,24.119260181486652,43.1439005111868
65,650,-676945.4618422374,24.1575227441062,43.51815932938625
66,660,-677382.7455903882,24.19445248616389,43.8872777341312
67,670,-677823.6948329891,24.23012969974084,44.25139090427547
68,680,-678268.2601933887,24.26461443626332,44.610629050325954
69,690,-678716.3935728153,24.29796624805293,44.96511755213433
70,700,-679168.0480989987,24.330252543208136,45.314977289488894
71,710,-679623.1780901767,24.361525455163893,45.66032484607131
72,720,-680081.739006062,24.39183558344365,46.00127263159521
73,730,-680543.6874106113,24.42123376650852,46.33792910313059
74,740,-681008.9809328939,24.44976616424403,46.670398950290114
75,750,-681477.5782290002,24.477468611512343,46.99878319709824
76,760,-681949.4389495443,24.504389115981592,47.323179407464345
77,770,-682424.5236973152,24.53057899144489,47.64368196772412
78,780,-682902.7940130979,24.556055748194918,47.96038205546502
79,790,-683384.2123235479,24.580849320348296,48.27336766493391
80,800,-683868.7419257531,24.60500113526365,48.582723917727705
81,810,-684356.3469494365,24.62854752320866,48.88853324595402
82,820,-684846.9923389759,24.651514296221954,49.19087542864727
83,830,-685340.6438210155,24.673918308925813,49.48982760231156
84,840,-685837.2678811237,24.695794595230836,49.78546444176608
85,850,-686336.8317375627,24.717170055228053,50.077858337090575
86,860,-686839.3033254597,24.738056054257505,50.3670793623547
87,870,-687344.6512635476,24.758481459069422,50.65319539297488
88,880,-687852.8448423791,24.77846686628169,50.93627225986129
89,890,-688363.8539993988,24.798033879929964,51.21637380049797
90,900,-688877.6492987832,24.817204558145214,51.49356195623259
91,910,-689394.2019190162,24.835980560211723,51.76789674653847
92,920,-689913.4836238797,24.85439023880734,52.03943638600759
93,930,-690435.4667531656,24.872454676558846,52.308237468432345
94,940,-690960.1242056019,24.89017561941298,52.57435489420459
95,950,-691487.4294172834,24.907572765951045,52.837841933613525
96,960,-692017.3563514174,24.92466713162139,53.098750396499234
97,970,-692549.8794804605,24.941471463793867,53.35713065703894
98,980,-693084.9737752044,24.95798390964046,53.61303159553499
99,990,-693622.6146865094,24.9742191785977,53.86650066822912
100,1000,-694162.7781311994,24.99020617804497,54.11758411921328
101,1010,-694705.4404861657,25.00594371814485,54.366326950688375
102,1020,-695250.5785696657,25.02143572011846,54.6127728479405
103,1030,-695798.1696298688,25.036699428461798,54.85696432047406
104,1040,-696348.1913358653,25.051744749210627,55.09894277686544
105,1050,-696900.6217636412,25.066583779844223,55.33874854205642
106,1060,-697455.4393885069,25.081217602646362,55.576420856923505
107,1070,-698012.623072187,25.09565460528852,55.81199790116807
108,1080,-698572.1520515647,25.10991214761728,56.04551690848748
109,1090,-699134.0059338561,25.123981954762712,56.27701412540918
110,1100,-699698.1646820845,25.137882306589745,56.50652485044847
111,1110,-700264.608605417,25.15163417702975,56.73408360128814
112,1120,-700833.3183607158,25.165210581291547,56.95972394082928
113,1130,-701404.2749289335,25.17862365701011,57.183478470114636
114,1140,-701977.4596145547,25.191915898810677,57.40537916851026
115,1150,-702552.8540395852,25.205074415323825,57.62545730778219
116,1160,-703130.44013713,25.21807536598095,57.843743188564254
117,1170,-703710.2001326423,25.23095006448882,58.06026636220486
118,1180,-704292.1165477625,25.243716571992096,58.2750558358588
119,1190,-704876.1721915334,25.256354813053537,58.48813987445755
120,1200,-705462.3501504534,25.268876257818107,58.699545996735104
121,1210,-706050.6337814541,25.28129132425238,58.909301127110666
122,1220,-706641.0067118969,25.2936003519223,59.11743156960292
123,1230,-707233.4528230522,25.305813063337613,59.32396302492125
124,1240,-707827.9562570623,25.317923355847597,59.52892058434372
125,1250,-708424.5013973538,25.329942839744213,59.732328756331114
126,1260,-709023.072874278,25.34188420912242,59.93421156026597
127,1270,-709623.6555533642,25.353736751931137,60.13459245406993
128,1280,-710226.2345340997,25.365482041612267,60.33349422952306
129,1290,-710830.7951382728,25.377169180882724,60.53093926460424
130,1300,-711437.3229070595,25.38878953093072,60.72694957596396
131,1310,-712045.8036128499,25.400310929174605,60.9215465181056
132,1320,-712656.2232152595,25.411796969175526,61.114751076445096
133,1330,-713268.567907558,25.423213604278768,61.306583874140046
134,1340,-713882.8240679957,25.43452936208933,61.49706482543988
135,1350,-714498.9782815457,25.445802827002183,61.686213499920264
136,1360,-715117.0173175563,25.45706107423146,61.87404935039667
137,1370,-715736.9281526672,25.468224658950934,62.060591211731655
138,1380,-716358.6979380212,25.4792938603032,62.245857218866874
139,1390,-716982.3140017914,25.490373570404767,62.429865492229865
140,1400,-717607.7638610542,25.5014027490396,62.61263392187974
141,1410,-718235.0352102164,25.512356973524053,62.79417971123911
142,1420,-718864.1158991584,25.52329901532513,62.97451983338978
143,1430,-719494.993966719,25.534174153939134,63.15367093378008
