,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-612081.3767397925,-0.0,0.0
1,10,-612081.481777688,0.1095346925780177,0.05476734628900885
2,20,-612082.357833101,0.6456642915669364,0.27095076546975183
3,30,-612086.0732411821,1.9122369696444368,0.7510729999688921
4,40,-612096.2522122407,3.775031719182152,1.5416581264740672
5,50,-612116.1611976048,5.783875177206936,2.59192460909253
6,60,-612147.8969085723,7.6306208974448975,3.8061972016002983
7,70,-612192.5201554452,9.220939969335449,5.100720845625619
8,80,-612250.4124108868,10.572845332557335,6.420162248148699
9,90,-612321.5701988246,11.73678953908675,7.73300894471613
10,100,-612405.7921398642,12.759990202641344,9.023052318130794
11,110,-612502.7837512667,13.676793152696334,10.282724244294513
12,120,-612612.2118296521,14.509541092836304,11.508960872527677
13,130,-612733.7310969912,15.27212785483571,12.700914617607486
14,140,-612866.9966564161,15.97331068809144,13.858779532203334
15,150,-613011.669605346,16.619025889682227,14.98322244357696
16,160,-613167.4195137175,17.213749465206647,16.07511964402074
17,170,-613333.9255160734,17.761248879550852,17.135438987736414
18,180,-613510.876744682,18.26497695424477,18.165189131615623
19,190,-613697.9726006349,18.728210336770285,19.16539724300819
20,200,-613894.9228133225,19.154097328253563,20.137097316655854
21,210,-614101.4474964318,19.545655862984116,21.081322508504673
22,220,-614317.2770766196,19.905755928641852,21.999098810979923
23,230,-614542.15221292,20.23709653892729,22.89143923609372
24,240,-614775.8236234232,20.542199095711112,23.759338598535393
25,250,-615018.0518799108,20.823406973213434,24.60376921916031
26,260,-615268.6071687198,21.082863891194602,25.42567704883986
27,270,-615527.2689980586,21.322535492500155,26.22597850743477
28,280,-615793.8258892335,21.544219653401534,27.00555848391086
29,290,-616068.0750576769,21.749542204590398,27.765268798983012
30,300,-616349.822066395,21.939977884408997,28.505927204032194
31,310,-616638.8804858532,22.116864059830572,29.228317115973912
32,320,-616935.0715474023,22.28140778308733,29.93318772645289
