,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-676117.6775760028,-0.0,0.0
1,10,-676117.7733405051,0.0621184983610874,0.0310592491805437
2,20,-676118.4070526047,0.3399713810358662,0.14711134362005396
3,30,-676120.4496094441,1.0678874606295723,0.41008543231728256
4,40,-676125.9359568274,2.3360137192416004,0.8800683906607447
5,50,-676137.3643778582,3.9317580957285827,1.565245915138803
6,60,-676156.8249982424,5.579441163962475,2.4233751550418674
7,70,-676185.7332110382,7.113503492536256,3.396435977696092
8,80,-676224.9103140839,8.475273412070235,4.4342479582745
9,90,-676274.750635604,9.665365161691446,5.50091727773397
10,100,-676335.3719969857,10.708129454869777,6.573288481682539
11,110,-676406.7252386663,11.632553866904345,7.63744740292168
12,120,-676488.6661977071,12.464066081342757,8.685535938139946
13,130,-676581.0000376082,13.222199488920163,9.713418159051798
14,140,-676683.5072853662,13.92090206957073,10.719139367154275
15,150,-676795.9585272853,14.569739130311063,11.701972412077884
16,160,-676918.1223789384,15.17518602912314,12.661854946498352
17,170,-677049.7696546431,15.741683722750167,13.599070207636396
18,180,-677190.6754375834,16.272413122962462,14.514072381002189
19,190,-677340.6200378193,16.769819680738156,15.407394900869987
20,200,-677499.3894142794,17.235930530761827,16.279604208368983
21,210,-677666.7753045338,17.672551999054825,17.131277519234573
22,220,-677842.5752520369,18.081370272405927,17.962992800294888
23,230,-678026.592575056,18.464003764127863,18.77532441993535
24,240,-678218.6363084716,18.822026825579798,19.56884136497829
25,250,-678418.5211564724,19.156982293934544,20.344106569723227
26,260,-678626.0674096155,19.470322361640893,21.10167549178732
27,270,-678841.100909559,19.763454430375702,21.842094664831528
28,280,-679063.4528528543,20.037812209303937,22.565902636856478
29,290,-679292.9598543944,20.294682741654118,23.27362903515459
30,300,-679529.4637421063,20.535257760115222,23.965791654288477
31,310,-679772.8114650804,20.760714206832958,24.642896179432864
32,320,-680022.8549750386,20.972136095911253,25.305436035073946
33,330,-680279.4510940977,21.170534374078805,25.953891333907087
34,340,-680542.4613780907,21.356852696347026,26.588728369423187
35,350,-680811.7519769018,21.531966617738387,27.21039925571531
36,360,-681087.1934901973,21.696687050373306,27.819341654525488
37,370,-681368.6608215547,21.85176437321934,28.41597864337673
38,380,-681656.0330323599,21.997892504517235,29.000718710535146
39,390,-681949.1931952598,22.13571234635891,29.57395584846963
40,400,-682248.028250843,22.26581430342044,30.136069711190068
41,410,-682552.4288636791,22.38874450358852,30.68742585953878
42,420,-682862.2892836296,22.505006135045566,31.22837606879766
43,430,-683177.5072096628,22.61506112238867,31.759258635505105
44,440,-683497.9836555924,22.719337766780534,32.280398755313946
45,450,-683823.6228218069,22.818232642734042,32.79210896637087
46,460,-684154.3319709796,22.91210934936528,33.294689551464394
47,470,-684490.0213074113,23.00130113729971,33.788428911255316
48,480,-684830.603859714,23.086118989018757,34.27360401034093
49,490,-685175.9953684516,23.16685223811943,34.750480867885926
50,500,-685526.1141809393,23.243765098013647,35.21931497027545
51,510,-685880.8811456047,23.317102117624017,35.68035166162445
52,520,-686240.219514243,23.387090089614503,36.133826568239606
53,530,-686604.0548459872,23.453937872813587,36.57996599932376
54,540,-686972.3149168463,23.51784209765036,37.01898736136209
55,550,-687344.9296315568,23.57898589322584,37.4510995757737
56,560,-687721.8309432258,23.63753363129217,37.87650340040709
57,570,-688102.9527705034,23.693639513739456,38.29539175093232
58,580,-688488.230922199,23.747452044626698,38.70795010821311
59,590,-688877.6030248981,23.799106423114594,39.114356864959696
60,600,-689271.0084543064,23.848723918141417,39.51478357351297
61,610,-689668.3882666983,23.89642357407998,39.90939526387519
62,620,-690069.6851356926,23.94231850968208,40.29835080204065
63,630,-690474.8432944488,23.986504190537335,40.68180309670569
