,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-708672.8862708508,-0.0,0.0
1,10,-708672.973427163,0.047063082025852056,0.023531541012926028
2,20,-708673.3963568879,0.31179052757215686,0.12501071391889126
3,30,-708675.0302630684,1.0713507962878794,0.3815168118599104
4,40,-708680.1422534764,2.395628623641096,0.8595288558630272
5,50,-708691.3717762576,4.028696416338789,1.5618520754520433
6,60,-708710.8444363014,5.682244036823977,2.43824205348792
7,70,-708739.9428607776,7.195820722685311,3.4257495843674404
8,80,-708779.4282460385,8.521774944826031,4.47234771289659
9,90,-708829.6329208558,9.669824250700188,5.542171105320449
10,100,-708890.6209304997,10.669747567328155,6.612870942059089
11,110,-708962.2999776037,11.553332047921138,7.671509777149185
12,120,-709044.4926052303,12.347418132168242,8.711136989379884
13,130,-709136.9791508896,13.072274371431563,9.728392528403493
14,140,-709239.5223404014,13.742204222065634,10.721965319851007
15,150,-709351.8807068567,14.366893864076692,11.691654789917813
16,160,-709473.815516207,14.952712674625218,12.63782352313574
17,170,-709605.0939797948,15.503843188492473,13.561091182114616
18,180,-709745.4904736992,16.023143690766293,14.462173894754962
19,190,-709894.7868837646,16.512656770041207,15.34180481871008
20,200,-710052.7724171708,16.973957594891562,16.20069735779398
21,210,-710219.2432756713,17.408422554109706,17.039532548954597
22,220,-710394.0022758322,17.817348466895055,17.858958538126902
23,230,-710576.858567681,18.201981170111708,18.659593518839397
24,240,-710767.6273135244,18.56354841012505,19.442029353545514
25,250,-710966.1294791171,18.903268214053213,20.206835309704182
26,260,-711172.1915985667,19.222378153930176,20.954561792330058
27,270,-711385.6456196957,19.522096784054895,21.6857432214907
28,280,-711606.3287730766,19.803597139776684,22.40089919551683
29,290,-711834.0833851395,20.06802619122027,23.10053531029989
30,300,-712068.7568006434,20.316475953441113,23.785143694430005
31,310,-712310.2011867091,20.549976790230712,24.455202865539466
32,320,-712558.2734628147,20.7696221080609,25.111179449530027
33,330,-712812.8350873629,20.97632221111852,25.753527858773303
34,340,-713073.7521526212,21.170795192354138,26.382686145995102
35,350,-713340.8948331211,21.35403155726091,26.99907896308723
36,360,-713614.1376603009,21.52685425087111,27.603120643580038
37,370,-713893.3591863733,21.68988830677989,28.195211329137962
38,380,-714178.4418949261,21.843832356954213,28.77573677468026
39,390,-714469.2720675247,21.989308989018916,29.345069839290225
40,400,-714765.7396372955,22.12691306544002,29.903570470416163
41,410,-715067.7380861008,22.257176808681148,30.451585869205886
42,420,-715375.1642927303,22.380587714666035,30.989450422709346
43,430,-715687.9184235146,22.49759995189664,31.517485990181743
44,440,-716005.9037936076,22.60869570715581,32.036002986294626
45,450,-716329.0267608836,22.714245189286917,32.54530048507004
46,460,-716657.1966542187,22.81456246585595,33.045665361802094
47,470,-716990.3255384209,22.910036454082068,33.537373528495664
