,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-583786.2847159731,-0.0,0.0
1,10,-583786.3650076984,0.149867542492575,0.0749337712462875
2,20,-583787.3681589155,0.8873433574219234,0.37170338184805585
3,30,-583792.5202928488,2.477811092528282,1.006507736624917
4,40,-583806.1984690065,4.587894336006139,1.9929630440470647
5,50,-583831.7130592329,6.704116283828626,3.2368614644306946
6,60,-583870.9077224574,8.56678105238825,4.621171513845912
7,70,-583924.5387558877,10.135223246834357,6.059014452509292
8,80,-583992.728849591,11.459869516221808,7.49920081490418
9,90,-584075.2800139529,12.603551812059596,8.915639982560243
10,100,-584171.8493243057,13.614448551466918,10.29655973302579
11,110,-584282.0370578495,14.523610028982507,11.637446252825614
12,120,-584405.4275932262,15.349694049765821,12.937180930459
13,130,-584541.6072291242,16.103968773785162,14.196134930242263
14,140,-584690.1715089793,16.79380314862356,15.415297028498028
15,150,-584850.728073549,17.42469709932629,16.59589894902165
16,160,-585022.8977194427,18.001319667883223,17.73926342528721
17,170,-585206.3147769053,18.52797286814022,18.846745043383272
18,180,-585400.6272290759,19.008757415693253,19.9197064611828
19,190,-585605.4967105397,19.447603964229334,20.95950655219786
20,200,-585820.598421855,19.84825410263145,21.96749195645389
21,210,-586045.6209683092,20.214228750948678,22.94498946975655
22,220,-586280.2661228394,20.54880584890491,23.893298945241263
23,230,-586524.2485189377,20.855007861583733,24.813686996110487
24,240,-586777.2952890036,21.13559593234676,25.707381647489093
25,250,-587039.145648456,21.393078194887494,26.575568126644068
26,260,-587309.5504483884,21.62972456878052,27.419385932249135
27,270,-587588.271703086,21.847577868503887,28.239926949299118
28,280,-587875.0821071098,22.048471596546015,29.038234431722962
29,290,-588169.7645397434,22.2340528020286,29.81530287677015
30,300,-588472.1115823977,22.405790558987064,30.572078457385945
31,310,-588781.9250354382,22.565001860886696,31.309459942953257
32,320,-589099.0154450976,22.712873288802825,32.02830023100832
33,330,-589423.2016625663,22.85045524686277,32.729407895037724
34,340,-589754.3103994085,22.978691916126994,33.413548853872626
35,350,-590092.1758112058,23.098435957595992,34.08144845035275
36,360,-590436.6391089148,23.210444619948873,34.73379339327802
37,370,-590787.5481723682,23.315396829499488,35.37123360979457
38,380,-591144.7572013321,23.41391233353651,35.99438433378526
39,390,-591508.1263679409,23.506542671145954,36.60382805932895
40,400,-591877.5215172585,23.59377384884283,37.20011616412085
41,410,-592252.8138380481,23.676067916466767,37.78377087279805
42,420,-592633.8796070337,23.753838355327055,38.355287198309085
43,430,-593020.5999110007,23.82742984610677,38.91513412599888
44,440,-593412.8604000044,23.8971661590854,39.46375597009755
45,450,-593810.5510349729,23.963384039510824,40.001574499112024
46,460,-594213.5658894834,24.02636394152644,40.528990451572454
47,470,-594621.802944758,24.086312892017304,41.04638395256333
48,480,-595035.1638693464,24.143460506619988,41.554115704032306
49,490,-595453.5538442384,24.198057084594655,42.0525290341524
50,500,-595876.8813996315,24.25026642828012,42.541950648278004
51,510,-596305.0582597062,24.30025014961422,43.02269105912565
52,520,-596737.9991430592,24.348199965711757,43.49504611305311
53,530,-597175.6216948993,24.39423506329189,43.959297713465645
54,540,-597617.846271076,24.4385003510979,44.41571441717388
55,550,-598064.5958735363,24.481095592593114,44.86455224231031
56,560,-598515.7959919454,24.52213903761003,45.306055326767094
57,570,-598971.3744853316,24.561788206608657,45.740457279259864
58,580,-599431.2615264131,24.60007964630495,46.16798121389729
59,590,-599895.389439728,24.637137459110818,46.58884016652155
60,600,-600363.6926330507,24.673066137183923,47.00323835149902
61,610,-600836.1075381645,24.707830559779584,47.41137043728522
62,620,-601312.5724504464,24.741581910126754,47.81342252496688
63,630,-601793.0274927057,24.774460490580577,48.20957411364507
64,640,-602277.4145787519,24.80636857263744,48.59999657042499
65,650,-602765.6772634315,24.837445090146367,48.98485359482292
66,660,-603257.7606874153,24.86781914194008,49.36430343400425
67,670,-603753.6116157512,24.897373519331545,49.738497298181755
68,680,-604253.1782016192,24.92628680533943,50.10758011372964
69,690,-604756.4100716645,24.95458947761222,50.471691992890555
70,700,-605263.2582374733,24.982220638514363,50.830966784556225
71,710,-605773.6749562605,25.00933222912421,51.18553327564005
72,720,-606287.613827978,25.035867760819485,51.53551552637509
73,730,-606805.0296054926,25.061875292452065,51.88103239924385
74,740,-607325.8782339054,25.087482573610036,52.2221990967184
75,750,-607850.1167891315,25.112722101839765,52.559127261453256
76,760,-608377.703441224,25.137495888478426,52.891923671223054
77,770,-608908.5974245581,25.161783439273073,53.22069013779838
78,780,-609442.7589095364,25.18583931597543,53.54552602987242
79,790,-609980.1491163168,25.209519932093155,53.866527641416184
80,800,-610520.7301928827,25.23288243683055,54.18378708026721
81,810,-611064.4651219652,25.255906390296705,54.497393252227624
82,820,-611611.3179174474,25.278581846848887,54.80743160314596
83,830,-612161.2531801519,25.30128135808348,55.11398665491288
84,840,-612714.2366575472,25.32348979379725,55.41713907078811
85,850,-613270.234626945,25.34548841479415,55.71696523740684
86,860,-613829.2142023107,25.367539598205077,56.01354204106756
87,870,-614391.1433624038,25.3890878001924,56.30694203410822
88,880,-614955.9906027012,25.41057923070602,56.59723462289403
89,890,-615523.7252416789,25.431876102625456,56.8844886224193
90,900,-616094.3172663784,25.452981457812776,57.168769783404414
91,910,-616667.7371776293,25.474088808611786,57.45014275687426
92,920,-617243.9563662591,25.494733537151674,57.728668612241734
93,930,-617822.9465152537,25.51553513230187,58.004407243093
94,940,-618404.6801328951,25.53648720334141,58.277419918244405
95,950,-618989.130276591,25.55699290285702,58.54776278594799
96,960,-619576.2704898304,25.57713074320941,58.81548749753129
97,970,-620166.0748770454,25.59758398629492,59.08064802935988
98,980,-620758.5179845754,25.618220480985613,59.34329954510322
99,990,-621353.5751822363,25.638130649822415,59.603490259971295
100,1000,-621951.2218958432,25.6581348393226,59.861266442500344
