,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-677207.5783188513,-0.0,0.0
1,10,-677207.7177325996,0.10835215248516761,0.054176076242583804
2,20,-677208.6599771979,0.631147575553041,0.26613904637342783
3,30,-677212.3306461956,1.875324564334005,0.7364800343173556
4,40,-677222.3645870555,3.6872823669807984,1.509944424245623
5,50,-677241.947887316,5.5719311132561415,2.5280478314438373
6,60,-677272.942020583,7.228233403869672,3.6875937264252574
7,70,-677316.1405773425,8.603486139018786,4.904481234296691
8,80,-677371.7076768029,9.751274023344742,6.128470584971364
9,90,-677439.4960453062,10.742092997959116,7.334708155761472
10,100,-677519.2297031395,11.63092581983073,8.51303739108407
11,110,-677610.5941488164,12.452312532332144,9.660597888090704
12,120,-677713.2754327555,13.224723344994711,10.77764223348058
13,130,-677826.9733888078,13.9564325618936,11.865458240620498
14,140,-677951.4035735214,14.650282562535722,12.925468485619055
15,150,-678086.2954982205,15.306666500080613,13.958915079521827
16,160,-678231.389664466,15.925299057690424,14.96680289174401
17,170,-678386.4353849667,16.50607728683973,15.949941348674475
18,180,-678551.1890030549,17.049362391763147,16.909007609823313
19,190,-678725.4131006231,17.55602943190313,17.84460178411828
20,200,-678908.8758136254,18.027404555992668,18.757287672541864
21,210,-679101.3508782414,18.46513383380079,19.647618830103603
22,220,-679302.6174333079,18.871177078172355,20.51615526190581
23,230,-679512.4603393526,19.247579725677497,21.36347129625647
24,240,-679730.6702840417,19.596314322575935,22.190153490853845
25,250,-679957.0438521607,19.919412560848304,22.99679829045781
26,260,-680191.3836586464,20.218894670053814,23.784011439175814
27,270,-680433.4984250661,20.496655448598915,24.55240403016942
28,280,-680683.2030250512,20.754387010564116,25.302585777422067
29,290,-680940.318413451,20.993727599218246,26.035160651858316
30,300,-681204.6715157568,21.216235121595695,26.750725391227753
31,310,-681476.0952674899,21.42330115989315,27.44986642540316
32,320,-681754.4283199578,21.616206786688394,28.133156771927315
33,330,-682039.5150907674,21.796108230578803,28.801154067069
34,340,-682331.2053826422,21.964117567444895,29.45439986010169
35,350,-682629.3544391729,22.1211942890805,30.093418650307285
36,360,-682933.8225836413,22.268226428562826,30.718716634198792
37,370,-683244.4751524802,22.406013262740426,31.330781519827724
38,380,-683561.1822584498,22.535294905287365,31.930082521065195
39,390,-683883.8185828283,22.656818158342503,32.517071586963716
40,400,-684212.2632963166,22.771120983292406,33.092182626925926
41,410,-684546.39977539,22.878735093781113,33.655830603775385
42,420,-684886.1154551667,22.980258903309064,34.20841407908737
43,430,-685231.3016851165,23.076129884427125,34.75031568152043
44,440,-685581.853574877,23.16670427882336,35.28190077636827
45,450,-685937.6697621773,23.252429448097214,35.803519106737795
46,460,-686298.6523348409,23.333682728401683,36.31550642011715
47,470,-686664.7066654142,23.410745870351093,36.818183894277894
48,480,-687035.741253699,23.483920439751785,37.31185855350777
49,490,-687411.6676076896,23.5534802780953,37.79682436024595
50,500,-687792.4001062568,23.619673356733983,38.273362729304054
51,510,-688177.8558808044,23.682751631530046,38.7417433023962
52,520,-688567.9546975001,23.74291646340862,39.20222441560763
53,530,-688962.6188610811,23.80034033588607,39.65505320189695
54,540,-689361.7730706383,23.855226062459444,40.1004664373002
55,550,-689765.344362366,23.907729595608505,40.53869115642446
56,560,-690173.2619816005,23.95799897625099,40.969944857893275
57,570,-690585.4573033568,24.00619463844038,41.39443621776154
58,580,-691001.8637489744,24.05243102744579,41.81236541582475
59,590,-691422.4166967255,24.096826558568864,42.22392435372895
60,600,-691847.0533998155,24.139514014357744,42.6292973650794
61,610,-692275.7129216593,24.18057640483025,43.02866142780695
62,620,-692708.3360599994,24.220109284022968,43.42218633571611
63,630,-693144.8652622685,24.25821752804627,43.81003533362092
64,640,-693585.2445971408,24.294977562688246,44.19236538176628
65,650,-694029.4196457525,24.330482016273844,44.56932744794612
66,660,-694477.3374952589,24.364757335104517,44.941066496880374
67,670,-694928.9466335543,24.397906002513043,45.30772191723518
68,680,-695384.196912974,24.430064330203507,45.669428668584445
69,690,-695843.0395353874,24.461159452528126,46.02631627318333
70,700,-696305.4269567657,24.4912179083332,46.37850832259865
71,710,-696771.3128195119,24.5204656610848,46.7261249290139
72,720,-697240.6519822193,24.54892733283336,47.0692829266889
73,730,-697713.4004504876,24.57650341546973,47.40809380389692
74,740,-698189.5153006356,24.603287918225288,47.74266445095127
75,750,-698668.9546586773,24.62939762874168,48.07309886702278
76,760,-699151.6776936023,24.654821452451866,48.399497623927886
77,770,-699637.6445456024,24.679590733599397,48.721957479327095
78,780,-700126.816308386,24.70377948033862,49.040572122784205
79,790,-700619.1549991423,24.727298249150213,49.355431571208456
80,800,-701114.6235280315,24.750246837036798,49.66662250159279
81,810,-701613.1856036944,24.772764068029822,49.974229841040504
82,820,-702114.8058710955,24.794813347572926,50.27833602402242
83,830,-702619.4496719838,24.816416032984794,50.57902039241453
84,840,-703127.0832450608,24.83732201041397,50.876358076983884
85,850,-703637.6734588434,24.857887205755347,51.17042214534303
86,860,-704151.1879152214,24.87828084007512,51.461286178934095
87,870,-704667.5950749762,24.898041639561292,51.749019539939766
88,880,-705186.8638787961,24.917420933674833,52.033687988575544
89,890,-705708.9640665755,24.93658981065958,52.315357445063995
90,900,-706233.8659427952,24.95549904147648,52.59409230758901
91,910,-706761.5405142695,24.97393398998247,52.86995338645792
92,920,-707291.9593397016,24.99185638291509,53.14299811041418
93,930,-707825.0945153657,25.009786439340612,53.41328463425888
94,940,-708360.9187611223,25.027593877934784,53.6808713510254
95,950,-708899.4054138551,25.044835294364223,53.94581177297803
96,960,-709440.528222491,25.061847149580785,54.20815714948403
97,970,-709984.2615061527,25.078760754258838,54.467959566038914
98,980,-710530.5801201721,25.095287955529265,54.72526871213631
99,990,-711079.4593554623,25.11180283439469,54.98013318262529
100,1000,-711630.8749925289,25.128117269196082,55.232601056013664
101,1010,-712184.8033877354,25.143941256456166,55.48271659907478
102,1020,-712741.2211117934,25.159840042615542,55.73052410501842
103,1030,-713300.1054165456,25.175592932928776,55.97606827042619
104,1040,-713861.4338349962,25.19088901169576,56.21938992993091
105,1050,-714425.1843746502,25.206213275567055,56.46052956028288
106,1060,-714991.335361665,25.221565248817356,56.69952879470947
107,1070,-715559.865699717,25.236488185471035,56.93642595699493
108,1080,-716130.7544601258,25.251453315303507,57.17125834834005
109,1090,-716703.9812259745,25.26666041619878,57.4040653368007
110,1100,-717279.5259487034,25.281148980255317,57.63488176234823
111,1110,-717857.3689211921,25.29514229299982,57.863738158295746
112,1120,-718437.4905823647,25.309579590940928,58.09066943529906
113,1130,-719019.8719830018,25.324233503631127,58.31571276044852
114,1140,-719604.4943515942,25.338758284243603,58.538901795751016
115,1150,-720191.3393752553,25.352827990543947,58.76026638742188
116,1160,-720780.3889132042,25.366519261850044,58.97983451943147
117,1170,-721371.625142462,25.380557877823428,59.19763688708045
118,1180,-721965.0305504217,25.394832216848982,59.41370603089308
119,1190,-722560.588023473,25.408601583473416,59.62807008233358
120,1200,-723158.2806053398,25.421984840417622,59.84075384935131
121,1210,-723758.0916108987,25.435833217142843,60.05178553501755
122,1220,-724360.0046552047,25.449868326610712,60.26119502289221
123,1230,-724964.0037382309,25.46334696499072,60.469007302443785
124,1240,-725570.0729241931,25.47675447090296,60.67524569162487
125,1250,-726178.1966288037,25.490222516237004,60.87993543036282
126,1260,-726788.3595010753,25.503881632362116,61.08310219992127
127,1270,-727400.5463905818,25.517631052289016,61.28477119379386
128,1280,-728014.7425483171,25.530754671990962,61.48496381861041
129,1290,-728630.9332015101,25.54385192036543,61.68370050703379
130,1300,-729249.1039563938,25.557256314321144,61.881004824690166
131,1310,-729869.2405866773,25.57076587491939,62.07690030739467
132,1320,-730491.3291356441,25.58424021058036,62.271408651226366
133,1330,-731115.3558392873,25.59735488121486,62.4645493094722
134,1340,-731741.3071149583,25.61064743429296,62.65634208421251
135,1350,-732369.1695444931,25.62451206830184,62.846809801757615
136,1360,-732998.9300636558,25.637499556806773,63.03597091508709
137,1370,-733630.5756977191,25.650066218530704,63.22383980852318
138,1380,-734264.0934533995,25.663718445715396,63.410437676004946
139,1390,-734899.4709213739,25.677271482860863,63.595786449036666
140,1400,-735536.6956021129,25.690341573558012,63.77990195485181
141,1410,-736175.7552879015,25.70371341260877,63.962801094660236
142,1420,-736816.6378484188,25.717028922448137,64.14450193330413
143,1430,-737459.3314880213,25.730162298607,64.32502045448781
144,1440,-738103.824328224,25.74366223295158,64.50437377301714
145,1450,-738750.1049363365,25.757066546386543,64.68257895995339
146,1460,-739398.161825316,25.770522572967664,64.85965164509398
147,1470,-740047.9837823197,25.783900773856395,65.03560720215319
148,1480,-740699.5597395514,25.79682224884164,65.21045897143776
149,1490,-741352.8786557243,25.81008466003177,65.38422142030322
150,1500,-742007.9297679081,25.824217269692085,65.55691316688461
151,1510,-742664.7024109169,25.838207502458765,65.72855086960189
152,1520,-743323.1862542033,25.850996407120984,65.8991440204787
153,1530,-743983.3707243883,25.864290172918118,66.06870401696506
154,1540,-744645.2456342899,25.878189482715175,66.23724793678265
155,1550,-745308.8009437872,25.89223078856616,66.40479135763016
156,1560,-745974.0266220344,25.9059206690402,66.57134647977072
157,1570,-746640.9130291961,25.91874292500769,66.73692204406397
158,1580,-747309.4501535401,25.932888538699572,66.90153191431163
159,1590,-747979.6286159871,25.947376368324882,67.06519354045304
160,1600,-748651.4389732835,25.960825147107013,67.22791664220858
161,1610,-749324.8718446319,25.974772169933065,67.38971121510986
162,1620,-749999.9179993137,25.988685000676423,67.55059020016924
163,1630,-750676.5684328219,26.002600844638536,67.7105647701901
164,1640,-751354.8139846033,26.01724449252896,67.8696482168234
165,1650,-752034.6460273542,26.031162951999924,68.02785139615443
166,1660,-752716.0556392813,26.04531480531465,68.18518345151969
167,1670,-753399.0342068445,26.059466821228852,68.34165555066139
168,1680,-754083.5732734305,26.0736446190395,68.49727803920833
169,1690,-754769.664174795,26.08879866793601,68.65206396687863
170,1700,-755457.2989182032,26.10280532253043,68.80602271858515
171,1710,-756146.4690063356,26.117286700659072,68.95916201079817
172,1720,-756837.1663995225,26.132674236688274,69.11149542244965
173,1730,-757529.3831447067,26.146899725322392,69.26303157306974
174,1740,-758223.1112469432,26.161228688154864,69.41377659192658
175,1750,-758918.3428090259,26.176398573661075,69.56374224664323
176,1760,-759615.0701699245,26.19166968516049,69.71294010936835
177,1770,-760313.2856501619,26.20644280925626,69.86137776134419
178,1780,-761012.981745107,26.221032773866824,70.0090618472488
179,1790,-761714.1508512548,26.237044939823427,70.1560042687197
180,1800,-762416.7856872049,26.252918897894375,70.3022168784635
181,1810,-763120.8790791499,26.26754897017193,70.44770394315273
182,1820,-763826.4236112802,26.282304454182352,70.59247036624146
183,1830,-764533.4122902428,26.297996223324766,70.73652694805496
184,1840,-765241.8378660047,26.315132302417567,70.87988790844392
185,1850,-765951.6936972316,26.33132455201121,71.02256216216773
186,1860,-766662.9728016645,26.345603263047153,71.16454941834817
187,1870,-767375.6683635829,26.36086366480687,71.3058545251828
188,1880,-768089.7734584562,26.378468920569333,71.44649362031777
189,1890,-768805.2817173492,26.39515135141609,71.5864775654947
190,1900,-769522.1865554437,26.410345505399704,71.72580691744805
191,1910,-770240.4813465338,26.4266624047249,71.86448757118778
192,1920,-770960.1597251692,26.443952327034822,72.00253177488776
193,1930,-771681.2153552795,26.46029552236059,72.13994622247264
194,1940,-772403.6420516295,26.476205612405565,72.27673385420348
195,1950,-773127.4333630973,26.494664663361895,72.41290653513279
196,1960,-773852.5833895563,26.511675532907248,72.5484733980702
197,1970,-774579.0861739229,26.52723285324464,72.68343322557484
