,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-750582.8109724193,-0.0,0.0
1,10,-750582.808300121,0.021523732013884002,0.010761866006942001
2,20,-750582.8166247399,0.2251179323939141,0.07780321511236252
3,30,-750583.6639048049,0.854239074033103,0.2764558772163582
4,40,-750587.3246357084,1.9147386338911019,0.6581713854582631
5,50,-750595.9093638092,3.1678220192843587,1.2142959166230867
6,60,-750610.9800330157,4.402968415565555,1.8979921531819857
7,70,-750633.4973989677,5.535316223927658,2.6602859180929954
8,80,-750663.9885530935,6.559249972458929,3.465618771652225
9,90,-750702.7158125488,7.4973937162110795,4.292093768053745
10,100,-750749.7933230336,8.374534603382928,5.12734237134573
11,110,-750805.2559759796,9.208746138340215,5.964648471439432
12,120,-750869.0962313872,10.010464257071723,6.800330518741975
13,130,-750941.2824890044,10.784290106419936,7.632213584828423
14,140,-751021.7673539311,11.531230389478148,8.458823630303959
15,150,-751110.4914331259,12.250408583102402,9.279000239841116
16,160,-751207.3848490163,12.940275811357424,10.091730811716115
17,170,-751312.368133469,13.599351559847124,10.896095359051833
18,180,-751425.35303363,14.226514477055764,11.691257244978624
19,190,-751546.2433080706,14.821178751866684,12.476469222460583
20,200,-751674.9356948592,15.383314022386898,13.25108309280622
21,210,-751811.320964255,15.913337308799969,14.01455492690875
22,220,-751955.2849841333,16.41205034854357,14.766445054736687
23,230,-752106.7097391229,16.88056752806587,15.506415058327548
24,240,-752265.4743649502,17.320181372459047,16.234221029559556
25,250,-752431.4560227352,17.732319049828238,16.94970452248235
26,260,-752604.5307147212,18.118503768288065,17.652783668253686
27,270,-752784.5740168273,18.48028087730632,18.343443856682278
28,280,-752971.4616856741,18.81916657255495,19.021727826274578
29,290,-753165.0702048116,19.136639453668625,19.68772643175907
30,300,-753365.2771803022,19.434153186448384,20.341571044412554
31,310,-753571.9617575597,19.713076675892808,20.9834264471312
32,320,-753785.0048791788,19.97471233876422,21.61348417703557
33,330,-754004.2895382766,20.22028895009719,22.231957071724175
34,340,-754229.7009684789,20.45092468135995,22.83907397849253
35,350,-754461.1267601452,20.667699842553677,23.43507572575909
36,360,-754698.4569691689,20.871630737639485,24.020212340897707
37,370,-754941.5842104052,21.063619383244088,24.594739606321674
38,380,-755190.4036706784,21.244514832040295,25.158916201395915
39,390,-755444.8131410796,21.41512011789312,25.713002113315454
40,400,-755704.7130193795,21.57616557134311,26.25725700498151
41,410,-755970.0062975159,21.728318705901607,26.791938571036734
42,420,-756240.598533652,21.872199383022977,27.317301393438537
43,430,-756516.3978136653,22.008389702040603,27.83359622759017
44,440,-756797.3147140036,22.13742218061816,28.341069351442275
45,450,-757083.2622504678,22.25978417275467,28.839961902383948
46,460,-757374.1558236103,22.37592054319104,29.330509365280157
47,470,-757669.9131620905,22.486255386940353,29.81294137576333
48,480,-757970.4542554284,22.591176541848142,30.28748161424737
49,490,-758275.7013123403,22.691027390173986,30.75434746570972
50,500,-758585.5786676981,22.786155958019627,31.21375012110802
51,510,-758900.0127502556,22.87686233441338,31.66589464475109
52,520,-759218.9320047342,22.96341191915566,32.11097964649816
53,530,-759542.266825296,23.04608577855106,32.54919758775358
54,540,-759869.949504785,23.12512026175977,32.98073497523
55,550,-760201.914172622,23.200741567096053,33.40577229156333
56,560,-760538.0967235483,23.273167018359487,33.82448425808397
57,570,-760878.4347865423,23.34256331374062,34.23703971948998
58,580,-761222.8676330389,23.409130387083778,34.64360189496801
59,590,-761571.3361466477,23.473025736727784,35.044328690053945
60,600,-761923.7827703827,23.534422685333993,35.43937282601982
61,610,-762280.1514225068,23.593489482882433,35.82888227312068
62,620,-762640.3875228501,23.650291526172033,36.21299968864623
63,630,-763004.4378390104,23.70501679193694,36.59186290001962
64,640,-763372.250527915,23.757737403921965,36.96560527739202
65,650,-763743.7750598263,23.80856813958953,37.33435543270316
66,660,-764118.9621188573,23.857694493862663,37.69823837434815
67,670,-764497.7637071897,23.90512434551206,38.057374934489786
68,680,-764880.1329185838,23.95097347823908,38.41188148393413
69,690,-765266.0240705803,23.995337595557892,38.76187084097766
70,700,-765655.3925262387,24.03828801761847,39.10745215618519
71,710,-766048.1947746059,24.079880086783568,39.44873083378336
72,720,-766444.3882984751,24.120212059049038,39.785808926745084
73,730,-766843.9316082579,24.15933473300538,40.118785294808916
74,740,-767246.784188522,24.19730349998551,40.44775548415928
75,750,-767652.9064335445,24.234248752254747,40.77281243642646
76,760,-768062.2597020825,24.270164203876842,41.094046227695074
77,770,-768474.8061914989,24.30503976882906,41.41154329417914
78,780,-768890.5089862766,24.338984248886007,41.72538735754352
79,790,-769309.3319441384,24.372150839125858,42.03566060657904
80,800,-769731.2398008547,24.404380263295025,42.3424421024596
81,810,-770156.1980263167,24.43580706927448,42.64580779434763
82,820,-770584.1728055645,24.466606283280882,42.94583273326861
83,830,-771015.1311737144,24.496573713302496,43.24258907811162
84,840,-771449.0407401685,24.525936946110107,43.536146519193416
85,850,-771885.8698988053,24.55460187267466,43.82657307365588
86,860,-772325.587692366,24.58240597648546,44.11393287318059
87,870,-772768.1637306598,24.609986106207238,44.39829053991997
88,880,-773213.5683217618,24.637184882024115,44.67971124669129
89,890,-773661.772498655,24.663397581267244,44.9582536650807
90,900,-774112.7476715585,24.689141326787585,45.23397397471854
91,910,-774566.4659397205,24.71450700845162,45.5069298655304
92,920,-775022.899973056,24.739358115301002,45.777176893317666
93,930,-775482.0229003502,24.76412046880571,46.04477035918099
94,940,-775943.8085172124,24.7881509481115,46.30976265855425
95,950,-776408.23109559,24.811333402627564,46.572200490576506
96,960,-776875.2652107084,24.834709679894218,46.83213390210294
97,970,-777344.8861680521,24.858062356323284,47.08961569039529
98,980,-777817.0696999043,24.88064774736995,47.34469211278192
99,990,-778291.7919878776,24.90267319625986,47.59740526987443
100,1000,-778769.0295555277,24.924466526717737,47.847798679256805
101,1010,-779248.759493843,24.946142324173707,48.09591676597046
102,1020,-779730.9591977618,24.96739809894374,48.3418017264179
103,1030,-780215.6066601347,24.988578923116584,48.585494713965446
104,1040,-780702.6799765053,25.009836409706622,48.82703809326922
105,1050,-781192.158128921,25.03031679461113,49.06646967612906
106,1060,-781684.0199230987,25.050411756668247,49.30382398047223
107,1070,-782178.244956486,25.07026667549814,49.539137078936626
108,1080,-782674.8128552607,25.09034366249122,49.772446856231554
109,1090,-783173.7038463597,25.110529818772843,50.00379177126889
110,1100,-783674.8985072976,25.129925035522476,50.23320461984841
111,1110,-784178.3776095614,25.149055434856564,50.4607155853184
112,1120,-784684.1223138929,25.168227089894856,50.68635777546005
113,1130,-785192.1140954423,25.18769616787904,50.91016591515508
114,1140,-785702.3347730204,25.206773910310666,51.13217192412121
115,1150,-786214.7665799668,25.225317278120283,51.35240324255719
116,1160,-786729.3917142216,25.244024599156944,51.57088898592919
117,1170,-787246.1930878923,25.262048634665636,51.78765690958534
118,1180,-787765.1534914915,25.28016714707516,52.00273373470117
119,1190,-788286.2561936416,25.299293232231697,52.21615263841521
120,1200,-788809.4848169468,25.317903600632974,52.42794345481379
121,1210,-789334.8232635026,25.33518752435621,52.63812557735509
122,1220,-789862.2554436023,25.3528892935662,52.84672171888378
123,1230,-790391.7656019666,25.371679120534274,53.05376390986785
124,1240,-790923.3384929771,25.389700900367373,53.259278643073046
125,1250,-791456.9588929903,25.40699471574026,53.463284448147164
126,1260,-791992.6117684487,25.424333707376903,53.665802640134636
127,1270,-792530.2824223229,25.44200033826664,53.86685820892161
128,1280,-793069.9562609703,25.459906920045796,54.06647632599052
129,1290,-793611.6191801085,25.47805936838267,54.26468125549145
130,1300,-794155.2569744044,25.495958104555214,54.46149480091117
131,1310,-794700.8561113417,25.512292366515705,54.65693133994064
132,1320,-795248.4025980246,25.52938575188145,54.85100872040203
133,1330,-795797.8830555113,25.548124548225125,55.04375652016752
134,1340,-796349.2843991453,25.56592784160176,55.23519735431619
135,1350,-796902.5936461615,25.582787863226063,55.425343673616595
136,1360,-797457.7978205172,25.5998719139954,55.61421191593108
137,1370,-798014.8843221045,25.617185112508306,55.801822468408496
138,1380,-798573.8406159815,25.634576811612547,55.98819474622287
139,1390,-799134.6544681534,25.65212748269551,56.17334748758003
140,1400,-799697.3137235651,25.669621305365382,56.35729854639357
141,1410,-800261.8065213915,25.68701509495721,56.54006447135179
142,1420,-800828.1210086645,25.705269336816855,56.721664689111634
143,1430,-801396.2456711105,25.72296903627555,56.90211665203678
144,1440,-801966.1692147038,25.739785852096873,57.08143135964346
145,1450,-802537.8800569235,25.756237332927622,57.259620227567204
146,1460,-803111.3673612577,25.773832163220504,57.43670138756424
147,1470,-803686.619611656,25.793649393523598,57.61270143740693
148,1480,-804263.6268316918,25.810955648334186,57.78763411323307
149,1490,-804842.3778464955,25.826711272529792,57.96150010407145
150,1500,-805422.862236085,25.84447721237666,58.13431517779681
151,1510,-806005.0694266431,25.863314028122435,58.3061035478473
152,1520,-806588.9895010681,25.881959206563923,58.476881684229014
153,1530,-807174.6122158048,25.89930302764966,58.64665795312321
154,1540,-807761.9278079477,25.916226451512518,58.815439790686646
155,1550,-808350.9260645815,25.93473399557137,58.983243815305464
156,1560,-808941.5976022173,25.95326390726237,59.150087785713545
157,1570,-809533.9327479377,25.970704306137883,59.315980573260454
158,1580,-810127.9220795401,25.989415934769095,59.480934809778404
159,1590,-810723.5561712446,26.008473095341582,59.64496744815696
160,1600,-811320.8261558337,26.02693432895478,59.808089269178154
161,1610,-811919.7226066509,26.045894912723337,59.9703113113559
162,1620,-812520.2369657095,26.062640092807005,60.13163943095569
163,1630,-813122.3600718492,26.07919723653514,60.29207721569109
