,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-717804.0279876316,-0.0,0.0
1,10,-717804.1271233093,0.08052747717010789,0.04026373858505394
2,20,-717804.8358559912,0.4595965466403868,0.19542661383020457
3,30,-717807.5464937515,1.3536237729073037,0.5359297126415186
4,40,-717814.8356552836,2.668155696045141,1.0950531367983785
5,50,-717829.0141811657,4.070348287568777,1.835607427560899
6,60,-717851.5170115365,5.348465834691888,2.6883477425421005
7,70,-717883.0446548805,6.4591758871654745,3.5954229349925297
8,80,-717923.8548066873,7.437441967078485,4.5216327641610405
9,90,-717973.9847050934,8.332017983359403,5.449362775067857
10,100,-718033.3798116735,9.17969373788219,6.3712373499263775
11,110,-718101.9559463435,10.000894961151062,7.284808171418263
12,120,-718179.6235916113,10.803322810109238,8.189532756437256
13,130,-718266.2940783614,11.586980524679534,9.085324303961533
14,140,-718361.8784475827,12.348252795077865,9.97198642946023
15,150,-718466.2844581475,13.082537330701598,10.84908003554592
16,160,-718579.4140258258,13.785619645658883,11.715965227162815
17,170,-718701.1616041488,14.454358716079136,12.571894038621394
18,180,-718831.413653183,15.086845615378103,13.416101281024748
19,190,-718970.0490059527,15.682228274253445,14.247870543639873
20,200,-719116.93960413,16.240603040962025,15.066575837407436
21,210,-719271.951625176,16.76279504733103,15.871705081225082
22,220,-719434.9467611589,17.25009975085268,16.662866970628965
23,230,-719605.7833778228,17.704176264378475,17.43978808929096
24,240,-719784.3177359166,18.126871513039788,18.202304642864327
25,250,-719970.4050022338,18.52012113049568,18.950350221995905
26,260,-720163.900163196,18.885918085032618,19.68394337701029
27,270,-720364.6588204536,19.226198122321485,20.40317481538368
28,280,-720572.5378490678,19.542827719601327,21.108194587774047
29,290,-720787.3958951508,19.8375985998573,21.799201216262006
30,300,-721009.0938602533,20.112178255745707,22.476431749257607
31,310,-721237.4951748134,20.368155524256885,23.140153357674716
32,320,-721472.4661091132,20.607001291774168,23.790656390346705
