,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-709017.2411356965,-0.0,0.0
1,10,-709017.3224191387,0.11722823716409038,0.05861411858204519
2,20,-709018.2626589931,0.6438064780435524,0.27817985667497847
3,30,-709022.1741155097,1.7846437400003197,0.7365720995192531
4,40,-709032.1603118506,3.36815696725389,1.4550323437593757
5,50,-709050.8210617474,5.023959429236129,2.3784479075897247
6,60,-709079.7395343806,6.520396346237976,3.4242102126998355
7,70,-709119.6596834189,7.79366422344756,4.52426687656116
8,80,-709170.7880658855,8.864906460023484,5.635013831987452
9,90,-709233.0335292245,9.781464662746293,6.732485189224825
10,100,-709306.1611296906,10.589305802684974,7.805365182844978
11,110,-709389.8805513089,11.323594810100618,8.8495393279838
12,120,-709483.8914167064,12.007876781537206,9.864576382219091
13,130,-709587.9042817936,12.656292579695592,10.851685065284254
14,140,-709701.6479596606,13.276361447316587,11.812621315094292
15,150,-709824.8704509852,13.871476583924949,12.749159633867382
16,160,-709957.3369638929,14.442706010676929,13.662876749498537
17,170,-710098.8272244005,14.989990649209366,14.555093390250114
18,180,-710249.1327331519,15.512868992972658,15.42688849575061
19,190,-710408.0545640492,16.01086541243712,16.279140086818373
20,200,-710575.4015446175,16.483754297543776,17.112572507742154
21,210,-710750.9889887768,16.931613234253003,17.927800013615343
22,220,-710934.6378646782,17.35476953410541,18.725360242370517
23,230,-711126.1741053791,17.75379074662927,19.505738795443904
24,240,-711325.4283111645,18.12947659534403,20.26938819726638
25,250,-711532.2353798017,18.48280399150095,21.016741706166066
26,260,-711746.4345519764,18.814775164163457,21.748220385306922
27,270,-711967.8691406107,19.126484334049785,22.464237138952015
28,280,-712196.3866007332,19.419074463273844,23.165200480130444
29,290,-712431.8384337664,19.69367252153461,23.851515744932115
30,300,-712674.0801844375,19.95139988162558,24.523585154250036
31,310,-712922.9714131587,20.193311615660765,25.181807060056602
32,320,-713178.3756346506,20.420473321061536,25.82657553014433
33,330,-713440.1602785067,20.633881375874616,26.458279992087046
34,340,-713708.196676515,20.83437284107787,27.07730239428638
35,350,-713982.3599091588,21.02288462100845,27.68401715334185
36,360,-714262.5287452514,21.200325421162454,28.278793040681926
37,370,-714548.5856936635,21.367334757753945,28.861989771861413
38,380,-714840.4167311223,21.52464770238144,29.433956587573633
