,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-630522.1173471718,-0.0,0.0
1,10,-630522.1656971885,0.06443368787004147,0.032216843935020736
2,20,-630522.6476593422,0.3941115947498474,0.1629615865575033
3,30,-630524.8397447367,1.2057222716248361,0.46244319718243787
4,40,-630531.0602034075,2.462680912052747,0.9712320231265039
5,50,-630543.5900892399,3.9136690314044245,1.6704340402735398
6,60,-630564.0995565935,5.357484805356944,2.508258010527061
7,70,-630593.6497859943,6.707392812983017,3.433814564281784
8,80,-630632.8554751484,7.945254422631116,4.409492452337872
9,90,-630682.0374416801,9.081010590452934,5.410571442110813
10,100,-630741.3376658165,10.129829704528674,6.421563515695743
11,110,-630810.7851444345,11.104876737631272,7.432822125359962
12,120,-630890.3391753028,12.016379130212588,8.438271713556606
13,130,-630979.914217144,12.870844890121951,9.433986673089386
14,140,-631079.3952818897,13.672032027412211,10.417306026985171
15,150,-631188.6458895154,14.421426935077761,11.386307116276296
16,160,-631307.5143371264,15.12141648344695,12.339565612553269
17,170,-631435.8347003803,15.775471989632933,13.276094347944309
18,180,-631573.4369335717,16.38430961341364,14.195198529711343
19,190,-631720.1422688679,16.950555442730547,15.096385489687965
20,200,-631875.7691069357,17.477106305072088,15.979380395807675
21,210,-632040.135217235,17.964891410950816,16.84404356321902
22,220,-632213.0554929099,18.418354364961836,17.690378035843604
23,230,-632394.3470063847,18.839697997862796,18.5185356508111
24,240,-632583.8297959112,19.230146315298043,19.328722351173926
25,250,-632781.3234877047,19.5938810347434,20.12122802010417
26,260,-632986.6543427714,19.93207621707701,20.896414798819748
27,270,-633199.6501786803,20.245088796582422,21.654633008629023
28,280,-633420.1436222732,20.536840018699877,22.3962713464658
29,290,-633647.969593799,20.810787185377546,23.12180730812397
30,300,-633882.9712446589,21.066184503928493,23.831717058799402
31,310,-634124.9935429664,21.304207413669836,24.526436382472454
32,320,-634373.8871130499,21.5271544730291,25.206414419721117
33,330,-634629.5067920225,21.735903187684013,25.87210807484226
34,340,-634891.7119245321,21.931826291588344,26.523966798551562
35,350,-635160.366590397,22.117866970307645,27.162463183928054
36,360,-635435.3388845926,22.294063992518957,27.78807248974918
37,370,-635716.5039510232,22.455866153587692,28.40116991814721
38,380,-636003.7370268671,22.60990748504407,29.002126351569316
39,390,-636296.9179237074,22.760463059638262,29.591425942724165
40,400,-636595.9350717574,22.899472703808,30.169470159978665
41,410,-636900.6759610681,23.030946414018445,30.736578768947222
42,420,-637211.0325893515,23.159403981815558,31.29315115937789
43,430,-637526.9032144425,23.277287339238683,31.83952448148921
44,440,-637848.1866821664,23.38947231551859,32.375980071471716
45,450,-638174.7837583651,23.502688056687475,32.90291050801025
46,460,-638506.6039316318,23.609790676727556,33.42067964594754
47,470,-638843.5555805602,23.70804949901652,33.92952109801991
48,480,-639185.5514338595,23.80054246829809,34.429656707940744
49,490,-639532.5044661588,23.89964706528692,34.92145297496464
50,500,-639884.3327214775,23.995320464746328,35.40528012925789
51,510,-640240.963267729,24.073654544629935,35.88124955493114
52,520,-640602.3102654673,24.156421849830224,36.34953906297452
53,530,-640968.3033669813,24.241522435000046,36.81050595786948
54,540,-641338.8696724185,24.319872598908688,37.26438357129229
55,550,-641713.9389548638,24.39240281315854,37.711316693321
56,560,-642093.4437998133,24.470312946220048,38.15155074682407
57,570,-642477.314472065,24.552510652729,38.58540858430643
58,580,-642865.4967221697,24.612761010060744,39.012960458993625
59,590,-643257.9198213031,24.679159554623766,39.43428485317273
60,600,-643654.5239624641,24.75737593264789,39.84974173923256
61,610,-644055.2568041376,24.8181196788269,40.25948041582015
62,620,-644460.0561200469,24.881072632741372,40.6635614378567
63,630,-644868.8679638107,24.95123122891223,41.06224089408497
64,640,-645281.640582554,25.016161507554443,41.45570530053665
65,650,-645698.3211750577,25.075436852028318,41.84403203809925
66,660,-646118.8601460034,25.130988860665774,42.227306293131555
67,670,-646543.2054243675,25.19488839186093,42.605714127542164
68,680,-646971.3106117926,25.262300372275106,42.97948789132498
69,690,-647403.1313980903,25.321595991414604,43.348729925969394
70,700,-647838.6212542714,25.37809241798808,43.713491840694054
71,710,-648277.7365578951,25.434373611258195,44.07387923651551
72,720,-648720.4336638461,25.492692733649164,44.43002713206515
73,730,-649166.6709422696,25.554561849989117,44.78209096604114
74,740,-649616.4086804951,25.614657549891955,45.13019422206125
75,750,-650069.607826288,25.67296061795803,45.47441930331988
76,760,-650526.2294579819,25.730790659389516,45.81485389160225
77,770,-650986.2369559692,25.78658635842445,46.15158077506203
78,780,-651449.5927568683,25.849466179398473,46.48472784730402
79,790,-651916.2617149276,25.909537565035862,46.814413968550795
80,800,-652386.212192257,25.963768233777955,47.14067193498049
81,810,-652859.4052270835,26.02691895753949,47.46360548000666
82,820,-653335.8135117627,26.085618435486744,47.783324122568594
83,830,-653815.4015387245,26.149105505432935,48.099907503525905
84,840,-654298.139523188,26.21308132944384,48.41346248149494
85,850,-654783.9998289224,26.26474433207477,48.72399122357456
86,860,-655272.947954294,26.328448115457952,49.03156209240988
87,870,-655764.957998806,26.396960143829347,49.33634113266744
88,880,-656260.0021752212,26.461335091455965,49.63839629499853
89,890,-656758.0527020891,26.52992130492633,49.937789291549414
90,900,-657259.0842757354,26.593259434564906,50.23457412345451
91,910,-657763.0709655092,26.657555967438384,50.528784541379714
92,920,-658269.985602665,26.72818814374054,50.82051652119844
93,930,-658779.8068359479,26.799010470782907,51.10985911473981
94,940,-659292.5078809614,26.874331247381633,51.39688838666043
95,950,-659808.0691625031,26.944889867358413,51.68165216695343
96,960,-660326.466044895,27.01980816219009,51.964195544293034
97,970,-660847.6767058446,27.101811609262743,52.244623771646005
98,980,-661371.6824622295,27.178468901791867,52.522989489149765
99,990,-661898.4602539734,27.261586437662622,52.799339926800165
100,1000,-662427.992132177,27.34379857283784,53.07374369965255
101,1010,-662960.2585845012,27.430587554155284,53.3462576804086
102,1020,-663495.2393215536,27.522085398581112,53.61696485162683
103,1030,-664032.9205140604,27.6125042048256,53.88591831750091
104,1040,-664573.2794855963,27.713002709066643,54.15319518999604
105,1050,-665116.3057462234,27.812069779160158,54.41886920746329
106,1060,-665661.9784968349,27.918439063639305,54.682998385283284
107,1070,-666210.286052588,28.030286087619302,54.94567178085272
108,1080,-666761.2127680974,28.140597946056943,55.206934972168526
109,1090,-667314.7449705742,28.258553066390178,55.46684190842788
110,1100,-667870.8694830437,28.38471807024341,55.72548974441452
111,1110,-668429.5739997773,28.53093796504537,55.983028928769635
112,1120,-668990.8479136518,28.676779613876874,56.23956800491287
