,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-638496.2619049194,-0.0,0.0
1,10,-638496.3803227618,0.14130551857233514,0.07065275928616757
2,20,-638497.5835689965,0.7611384382820687,0.33159012814285227
3,30,-638502.2693791896,2.112259330097004,0.8739179593962034
4,40,-638514.1280018393,4.007865247549489,1.7269443370227235
5,50,-638536.321893352,5.986656675784617,2.8265931605448715
6,60,-638570.7510871575,7.754117892379872,4.07143531915499
7,70,-638618.2676609206,9.23691257475293,5.377391279811855
8,80,-638679.0682917583,10.468225726974197,6.691434857372952
9,90,-638752.9957860593,11.508528797572948,7.985061676285115
10,100,-638839.726624994,12.412366299424322,9.245042702232606
11,110,-638938.8729280761,13.219688945906814,10.466555969290496
12,120,-639050.0344234273,13.95656516376184,11.648974469867246
13,130,-639172.8216662598,14.638727928636948,12.79352601561259
14,140,-639306.8641057399,15.275681317911951,13.902114059936142
15,150,-639451.8126442239,15.872559735595138,14.976759431524265
16,160,-639607.3385918179,16.4322304646019,16.019351958062906
17,170,-639773.1304481496,16.956843318851323,17.031589845930284
18,180,-639948.8936540574,17.44793553435591,18.014985407733185
19,190,-640134.3467069432,17.907045875894255,18.970888333053153
20,200,-640329.2219063733,18.335587707406376,19.90051607510395
21,210,-640533.2620096861,18.735240501942453,20.804982922597265
22,220,-640746.221334104,19.107411688310094,21.685319433957922
23,230,-640967.8634848136,19.45379760391078,22.542487434073703
24,240,-641197.9615103588,19.77634305206594,23.377403224555017
25,250,-641436.2976514262,20.076418793614703,24.190938747345353
26,260,-641682.6622583672,20.355670421197992,24.9839223236253
27,270,-641936.8540881085,20.61570530256142,25.75714984445076
28,280,-642198.6794224081,20.85789399634814,26.51138455766049
29,290,-642467.9523104243,21.083489419630496,27.247355388721914
30,300,-642744.4935778724,21.293911822111156,27.965762357359925
31,310,-643028.1312078016,21.490434562118025,28.66728080002067
32,320,-643318.6996157662,21.6741794256493,29.35255976583867
33,330,-643616.0396981623,21.84580591442357,30.02221587867389
34,340,-643919.998377942,22.006212024844753,30.676833703054584
35,350,-644230.4279532678,22.156827707964098,31.3169805782396
36,360,-644547.1868013236,22.298205481760682,31.94320398671116
37,370,-644870.1382971824,22.43067413821114,32.556018503152885
38,380,-645199.1510085737,22.55544810902211,33.155917933197635
39,390,-645534.0980185437,22.673030041620923,33.74338001748693
40,400,-645874.8577927807,22.78308359661608,34.3188484347731
41,410,-646221.3121296912,22.886857898076414,34.882745002878075
42,420,-646573.3476605844,22.98563231091248,35.43549150591716
43,430,-646930.8548826906,23.078940511474563,35.97748975919822
44,440,-647293.7286067794,23.166395688056852,36.50910402904265
45,450,-647661.8664175611,23.24964153306798,37.03068787586527
46,460,-648035.1699126908,23.329110076837274,37.542594509676576
47,470,-648413.544300461,23.403885718222558,38.045149300761125
48,480,-648796.8974012777,23.475035712635076,38.5386584304084
49,490,-649185.1403839721,23.542686104268103,39.02342154327489
50,500,-649578.1874196251,23.606933896080662,39.49972237309558
51,510,-649975.954986752,23.667789974890184,39.96782886867295
