,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-472628.7298304274,-0.0,0.0
1,10,-472629.0862972397,0.2066759191890014,0.1033379595945007
2,20,-472631.3925295939,0.9330555010063107,0.43993979444057907
3,30,-472638.0662676319,2.3580495921938565,1.0662119350577997
4,40,-472652.71633878053,4.336626518453704,2.0012985152301552
5,50,-472678.48689925333,6.4522864089594805,3.188605470932816
6,60,-472717.4064131517,8.419442668577538,4.535454334210225
7,70,-472770.52582214645,10.13507127167395,5.961008218854111
8,80,-472838.2261053134,11.595620541146491,7.409668164938193
9,90,-472920.47943802056,12.834735571130297,8.847435313822643
10,100,-473017.0239001808,13.893509271350926,10.255151642452985
11,110,-473127.4763230997,14.808783323012179,11.622953620702903
12,120,-473251.39573213365,15.610053171368781,12.94649901752564
13,130,-473388.3233293534,16.319713461690114,14.224599186654087
14,140,-473537.8010746577,16.954352773085688,15.457793072680943
15,150,-473699.3848385662,17.526017594827877,16.64750625821398
16,160,-473872.64742510486,18.044050964247447,17.795583437340973
17,170,-474057.1823946985,18.515675584098766,18.90403872362367
18,180,-474252.60390296264,18.946409485425114,19.974906569646556
19,190,-474458.5462463228,19.340806723853188,21.010164320015612
20,200,-474674.66351301025,19.702526123030104,22.0116960710875
21,210,-474900.6275857868,20.034939180921356,22.98128158561376
22,220,-475136.1281753039,20.34084394505481,23.920595854906423
23,230,-475380.87071416684,20.622837955800037,24.831210327005103
24,240,-475634.57619022497,20.882961222762233,25.7145945834025
25,250,-475896.9796476874,21.123152776817733,26.572119331079737
26,260,-476167.8291405173,21.345196734380433,27.40506693920033
27,270,-476446.8856256509,21.550689436086422,28.214638333193577
28,280,-476733.92085501633,21.741541201021775,29.001966981763687
29,290,-477028.71855092706,21.918437616394638,29.76811288575918
30,300,-477331.0719140883,22.082512152031963,30.514058851794104
31,310,-477640.78380395,22.235476787183174,31.24073744336856
32,320,-477957.66632269626,22.377984609222096,31.949030175261576
33,330,-478281.53999476286,22.510562060118513,32.63975530690368
34,340,-478612.23321206577,22.634299719470413,33.31368177784243
35,350,-478949.58171534556,22.750188984275127,33.97154182643354
36,360,-479293.42868934054,22.858494967489918,34.61402362297959
37,370,-479643.6236519103,22.959855958032104,35.24177104350747
38,380,-480000.02249435696,23.055024523931287,35.85539495310586
39,390,-480362.4870543756,23.144288397858382,36.45547218507345
40,400,-480730.8847462407,23.228363256959597,37.042548371911835
41,410,-481105.088188531,23.3075000384124,37.61714071797032
42,420,-481484.97536138137,23.381609800440522,38.179731020941105
43,430,-481870.4283471141,23.451651960755438,38.73077714601604
44,440,-482261.334176332,23.51803573849611,39.270721179585955
45,450,-482657.5839958933,23.580662576110658,39.79997894766201
46,460,-483059.07302377216,23.639485578838503,40.31893723982356
47,470,-483465.70023362903,23.695440398942413,40.82796732320857
48,480,-483877.3679456287,23.748866333230467,41.3274305006933
49,490,-484293.9828036192,23.79890495041036,41.81766049387953
50,500,-484715.4535894296,23.846455914244835,42.29897102190372
51,510,-485141.69305111986,23.892013993761793,42.77167101235756
52,520,-485572.6163979619,23.935296354704732,43.23605352400265
53,530,-486008.14213312545,23.97622831706536,43.69239143751621
54,540,-486448.1909729209,24.015115356035025,44.140944449918614
55,550,-486892.68648178544,24.05271964600983,44.58196771683216
56,560,-487341.5545222177,24.08846691554649,45.015704401983385
57,570,-487794.7237174607,24.12205625331262,45.4423769841218
58,580,-488252.12411931134,24.154365551538525,45.86220125803738
59,590,-488713.6887119102,24.18557278687808,46.27539102851951
60,600,-489179.35189954395,24.21551270273639,46.68214944895371
61,610,-489649.0507048593,24.244127418835532,47.08266774403528
62,620,-490122.7233549117,24.271277230500665,47.47712620662496
63,630,-490600.3104862798,24.297066040444815,47.86569617078639
64,640,-491081.7536988153,24.32221607686961,48.248547341350786
65,650,-491566.99697629735,24.346613877605705,48.62584629966368
66,660,-492055.9854277669,24.369911040339503,48.99774848306042
67,670,-492548.6659979319,24.392171104179674,49.36440014888794
68,680,-493044.9867997733,24.413302642415317,49.72594085478413
69,690,-493544.8975097779,24.43401042889149,50.08250847962335
70,700,-494048.3489380399,24.45441989469696,50.43424095402879
71,710,-494555.2936653508,24.473624824768972,50.78126485244502
72,720,-495065.68503053207,24.491757792374276,51.12369597437792
73,730,-495579.4777785715,24.50934732618043,51.46164986767399
74,740,-496096.6276551311,24.52670813360008,51.79524311053683
75,750,-496617.09167114896,24.543882699872647,52.12458999610535
76,760,-497140.82795980235,24.560094003577305,52.449795446584176
77,770,-497667.7956344997,24.57572186175519,52.7709576218891
78,780,-498197.95462973864,24.59072574570886,53.088173088725306
79,790,-498731.2662066098,24.60501116873935,53.40153386485908
80,800,-499267.6919282625,24.619360241689776,53.71113278515914
81,810,-499807.19501222303,24.633342436402803,54.017061456030206
82,820,-500349.73890690715,24.646753060986462,54.31940420503088
83,830,-500895.2884313851,24.65964673578547,54.61824137344083
84,840,-501443.80869192304,24.67247460547945,54.91365343010038
85,850,-501995.2660176488,24.684724196442343,55.20571765796922
86,860,-502549.6272743701,24.69619248316461,55.49450443238529
87,870,-503106.8599447108,24.7080047886775,55.78008697434343
88,880,-503666.93245797214,24.71941546763992,56.06253822611252
89,890,-504229.8138739745,24.730089521726768,56.34192253756119
