,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-544803.8071814892,-0.0,0.0
1,10,-544804.1426417661,0.1544413737341529,0.07722068686707645
2,20,-544806.2004976616,0.5749616013607011,0.29818177407432817
3,30,-544810.9912172693,1.3233056671946544,0.6624731189469457
4,40,-544820.0930458612,2.495903991558589,1.1950120624242118
5,50,-544835.4838683351,3.9763082746212612,1.9046308888311616
6,60,-544858.9446339764,5.5594205213303205,2.765546759737481
7,70,-544891.7869855979,7.096873234678059,3.735751319944393
8,80,-544934.8590255672,8.549245617864655,4.776998687823652
9,90,-544988.6436642017,10.555608349482645,5.8977492250225625
10,100,-545053.5196452473,12.558987386204535,7.112121280415158
11,110,-545132.4141576921,12.94774095244066,8.328604329381779
12,120,-545222.4162144721,13.028903221513612,9.46000897660124
13,130,-545323.267345555,13.80816758886503,10.533963312966808
14,140,-545434.7424611021,14.53637450399692,11.584202914054913
15,150,-545556.6072029221,15.196938932887859,12.60992377743678
16,160,-545688.6012063149,15.803158935531968,13.610337125268416
17,170,-545830.4722307769,16.36278566713736,14.585444243978419
18,180,-545981.9678488665,16.872259857051553,15.535376530871146
19,190,-546142.8379307897,17.34361620712153,16.460461368608232
20,200,-546312.8284022115,17.78492763370739,17.361495512269904
21,210,-546491.716507028,18.186466024970287,18.239129798945214
22,220,-546679.258810824,18.56087738833741,19.093979017240052
23,230,-546875.2359709329,18.91268855321395,19.926962543033003
24,240,-547079.4362692335,19.240626856754517,20.738954339212796
25,250,-547291.6470671042,19.54020500634215,21.530604832188693
26,260,-547511.6814390708,19.814032335882075,22.302448015697884
27,270,-547739.3224912857,20.081281771918274,23.05536268744909
28,280,-547974.4097355788,20.32554533786606,23.790194442565557
29,290,-548216.7479625368,20.55579123091305,24.507560802949598
30,300,-548466.1745254266,20.77561105179484,25.20823118078261
31,310,-548722.5262492787,20.97100085483105,25.892733314250663
32,320,-548985.6401300101,21.154525521770154,26.561514724799782
33,330,-549255.3638919623,21.33220054267148,27.21526934581489
34,340,-549531.5488914958,21.5056020935648,27.854743359869467
35,350,-549814.058747425,21.65882737562063,28.48041403383832
36,360,-550102.7583613269,21.79886540413137,29.092587872991867
37,370,-550397.5065484598,21.93824090005654,29.69181260735932
38,380,-550698.1887927181,22.060652722802452,30.278547068577613
39,390,-551004.6713666838,22.190584316547056,30.85331348565524
40,400,-551316.8409638176,22.314052911009625,31.416733817767817
41,410,-551634.5957585658,22.409286885234224,31.968943465560734
42,420,-551957.807187828,22.51321604255942,32.51024192866316
43,430,-552286.3828693603,22.61519889050681,33.04122383431968
44,440,-552620.2145699742,22.702726234751722,33.562176788673966
45,450,-552959.2073744715,22.788467356906104,34.07336750692338
46,460,-553303.260794152,22.87141949708454,34.57517508561577
47,470,-553652.288295011,22.946285069733758,35.06788688708911
48,480,-554006.1952091969,23.032344257645377,35.55191655540838
49,490,-554364.8979688014,23.104351393729996,36.02759549578331
50,500,-554728.3232444564,23.148129865730915,36.49483548213174
51,510,-555096.3683376071,23.212376278132542,36.95388909724133
52,520,-555468.9697836086,23.292495659319684,37.40542771811015
53,530,-555846.044491729,23.36950957869401,37.849861094023794
54,540,-556227.533627114,23.40862481748332,38.287074691608716
55,550,-556613.3580115706,23.427141415872068,38.71679523056809
56,560,-557003.4371927065,23.483530981070402,39.13944362719921
57,570,-557397.709452442,23.557696746324776,39.55576447364583
