,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-602123.5110461965,-0.0,0.0
1,10,-602123.6775757981,0.08561945148394444,0.04280972574197222
2,20,-602124.6961899016,0.3718332143384032,0.17857775506854526
3,30,-602127.4354130608,0.9474524831544842,0.4294448058455601
4,40,-602133.3179978934,1.820807058538776,0.8149544353553211
5,50,-602143.8259500989,2.864172839268576,1.3289726015995256
6,60,-602160.1478764707,3.9558415744802917,1.9450433500664075
7,70,-602183.1298698512,5.033893983328017,2.634260670558433
8,80,-602213.3500322112,6.076979223894886,3.3736357280038645
9,90,-602251.1988980796,7.079613715593585,4.146758802585827
10,100,-602296.9370840711,8.040675219875993,4.94210443666816
11,110,-602350.7328761551,8.959927886375226,5.751407647042652
12,120,-602412.6868368105,9.83731307858834,6.568565141364525
13,130,-602482.848410181,10.672925124526955,7.38895030647982
14,140,-602561.2276331453,11.467127425409851,8.208987691847142
15,150,-602647.8037138209,12.220475583599182,9.025877143160324
16,160,-602742.5316506955,12.933646474592393,9.837402781611308
17,170,-602845.3469523503,13.607593334271225,10.64180256730324
18,180,-602956.1697844322,14.243460358085581,11.437677577277647
19,190,-603074.9080575487,14.842503531175307,12.22392145207996
20,200,-603201.4600522979,15.406128638132941,12.999666866222107
21,210,-603335.7165386021,15.935882947174834,13.764245866631974
22,220,-603477.5625774399,16.4333815827209,14.517157596150357
23,230,-603626.8790824121,16.90022815240665,15.258039805394949
24,240,-603783.5439781869,17.33812192780897,15.986646943073719
25,250,-603947.4333273567,17.748746459474198,16.702832745759224
26,260,-604118.4222488136,18.13370668251884,17.406532803458685
27,270,-604296.3855666365,18.494624260015545,18.0977509738208
28,280,-604481.198529721,18.833001440006754,18.776547612815918
29,290,-604672.7372492644,19.150316892718568,19.44302908741956
30,300,-604870.8790983999,19.448047263576882,20.09734108593984
31,310,-605075.5031620892,19.727422503195694,20.739659440921965
32,320,-605286.4903967635,19.989667753037054,21.370182233485686
33,330,-605503.7238136277,20.236077956145174,21.989128033886665
34,340,-605727.0887798185,20.46769325716888,22.59673076472245
35,350,-605956.4730445071,20.685456023129518,23.1932327684146
36,360,-606191.7668019995,20.890421068563604,23.778884020094118
37,370,-606432.8627965557,21.083469566184757,24.353940508051892
38,380,-606679.6564031456,21.265332955348963,24.91865927151666
39,390,-606932.0454886759,21.436858349494287,25.47329780138825
40,400,-607189.9305652974,21.598749811877553,26.01811369133793
41,410,-607453.2147021802,21.751572459074698,26.553361142755605
42,420,-607721.803477261,21.89602952899871,27.079291239727176
43,430,-607995.6049619861,22.032706129396697,27.596152515248107
44,440,-608274.5297506808,22.162005540065017,28.104187744612865
45,450,-608558.4907623774,22.284447214959087,28.603633685714158
46,460,-608847.4033018643,22.400511772040094,29.09472247837839
47,470,-609141.1849602931,22.510640184840256,29.57768119757093
48,480,-609439.7555589365,22.615158131439188,30.052730657023496
49,490,-609743.0371498555,22.714341023995075,30.52008421093342
50,500,-610050.9537811183,22.80870370799679,30.97995023805415
51,510,-610363.4316586212,22.898499816464064,31.432532371373963
52,520,-610680.3989662664,22.983865124417953,31.87802617073321
