,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-497962.88151418493,-0.0,0.0
1,10,-497963.24097580416,0.21798010996717493,0.10899005498358746
2,20,-497965.82813283906,0.8761483265872814,0.4370171916139952
3,30,-497972.6791034413,2.0066114694083805,0.9904895181622123
4,40,-497986.2977180249,3.514619344921084,1.7642521811787446
5,50,-498008.87205067056,5.158570472231077,2.7194366465169875
6,60,-498041.91349666,6.762446709891083,3.7988309195643524
7,70,-498086.33356167766,8.251741793546534,4.951778273499076
8,80,-498142.61225336103,9.609685557847843,6.141793748975033
9,90,-498210.9478829336,10.84092538267141,7.344672728711157
10,100,-498291.3594378513,11.954546607652446,8.544673691464414
11,110,-498383.7440947792,12.962445943341304,9.731603110180732
12,120,-498487.92480877216,13.875870179169574,10.898966455979826
13,130,-498603.6764736915,14.70498733640415,12.04270414946077
14,140,-498730.74308029027,15.457664571289211,13.160340034450929
15,150,-498868.854967485,16.14162865734397,14.250453772003675
16,160,-499017.72610772634,16.76629694134462,15.312454839998827
17,170,-499177.0778043648,17.33467624546903,16.34624503840023
18,180,-499346.6248775158,17.853681300187606,17.352024049056492
19,190,-499526.0881147633,18.32900960105907,18.330301998650977
20,200,-499715.19849463896,18.76207212725422,19.28169615975494
21,210,-499913.68581379566,19.160364662302896,20.206947121562553
22,220,-500121.29625601665,19.526175515755313,21.106922996455978
23,230,-500337.7794455181,19.86052948469296,21.98245035369473
24,240,-500562.8961546957,20.169033285230398,22.834389188108617
25,250,-500796.41312851827,20.45270276779774,23.663631436906872
26,260,-501038.11110885016,20.71284348584012,24.471009405452058
27,270,-501287.7711359469,20.954707130533624,25.25738345068821
28,280,-501545.19197605975,21.177763611997953,26.02360793294938
29,290,-501810.1731539393,21.385128230064616,26.770491390578535
30,300,-502082.5267912865,21.57734992391486,27.498822996725355
31,310,-502362.0719005249,21.753308405638347,28.209305308451437
32,320,-502648.63140641176,21.91603702683932,28.90260319998997
33,330,-502942.03943215,22.066807355931097,29.57938684453329
34,340,-503242.1310678206,22.212733682041286,30.240390258797557
35,350,-503548.75460905506,22.348881144469512,30.88631783769815
36,360,-503861.76335709065,22.46911889004984,31.517658664028566
37,370,-504181.0113644109,22.581572032827523,32.134886138545696
38,380,-504506.3613340163,22.69091482604277,32.73860718613141
39,390,-504837.68063007254,22.791546170158863,33.329371164768965
40,400,-505174.8444844431,22.88605511456268,33.90764616357483
41,410,-505517.7258405241,22.976605824935483,34.473924362567054
42,420,-505866.2136899844,23.05959663851239,35.02864588022858
43,430,-506220.1872517804,23.141094329571903,35.57224738003424
44,440,-506579.54441613384,23.206980065535816,36.10504555480147
45,450,-506944.1752624131,23.272988869830442,36.62735000258472
46,460,-507313.9723968883,23.34669332127669,37.13970717347111
47,470,-507688.8503742634,23.400215001283538,37.64241403659762
48,480,-508068.70185009605,23.45965916644775,38.135723943708584
49,490,-508453.4405627106,23.520830293510482,38.62010386574184
50,500,-508842.98101927585,23.565360304419336,39.09576594116879
51,510,-509237.23142894835,23.61553618187463,39.56294440874117
52,520,-509636.11247669917,23.66026098623395,40.02197178275237
53,530,-510039.5442843484,23.702315811913437,40.47308104517796
54,540,-510447.44413488114,23.747994250976014,40.91657663377773
55,550,-510859.7456799838,23.78016473122985,41.35264878517337
56,560,-511276.3668999157,23.816286661056722,41.7814775175284
57,570,-511697.2417408783,23.85946835638885,42.20341651621857
58,580,-512122.30129827955,23.891385379587923,42.61867031708171
59,590,-512551.4812883387,23.915564248756024,43.0273048091658
60,600,-512984.7125141466,23.945507564290978,43.429524978829434
61,610,-513421.9347776627,23.97798211818008,43.825611712232785
62,620,-513863.08740172314,24.004137493081913,44.215734303243515
63,630,-514308.1115339494,24.025096538144997,44.59999142657034
64,640,-514756.9488296178,24.05055394005035,44.97856174857734
65,650,-515209.5423197841,24.08199227577265,45.351702795663
66,660,-515665.841853725,24.100696663570215,45.7195299254221
67,670,-516125.79279317317,24.118044689012407,46.082096368879135
68,680,-516589.34136065864,24.1366109783994,46.43955685772962
69,690,-517056.4420992124,24.15394015150106,46.79206049027562
70,700,-517527.03887405014,24.18071738563579,47.139808451995485
71,710,-518001.0936893974,24.19247564746911,47.482897408706044
72,720,-518478.5539402334,24.198215297609725,47.82131011730817
73,730,-518959.37484332744,24.22498672583159,48.15527784571241
74,740,-519443.51245935983,24.250455687433714,48.48505684264819
75,750,-519930.9299625867,24.247689944568318,48.81056253926581
76,760,-520421.5793329119,24.25837734479579,49.131808393357645
77,770,-520915.4171831498,24.292539179346935,49.4491467420572
78,780,-521412.4137734875,24.295233174558795,49.76262917715794
79,790,-521912.5239045852,24.293911191102065,50.07212678294309
80,800,-522415.7073079988,24.311128217144926,50.3778302658895
81,810,-522921.9313405478,24.32824621117342,50.67994917657489
82,820,-523431.15640661865,24.3437608681852,50.97856110217254
83,830,-523943.35272525664,24.346631911005357,51.273665125737175
84,840,-524458.4805105401,24.352938996395096,51.56528955324902
85,850,-524976.5074265491,24.366201178178137,51.85357811863142
86,860,-525497.4012520788,24.37001900130987,52.13859487078153
87,870,-526021.1285754548,24.37690787752793,52.42037819947582
88,880,-526547.6568861763,24.390953820338723,52.69906033607404
89,890,-527076.9574980973,24.39841435709671,52.974715044541526
90,900,-527608.9993174649,24.401909296342446,53.24735095087818
91,910,-528143.7520002262,24.412426151678794,53.51705132326025
92,920,-528681.187041774,24.42161790808889,53.783911717167946
93,930,-529221.277239125,24.424404303656907,54.0479519030836
94,940,-529763.9928608258,24.42829908614526,54.30920366581268
95,950,-530309.3075981544,24.433220002450913,54.56773732165894
96,960,-530857.1937007654,24.439507495332577,54.82362231794687
97,970,-531407.6256287638,24.445061794656795,55.076916892653394
98,980,-531960.577668828,24.448837837099354,55.327661334378355
99,990,-532516.0240972267,24.457747201697202,55.57592427870113
100,1000,-533073.9407543751,24.464070846152097,55.82176860869804
101,1010,-533634.3044837508,24.466841901783482,56.065211942640595
102,1020,-534197.0894682606,24.469504374131866,56.30628347320598
103,1030,-534762.2747086519,24.47061346290866,56.54502140980184
104,1040,-535329.8340662145,24.478925513010324,56.7814979374336
105,1050,-535899.7480844124,24.490061879478162,57.0158044216063
106,1060,-536471.9936355195,24.490757618838764,57.24794620548782
107,1070,-537046.5510075556,24.47859558497715,57.47785460776358
108,1080,-537623.3950001524,24.485333953122762,57.7055985960018
109,1090,-538202.5048075529,24.496331798297042,57.931325118050154
110,1100,-538783.8650069901,24.50098535738629,58.1550617277986
111,1110,-539367.4480871093,24.51003672982632,58.37683541391452
112,1120,-539953.2444630488,24.503605771949594,58.596632081965794
113,1130,-540541.223812334,24.505772905962658,58.814455802639706
114,1140,-541131.3752068831,24.508961984870176,59.03038387341948
115,1150,-541723.674147437,24.507424159484472,59.24443333880626
116,1160,-542318.1055865015,24.512044718314428,59.456642722056124
117,1170,-542914.6488039867,24.51811574320051,59.66707635962811
118,1180,-543513.2883953332,24.524476776260585,59.875771906510636
119,1190,-544114.005722329,24.52305167921569,60.08272721325193
120,1200,-544716.784586123,24.516090467688798,60.287915622466244
121,1210,-545321.6056832526,24.522400271019347,60.49139823193982
122,1220,-545928.4528070686,24.53858356898965,60.69329842991137
123,1230,-546537.3122227781,24.522462946671556,60.89355120408436
124,1240,-547148.16646525,24.51793871704757,61.0920986689278
125,1250,-547760.9935470017,24.54574408657173,61.28914430139121
126,1260,-548375.7891359207,24.537188303726367,61.484697072593555
127,1270,-548992.5295093331,24.527690634437022,61.67863257860881
128,1280,-549611.2013901799,24.539890995622045,61.87105723896966
129,1290,-550231.7907285572,24.535511621632306,62.0620150704257
130,1300,-550854.2823603753,24.540545072813988,62.25150066449861
131,1310,-551478.6598583616,24.550038746668445,62.439589814281504
132,1320,-552104.9142675161,24.537293802026937,62.62623654695054
133,1330,-552733.0251832032,24.53793712548532,62.81142872558558
134,1340,-553362.9817182333,24.54951395705575,62.995279273534834
135,1350,-553994.7703387592,24.54660202504611,63.17779527838721
136,1360,-554628.377382072,24.544590172520742,63.358946083090274
137,1370,-555263.7885615819,24.550894532914,63.53878535182448
138,1380,-555900.9920430203,24.549626107741013,63.71733507736935
139,1390,-556539.9749287937,24.545327415378217,63.894575542709205
140,1400,-557180.722537623,24.54749980615432,64.07053772953367
141,1410,-557823.2246995784,24.551253890476474,64.2452685557073
142,1420,-558467.4666035989,24.56174519191283,64.41881475799747
143,1430,-559113.4393650837,24.550823014447815,64.5911418147909
144,1440,-559761.1294710373,24.54766062023077,64.76221878601208
145,1450,-560410.52139367,24.567235517111428,64.93216832395265
146,1460,-561061.6111330924,24.54909170929521,65.10095516106522
147,1470,-561714.3805906748,24.54692097610678,65.26852032143651
148,1480,-562368.818573698,24.568755237397482,65.43501580140438
149,1490,-563024.9192219588,24.558481020827365,65.60042936301907
150,1500,-563682.6662184219,24.555397847288774,65.7646916993137
151,1510,-564342.0507340538,24.554283141009662,65.92784859878594
