,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-395590.8351651245,-0.0,0.0
1,10,-395591.3499379394,0.34693427939055255,0.17346713969527627
2,20,-395595.20618596696,1.4341645518579753,0.7054754173550464
3,30,-395606.25685474474,3.195785648538731,1.596647496742662
4,40,-395628.2604978466,5.2930154002970085,2.79090536320291
5,50,-395663.77424686396,7.380247469773166,4.190557035217353
6,60,-395714.2449637292,9.296382419127623,5.703280317121971
7,70,-395780.33361874137,10.995691699026793,7.2633854019797575
8,80,-395862.20531240595,12.483843328780491,8.829032159959024
9,90,-395959.7255146132,13.783002281779773,10.37499471699557
10,100,-396072.5848777266,14.918149702934896,11.88662455113008
11,110,-396200.3751984041,15.911933289981972,13.355801731276005
12,120,-396342.63704185904,16.7831447452947,14.778369123995798
13,130,-396498.88645779487,17.54828422334541,16.152600830306618
14,140,-396668.6330218091,18.222296342131454,17.478331136830093
15,150,-396851.3924378729,18.817166562672334,18.75636632018577
16,160,-397046.6927055938,19.342954210285114,19.98807252467959
17,170,-397254.0775287847,19.809157878613053,21.175162134298443
18,180,-397473.10977490427,20.22354934495813,22.319549684428054
19,190,-397703.3724029403,20.592642301421424,23.423226583521313
20,200,-397944.4680649813,20.922628779808292,24.488203942527612
21,210,-398196.0202082568,21.218394432068468,25.51646952945302
22,220,-398457.6716126179,21.483955413618265,26.50994111082909
23,230,-398729.0840029677,21.72303061677959,27.470452620791907
24,240,-399009.9368973702,21.93913871005644,28.399757806601706
25,250,-399299.92698135995,22.135155200303423,29.299526300400615
26,260,-399598.76741330593,22.313036628506943,30.171326262647202
27,270,-399906.1862080727,22.474663000694992,31.016620583863553
28,280,-400221.9256779009,22.62177810628198,31.83677837016585
29,290,-400545.7412318235,22.756849622828312,32.633098169747974
30,300,-400877.400768362,22.88115687030956,33.40681026050879
31,310,-401216.6850136748,22.99475639222649,34.15904604263051
32,320,-401563.3840679835,23.099485864490248,34.89085867687972
33,330,-401917.2994489354,23.19608743407453,35.603244013725636
34,340,-402278.2417249356,23.285299573373077,36.2971307600179
35,350,-402646.030353813,23.368122278974575,36.97339195436798
36,360,-403020.493851974,23.44490656062834,37.632845974869994
37,370,-403401.46768415236,23.51645196774768,38.276259568556995
38,380,-403788.79587519093,23.582735616239397,38.9043486128583
39,390,-404182.3282058082,23.64502537894875,39.51778911671572
40,400,-404581.92183063546,23.70276715623916,40.11721505718087
41,410,-404987.440035545,23.756313781190023,40.70321079030691
42,420,-405398.7505532362,23.808397773766714,41.27635524081052
43,430,-405815.7287567756,23.856092932401225,41.8371849770876
44,440,-406238.25394038344,23.89969185553491,42.38616881398339
45,450,-406666.209192362,23.94287299170534,42.92378814356271
46,460,-407099.4843201266,23.98259972759419,43.45050049751445
47,470,-407537.97218171874,24.019302849563246,43.96670542773573
48,480,-407981.5691344155,24.055832630186273,44.472811516033104
49,490,-408430.1771309475,24.088946447199955,44.96919868192271
50,500,-408883.7004758962,24.119949218948022,45.45620375010403
51,510,-409342.04652625555,24.15043954677516,45.93417225745797
52,520,-409805.12777675205,24.1792631664663,46.40343418768461
53,530,-410272.8574427768,24.20705072170837,46.86429550578177
54,540,-410745.1545108129,24.232016363469263,47.31703443070073
55,550,-411221.9378315408,24.256262902555967,47.76191643351703
56,560,-411703.13088662445,24.279889025189874,48.19921263788856
57,570,-412188.65913877945,24.30197621638945,48.62917259129608
58,580,-412678.45004031115,24.32322899562132,49.052030829847354
59,590,-413172.43446441554,24.343542018276597,49.468015041975015
60,600,-413670.5438346845,24.363481162232432,49.877345255205
61,610,-414172.7138863352,24.381250424287412,50.280220579843444
62,620,-414678.8799498326,24.399706939514594,50.676838724953996
63,630,-415188.9810134511,24.41743983442716,51.06739976014651
64,640,-415702.95781139337,24.431112116202712,51.45205702858948
65,650,-416220.75127696985,24.446733170443622,51.83097688561611
66,660,-416742.30511802674,24.464129414470705,52.2043629929809
67,670,-417267.5656839781,24.478310978038593,52.572371269249565
68,680,-417796.4791697598,24.49115453018443,52.93512725037654
69,690,-418328.99400798813,24.50407768173022,53.29277504928323
70,700,-418865.0597829812,24.51616737790765,53.64545631085639
71,710,-419404.6275944224,24.529120044167158,53.99331207412833
72,720,-419947.6496347042,24.5427219779464,54.336487925420805
73,730,-420494.0804034167,24.553295987327974,54.67509675489928
74,740,-421043.8743319706,24.562552345517805,55.009233206610226
75,750,-421596.987073226,24.574789703001446,55.339028329487334
76,760,-422153.37608455884,24.58537963809224,55.66460617951233
77,770,-422713.0002975436,24.593959321206675,55.98605313273728
78,780,-423275.81751064083,24.604440016599256,56.30347493662775
79,790,-423841.78960462543,24.611803707826766,56.61696661550813
80,800,-424410.8765982698,24.62084247218428,56.9266177905025
81,810,-424983.0405844707,24.631811564232397,57.232546275485944
82,820,-425558.24610713485,24.638624338732974,57.53483000927881
