,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-534841.9304319627,-0.0,0.0
1,10,-534842.1025312775,0.14027490820735694,0.07013745410367847
2,20,-534843.5318575262,0.6505837340781,0.30292084172688194
3,30,-534848.0577262352,1.656031564436853,0.7415720359858824
4,40,-534858.1449577712,3.0869781060144303,1.4034495599771617
5,50,-534876.0933420522,4.715073462255531,2.2608291694545186
6,60,-534903.6278390763,6.335821291484172,3.260321623303753
7,70,-534941.8495455672,7.831631294390535,4.3477089662410435
8,80,-534991.3495289914,9.16013262348715,5.4796194905226
9,90,-535052.3579279073,10.323475640892866,6.625654203984595
10,100,-535124.8718820239,11.343064181652158,7.766333837561252
11,110,-535208.7484242069,12.244703713690981,8.890064488175268
12,120,-535303.766491783,13.051699036080386,9.990462722876693
13,130,-535409.665115829,13.782642466755346,11.064385149383453
14,140,-535526.1667649957,14.451449377281829,12.110609974765977
15,150,-535652.989938118,15.068364738093814,13.129011991414883
16,160,-535789.856893572,15.64068315918557,14.12006216474256
17,170,-535936.4970663753,16.173574101322437,15.084526869388357
18,180,-536092.6487300463,16.670889649505266,16.023300493351417
19,190,-536258.0596631063,17.13585078092001,16.93732420299639
20,200,-536432.486987964,17.5711334197549,17.82754598009342
21,210,-536615.6977351656,17.978650128742462,18.694887413890683
22,220,-536807.4675127212,18.360386258922517,19.540232018078676
23,230,-537007.5808550891,18.718144375781396,20.364429706045485
24,240,-537215.8305579491,19.05343738475348,21.168292500310052
25,250,-537432.0172695792,19.368106028341582,21.952601233059248
26,260,-537655.9493321517,19.663536926714023,22.718108294524427
27,270,-537887.4426537147,19.940837500942852,23.465528003958752
28,280,-538126.3197016261,20.201561661297475,24.1955449450179
29,290,-538372.410019333,20.44683752527635,24.90881879901135
30,300,-538625.5494449023,20.67771657349656,25.60597909003991
31,310,-538885.579919469,20.895433821156665,26.287630825745875
32,320,-539152.3494769433,21.100882366579015,26.954355238871358
33,330,-539425.7116696967,21.294988264943772,27.60670786319679
34,340,-539705.5256119424,21.47855142960326,28.245220250979763
35,350,-539991.6555269123,21.652235329267608,28.87039894897607
36,360,-540283.9706309764,21.817096263659174,29.482731822421194
37,370,-540582.3447959328,21.97393117604952,30.08269206419791
38,380,-540886.6568680811,22.122822763305198,30.670726853291857
39,390,-541196.7896662246,22.264355492967297,31.247257081531284
40,400,-541512.6302870419,22.399432724108834,31.812690445620685
41,410,-541834.0697729195,22.52856307268371,32.367421928729165
42,420,-542161.0031387268,22.652122627641134,32.91182862930582
43,430,-542493.328965539,22.77031480096633,33.44626785816218
44,440,-542830.9494405333,22.883487137756248,33.97107858706441
45,450,-543173.7698463454,22.992279201687715,34.486587982537465
46,460,-543521.698912465,23.09685241638227,34.99311049510143
47,470,-543874.6483086644,23.197405017697086,35.49094414320135
48,480,-544232.5326038892,23.29479365190491,35.980379148185605
49,490,-544595.269243339,23.38859586865008,36.461692390243115
50,500,-544962.7786233567,23.47896126491822,36.93514114440914
51,510,-545334.9829093348,23.56682386903547,37.400978049892004
52,520,-545711.8078118361,23.651813548547253,37.859446626846335
53,530,-546093.1803587574,23.734385530487597,38.31077720842441
54,540,-546479.0307030452,23.81479977282583,38.755193911185785
55,550,-546869.2905519765,23.8928979312041,39.19290947950067
56,560,-547263.8941866786,23.968455703463405,39.62412171129253
57,570,-547662.7773982366,24.042038511182263,40.049020854732944
58,580,-548065.8779958144,24.114440928545164,40.467799040845414
59,590,-548473.1358504693,24.18582971983984,40.8806468109411
60,600,-548884.4924538665,24.255758191400503,41.28774278784548
61,610,-549299.8914753936,24.32322240716034,41.68924478157568
62,620,-549719.2774173795,24.388896602700697,42.08530010706599
63,630,-550142.5967543552,24.453939054169997,42.47606363847007
64,640,-550569.7971528943,24.518266749195845,42.861691478830465
65,650,-551000.8283438275,24.581015065021298,43.24232516907795
66,660,-551435.6408051273,24.64285234889239,43.61809817571774
67,670,-551874.1867118013,24.703847372429976,43.98914352103164
68,680,-552316.41951939,24.764414363028582,44.35559187305624
69,690,-552762.2936453706,24.824702168069972,44.71757230128277
70,700,-553211.7655362191,24.882890674460118,45.075196380817204
71,710,-553664.7917106316,24.939897316126537,45.42856439389723
