,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-490871.67431276786,-0.0,0.0
1,10,-490871.84764433146,0.314662337138725,0.1573311685693625
2,20,-490874.563850707,1.4649370236467805,0.68089659305042
3,30,-490884.7808009442,3.404310242136125,1.614515889318136
4,40,-490906.7521291191,5.617196002294077,2.8840504299609164
5,50,-490943.1047607854,7.712794145118096,4.3574793447594855
6,60,-490995.11236755416,9.526126174314413,5.9226026071308295
7,70,-491063.1310737876,11.033958084527692,7.504586318170913
8,80,-491146.98011381796,12.280614812998099,9.060264607163845
9,90,-491246.2085758442,13.326191570679658,10.568147009125095
10,100,-491360.25093414675,14.22354534403712,12.019668252475821
11,110,-491488.5135959927,15.011754529614704,13.413197998296527
12,120,-491630.4159358517,15.717170966224508,14.750432600508065
13,130,-491785.4068144307,16.357304633772575,16.034441825399696
14,140,-491952.97150744405,16.94326561239433,17.268685555712725
15,150,-492132.63020097266,17.482313070657273,18.456545953748716
16,160,-492323.9364093575,17.979460305441165,19.601147857315663
17,170,-492526.47308903636,18.438507932936773,20.705315048711782
18,180,-492739.8499620346,18.86261521413981,21.77158563928897
19,190,-492963.70070164814,19.25437684762437,22.802241300584136
20,200,-493197.6804374098,19.616321212088224,23.799343458455404
21,210,-493441.46384446544,19.950589602225218,24.76476552690583
22,220,-493694.74355520913,20.259180770267275,25.700215491651033
23,230,-493957.2281103346,20.544312273019727,26.607266902444096
24,240,-494228.64154713624,20.80782984662801,27.487378841778263
25,250,-494508.72161493945,21.051375958340966,28.341902816083167
26,260,-494797.2192554744,21.276626180592547,29.172096223338304
27,270,-495093.89732107765,21.48521737423869,29.979136507245858
28,280,-495398.5302348596,21.67835056730545,30.76412430605269
29,290,-495710.9029788814,21.85730655723895,31.528087822096133
30,300,-496030.81028648384,22.023495226720158,32.27199618893064
31,310,-496358.0566457296,22.177775150477828,32.99676049352347
32,320,-496692.45499841037,22.321199344238266,33.70323528409135
33,330,-497033.8267966429,22.454735724043008,34.392227292391176
34,340,-497382.0012095172,22.579179680658854,35.06449732094697
35,350,-497736.81480903993,22.69508016158936,35.720759511836505
36,360,-498098.1111614248,22.803246472327682,36.36168669927646
37,370,-498465.74005590734,22.904592214470878,36.987919972248335
38,380,-498839.5580538572,22.999237025188712,37.600063028465215
39,390,-499219.4270240877,23.087700454217085,38.19868072793978
40,400,-499605.214669474,23.170754678838392,38.78431132109472
41,410,-499996.7936850416,23.248808476570353,39.35746780917252
42,420,-500394.04203976964,23.321914868132474,39.918631707433086
43,430,-500796.8421103629,23.39063028752856,40.46825762421213
44,440,-501205.08075755875,23.455548278201604,41.00678201866613
45,450,-501618.64926153305,23.516471580704188,41.53461646868382
46,460,-502037.4427010553,23.573608011126602,42.05214546704447
47,470,-502461.35994299717,23.62786866103852,42.559740641635294
48,480,-502890.3034341268,23.67938154037114,43.05776117091882
49,490,-503324.17944885365,23.727603220952698,43.54653979551149
50,500,-503762.89698514855,23.773189115454407,44.02639008687984
51,510,-504206.36842672725,23.816524586274973,44.49761731711551
52,520,-504654.5090874627,23.85749984537837,44.96051169317143
53,530,-505107.23703172733,23.89643866592975,45.4153488307682
54,540,-505564.4731127348,23.93336501631711,45.86239216302275
55,550,-506026.1406847772,23.968383808947653,46.301891792918475
56,560,-506492.1655565375,24.001516654179312,46.73408544702252
57,570,-506962.47588968807,24.03298218716801,47.15920033608418
58,580,-507437.0019408075,24.063200914906297,47.57745735650242
59,590,-507915.6763452566,24.091876624699342,47.989067189671914
60,600,-508398.4336360533,24.119108460639964,48.39422820614928
61,610,-508885.21027650294,24.14512039188412,48.79313159953891
62,620,-509375.9447369395,24.16982134185951,49.18596033647046
63,630,-509870.57707358,24.193405118965714,49.572889402255534
64,640,-510369.0492709495,24.215985811315477,49.95408794314426
65,650,-510871.3047627961,24.23763030760897,50.32971864235369
66,660,-511377.28879609157,24.258167958737026,50.69993595209962
67,670,-511886.94791681686,24.27780412052103,51.06488759447748
68,680,-512400.2302412086,24.29667137127258,51.42471723254494
69,690,-512917.08528225287,24.314731279904663,51.77956293284879
70,700,-513437.46384595585,24.33215588133311,52.12955775121373
71,710,-513961.318144083,24.348727465135592,52.47482877637813
72,720,-514488.6015397781,24.364455438963912,52.81549629531946
73,730,-515019.2685988513,24.3795289729068,53.15167697769139
74,740,-515553.2750421776,24.393968680742546,53.48348416555601
75,750,-516090.5776996321,24.40829002185643,53.81103021174277
76,760,-516631.1344735937,24.422125909547375,54.13442402620568
77,770,-517174.9045550912,24.43472218176159,54.45376293434384
78,780,-517721.84765548847,24.44708456703525,54.76914204205606
79,790,-518271.9247727227,24.459259864337387,55.08065956479333
80,800,-518825.0978038279,24.47051304520585,55.3884057135052
81,810,-519381.32942572853,24.48140585139324,55.69246620924387
82,820,-519940.58320868993,24.492263532746932,55.99292906877163
83,830,-520502.82366187085,24.50267892238032,56.289878638625666
84,840,-521068.0160591777,24.512566694361396,56.58339327324356
85,850,-521636.12641797576,24.522002971287353,56.87354848463073
86,860,-522207.1215604723,24.53101256182393,57.160417726989536
87,870,-522780.9689401848,24.540033490305483,57.444074568278296
88,880,-523357.63683505147,24.54876917123329,57.724590886528304
89,890,-523937.0942364124,24.556871077400675,58.00203247941971
90,900,-524519.3106410721,24.564789358555572,58.27646348128472
91,910,-525104.2563286298,24.572482692743037,58.547948174445615
92,920,-525691.9021312521,24.57992351376471,58.81654835645021
93,930,-526282.2195121407,24.58716012122439,59.0823239301957
94,940,-526875.180544699,24.594039732147806,59.34533232338289
95,950,-527470.7578182844,24.600748736396714,59.605629308588675
96,960,-528068.924506968,24.607286584563553,59.863269884478356
97,970,-528669.6543344224,24.613538809461446,60.1183067468286
98,980,-529272.921505314,24.619651797809638,60.37079112657375
99,990,-529878.7007634715,24.62569525365522,60.6207737931807
100,1000,-530486.9673411284,24.6313045383431,60.8683025141232
101,1010,-531097.6969683807,24.63660554382943,61.11342243059625
102,1020,-531710.8656987582,24.642138241947613,61.356180619681254
103,1030,-532326.4502447924,24.647427106905017,61.596623119387374
104,1040,-532944.4276400122,24.652347073238047,61.83479172318039
105,1050,-533564.7753375563,24.657296327422955,62.07072831936821
106,1060,-534187.4712532175,24.6620464057778,62.30447442373988
107,1070,-534812.4936860639,24.66661099660843,62.53606936868164
108,1080,-535439.8212990288,24.671151530847496,62.76555220017326
109,1090,-536069.433197561,24.675447845182653,62.99296062202775
110,1100,-536701.30880837,24.679559250245724,63.21833056453179
111,1110,-537335.4279192764,24.68371215929801,63.44169827191509
112,1120,-537971.7707028931,24.687686237180685,63.66309904951195
113,1130,-538610.3176724006,24.69153226776689,63.88256650205585
114,1140,-539251.0496282153,24.69546264855348,64.10013450228143
115,1150,-539893.9477909293,24.69905603532954,64.31583513510414
116,1160,-540538.9936281509,24.702433597400756,64.52969834214309
117,1170,-541186.1688854704,24.70604658201661,64.74175574467809
118,1180,-541835.4557086374,24.709408936941102,64.95203802565375
119,1190,-542486.8364916634,24.712556350862386,65.16057318136154
120,1200,-543140.2938599499,24.71592551388312,65.36739047471784
121,1210,-543795.8108394869,24.71900006913347,65.5725181260772
122,1220,-544453.3706531004,24.721933344332328,65.77598215341423
123,1230,-545112.9567575812,24.724996549097355,65.97780966841965
124,1240,-545774.5529981671,24.727777149900618,66.17802656330313
125,1250,-546438.1433249598,24.7306223045598,66.37665783135162
126,1260,-547103.7120455402,24.73345244586781,66.5737289413868
127,1270,-547771.2436914758,24.7360894490037,66.76926374113683
128,1280,-548440.7229825787,24.738633695617864,66.96328520794341
129,1290,-549112.1349523065,24.741130854491892,67.15581635184208
130,1300,-549785.464742647,24.743714973475836,67.34688034238062
131,1310,-550460.6978816192,24.746162549045216,67.53649947898957
132,1320,-551137.8199534764,24.748462285101226,67.72469465640752
133,1330,-551816.8168910996,24.75057969777301,67.91148612382676
134,1340,-552497.6746983316,24.753009859233675,68.09689539301034
135,1350,-553180.3796839477,24.755524917985706,68.28094449942292
136,1360,-553864.9184013538,24.757310035452633,68.46365115093795
137,1370,-554551.2774471418,24.759241472598127,68.64503286828258
138,1380,-555239.443666151,24.761697705992464,68.82511135947425
139,1390,-555929.4041859484,24.763645146900675,69.00390551575111
140,1400,-556621.1462346312,24.76539639249637,69.18143122025067
141,1410,-557314.6571535743,24.767636041357363,69.35770756111015
142,1420,-558009.9246306521,24.769656988786902,69.5327531597839
143,1430,-558706.9364009282,24.77127936791844,69.70658312677989
144,1440,-559405.6803948388,24.772755295922366,69.87921250314685
145,1450,-560106.1446774759,24.774642142801895,70.05065881508344
146,1460,-560808.3174799411,24.77663737509845,70.22094011343579
147,1470,-561512.187338063,24.778223875942267,70.39007128434314
148,1480,-562217.7426848721,24.780051009578585,70.55806734593644
149,1490,-562924.9723724939,24.781798071839145,70.72494413069653
150,1500,-563633.8652008869,24.78319256566444,70.8907151687963
151,1510,-564344.410238622,24.78466094874829,71.05539422441943
152,1520,-565056.5965682524,24.786319198064003,71.21899658288748
153,1530,-565770.413577849,24.787645870776036,71.38153590628062
154,1540,-566485.8506511964,24.789113222114533,71.54302541878133
155,1550,-567202.8973473691,24.79084980720742,71.70348003586841
156,1560,-567921.5434648475,24.792349804449117,71.86291317874712
157,1570,-568641.7787555491,24.793515420090543,72.02133607856814
158,1580,-569363.5932912689,24.794818698714234,72.17876093489468
159,1590,-570086.9769829444,24.796756741457372,72.33520277348725
160,1600,-570811.9202869812,24.797750137280445,72.49067296512368
161,1610,-571538.4133881363,24.798370139906183,72.64517950616573
162,1620,-572266.4467202277,24.80043833021773,72.79873764077638
163,1630,-572996.0108790773,24.802117654069562,72.95136231902725
164,1640,-573727.0967184941,24.802365938236704,73.10305940385442
165,1650,-574459.6947792585,24.803767544231725,73.25383930513053
166,1660,-575193.7960743064,24.805499288864667,73.40371759638656
167,1670,-575929.3917139958,24.80624949662377,73.5527031637641
168,1680,-576666.472658863,24.80702810115133,73.70080381261505
169,1690,-577405.0302653791,24.808668418540037,73.84803268066608
170,1700,-578145.0556786817,24.810689821577157,73.99440372506214
171,1710,-578886.5406909443,24.811047273498843,74.13992326403677
172,1720,-579629.4765078702,24.811547468835244,74.28459677736828
173,1730,-580373.8548702577,24.812956074217063,74.42843711472669
174,1740,-581119.6674643771,24.814309646428853,74.57145634809567
175,1750,-581866.9061492414,24.815300576083743,74.71366269437422
176,1760,-582615.5628598832,24.81587037886493,74.85506318492116
