,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-617332.9625980512,-0.0,0.0
1,10,-617333.1010777421,0.10251051837403793,0.05125525918701897
2,20,-617334.2473353461,0.455017144291196,0.21626480444683693
3,30,-617337.4784578588,1.1971932906046279,0.5295513056204072
4,40,-617344.6324155268,2.3750154278823175,1.0259604492064682
5,50,-617357.8184151836,3.8084200389566822,1.7036793815874263
6,60,-617378.7676499863,5.268808297778015,2.5235887436312625
7,70,-617408.62573282,6.6165745601349055,3.435268570360495
8,80,-617448.0282730977,7.801759169693103,4.395490987047379
9,90,-617497.242047943,8.827030908138841,5.373491541160911
10,100,-617556.2976920576,9.718189776060173,6.349791635971633
11,110,-617625.0896115465,10.504955986270216,7.313199124150561
12,120,-617703.4398701217,11.21346232420765,8.257924720368464
13,130,-617791.1370151001,11.86471920418262,9.181487671217473
14,140,-617887.9602559331,12.47320880801999,10.083294768368068
15,150,-617993.6912469743,13.048060079992862,10.963701847511402
16,160,-618108.118381196,13.595355561049658,11.823492044793966
17,170,-618231.0403057284,14.118825601696155,12.663606482597242
18,180,-618362.2648953616,14.6200303527934,13.484978013361978
19,190,-618501.6101306042,15.099508200306444,14.288445446561672
20,200,-618648.9003658667,15.558243473409677,15.074757012352347
21,210,-618803.9683937965,15.996267803615783,15.844576618321298
22,220,-618966.6523233186,16.413706830923903,16.598478929066914
23,230,-619136.7957385194,16.81129834897289,17.33698072826519
24,240,-619314.2473840995,17.188832839694797,18.060544420011865
25,250,-619498.8601238492,17.546856848639436,18.769582241144963
26,260,-619690.4904996132,17.886531767924307,19.464491142885528
27,270,-619888.9994801369,18.208041842022794,20.145648867690763
28,280,-620094.2513563083,18.51192182643574,20.813404860343148
29,290,-620306.1137132276,18.799485079321332,21.46810394604982
30,300,-620524.4578156127,19.071421657281462,22.110090026762926
31,310,-620749.1582705656,19.32808322614293,22.739690332225297
32,320,-620980.0928371267,19.57053525503727,23.357223223426264
33,330,-621217.1422901308,19.79981676764146,23.963010060538366
34,340,-621460.1910277095,20.01645676423792,24.557366942588125
35,350,-621709.1260875963,20.22122620673324,25.14060126098193
36,360,-621963.8379909561,20.414631364960236,25.71301246781368
37,370,-622224.2198578694,20.59777431139372,26.27489731605456
38,380,-622490.1678779416,20.771212277427562,26.826551042262874
39,390,-622761.581492263,20.935034933238057,27.36825435072533
40,400,-623038.3621989033,21.09038682526439,27.900282069800596
41,410,-623320.4149573573,21.23770561236021,28.422908315023232
42,420,-623607.6469066903,21.37720943735332,28.936395313469983
43,430,-623899.9681352442,21.50951183061111,29.440996504691427
44,440,-624197.2908615605,21.63524094130844,29.936962118069637
45,450,-624499.5301613456,21.754788168909727,30.424536997309765
46,460,-624806.6032172864,21.86848031365662,30.903957738827735
47,470,-625118.4297769305,21.9764566847211,31.375450704192914
48,480,-625434.9316428503,22.078957548597913,31.839231937714793
49,490,-625756.0327599066,22.176993127260392,32.29551692708337
50,500,-626081.6591997046,22.270524511404766,32.74451802043477
51,510,-626411.7394107417,22.359281780934435,33.18643191045994
52,520,-626746.2031761681,22.444300751783885,33.621451139522826
53,530,-627084.9827531697,22.525532192847496,34.04976674436183
54,540,-627428.0119993638,22.602978368697222,34.47155860179627
55,550,-627775.2264972527,22.677261899341907,34.88700236490112
56,560,-628126.5637694992,22.748087735054895,35.29626721746463
57,570,-628481.9627954443,22.815868791603013,35.69951434359682
58,580,-628841.3641737311,22.881155444431393,36.096904883561365
59,590,-629204.71022963,22.94368957792176,36.48859427087009
60,600,-629571.944685166,23.003493978059808,36.87472810129111
61,610,-629943.0127075973,23.06098032148734,37.25544831330626
62,620,-630317.860859253,23.116232040233577,37.63089396830183
63,630,-630696.4371398739,23.169306343983,38.00119857811515
64,640,-631078.6907314304,23.220430040545807,38.366491571489306
65,650,-631464.572242845,23.269575964383105,38.72689791936863
66,660,-631854.0333723832,23.316902428481118,39.08253785777196
67,670,-632247.0270848711,23.36256829556354,39.43352858258149
68,680,-632643.5074693533,23.406552790233448,39.77998311298579
69,690,-633043.4297288647,23.449012251067423,40.122010497427254
70,700,-633446.7501267882,23.490034605463634,40.459716837525775
71,710,-633853.4260031488,23.529542227028287,40.79320380059217
72,720,-634263.4156611405,23.567815537448038,41.12257018786768
73,730,-634676.6783575608,23.605025232146623,41.4479138285591
74,740,-635093.1744263469,23.640726657945404,41.769326723154514
75,750,-635512.8649723739,23.675287633377536,42.08689661362441
76,760,-635935.7119627198,23.708950973756146,42.40071180513041
77,770,-636361.6784072582,23.741491113248212,42.710857272456636
78,780,-636790.727894342,23.77316084713675,43.01741485587846
79,790,-637222.8250842793,23.803884076516148,43.32046440674604
80,800,-637657.9351905013,23.83358716545615,43.6200818206853
81,810,-638096.0243608328,23.862556060435715,43.91634146923752
82,820,-638537.0592802432,23.890819488424924,44.2093169265936
83,830,-638981.0076156877,23.917858262883847,44.49907613869291
84,840,-639427.8374282722,23.944453098625004,44.78568612874369
85,850,-639877.5175492235,23.970803671778533,45.06921736276418
