,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-449883.88490157085,-0.0,0.0
1,10,-449884.3503807688,0.3503160045933328,0.1751580022966664
2,20,-449888.4340509297,1.3478974921890767,0.6872903776406021
3,30,-449899.2939793485,2.876161757046066,1.5036250435288823
4,40,-449919.9411501323,4.699376669485354,2.5704074200555627
5,50,-449952.58640135545,6.511468389246147,3.8089763426658467
6,60,-449998.44201602973,8.135694097221132,5.138097689692223
7,70,-450057.9705704764,9.534860769231452,6.497133681310515
8,80,-450131.1808425753,10.735782157001086,7.849181549639617
9,90,-450217.8396582786,11.779318353143754,9.174574509626838
10,100,-450317.5985799059,12.701299506516078,10.464046060127295
11,110,-450430.06127209484,13.52747780598875,11.713996390270768
12,120,-450554.8215152626,14.274874586815713,12.92366818620576
13,130,-450691.4737142965,14.956155301321989,14.093691369681618
14,140,-450839.62736590864,15.579620690771842,15.22534313671058
15,150,-450998.9050958868,16.15170247115747,16.320148243752918
16,160,-451168.9464185283,16.677441588789236,17.3797083757745
17,170,-451349.40768406686,17.1606492875246,18.405603404469005
18,180,-451539.95907512,17.606390893191552,19.39939479721361
19,190,-451740.2882705705,18.01764322873204,20.36260971693264
20,200,-451950.0970448076,18.39771216755615,21.296701027140806
21,210,-452169.1007375557,18.74997191480944,22.20307173406327
22,220,-452397.0304388304,19.07560067507148,23.083036015775726
23,230,-452633.6274367596,19.378292921639513,23.937839632181568
24,240,-452878.64674317144,19.66064331410452,24.768703605319025
25,250,-453131.8555149576,19.92347176463225,25.57676977632218
26,260,-453393.03078636935,20.16962922410461,26.36311669669376
27,270,-453661.9611479791,20.40051506406451,27.128781497773886
28,280,-453938.44502837356,20.617076639283894,27.874730896619436
29,290,-454222.2897662806,20.82147110516093,28.601883860587257
30,300,-454513.31223700533,21.014442870931838,29.311115456226254
31,310,-454811.33765507204,21.196983395013376,30.00324299969361
32,320,-455116.19870279834,21.36995862144977,30.679035432105593
33,330,-455427.7364901796,21.534546874805528,31.339222048820375
34,340,-455745.79761686816,21.69212213590212,31.98450485819121
35,350,-456070.23780634755,21.84238491425635,32.61554072451108
36,360,-456400.9166746273,21.986307656258603,33.232940178829445
37,370,-456737.7018481318,22.124068920876095,33.83727946728031
38,380,-457080.4649631156,22.25675305801269,34.429105385537696
39,390,-457429.0838022629,22.384801297289904,35.008942031475456
40,400,-457783.44141271757,22.507947265869035,35.57727600431535
41,410,-458143.42452695535,22.627978802517493,36.13457630614502
42,420,-458508.92580958543,22.743685962067595,36.681285433366426
43,430,-458879.8413285283,22.85539987928781,37.21780406329417
44,440,-459256.0708597505,22.964738376374683,37.74452746310198
45,450,-459637.51896719827,23.072233148275796,38.2618485452891
46,460,-460024.0929448032,23.176306236689463,38.77012306351898
47,470,-460415.7052575556,23.27490328966219,39.26964478980225
48,480,-460812.2683396269,23.37257199094165,39.76071443551991
49,490,-461213.69997624453,23.469674843775422,40.243665205089926
50,500,-461619.9208777764,23.563857378176323,40.7187902568694
51,510,-462030.8536131733,23.65651923691181,41.18635548983657
52,520,-462446.42450182844,23.74650872355545,41.646613963671555
53,530,-462866.5613828369,23.83427455682977,42.09979742508367
54,540,-463291.19467105245,23.921892348351072,42.54614807507169
55,550,-463720.2572842415,24.007707176089674,42.98589896171616
56,560,-464153.6847605345,24.09008871112019,43.41924092291302
57,570,-464591.4133363196,24.17132750952292,43.846360189370905
58,580,-465033.38205623877,24.252379421162104,44.26746161444026
59,590,-465479.53172349214,24.331877870629334,44.68273620566543
60,600,-465929.8051308542,24.40934007798205,45.09234972781779
61,610,-466384.1462990515,24.485525304265277,45.49646192221845
62,620,-466842.50109885493,24.560315933716033,45.89523001328418
63,630,-467304.81695677765,24.633328184941,46.288799681908145
64,640,-467771.0424319742,24.705802464392036,46.67731636830358
65,650,-468241.12782287516,24.776731126053978,47.06092068948783
66,660,-468715.0248916337,24.845490153680924,47.43973433917417
67,670,-469192.68590812717,24.91342715716896,47.81387884761716
68,680,-469674.06522411364,24.980628452455758,48.183481037367166
69,690,-470159.1176812342,25.04593196798965,48.54865438956695
70,700,-470647.80004391854,25.10967571324727,48.90950147672775
71,710,-471140.06883519224,25.1727663748999,49.266129305891084
72,720,-471635.8832498453,25.232834860752494,49.61863032839756
73,730,-472135.2018293615,25.292276730334457,49.96709312038947
74,740,-472637.98469736136,25.35185022755171,50.31162417783634
75,750,-473144.1936053008,25.408244352038523,50.6523087588379
76,760,-473653.7898477031,25.464097741560433,50.989224013344206
77,770,-474166.7364448945,25.51819796483447,51.322453556357495
78,780,-474682.997154751,25.56934453706792,51.65206219526952
79,790,-475202.5354912232,25.620801707895698,51.9781252228291
80,800,-475725.3169461768,25.671088003553567,52.300726495686106
81,810,-476251.3070953787,25.718749252780984,52.61992850714523
82,820,-476780.4722816044,25.76505127975543,52.93579018980017
83,830,-477312.77931644913,25.80989659272606,53.24837546579365
84,840,-477848.1959347295,25.852809219021523,53.55774253972995
85,850,-478386.6900419016,25.894234678002128,53.86394733640845
86,860,-478928.2304493874,25.934757449367133,54.167049837468944
87,870,-479472.7862895555,25.973592425711104,54.46710683069977
88,880,-480020.32764192874,26.01015039694036,54.76416529582493
89,890,-480570.8244187844,26.045697305440452,55.05827438342749
90,900,-481124.24763010506,26.079215889185434,55.34948305831058
91,910,-481680.56847938657,26.111328158507046,55.63783642706403
92,920,-482239.7583808988,26.14188400414423,55.923380719644044
93,930,-482801.7900468716,26.17008313563704,56.20615554788528
94,940,-483366.6351682161,26.197559714605383,56.48620364146845
95,950,-483934.26756409236,26.22332415323042,56.76356985889797
96,960,-484504.65985328425,26.247810296947137,57.03829469973789
97,970,-485077.7864809566,26.269155161082676,57.31041006132873
98,980,-485653.62112597615,26.28981460110247,57.57994978477146
99,990,-486232.1380391244,26.311151528610278,57.84696609559979
100,1000,-486813.3129352399,26.32640735915608,58.111482736075416
101,1010,-487397.12036558654,26.341537812898093,58.373518425410296
102,1020,-487983.53530744737,26.361618834059044,58.63314569968498
103,1030,-488572.53498425183,26.372593102019017,58.89039161803231
104,1040,-489164.09556939366,26.378637211327145,59.145234285852354
105,1050,-489758.19138664607,26.392067049557077,59.39773116682045
106,1060,-490354.8014610366,26.40509366630875,59.64796000519491
107,1070,-490953.9019098211,26.412075116555283,59.89593324556918
108,1080,-491555.47153896873,26.41238523107627,60.14163371858377
109,1090,-492159.48610593687,26.418199316055766,60.38509768037112
110,1100,-492765.92398180126,26.426283594948394,60.62640155178961
111,1110,-493374.76505409525,26.427102301471884,60.86556202403372
112,1120,-493985.9859823047,26.430098845996042,61.10259453809704
113,1130,-494599.56728236226,26.423809732329552,61.33750556289233
114,1140,-495215.4873038245,26.419230756777445,61.57029889409096
115,1150,-495833.72307159647,26.426008637674467,61.80106840292865
116,1160,-496454.25853087305,26.421185518382117,62.02984851299552
117,1170,-497077.070516009,26.410955028836657,62.256600262516436
118,1180,-497702.1405115486,26.409975837235358,62.48137426897592
119,1190,-498329.4473467562,26.40783451436907,62.70423823412784
120,1200,-498958.9750264063,26.391045844007408,62.92515821302004
121,1210,-499590.7007605334,26.381243155282487,63.14413430550485
122,1220,-500224.6065565453,26.377006988311855,63.361250194629974
123,1230,-500860.67524642806,26.359493132415547,63.576505093394374
124,1240,-501498.8862856969,26.35102948878749,63.78991165566622
125,1250,-502139.2219252113,26.349077429403955,64.0015621165483
126,1260,-502781.6663469416,26.329155547449034,64.21143920224786
127,1270,-503426.200308772,26.311014058304316,64.41950664775068
128,1280,-504072.8048702649,26.301128448732015,64.62583210027441
129,1290,-504721.4656258943,26.28475274149241,64.8304497698722
130,1300,-505372.1624962284,26.276377655099523,65.0333916474483
131,1310,-506024.88125394424,26.26292603824714,65.23469481414794
132,1320,-506679.6051614704,26.243443187513208,65.43434197163732
133,1330,-507336.31609605165,26.215509540539642,65.63230350055309
134,1340,-507995.0003852541,26.194479003260113,65.82859864099373
135,1350,-508655.63530193066,26.1983964979958,66.0233703324302
136,1360,-509318.21485650144,26.171554921532902,66.21662038248833
137,1370,-509982.7169956609,26.144015300343355,66.40825544864056
138,1380,-510649.12684390217,26.138051124697082,66.59837464666052
139,1390,-511317.43197852996,26.113304446707282,66.78701048025395
140,1400,-511987.6150780057,26.080705100728068,66.974088605422
141,1410,-512659.66158138367,26.076870040064186,67.15970515113658
142,1420,-513333.554942138,26.070743991527706,67.34397471582778
143,1430,-514009.28887786577,26.025598750531614,67.52677170719397
144,1440,-514686.83867781726,26.004532984039425,67.7080638215295
145,1450,-515366.19606211025,26.006785464021753,67.8880359094008
146,1460,-516047.34589488094,25.986385346026513,68.06670895032948
147,1470,-516730.277532,25.9570444777003,68.24399268762355
148,1480,-517414.9726695737,25.92180799039113,68.41985563019772
149,1490,-518101.4221432442,25.886761872397408,68.59429763427178
150,1500,-518789.60533831787,25.900179398959363,68.76749989403251
151,1510,-519479.51622076286,25.891023867881664,68.93956569247457
152,1520,-520171.14472156845,25.835207039165024,69.11028179326823
153,1530,-520864.4688476505,25.831499037149044,69.27968269046978
154,1540,-521559.48284351354,25.810250497280062,69.44789886859144
155,1550,-522256.17480761977,25.771699409779103,69.6148328974181
156,1560,-522954.52492662676,25.771783199528446,69.78056928087244
157,1570,-523654.53152872704,25.736983795210616,69.94513606664697
158,1580,-524356.1751592783,25.72634981689312,70.10851348261276
159,1590,-525059.4454431579,25.713252105022548,70.27078526538244
160,1600,-525764.3383918835,25.674164830707014,70.43187631382753
161,1610,-526470.8281002567,25.663899016368443,70.59180962866375
162,1620,-527178.9201656964,25.61966325877538,70.75058421315335
163,1630,-527888.5868813348,25.616929858044486,70.9082367873445
164,1640,-528599.8277822892,25.621899263328174,71.06493187332089
165,1650,-529312.6320255682,25.593785157543607,71.22060434457526
166,1660,-530026.9846426048,25.57430159507203,71.37519229819591
167,1670,-530742.8817237791,25.534736603501607,71.52867463429284
168,1680,-531460.3039852325,25.496259576408193,71.68100766641874
169,1690,-532179.2475265658,25.481169449186076,71.83227746664198
170,1700,-532899.6938658545,25.501661827467856,71.98267042966327
171,1710,-533621.6443753759,25.468412890683247,72.13214436093114
172,1720,-534345.0841374948,25.423599699488108,72.28051921755105
173,1730,-535069.9987476693,25.435108955515652,72.42793690622493
174,1740,-535796.3868741815,25.411182931031377,72.57446942242532
175,1750,-536524.2340700101,25.398625985836176,72.7200575658484
176,1760,-537253.5312621166,25.38440944775914,72.86473986823258
177,1770,-537984.2747925763,25.316586152108833,73.00837044789077
178,1780,-538716.4448340172,25.311219848319382,73.15098516013968
179,1790,-539450.0367775498,25.332674622422964,73.29284575325437
180,1800,-540185.0463204904,25.32545405218869,73.43395589768916
181,1810,-540921.4596953997,25.32631290113418,73.57426657150208
182,1820,-541659.2756856419,25.261457325541414,73.71362836987392
183,1830,-542398.4795884765,25.193186842712073,73.85186182174365
184,1840,-543139.0570194364,25.201189244818465,73.98917715808929
185,1850,-543881.0061890598,25.23343417246334,74.12585712133878
186,1860,-544624.3168726319,25.229886416682646,74.26187786738883
187,1870,-545368.9886673021,25.164454315763116,74.39698477991041
188,1880,-546115.0025078525,25.135534458841335,74.53111924280674
189,1890,-546862.353916521,25.13949146667437,74.66447565967684
190,1900,-547611.0361291282,25.126935652194433,74.79710576573271
191,1910,-548361.0396930344,25.124234949142284,74.92899952916487
192,1920,-549112.3596315938,25.118816453218187,75.06018336223642
193,1930,-549864.9870894324,25.1092874595276,75.19064691426175
194,1940,-550618.9162208205,25.082604862476828,75.3203427705943
195,1950,-551374.1384832314,25.029333470856017,75.4491664375455
196,1960,-552130.6444811529,25.03141107028378,75.57719985616131
197,1970,-552888.4240992808,25.03953735571939,75.70460762191506
