,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-468776.3850536942,-0.0,0.0
1,10,-468776.7715614375,0.2887105518835597,0.14435527594177985
2,20,-468780.10026353475,1.1172018357174238,0.5680110108129156
3,30,-468789.0929989995,2.382110909819312,1.244329954712157
4,40,-468806.15951008967,3.916962212353247,2.130968716226198
5,50,-468833.1759153591,5.529853988569812,3.1735743916273353
6,60,-468871.3883787681,7.078935036700567,4.316471043542697
7,70,-468921.49766362726,8.497664816799807,5.513358354943922
8,80,-468983.8101476912,9.772025259386282,6.731085991998407
9,90,-469058.37749656284,10.91167385673034,7.948041673861735
10,100,-469145.0920429113,11.933625010045947,9.150927027515719
11,110,-469243.75365775055,12.853792220968172,10.331871560789297
12,120,-469354.1084381715,13.68505180148058,11.486345335288934
13,130,-469475.87088155997,14.438656844393696,12.611888782570896
14,140,-469608.74167277,15.123181868874243,13.70733537629858
15,150,-469752.41474181367,15.745581344977827,14.772301725971921
16,160,-469906.58399842243,16.312233857787206,15.806911745527032
17,170,-470070.9468189873,16.82878021611252,16.81163317758619
18,180,-470245.2069087193,17.30028768964985,17.78716084852422
19,190,-470429.0760260812,17.731261911755414,18.734336551031447
20,200,-470622.274902771,18.125882094784167,19.65409575897356
21,210,-470824.53420562093,18.486403215357853,20.547395268851687
22,220,-471035.59466101223,18.818669499797405,21.415244760446512
23,230,-471255.2045817613,19.127647496122528,22.258760218361566
24,240,-471483.1301819804,19.410408236493822,23.078962147117274
25,250,-471719.140431808,19.67019873325624,23.876749626709355
26,260,-471963.0163833427,19.91223825852504,24.65308126019227
27,270,-472214.5485998279,20.13719107406217,25.408919864826025
28,280,-472473.5367974104,20.346724864357384,26.145165183219802
29,290,-472739.7896435131,20.54210779448911,26.862673828116392
30,300,-473013.12396128435,20.724819868381008,27.562261764908186
31,310,-473293.3646289838,20.896169062849367,28.24471041426587
32,320,-473580.34421831614,21.05710553638636,28.91076267315657
33,330,-473873.90241324523,21.20864589170235,29.561123066733852
34,340,-474173.8858572684,21.351577637915042,30.19645997509797
35,350,-474480.1476470724,21.486674118110372,30.817406251292415
36,360,-474792.5469993241,21.61468716924424,31.424562727155717
37,370,-475110.94907989167,21.736141672437952,32.018498359839576
38,380,-475435.22446045675,21.851673238063867,32.59975202035203
39,390,-475765.2490442487,21.961704727972364,33.16883435366763
40,400,-476100.9036828926,22.06659068999585,33.72622705431786
41,410,-476442.0738339678,22.166864259434835,34.27238705086275
42,420,-476788.6494960185,22.262886386547933,34.8077490255273
43,430,-477140.52483272046,22.354929797716583,35.332724431431416
44,440,-477497.5980580839,22.443260518589554,35.84770252693852
45,450,-477859.7711150059,22.52807603294796,36.35305153420777
46,460,-478226.94958425715,22.609624347422603,36.84912027651444
47,470,-478599.04235376505,22.688375886151334,37.336242763815974
48,480,-478975.9616533412,22.76438150808667,37.81473743877505
49,490,-479357.62284859753,22.837585131924286,38.284902995796436
50,500,-479743.94404034864,22.908382577297814,38.74702340454824
51,510,-480134.8462700683,22.976862005767252,39.20137058331893
52,520,-480530.2531334179,23.04309725743373,39.64820217917659
53,530,-480930.0907597789,23.10735824170115,40.08776436771296
54,540,-481334.287685916,23.16967109164103,40.52029230497865
55,550,-481742.77476514364,23.230086761061024,40.94600890348666
56,560,-482155.4849577412,23.28874029624268,41.36512669162184
57,570,-482572.35337906185,23.34569603984431,41.777848680205345
58,580,-482993.31704406376,23.40103469413306,42.18436854528044
59,590,-483418.31493756943,23.454793108816375,42.584871036114045
60,600,-483847.28777500294,23.507144695788114,42.97953334170451
61,610,-484280.17805072706,23.55836963886241,43.36852760465189
62,620,-484716.9299357393,23.60797671074119,43.752015904091955
63,630,-485157.4892751233,23.655760706268573,44.13014694563898
64,640,-485601.8030491923,23.70211743377149,44.50306387067977
65,650,-486049.82003012666,23.74790232731893,44.87091283487971
66,660,-486501.4899860414,23.79437166703846,45.23384939804528
67,670,-486956.76487886993,23.83815331810033,45.59200645601523
68,680,-487415.59775420383,23.87825135825551,45.94547850020245
69,690,-487877.94146093744,23.919256717899554,46.29438182506784
70,700,-488343.751552577,23.960240159664004,46.63885434486802
71,710,-488812.98427878344,23.999323523776447,46.97900823802703
72,720,-489285.5969167557,24.037352567806323,47.31494361811565
73,730,-489761.54784227663,24.074475670793618,47.646763346592344
74,740,-490240.7963656943,24.11062641719197,47.974566653524384
75,750,-490723.3028992881,24.145702893474663,48.29844764410155
76,760,-491209.02858566924,24.179998623824105,48.61849793503934
77,770,-491697.93566450936,24.21341710362321,48.93480685454634
78,780,-492189.9871207093,24.24579406559944,49.24745859256946
79,790,-492685.14682822605,24.27668221087084,49.5565302368108
80,800,-493183.3793962959,24.307508680853118,49.862102053476704
81,810,-493684.6499829356,24.338783992423735,50.16426339009268
82,820,-494188.92542622285,24.367701197718212,50.46308634134184
83,830,-494696.17229023395,24.395118747231145,50.75862843190043
84,840,-495206.3581396609,24.422556184366172,51.05095933681078
85,850,-495719.45128126594,24.449184857148794,51.34015042950487
86,860,-496235.4206417582,24.474965761357453,51.626265476524715
87,870,-496754.2357710542,24.499999169756546,51.90936638202038
88,880,-497275.86684886075,24.524285330273955,52.18951350523567
89,890,-497800.2846282769,24.54783617606584,52.466765227521684
90,900,-498327.46045838617,24.570646162319463,52.74117800931272
91,910,-498857.3662208596,24.592713655732158,53.012806399409605
92,920,-499389.97435509483,24.614043124369346,53.281703173217835
93,930,-499925.25779746677,24.634714953921502,53.547919850773184
94,940,-500463.19000968366,24.65469066933722,53.81150652647194
95,950,-501003.7449503982,24.673908910837916,54.07251117659544
96,960,-501546.8970220041,24.69259287016473,54.33098110960564
97,970,-502092.6211176079,24.71007075939117,54.586959862897494
98,980,-502640.89261468715,24.727354252257058,54.84049133233202
99,990,-503191.6870047184,24.74507287798638,55.09162641855219
100,1000,-503744.98100502416,24.76090003532576,55.3404060342742
101,1010,-504300.7509010725,24.77573593348643,55.586862692537395
102,1020,-504858.9737553753,24.790544594067832,55.831037128045864
103,1030,-505419.62697007356,24.804607466241578,56.07297012132331
104,1040,-505982.6882879202,24.818277386051847,56.312699478457944
105,1050,-506548.13589634304,24.83125317438658,56.55026218247221
106,1060,-507115.9483117674,24.843509508509456,56.78569261081356
107,1070,-507686.10434763134,24.85541835814097,57.019025791177405
108,1080,-508258.58324486314,24.866811883117848,57.25029673502358
109,1090,-508833.36454410024,24.87753224257735,57.47953798449089
110,1100,-509410.42810828594,24.887840205250384,57.70678165125719
111,1110,-509989.75411019946,24.897510197052828,57.93205914447826
112,1120,-510571.32309541974,24.906517916964447,58.15539990344114
113,1130,-511155.11575204536,24.915233506700556,58.3768341116178
114,1140,-511741.1132675239,24.923432164150128,58.59639180663071
115,1150,-512329.29694557504,24.931231993184984,58.81410176643622
116,1160,-512919.64850354526,24.938518773816924,59.02999204268053
117,1170,-513512.1498719719,24.945162091712866,59.24408891488711
118,1180,-514106.783228799,24.95154554366583,59.45641905958619
119,1190,-514703.531058913,24.957447587579203,59.667009172640974
120,1200,-515302.3761050845,24.962800704000898,59.87588406739887
121,1210,-515903.30130386667,24.96781129257014,60.083068510935114
122,1220,-516506.289914938,24.972457844348156,60.288587423577695
123,1230,-517111.32537073526,24.976765863330918,60.49246513083416
124,1240,-517718.391415888,24.98060261186893,60.69472493572247
125,1250,-518327.47196308785,24.98398469033436,60.89538911082199
126,1260,-518938.55117574503,24.98699661444698,61.09447979805336
127,1270,-519551.61343054136,24.989694247623085,61.292019169545526
128,1280,-520166.6433154797,24.992093969508915,61.48802915963606
129,1290,-520783.62566783663,24.99413968715089,61.68253103711977
130,1300,-521402.5454845798,24.992427102784767,61.875532267161184
131,1310,-522023.38802596513,12.938069193847873,62.021038930275246
132,1320,-522646.13763125,-20.791438328975346,61.991665425547396
133,1330,-523267.1009395727,-30.457880361720065,61.79840666770106
134,1340,-523883.42934206297,3.435302046031765,61.69672164928707
135,1350,-524501.6535884098,25.254080543119827,61.80307357214479
136,1360,-525121.7465161732,25.186574086488687,61.98920490263336
137,1370,-525743.6889277782,25.221025194309576,62.17385013868625
138,1380,-526367.4715061913,25.268657020339543,62.35745078103792
139,1390,-526993.088070123,25.284181630195235,62.53995417981787
140,1400,-527620.520744621,25.32355794962506,62.72134575184319
141,1410,-528249.7632359585,25.38482810968377,62.90180415119103
142,1420,-528880.8052853221,25.425234324962464,63.08134674512257
143,1430,-529513.6397714706,25.439776935638335,63.25982248710352
144,1440,-530148.2518638612,25.459198662406035,63.43717275146483
145,1450,-530784.6323285031,25.49876372965778,63.613499518301985
146,1460,-531422.7704420288,25.553884266095494,63.78893959206471
147,1470,-532062.6590272541,25.594486695205504,63.963508971540435
148,1480,-532704.2900843788,25.605701875278985,64.13707079831366
149,1490,-533347.6502121807,25.641820369552743,64.30962292497134
150,1500,-533992.7301866951,25.701964911277383,64.4813425184213
151,1510,-534639.5251072736,25.73691177029999,64.65223729694554
152,1520,-535288.0241463211,25.75405052723363,64.82217613057
153,1530,-535938.2177273388,25.790651172623186,64.99117657580791
154,1540,-536590.0954876648,25.831045053986596,65.15932677897072
155,1550,-537243.6530013053,25.87644528431746,65.32666621250974
156,1560,-537898.8761913602,25.9380824251096,65.49327349622035
157,1570,-538555.7660676033,25.950538230925808,65.65905340200115
158,1580,-539214.307685421,25.95318311727091,65.82382875453477
159,1590,-539874.4907359983,26.014968752459612,65.98776715869317
160,1600,-540536.3096055874,26.076815404928766,66.15106528467149
161,1610,-541199.7600506203,26.112574903061613,66.313650285927
162,1620,-541864.830729605,26.13626688538352,66.47541272942908
163,1630,-542531.5169614916,26.169395968626255,66.63635444057873
164,1640,-543199.8052528537,26.22007764292718,66.79656792244786
165,1650,-543869.6958100238,26.25598026793206,66.95607076012385
166,1660,-544541.1749169908,26.302140438485875,67.11485765126709
167,1670,-545214.2397446816,26.347274413675294,67.27296502097161
168,1680,-545888.8824462938,26.375931329839887,67.43034887172689
169,1690,-546565.0944037499,26.403006323773297,67.58696407067619
170,1700,-547242.8699592468,26.444244853337295,67.74285666474607
171,1710,-547922.1982950842,26.515053713792682,67.89816325231513
172,1720,-548603.0796474594,26.55552261585811,68.0528889358131
173,1730,-549285.5045381644,26.576769335856817,68.20689669455605
174,1740,-549969.465038606,26.61591735879118,68.36019068777095
175,1750,-550654.95569901,26.667754721274584,68.51286679383483
176,1760,-551341.9690314442,26.726708406443777,68.6649885276347
177,1770,-552030.5023466492,26.753203270930932,68.816490697056
178,1780,-552720.5472761929,26.77429764865589,68.96727341885563
179,1790,-553412.0949159315,26.831764166856956,69.1174311820345
180,1800,-554105.1422170425,26.888288710266863,69.26706993481494
181,1810,-554799.6834101672,26.938502655137306,69.41617537886778
182,1820,-555495.712333161,26.98213967471888,69.5647178894069
183,1830,-556193.2251646583,27.010617956132826,69.7126441493674
184,1840,-556892.2125898674,27.05537554195695,69.85996369421338
185,1850,-557592.6708793583,27.1034261629676,70.00673623959011
186,1860,-558294.5944499525,27.153225527261384,70.15298128447321
187,1870,-558997.9767943098,27.182417514100038,70.29865408694604
188,1880,-559702.8157133767,27.198490053519805,70.44367075739575
189,1890,-560409.0971301199,27.285488704257027,70.5881909996635
190,1900,-561116.8238895783,27.41281817210229,70.73251382740418
191,1910,-561825.9921725341,27.444349148532453,70.8764966685325
192,1920,-562536.6031853951,27.404988176934694,71.01970767118183
193,1930,-563248.6347226234,27.44888140209978,71.16218591960788
194,1940,-563962.0918537488,27.528699414355827,71.30424726754573
195,1950,-564676.9661600499,27.581966764540162,71.44592051547224
196,1960,-565393.2565426002,27.62366152244033,71.58711203146814
197,1970,-566110.9554368127,27.662169107687077,71.72778910679482
