,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-517248.7208474436,-0.0,0.0
1,10,-517248.81796855794,0.08696488463756395,0.043482442318781976
2,20,-517249.74207995075,0.38213225264044015,0.182497947797674
3,30,-517252.4908061721,0.9618098920749616,0.43833265963694434
4,40,-517258.4059575107,1.8528559115249665,0.8302412972567255
5,50,-517268.98777568055,2.9801029886148167,1.359858585058828
6,60,-517285.5983941859,4.227710989941261,2.0101781330820816
7,70,-517309.32556909794,5.504675644767123,2.7556784997272192
8,80,-517340.975570794,6.7580195052432845,3.5712458362882904
9,90,-517381.118651914,7.9622468811503495,4.435969104318793
10,100,-517430.14284492837,9.106867317910652,5.3336595191671226
11,110,-517488.2994986463,10.188275451389197,6.252106314671255
12,120,-517555.73758833436,11.205776737199635,7.182117108329839
13,130,-517632.52861974726,12.15999132940779,8.116716446587816
14,140,-517718.68492086435,13.052254159637952,9.050560355068592
15,150,-517814.1730987849,13.884480968939892,9.979528321639373
16,160,-517918.92440813617,14.659084156714385,10.900440733834694
17,170,-518032.8428604063,15.378810178213458,11.810855060150061
18,180,-518155.81160579977,16.046680632399518,12.708914135245868
19,190,-518287.6980577412,16.665902416875188,13.593231643315084
20,200,-518428.3580937576,17.23973916660178,14.462801501871581
21,210,-518577.6393654274,17.77140244440234,15.316923610665253
22,220,-518735.3840600486,18.264030068583104,16.155143832761677
23,230,-518901.43096348393,18.720657988511068,16.977206251066672
24,240,-519075.61735373706,19.144137059873884,17.783013265651242
25,250,-519257.7802276074,19.53714684856096,18.572592391369835
26,260,-519447.7575425253,19.90218930773265,19.346069738105143
27,270,-519645.3889266886,20.241576984470893,20.103648166100175
28,280,-519850.51648409467,20.557374666421644,20.845588160517217
29,290,-520062.98514722823,20.85157944940147,21.57219412721024
30,300,-520282.6431037589,21.12600605697663,22.28380421866677
31,310,-520509.34216700844,21.382180295366574,22.9807781953481
32,320,-520742.93773149914,21.62168190591035,23.663490850859674
33,330,-520983.2890968472,21.845862816614634,24.33232755210338
34,340,-521230.25946162175,22.055798653326953,24.987675453763224
35,350,-521483.715860403,22.252759585069754,25.629921999460205
36,360,-521743.52919016004,22.437797380448345,26.25945463968965
37,370,-522009.57434919896,22.6116494406524,26.876653544697184
38,380,-522281.7298046766,22.7752959035104,27.481891321075093
39,390,-522559.8778644172,22.929483498081375,28.0755340043288
40,400,-522843.9044148811,23.074826910393327,28.657937077863608
41,410,-523133.69879860786,23.212118159375677,29.229447025943227
42,420,-523429.15385199594,23.341749167855596,29.790399603926925
43,430,-523730.1657017345,23.464319583769278,30.341118495603588
44,440,-524036.6335264135,23.580522463296028,30.88191990353371
45,450,-524348.4598788925,23.690486365696398,31.41310801235668
46,460,-524665.5500394341,23.794636321780903,31.9349729899659
47,470,-524987.8122661534,23.89358049693692,32.447797367852765
48,480,-525315.1575405606,23.987588493106784,32.951855107885784
49,490,-525647.4996155393,24.076757389120758,33.447407019203816
50,500,-525984.7546987646,24.16157354542534,33.93470395250624
51,510,-526326.8414607531,24.242317808678454,34.41398947039852
52,520,-526673.681115805,24.31897183997782,34.885495520528636
53,530,-527025.196888562,24.392217301679306,35.34944704578374
54,540,-527381.3144342608,24.46218621560252,35.8060640275653
55,550,-527741.9615369758,24.528453922655782,36.25555169653526
56,560,-528107.0678906541,24.5915876502404,36.69810538816382
57,570,-528476.5650609698,24.652111302062945,37.13391972540994
58,580,-528850.3867667975,24.709618944977493,37.56318027220113
59,590,-529228.4683121933,24.764881107129664,37.986066102412586
60,600,-529610.7467594547,24.817538059665694,38.4027507933657
61,610,-529997.1613133199,24.867093829481746,38.81339224847615
62,620,-530387.651777485,24.915459378063723,39.21815201043936
63,630,-530782.1606054823,24.961581072033777,39.61719092074199
64,640,-531180.6312854367,25.005054612644017,40.01065069618926
65,650,-531583.0085205475,25.04687219270263,40.39867093298672
66,660,-531989.2389525212,25.086482278659382,40.78138828879455
67,670,-532399.2698954237,25.124680391186896,41.15893501182582
68,680,-532813.0505482595,25.161518123908706,41.53144378936122
69,690,-533230.5310794886,25.196203903039084,41.899036139740204
70,700,-533651.6630370119,25.229322945641037,42.261826777055106
71,710,-534076.3987585697,25.26126274280536,42.61993244316545
72,720,-534504.6922817332,25.291525891190442,42.97346425613068
73,730,-534936.4981349708,25.320601049580624,43.32252862690948
74,740,-535371.7723741718,25.348682963161053,43.667232286107904
75,750,-535810.4718133168,25.37494736381643,44.00767348675291
76,760,-536252.5544574013,25.399729599314792,44.3439432867177
77,770,-536697.9787969235,25.424327857117223,44.67613980895695
78,780,-537146.7048193673,25.4471302720544,45.00435547693924
79,790,-537598.6932235729,25.468452041147863,45.32867084132595
80,800,-538053.9049917292,25.489383962703872,45.64917222553049
81,810,-538512.3030689773,25.509002333800833,45.965943852666534
82,820,-538973.8498560725,25.52810993110173,46.27906603693263
83,830,-539438.5099525712,25.54628030367027,46.58861849867098
84,840,-539906.2474569675,25.564502716704737,46.89468141254037
85,850,-540377.0282965525,25.580116358891427,47.19732234426774
86,860,-540850.8186305847,25.59337162792223,47.49659228922246
87,870,-541327.5843423497,25.609462752225227,47.79257178189291
88,880,-541807.2936979824,25.62343531423261,48.08534030295705
89,890,-542289.9148537801,25.635413254514962,48.37494717919326
90,900,-542775.4157814321,25.6493273504892,48.6614626178387
91,910,-543263.7668992574,25.660817991374643,48.944952386344085
92,920,-543754.9375659263,25.66999390774859,49.22545672824636
93,930,-544248.8984251706,25.681485939666295,49.50304006975348
94,940,-544745.620217337,25.69259399448658,49.777775308818676
95,950,-545245.0757514879,25.69988245738191,50.04970058208128
96,960,-545747.2358874688,25.70874491566792,50.31886283443309
97,970,-546252.0740809451,25.717668323789464,50.58532784817362
98,980,-546759.5635346487,25.72341440639554,50.84913505904842
99,990,-547269.6776344534,25.7305229385294,51.11032910533831
100,1000,-547782.3905346476,25.73864271515056,51.368974454967244
101,1010,-548297.677358846,25.743016810962796,51.62510834582499
102,1020,-548815.5129917326,25.74846217377337,51.87876697493921
103,1030,-549335.872337421,25.753625890804468,52.130002528183105
104,1040,-549858.7328849641,25.75715656243287,52.378852613068005
105,1050,-550384.0687241091,25.763983813812956,52.625370733749875
106,1060,-550911.8593768735,25.766186660371098,52.86959498728101
107,1070,-551442.0799617738,25.769398156120012,53.1115513519966
108,1080,-551974.7089580887,25.775799227447408,53.35130150422046
109,1090,-552509.72461931,25.775974712066663,53.58887232416163
110,1100,-553047.1051316103,25.774743614049243,53.82426866579043
111,1110,-553586.828350135,25.77706340038559,54.05753948950877
112,1120,-554128.8739391734,25.78326660231687,54.28875625646906
113,1130,-554673.221112816,25.78621420408623,54.51795841816784
114,1140,-555219.8510562374,25.782494212954447,54.74513782607537
115,1150,-555768.7417389321,25.7817191506183,54.970313372134115
116,1160,-556319.8746624988,25.782785652682733,55.19354050000256
117,1170,-556873.2299195353,25.786770711955448,55.414873071618786
118,1180,-557428.7888845026,25.78650528466096,55.63433779935731
119,1190,-557986.5340901256,25.782732270931508,55.851933460119476
120,1200,-558546.4442947385,25.782398572540757,56.06769092869945
121,1210,-559108.5047253447,25.777196457449463,56.28163493015163
122,1220,-559672.6938378318,25.780748535215736,56.49381107635709
123,1230,-560238.9967478225,25.787054017942864,56.70429530466645
124,1240,-560807.396085363,25.778928395919237,56.913068019422646
125,1250,-561377.8748041273,25.774313991860254,57.120112567309114
126,1260,-561950.4141162477,25.77813748019416,57.325504019626536
127,1270,-562525.0006409094,25.770706329506627,57.529257689714726
128,1280,-563101.6156828403,25.769887205958184,57.73138078535121
129,1290,-563680.2432355906,25.77306893760951,57.931940023286735
130,1300,-564260.8703391849,25.75993934008903,58.130912329093555
131,1310,-564843.4774795548,25.760870440336383,58.32831295184151
132,1320,-565428.051130711,25.767174553801212,58.52423981873581
133,1330,-566014.5776381573,25.756823397398882,58.718672915799836
134,1340,-566603.0401569504,25.747918048332117,58.911577400023816
135,1350,-567193.4242098116,25.744926330269756,59.10300330010068
136,1360,-567785.7151288758,25.747538599488422,59.293014947482156
137,1370,-568379.898907786,25.749081675053166,59.481649766501505
138,1380,-568975.9629062717,25.743202905723592,59.66889699143649
139,1390,-569573.8915858115,25.73654911935466,59.854746980550416
