,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-425258.9971740162,-0.0,0.0
1,10,-425259.20130747696,0.3284310694580199,0.16421553472900996
2,20,-425262.1298366342,1.5003203720727472,0.7035111624762067
3,30,-425272.7468171768,3.4442502300225897,1.6526329604981584
4,40,-425295.2689066937,5.63506561279064,2.9310578671007534
5,50,-425332.21566327696,7.690678993829351,4.404508968082519
6,60,-425384.75863288104,9.47391021256044,5.963069385178824
7,70,-425453.20994132775,10.982612731322295,7.537034240843786
8,80,-425537.4077604855,12.264973111252768,9.088067398248677
9,90,-425636.96200641466,13.371375789106244,10.597482428207877
10,100,-425751.3817536462,14.340550564447769,12.057364166936168
11,110,-425880.14240834204,15.199398948166346,13.465273465529753
12,120,-426022.7179490647,15.96584574189036,14.821398808479715
13,130,-426178.5933518991,16.6527494597889,16.127132744896514
14,140,-426347.2736302895,17.26944119698893,17.384388865769868
15,150,-426528.28352456325,17.824360540304045,18.595299974148656
16,160,-426721.1705720771,18.32472618925385,19.762093018906306
17,170,-426925.50532533485,18.77520578266558,20.88695264710477
18,180,-427140.87932933785,19.18083334992116,21.97196550827575
19,190,-427366.9040808892,19.547570773225743,23.0191761918526
20,200,-427603.21216070955,19.87945951163418,24.03057243683361
21,210,-427849.45561701874,20.179289490221684,25.00801819820117
22,220,-428105.3039111045,20.451051340019323,25.953274093141953
23,230,-428370.44389503443,20.698340549413125,26.86803463949327
24,240,-428644.5793912086,20.922759511834045,27.753889387643724
25,250,-428927.4292870491,21.126924144118675,28.612318693689307
26,260,-429218.72613716574,21.313605263331528,29.444734200866517
27,270,-429518.21775769436,21.48423910280547,30.252467504842937
28,280,-429825.66304506647,21.6410726452945,31.03677151033335
29,290,-430140.83473071415,21.784267586717053,31.798810056602818
30,300,-430463.5157710319,21.914866922204954,32.53964865910021
31,310,-430793.4989693708,22.03661774451607,33.260325759596896
32,320,-431130.5883195603,22.14922620118591,33.961836737450355
33,330,-431474.5975535042,22.25127821010833,34.64505897578492
34,340,-431825.34740084014,22.34588040334934,35.310815443010505
35,350,-432182.66738395294,22.434985320527584,35.959931121588305
36,360,-432546.39575318276,22.517137562792097,36.593168933587
37,370,-432916.3771976251,22.593553421470226,37.211225244771775
38,380,-433292.4631472618,22.665158353620683,37.814769302061904
39,390,-433674.51247445564,22.729651663993746,38.40440086043672
40,400,-434062.38860276574,22.790558257431286,38.98068862921864
41,410,-434455.9602145313,22.84944196842995,39.54422233875885
42,420,-434855.1046165271,22.90258144575934,40.09552384919735
43,430,-435259.7000931127,22.951605567755117,40.63505276282231
44,440,-435669.63261261774,23.00005765545056,41.163296188870305
45,450,-436084.79030245484,23.045377734037142,41.68072023300993
46,460,-436505.06975203153,23.085204372825814,42.18770612009758
47,470,-436930.365292005,23.123874664974707,42.684630921233484
48,480,-437360.5809822043,23.161239193263327,43.171892496145304
49,490,-437795.62017488707,23.19605159211486,43.649849808409634
50,500,-438235.3932450381,23.228942944333575,44.11883364185414
51,510,-438679.8106100892,23.258790952304953,44.57915043357497
52,520,-439128.7886622274,23.287386627757186,45.03109497496553
53,530,-439582.24323427357,23.315420804357526,45.47496895411969
54,540,-440040.0974537457,23.34021443790993,45.91103885080811
55,550,-440502.2724024612,23.364787961552675,46.33955911074227
56,560,-440968.69529299584,23.3901456825902,46.76080686048081
57,570,-441439.2941437118,23.41156770365641,47.17501207591195
58,580,-441914.0003791621,23.431607814345625,47.582373323980576
59,590,-442392.74505528074,23.4521519143832,47.98311699319166
60,600,-442875.46519485547,23.469747382099655,48.37744527149771
61,610,-443362.09573085944,23.487215962719347,48.76554466331072
62,620,-443852.5765088036,23.505480459411046,49.14762315322514
63,630,-444346.84785952844,23.52250879619837,49.52387005725832
64,640,-444844.85264885455,23.53721165033062,49.89444110102413
65,650,-445346.53491441725,23.551267075294025,50.25948915992922
66,660,-445851.83954618697,23.565488307550503,50.619179179388446
67,670,-446360.715056737,23.57736660691317,50.97365610302732
68,680,-446873.1085576452,23.591550453414627,51.32307388283953
69,690,-447388.9712388221,23.606419532556853,51.66760217669071
70,700,-447908.25495172304,23.61618914648716,52.007350253128244
71,710,-448430.9123017956,23.624688317115993,52.342408362947026
72,720,-448956.89631102746,23.635310017084805,52.67291350477463
73,730,-449486.1630483281,23.645378388694215,52.9990022486134
74,740,-450018.66839811916,23.65758900718652,53.320805469484185
75,750,-450554.37016658037,23.66930233656603,53.638449392767505
76,760,-451093.2283711607,23.672870621044368,53.95198731155324
77,770,-451635.2009127455,23.680229253937487,54.2614976038567
78,780,-452180.24774979224,23.693429106412694,54.5671462820952
79,790,-452728.3330767049,23.70061323412234,54.86903111913416
80,800,-453279.4176048886,23.704687346588003,55.16718929627896
81,810,-453833.46555116255,23.71218900358508,55.4617151292543
82,820,-454390.4398036583,23.722548473818286,55.75273635212943
83,830,-454950.30774858495,23.729573911360117,56.04033527837528
84,840,-455513.03397729323,23.734190401953185,56.32455946167393
85,850,-456078.58588524174,23.73913073040585,56.60547635001567
86,860,-456646.9301463577,23.744574789356435,56.88316814891514
87,870,-457218.0353775364,23.749538361742452,57.157709602121756
88,880,-457791.87030369625,23.75669044434332,57.429182397608386
89,890,-458368.4041978134,23.76434604975657,57.697671155392165
90,900,-458947.60895669134,23.765269575349457,57.96320799288806
91,910,-459529.45362305664,23.769176223495936,58.22583713766653
92,920,-460113.9099517199,23.775639608607293,58.48565243968187
93,930,-460700.95103784866,23.780717142934538,58.742721190310114
94,940,-461290.54818136094,23.789430694057955,58.99711403325127
95,950,-461882.6767180785,23.790161560922503,59.2488649348561
96,960,-462477.3095729994,23.78951174123199,59.49798001847812
97,970,-463074.41930843925,23.796223962245996,59.7445446737227
98,980,-463673.98326119676,23.800832034973567,59.98863843848667
99,990,-464275.9747746607,23.80374752762014,60.23029220210083
100,1000,-464880.3715747145,23.806162352411775,60.469543960972075
101,1010,-465487.1479166509,23.81168030833622,60.70645437822095
102,1020,-466096.2823531732,23.81738067670085,60.94108584977002
103,1030,-466707.7514270801,23.817258713966513,61.17345547657969
104,1040,-467321.53328091686,23.816948770917804,61.40357779872575
105,1050,-467937.604358369,23.8237587809925,61.63152883051007
106,1060,-468555.94457357243,23.829338854836458,61.857377842663844
107,1070,-469176.5330072888,23.826525875035593,62.08111929039005
108,1080,-469799.34806956945,23.82877776354458,62.30277661192012
109,1090,-470424.36876868526,23.835696784246597,62.52243308613542
110,1100,-471051.5770388122,23.835319998775724,62.74011350840955
111,1110,-471680.9515747732,23.83937981715886,62.955840465811335
112,1120,-472312.47339714546,23.84294795866606,63.169666791540664
113,1130,-472946.1251483628,23.839547099541072,63.38159324517838
114,1140,-473581.88509403536,23.844886769621937,63.59166080356663
115,1150,-474219.7374996867,23.848460434513736,63.79993259868643
116,1160,-474859.663417862,23.845814962545163,64.00640524228075
117,1170,-475501.64496768353,23.853323927115873,64.21112620920394
118,1180,-476145.66443650326,23.85928344160851,64.41416214959463
119,1190,-476791.70741821954,23.85313318195532,64.6154840569092
120,1200,-477439.7533478366,23.853076536557296,64.81509512447519
121,1210,-478089.78772864863,23.857891314782663,65.01306927112455
122,1220,-478741.79328468215,23.860947301026144,65.20944636649874
123,1230,-479395.7549452975,23.863166851491783,65.40424187742464
124,1240,-480051.65648293786,23.859008790919148,65.59745230133193
125,1250,-480709.48254141025,23.861583038160994,65.78910431409312
126,1260,-481369.21613564226,23.874813709402403,65.97929197048943
127,1270,-482030.8458440952,23.871702822357655,66.16801637671088
128,1280,-482694.35509428615,23.862710951827466,66.35521317334424
129,1290,-483359.7277933384,23.868046883698664,66.54093869762654
130,1300,-484026.9511501025,23.87190823302099,66.72526553891875
131,1310,-484696.01068735175,23.8721248882519,66.90819555107373
132,1320,-485366.89240845205,23.873981671070027,67.0897422803173
133,1330,-486039.58277980424,23.876199173081655,67.26993417633857
134,1340,-486714.06820670195,23.879467554288567,67.44879681448
135,1350,-487390.3356840381,23.877590539377707,67.62633482587043
136,1360,-488068.3722042218,23.879922105546765,67.80256417765705
137,1370,-488748.1634299133,23.884111788061468,67.97752630012474
138,1380,-489429.69970824325,23.875212489988385,68.1511989844017
139,1390,-490112.96463908424,23.87507626919251,68.32358494679502
140,1400,-490797.9475637111,23.885861911577706,68.49477316579286
141,1410,-491484.6363738003,23.89130512254633,68.66480075562795
142,1420,-492173.01995115366,23.888221086896774,68.83363515031014
143,1430,-492863.0857837284,23.87888259250758,69.00124120131878
144,1440,-493554.82141495874,23.88049176677555,69.16765217198628
145,1450,-494248.2146013747,23.891439498591147,69.33295482030954
146,1460,-494943.25634869904,23.891132697448487,69.4971580420366
147,1470,-495639.93416095164,23.88743475905461,69.66022676772263
148,1480,-496338.23679824686,23.890027663851555,69.82218609873307
149,1490,-497038.15370277595,23.890281559342743,69.9830643817164
150,1500,-497739.67401202815,23.89210557834218,70.14287346370912
151,1510,-498442.78674300545,23.89432252128275,70.3016340888862
152,1520,-499147.48245396366,23.89351926720701,70.45935146498815
153,1530,-499853.7494050949,23.89399356181282,70.61603351412123
154,1540,-500561.5786641274,23.894633187246583,70.77169843828233
155,1550,-501270.95886288676,23.895232775786788,70.92635981221393
156,1560,-501981.88127252157,23.893177427368272,71.08002190514745
157,1570,-502694.3348323627,23.893139344723245,71.23269540249093
158,1580,-503408.31033666636,23.896981420094605,71.38441156187619
159,1590,-504123.79822587554,23.904695047664703,71.53520691780577
160,1600,-504840.7892695251,23.906608238117997,71.68508706555514
161,1610,-505559.2753791488,23.892652899558016,71.8339960017016
162,1620,-506279.24485444336,23.893174853696607,71.98194115393636
163,1630,-507000.6885952542,23.903667589831457,72.12900965447989
164,1640,-507723.5999887082,23.899509955646238,72.2751981478119
165,1650,-508447.9677420565,23.89855771544582,72.42048237929777
166,1660,-509173.78427174274,23.90627767579501,72.564909111632
167,1670,-509901.04047860805,23.911516841648478,72.70850733989064
168,1680,-510629.7291036148,23.90028830358108,72.85123051810733
169,1690,-511359.8405245827,23.89054750253854,72.99304442173744
170,1700,-512091.36448032106,23.90286215349576,73.13402905068578
171,1710,-512824.2951380136,23.910950904872152,73.27424664755672
172,1720,-513558.62405988696,23.905412884790962,73.41365418799833
173,1730,-514294.3429563345,23.90898909205862,73.55224779185811
174,1740,-515031.44303779816,23.90960598631014,73.6900546807301
175,1750,-515769.9188646189,23.901348456529625,73.82705001207724
176,1760,-516509.75847685564,23.904238561773923,73.9632493477373
177,1770,-517250.9579382648,23.904856776822747,74.09868696038103
178,1780,-517993.50669740443,23.909308837380124,74.23337578426363
179,1790,-518737.3992394309,23.91394177154143,74.36733548417615
180,1800,-519482.62779634364,23.910131783253235,74.50055123693964
181,1810,-520229.18443819956,23.903503827707027,74.63300004820049
182,1820,-520977.06225790136,23.90414043146619,74.76470254220112
183,1830,-521726.2521792506,23.914965290267304,74.89571469289149
184,1840,-522476.75037669676,23.91827224564014,75.02605143312613
185,1850,-523228.54723511916,23.910100453881427,75.15566863126006
186,1860,-523981.6381198934,23.90240302915653,75.2845442959624
187,1870,-524736.0120424372,23.908923869516002,75.41272567147534
188,1880,-525491.6661648167,23.91198696298605,75.54024898541248
189,1890,-526248.5910580696,23.917014681766965,75.66711722103355
190,1900,-527006.7818665407,23.91704165036181,75.79332932993712
191,1910,-527766.231875751,23.91267903700855,75.91886754945008
192,1920,-528526.9327349279,23.913435372523963,76.04374075695523
193,1930,-529288.8805843303,23.90895641579118,76.16795562983316
194,1940,-530052.0655690177,23.912872967484873,76.29152704732405
195,1950,-530816.4845170372,23.91233771153285,76.41447184965946
196,1960,-531582.1288923791,23.91459309463417,76.53679215113661
197,1970,-532348.9935446592,23.92070857230781,76.6585112244793
