,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-571909.3298963758,-0.0,0.0
1,10,-571909.419692755,0.08757249502232298,0.04378624751116149
2,20,-571910.2732234511,0.4068428342638071,0.18928320358827477
3,30,-571913.1021853143,1.0196580878313397,0.4609369267927832
4,40,-571919.3534072117,1.8784617051598613,0.8656876545763225
5,50,-571930.3801190447,2.8649481810716684,1.386990185828472
6,60,-571947.2182080239,3.880810788832605,1.9968859030050226
7,70,-571970.5776382237,4.882945330336224,2.6690686113841364
8,80,-572000.9550807617,5.859304790501485,3.3840569701002097
9,90,-572038.6777021474,6.815532746931422,4.128904227669409
10,100,-572083.988477452,7.754557613458016,4.895272816505167
11,110,-572137.0690227242,8.676320388831662,5.677378896670416
12,120,-572198.0401045961,9.58156555934111,6.4709889944686445
13,130,-572267.0105992603,10.456289843199189,7.272385886743724
14,140,-572344.0302836046,11.298681917740032,8.078075234917925
15,150,-572429.125375314,12.107302731194078,8.885176346829395
16,160,-572522.3024109496,12.867890120344242,9.690874670796621
17,170,-572623.5262919842,13.589956113841604,10.492700828640956
18,180,-572732.7442635954,14.27394180789124,11.288903803777067
19,190,-572849.9035759812,14.90300354599895,12.07758649117168
20,200,-572974.9059869255,15.48986665590201,12.857017461411308
21,210,-573107.6556042854,16.0436008349061,13.62625462387805
22,220,-573248.0474435673,16.555578704853534,14.38450827233028
23,230,-573395.9668722752,17.031480399912102,15.131020998624447
24,240,-573551.2899523998,17.47397827603855,15.865311786619714
25,250,-573713.8981061779,17.878198691178106,16.586916974527412
26,260,-573883.655758359,18.254994823242296,17.295538541105635
27,270,-574060.4344579865,18.61299434749821,17.991281214369522
28,280,-574244.1061717386,18.939931513543726,18.674179357620602
29,290,-574434.5456162358,19.242552987916852,19.344160575326537
30,300,-574631.6136301375,19.527656375372295,20.001389669880158
31,310,-574835.1982268823,19.78180190063139,20.64591193044762
32,320,-575045.1579637036,20.026231548562635,21.277883119371836
33,330,-575261.3757432069,20.262574996097815,21.897801699380217
34,340,-575483.7350867054,20.47247932023604,22.505876283798717
35,350,-575712.1139564966,20.668866892825452,23.102211683195492
36,360,-575946.3974794957,20.85277774863645,23.68710312341136
37,370,-576186.4737319495,21.026202175204563,24.260862903819362
38,380,-576432.2296253401,21.19380672248657,24.823866648979312
39,390,-576683.5645367809,21.343533386811032,25.37636757032742
40,400,-576940.3710414186,21.483432183973505,25.918545516047743
41,410,-577202.5461450861,21.62245110316144,26.450776846434746
42,420,-577469.9958896812,21.75125885559828,26.97340883232682
43,430,-577742.6228276382,21.86413293883672,27.486586494071524
44,440,-578020.3362225681,21.97082868758592,27.990489105824963
45,450,-578303.0382385055,22.08194093397463,28.485512512904826
46,460,-578590.65003608,22.185691199416777,28.972016229556175
47,470,-578883.0820413141,22.278594898778877,29.450171375651554
48,480,-579180.2557549828,22.36200862680562,29.920115294224523
49,490,-579482.0863504196,22.446740606348612,30.38210125762125
50,500,-579788.4964810746,22.52744938014075,30.836424124956828
51,510,-580099.4145294077,22.602021627718912,31.283287066088814
52,520,-580414.7591666705,22.683335290045832,31.72298450659291
53,530,-580734.4697841824,22.74567246348306,32.15567531545966
54,540,-581058.4705717203,22.803537556860867,32.581400997420126
55,550,-581386.6915842125,22.870991813571813,33.000462971083465
56,560,-581719.0734860714,22.926028469833625,33.413077761245944
57,570,-582055.5468328343,22.983574425964697,33.81938474599446
58,580,-582396.0521350439,23.03644825172382,34.21958511911216
59,590,-582740.5309056146,23.082150382635966,34.613786634168356
60,600,-583088.9179897072,23.137366201146463,35.00220946309855
61,610,-583441.1638939086,23.18407162683434,35.38505422209855
62,620,-583797.2087551713,23.221836938394567,35.76236047462444
63,630,-584156.9995521219,23.264544539540612,36.13427259553718
64,640,-584520.4813509182,23.311224223300997,36.50103077715903
65,650,-584887.6063497253,23.344667758923467,36.8627240837799
66,660,-585258.3234618047,23.374631435918808,37.21937899233744
67,670,-585632.5790967188,23.415300979235322,37.57120058560249
68,680,-586010.3320159856,23.450168793159392,37.91836934940074
69,690,-586391.531127879,23.487812911268072,38.260998603950426
70,700,-586776.1347871037,23.52050336342664,38.59920374223875
71,710,-587164.0992824661,23.536254251151796,38.932955607066106
72,720,-587555.3778458581,23.560993267781985,39.262321885244454
73,730,-587949.9272986031,23.60138668983117,39.58759322754049
74,740,-588347.7103453168,23.630267802090437,39.90891053266823
75,750,-588748.6875814195,23.64999325465771,40.226241126001696
76,760,-589152.8159625063,23.671101298043396,40.539638677291805
