,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-553587.9570428446,-0.0,0.0
1,10,-553588.2223521414,0.2225138986337697,0.11125694931688485
2,20,-553590.4581458875,1.0043981451133732,0.473613434912113
3,30,-553597.6535266803,2.3952833418297814,1.1239268614954199
4,40,-553613.0472118326,4.133585941907949,2.039838994538877
5,50,-553639.0218124436,5.894390890214709,3.1459763262988414
6,60,-553676.9721371968,7.500193547154778,4.360431544249877
7,70,-553727.5452253286,8.895889738347611,5.6208683687757
8,80,-553790.8983528754,10.090703113633207,6.886958008974034
9,90,-553866.9022938614,11.119256724542359,8.135363438272908
10,100,-553955.2780841221,12.019161619449736,9.354058003942193
11,110,-554055.6782811699,12.822074370595514,10.537837647214475
12,120,-554167.7344618466,13.55112808324629,11.6852895463162
13,130,-554291.0799934623,14.222249670611921,12.796929485833973
14,140,-554425.3612665153,14.846187068545257,13.874160055283575
15,150,-554570.242473972,15.429547979962072,14.91869928801607
16,160,-554725.4057485227,15.976652202615512,15.932287935346539
17,170,-554890.5504157617,16.490612650496793,16.916576335810532
18,180,-555065.3918610367,16.973483803414293,17.873080016148744
19,190,-555249.6597990819,17.426894033336403,18.803168151916182
20,200,-555443.096826447,17.852493446785935,19.708082962647314
21,210,-555645.457380367,18.251663551374804,20.588958716706838
22,220,-555856.506778751,18.62573348770383,21.446834259317257
23,230,-556076.0200350833,18.976152976957415,22.282671448754265
24,240,-556303.7817010327,19.304503481369466,23.09737366933259
25,250,-556539.5846949769,19.61212160691499,23.891793257332754
26,260,-556783.2307957832,19.900041999545675,24.666728804846933
27,270,-557034.5287494416,20.169764314373644,25.422936074192695
28,280,-557293.2953397639,20.422563927061866,26.161138869717252
29,290,-557559.3539362239,20.65955487497846,26.882026733254314
30,300,-557832.5349750689,20.881756933318663,27.58625523745868
31,310,-558112.6750607648,21.09035402169395,28.27445152003056
32,320,-558399.6169529516,21.286356898676615,28.947217846922285
33,330,-558693.2095453336,21.470470072195177,29.605127326073124
34,340,-558993.3068769578,21.6438322766509,30.248729129809362
35,350,-559299.7688421112,21.806790768401683,30.87854636334232
36,360,-559612.4601330541,21.96029473644451,31.495076039309787
37,370,-559931.2501854813,22.105518190414337,32.0988033516609
38,380,-560256.0137166353,22.242369598295745,32.690189328322596
39,390,-560586.6293863545,22.371631248359336,33.269667871430286
40,400,-560922.9803208463,22.49413328291851,33.83766032270214
41,410,-561264.9538500465,22.60965674809116,34.39456451005681
42,420,-561612.4410583402,22.719149305438563,34.94075809453498
43,430,-561965.336515444,22.82352054051586,35.47661393142189
44,440,-562323.539080887,22.92220008929732,36.0024832516181
45,450,-562686.9503627396,23.015743214084132,36.51869327824388
46,460,-563055.4754671513,23.105101106280927,37.025566161729515
47,470,-563429.0226484478,23.19013389941822,37.52341211718013
48,480,-563807.5032456819,23.270725510362468,38.012519060034535
49,490,-564190.8312183256,23.347621904398,38.493163490608275
50,500,-564578.9232954711,23.421350975841193,38.96561804020748
51,510,-564971.6990713908,23.491553987644075,39.430140902785936
52,520,-565369.080426041,23.55836345370615,39.88697298112238
53,530,-565770.9916726815,23.62208276111353,40.336345544007784
54,540,-566177.3593746523,23.683503180148584,40.77848707748927
55,550,-566588.1122609618,23.74264025707081,41.213620957756945
56,560,-567003.1816589525,23.798476521112065,41.64194953942206
57,570,-567422.5002239745,23.85213114224033,42.063665157477956
58,580,-567846.0028550535,23.904019253962865,42.4789635095236
59,590,-568273.6265246308,23.953397303013396,42.8880275334217
60,600,-568705.3095816745,24.000846394104798,43.291029479104324
61,610,-569140.992416679,24.046841998881558,43.68814179467444
62,620,-569580.6168725583,24.09069460151381,44.07952685213385
63,630,-570024.1267297101,24.13246921631212,44.46533418077015
64,640,-570471.4665470559,24.17330114282663,44.84571562941127
65,650,-570922.5832454183,24.21313186689799,45.22082440510421
66,660,-571377.4245347677,24.250176054885472,45.59079272058006
67,670,-571835.9401499676,24.287871411166318,45.95575894726644
68,680,-572298.0795988765,24.734834312740617,46.31888550070289
69,690,-572763.7972762549,25.27953472082435,46.68394431662309
70,700,-573233.2845655222,24.890017619414767,47.04491519097064
71,710,-573706.3092052789,24.19162736592703,47.3930646041088
72,720,-574182.712399379,24.01288180276757,47.73018430073862
73,730,-574662.4502201428,24.036657136143234,48.061575062287744
74,740,-575145.4807231262,24.058599743962986,48.38876780658466
75,750,-575631.7620060403,24.07968885512668,48.71185717199697
76,760,-576121.2536953837,24.100548667728216,49.0309446722662
77,770,-576613.9162926605,24.12068149780378,49.34612871543504
78,780,-577109.7111669399,24.140199041058132,49.657501383016644
79,790,-577608.6008034354,24.158554807119128,49.965148494279134
80,800,-578110.548227748,24.17631501308648,50.26915270872559
81,810,-578615.5174938595,24.193787222245067,50.5695990431268
82,820,-579123.4734460626,24.210589575773454,50.866568954889956
83,830,-579634.3817335292,24.2267291991011,51.16013865288551
84,840,-580148.2087080728,24.24230521299154,51.45038224047894
85,850,-580664.9215053429,24.257396457032883,51.737372243664865
86,860,-581184.4879249462,24.272033867624245,52.02117928703373
87,870,-581706.8765225483,24.28613387758378,52.30187124506337
88,880,-582232.0564598977,24.299798653554234,52.57951376492274
89,890,-582759.997578318,24.313066777496715,52.854171065521946
90,900,-583290.6703578734,24.32587022744695,53.12590505180269
91,910,-583824.0458551113,24.338291850031172,53.394775653585384
92,920,-584360.0957537281,24.350335210526893,53.66084131020034
93,930,-584898.7922821684,24.361987281133704,53.924158514761075
94,940,-585440.1082518481,24.373233241424963,54.18478179867088
95,950,-585984.0169833249,24.38422884992926,54.44276470291661
96,960,-586530.4923385816,24.394932833220537,54.69815969133487
97,970,-587079.5087282077,24.40512752698546,54.951016259602326
98,980,-587631.0409806622,24.415116086648986,55.20138280483952
99,990,-588185.0644432047,24.424966348113887,55.44930813954852
100,1000,-588741.5549762476,24.4343785024828,55.6948384479605
101,1010,-589300.4888314736,24.44342478852515,55.93801739388145
102,1020,-589861.842723234,24.452305882464934,56.17888869181188
103,1030,-590425.5937840153,24.460999976436142,56.41749565466598
104,1040,-590991.7196097821,24.46937923370868,56.6538796193141
105,1050,-591560.1981540235,24.477524024623563,56.888080503842495
106,1060,-592131.0077960355,24.48547695663889,57.12013767486932
107,1070,-592704.1272950887,24.493184496776514,57.35008934084616
108,1080,-593279.535784914,24.500693934748185,57.57797261259547
109,1090,-593857.212766807,24.507934547087643,57.80382346928817
110,1100,-594437.1381048795,24.51492614354372,58.02767666986473
111,1110,-595019.2919759736,24.521912937683943,58.24956721962225
112,1120,-595603.6549434427,24.528749959496622,58.46952963494259
113,1130,-596190.2079105233,24.53523424002374,58.68759596633899
114,1140,-596778.9320498485,24.5415366556147,58.9037972683669
115,1150,-597369.808883742,24.547695061701233,59.118164695995794
116,1160,-597962.8202217475,24.553732651542106,59.33072885949222
117,1170,-598557.9481856778,24.559591756769805,59.54151943435281
118,1180,-599155.1751980091,24.565274673752384,59.75056510160356
119,1190,-599754.4839292398,24.570972314456256,59.95789462799875
120,1200,-600355.8573860246,24.576416751486505,60.16353574393579
121,1210,-600959.2788231596,24.58159941115891,60.36751433747122
122,1220,-601564.7317129571,24.586778568842973,60.56985668048001
123,1230,-602172.1998656451,24.591763324258412,60.77058868399617
124,1240,-602781.6672787648,24.596636621095328,60.969735187949844
125,1250,-603393.1182295369,24.601436670855126,61.16732092100865
126,1260,-604006.5372434824,24.60609897688846,61.36336991760036
127,1270,-604621.9090531634,24.610708419955426,61.557905720343115
128,1280,-605239.2186681927,24.615102074295464,61.7509510156553
129,1290,-605858.4512810166,24.619317710091035,61.94252747018763
130,1300,-606479.5923123013,24.623589294642443,62.13265729491395
131,1310,-607102.6274058342,24.627732246756484,62.321362385626706
132,1320,-607727.5424454235,24.631652594147994,62.50866307803953
133,1330,-608354.323448895,24.63561154142371,62.694579873394105
134,1340,-608982.9567156956,24.639435919723283,62.87913314810721
135,1350,-609613.4286984345,24.64305010222578,63.06234189777169
136,1360,-610245.726041466,24.64672359058187,63.244225408083
137,1370,-610879.8355924487,24.65040600697675,63.42480334788706
138,1380,-611515.7444035866,24.653810032771634,63.60409373198344
139,1390,-612153.4396852971,24.65703444441596,63.782113499157994
140,1400,-612792.9087976008,24.660460122627942,63.958880939529614
141,1410,-613434.1393276259,24.663715161683122,64.134413994239
142,1420,-614077.1190373643,24.666614453413263,64.30872825332625
143,1430,-614721.8357685821,24.669802854075854,64.481840581508
144,1440,-615368.2776192273,24.673003150568665,64.6537687832737
145,1450,-616016.4328536933,24.675843807330654,64.82452804967906
146,1460,-616666.2898130766,24.678648400935348,64.99413308543735
147,1470,-617317.8370681306,24.681384153489493,65.162599290855
148,1480,-617971.0632804604,24.684052158612758,65.32994164519478
149,1490,-618625.9573054669,24.686884176532995,65.49617560650805
150,1500,-619282.5081132925,24.689569705952152,65.66131606540439
