,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-567413.0558761904,-0.0,0.0
1,10,-567413.318286758,0.20665071161347442,0.10332535580673721
2,20,-567415.4967770246,0.8876368720957541,0.42855992963741296
3,30,-567422.1091363578,2.0445290224452037,0.9912239847355522
4,40,-567435.6904153007,3.4930416121031156,1.7686090233226421
5,50,-567458.1603729235,5.02547262191365,2.7077864870268966
6,60,-567490.8144696978,6.50735225515673,3.7526131038146557
7,70,-567534.4153904645,7.865023460757221,4.856679848465137
8,80,-567589.3208724626,9.07555807775352,5.98568961837882
9,90,-567655.6133992098,10.147050322493305,7.1166370161547094
10,100,-567733.2050656162,11.100170358578906,8.23537055199995
11,110,-567821.9094093884,11.957667190194483,9.333909396755917
12,120,-567921.4899402041,12.738810022396503,10.408223474516127
13,130,-568031.6878457132,13.457930520194344,11.456619937764483
14,140,-568152.2375148666,14.125731350254503,12.478723055445883
15,150,-568282.8752990232,14.749540231190629,13.474864801851803
16,160,-568423.3443219585,15.334209490753707,14.445710189477541
17,170,-568573.3948596164,15.883467867254518,15.392065055688727
18,180,-568732.7866527772,16.399937918357313,16.31477970637934
19,190,-568901.2872857796,16.885803433251567,17.214696785688282
20,200,-569078.6732900812,17.342607025057077,18.09262520955817
21,210,-569264.7287718023,17.771801382899866,18.94932851334888
22,220,-569459.2451414353,18.175457209430185,19.785545214454757
23,230,-569662.0213080781,18.554991038388074,20.601993157796095
24,240,-569872.8632786247,18.91156367738732,21.399353438141404
25,250,-570091.5833939859,19.24668151499649,22.1782779783869
26,260,-570318.0006886098,19.561405040690424,22.939392474853953
27,270,-570551.9401703177,19.8571789090434,23.683298876373733
28,280,-570793.2325678882,20.13584642400967,24.41059309786942
29,290,-571041.7149894777,20.398416398090227,25.12185861846228
30,300,-571297.2299420581,20.644840351247673,25.817636125432905
31,310,-571559.6255553936,20.876844523203864,26.49844009671505
32,320,-571828.7537700296,21.096764435339708,27.164800339778594
33,330,-572104.4739852105,21.303882100142083,27.817223376507172
34,340,-572386.6485535454,21.49919450135202,28.45617409395345
35,350,-572675.1453024215,21.683981274865836,29.082109880042843
36,360,-572969.8365070627,21.858721648715488,29.695474397344515
37,370,-573270.5983125181,22.49929024214503,30.303112216308364
38,380,-573577.3119290785,23.76006480762147,30.919789110719282
39,390,-573890.3748796332,24.001110823225503,31.540128091414225
40,400,-574209.7979456288,22.894021913176488,32.134009914344645
