,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-497722.3729276136,-0.0,0.0
1,10,-497722.5874043859,0.2040641932922881,0.10203209664614404
2,20,-497724.75034101075,0.8412447252660058,0.41437537460878954
3,30,-497731.1789256622,1.871937347440689,0.9366761138320725
4,40,-497743.9526489132,3.1624962382717055,1.6439777015228172
5,50,-497764.729611571,4.590031795189135,2.4982929108256937
6,60,-497794.77991919836,6.054191960973548,3.4618120870924027
7,70,-497835.00055184134,7.4794287390483065,4.50057299377222
8,80,-497885.96846922336,8.822226636111736,5.586207068461226
9,90,-497948.01108490623,10.063375343606458,6.696672641196346
10,100,-498021.2681524289,11.199500033850205,7.815724050866993
11,110,-498105.7477306094,12.235263475599638,8.931847392359487
12,120,-498201.36583576986,13.178222107730107,10.037088319981558
13,130,-498307.9762434965,14.037383934145334,11.12608028988616
14,140,-498425.3909261366,14.821321998242638,12.195312600477338
15,150,-498553.39670695027,15.537563881043752,13.242564325020796
16,160,-498691.762650784,16.193468512105753,14.266529012058891
17,170,-498840.2506740868,16.794891090939913,15.266542288089841
18,180,-498998.61804671166,17.347251887488536,16.24237778110328
19,190,-499166.62203202554,17.855966862614164,17.194139753894707
20,200,-499344.0228912782,18.324866212700712,18.12215527401786
21,210,-499530.58489914873,18.757663543999655,19.026887966097274
22,220,-499726.07746827014,19.158293068213986,19.908914754409487
23,230,-499930.2766492129,19.5291989667312,20.768878309584395
24,240,-500142.9653053861,19.873157215188257,21.607450221858745
25,250,-500363.932223567,20.19341268998689,22.42534258430824
26,260,-500592.97507119406,20.491416341238036,23.223276536977938
27,270,-500829.8972582251,20.769246801243582,24.00195791735241
28,280,-501074.5100929116,21.029012833500786,24.762091685169434
29,290,-501326.6315474035,21.27200174118621,25.504368422192055
30,300,-501586.08656153415,21.499710979987867,26.229455589235293
31,310,-501852.7065286388,21.713482508802585,26.93800156538782
32,320,-502126.32931146334,21.914713106444083,27.63063641749541
33,330,-502406.7989066596,22.104291924196854,28.30796732378658
34,340,-502693.9654527756,22.28297299912083,28.970571617188398
35,350,-502987.68436580064,22.45180893229555,29.619002524191455
36,360,-503287.81685643975,22.61160039547833,30.253792657288432
37,370,-503594.22903515,22.763134717110344,30.875452591390786
38,380,-503906.7922605433,22.90683363176361,31.484468225681486
39,390,-504225.3824987882,23.043313825783816,32.081301031693144
40,400,-504549.8801211014,23.173355049861044,32.666395070146976
41,410,-504880.1701304528,23.29713553500778,33.24017341723375
42,420,-505216.1413367093,23.41524252971,33.80303771345571
43,430,-505557.68667483446,23.528017422732894,34.355372198652915
44,440,-505904.7027832979,23.635718901857004,34.8975415113855
45,450,-506257.08974705124,23.738923976227007,35.4298950481374
46,460,-506614.75124707003,23.837773406351367,35.952767102773215
47,470,-506977.59408502467,23.932476849845195,36.466474153002494
48,480,-507345.52820945636,24.023412910220145,36.97131885503549
49,490,-507718.4664884022,24.11075077198482,37.46759080861884
50,500,-508096.3246826012,24.194733612966957,37.95556621385039
51,510,-508479.0211373079,24.275554295244984,38.435509180325596
52,520,-508866.4769426364,24.353272121865302,38.90767088876599
53,530,-509258.61543664127,24.428275709308256,39.37229239808074
54,540,-509655.3624889192,24.500541784503845,39.82960469767566
55,550,-510056.6461704722,24.56999881505908,40.279825191642146
56,560,-510462.39658467204,24.637199783395005,40.72316381529963
57,570,-510872.54599435045,24.702220445907773,41.159824957628004
58,580,-511287.02868027013,24.76506659153953,41.5900030552657
59,590,-511705.7807097697,24.825726655489458,42.01388252267061
60,600,-512128.74013213825,24.884218814695487,42.431638526822645
61,610,-512555.8464263113,24.940916715074724,42.84344076051129
62,620,-512987.04106321617,24.9958363261715,43.24945382928854
63,630,-513422.2668423382,25.04894019767239,43.64983426717954
64,640,-513861.46834031097,25.100301145855383,44.044731482561474
65,650,-514304.5913473795,25.150223451368312,44.43429084258169
66,660,-514751.5833056219,25.198160103705455,44.81864925220071
67,670,-515202.39291300625,25.244671134815093,45.19793747267177
68,680,-515656.96988311695,25.290458218054894,45.572289792445375
69,690,-516115.2659240866,25.334797128457236,45.941834530486815
70,700,-516577.23320074024,25.377518040695573,46.30668800292988
71,710,-517042.82577408204,25.417609345264015,46.66695323784516
72,720,-517511.99795724393,25.45689531300465,47.02273448198466
73,730,-517984.7054039903,25.49692777930894,47.37415496885296
74,740,-518460.90543336596,25.535146165211227,47.72132623187863
75,750,-518940.55595322966,25.571357055305377,48.064336716967226
76,760,-519423.6156911989,25.606458821438665,48.403275975547146
77,770,-519910.0445595652,25.639980546201528,48.73823290059517
78,780,-520399.8030326221,25.673384472212586,49.06929925815129
79,790,-520892.85263631435,25.70591299056564,49.39656788737629
80,800,-521389.15621223615,25.737058724160423,49.72012015624132
81,810,-521888.6763652106,25.767951100044474,50.04003819981081
82,820,-522391.3779212123,25.797276116500143,50.3564000904793
83,830,-522897.22500823037,25.825519234742387,50.66927597168106
84,840,-523406.18366731843,25.853501255455313,50.97874127718315
85,850,-523918.21968461626,25.88048099391017,51.28486928910206
86,860,-524433.3006044986,25.90505480475258,51.58771819634421
87,870,-524951.3934108816,25.929647251560404,51.88734994130864
88,880,-525472.4664043786,25.95601561840158,52.183848263992694
89,890,-525996.4888140443,25.979792078389437,52.477279513541724
90,900,-526523.4303931762,26.000462623836746,52.76768041619943
91,910,-527053.2605282534,26.023129175111535,53.05511165701318
92,920,-527585.9501431398,26.046255399368434,53.33965161911619
93,930,-528121.4709805615,26.065819060028364,53.62134616713301
94,940,-528659.7943519728,26.085229341994072,53.90023619918793
95,950,-529200.8925378416,26.105950769866535,54.17638715998619
96,960,-529744.738658398,26.12471763258793,54.449853138549955
97,970,-530291.3060743932,26.141805726013125,54.720670952126966
98,980,-530840.5682638369,26.15894280866494,54.98888652195601
99,990,-531392.4997370174,26.175099851132977,55.254547989873394
100,1000,-531947.0749887895,26.19224363646957,55.51770668205136
101,1010,-532504.2691975613,26.20897040030388,55.77841527845304
102,1020,-533064.0586111967,26.223747936734945,56.03671044067597
103,1030,-533626.4184483627,26.23976050573714,56.29263570286276
104,1040,-534191.3260563242,26.25175035898596,56.5462235193103
105,1050,-534758.7578974188,26.26327192442826,56.79749705721479
106,1060,-535328.6903285128,26.281060684419785,57.046527524234264
107,1070,-535901.1024024461,26.292236276474508,57.29335570879339
108,1080,-536475.9719820918,26.301226426160582,57.53798156313133
109,1090,-537053.2757808478,26.31712558428392,57.78046725985042
110,1100,-537632.9948306434,26.326232508232117,58.02085271263059
111,1110,-538215.1068200143,26.33527932378638,58.25914479019121
112,1120,-538799.5908546526,26.347561786323865,58.49539521822153
113,1130,-539386.4280499282,26.35660884003753,58.729640424919495
114,1140,-539975.5967221569,26.368264444935065,58.961912870581735
115,1150,-540567.0790528827,26.377520816124242,59.192248026348544
116,1160,-541160.8546122734,26.383873734343467,59.42065649314464
117,1170,-541756.9048456864,26.390576333115792,59.647160327566965
118,1180,-542355.2103898845,26.398109644901957,59.87179696510721
119,1190,-542955.7530577492,26.409833146881926,60.09461904739874
120,1200,-543558.5146792397,26.41843972471534,60.315661565076155
121,1210,-544163.4785246514,26.420252838821206,60.53491299576999
122,1220,-544770.6251151698,26.425424310180738,60.752388513581536
123,1230,-545379.9379594341,26.434296911626006,60.96814592439623
124,1240,-545991.3996246442,26.442175730155114,61.18222409223818
125,1250,-546604.9939135377,26.447192653722418,61.39463453918434
126,1260,-547220.7038682251,26.449422540765596,61.60538133575464
127,1270,-547838.5129692905,26.453609070094625,61.81448742891516
128,1280,-548458.4047538824,26.460723016038628,62.02199769540165
129,1290,-549080.3638704197,26.46593764469135,62.227941048344654
130,1300,-549704.3746154823,26.467790490598695,62.43232139620086
131,1310,-550330.4212638418,26.471484724475882,62.635156791633925
132,1320,-550958.4884126177,26.47560860216618,62.83647938909271
133,1330,-551588.561553363,26.479450299384567,63.03631259094982
134,1340,-552220.6251214508,26.48294951163078,63.23467637237627
