,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-596585.7505947408,-0.0,0.0
1,10,-596585.7852592977,0.11450755173864308,0.05725377586932154
2,20,-596586.6093491159,0.6224626623268704,0.2701232173203607
3,30,-596590.434890481,1.6665353595191845,0.7034947761552758
4,40,-596599.9173567374,3.092965242546051,1.3678713247267296
5,50,-596617.3049931244,4.649517968879081,2.219443776932894
6,60,-596644.1550167844,6.147390486724908,3.1966781143812115
7,70,-596681.371239519,7.496983458090107,4.2444594733766285
8,80,-596729.3752800763,8.681569957500322,5.3225564141554065
9,90,-596788.2773913883,9.71873203725263,6.405084094124323
10,100,-596858.0033931556,10.635879723238757,7.476807637911407
11,110,-596938.3779078677,11.459026811225337,8.529466479129042
12,120,-597029.175025128,12.209033250622458,9.559041052960675
13,130,-597130.1476127515,12.901221121792332,10.563951584113239
14,140,-597241.0434346023,13.546224141679707,11.54394611583557
15,150,-597361.6133826254,14.151203223009361,12.499446609281586
16,160,-597491.6153416244,14.720916522946197,13.431182024723967
17,170,-597630.8156944274,15.258527763764139,14.33999089441204
18,180,-597778.9895399538,15.766238520172196,15.226722192762827
19,190,-597935.920424497,16.245690226517027,16.09219142662332
20,200,-598101.3998238835,16.69822284317341,16.937165161558365
21,210,-598275.2266076751,17.12504050635326,17.76235979231278
22,220,-598457.2065534997,17.527287269703827,18.56844628993567
23,230,-598647.1519156272,17.90609988400248,19.356056768840062
24,240,-598844.8810781516,18.262624073540792,20.125791144662074
25,250,-599050.2182668558,18.59802225932072,20.87822292471392
26,260,-599262.9933095928,18.913422122731554,21.613903026106712
27,270,-599483.0414536993,19.20993827272031,22.333362279956056
28,280,-599710.2031135305,19.48872243334776,23.03711477819452
29,290,-599944.3238083543,19.750837810157112,23.725659365172035
30,300,-600185.2539495159,19.997307753714235,24.39947951411596
31,310,-600432.8486979199,20.229177244385937,25.05904502900667
32,320,-600686.9678625062,20.447368734888755,25.70481221781811
33,330,-600947.4757516717,20.652750741780633,26.3372228200853
34,340,-601214.2409864151,20.846222185314364,26.956705376830364
35,350,-601487.1364426863,21.028575601798316,27.5636756906737
36,360,-601766.0390776008,21.200522334699066,28.158535612649576
37,370,-602050.8297915315,21.362800189625716,28.741673800791617
38,380,-602341.393304714,21.516069656633785,29.31346646953316
39,390,-602637.6180595007,21.6608910869487,29.874276381109667
40,400,-602939.3960262026,21.79784121690318,30.424453128204917
41,410,-603246.6226260206,21.92748445199686,30.964334490391778
42,420,-603559.1965889081,22.05029546956063,31.49424635486212
43,430,-603877.0198602985,22.16669300676443,32.01450211662159
44,440,-604199.9974330132,22.27709472546121,32.525403164584716
45,450,-604528.0372741176,22.381920650746938,33.02723997551366
46,460,-604861.0501814141,22.48155082593439,33.52029266563477
47,470,-605198.9497285151,22.576277863967665,34.004830517290976
48,480,-605541.6521044463,22.6664242699743,34.481112272202154
49,490,-605889.0760364139,22.752280465018668,34.949386985541786
50,500,-606241.1427143702,22.834109746327158,35.40989421019913
51,510,-606597.7756344882,22.91218022668334,35.862864525571055
52,520,-606958.9006120911,22.986683449172304,36.308519545875605
53,530,-607324.4455699952,23.057880157802682,36.74707251957152
54,540,-607694.3405740036,23.12598199500939,37.1787291537883
55,550,-608068.5176792062,23.191085145328465,37.603686663480765
56,560,-608446.9108929496,23.253364600986203,38.022134037050996
57,570,-608829.4560321593,23.31308549963582,38.43425411384232
58,580,-609216.090758039,23.370370393968187,38.840223574131954
59,590,-609606.7544451121,23.425337682460626,39.240212095293096
60,600,-610001.3881199519,23.478103491536046,39.634382768590875
61,610,-610399.9344429343,23.528664831817107,40.02289153947786
62,620,-610802.3375508592,23.57745060029543,40.40589017858292
63,630,-611208.5430734332,23.624223948869666,40.783524750094514
64,640,-611618.4982402183,23.669491031393363,41.15593648964131
65,650,-612032.1512112012,23.71337711106767,41.523264981486136
66,660,-612449.452361472,23.75471788147115,41.885635558598736
67,670,-612870.3521964222,23.794907344301464,42.24316947795451
68,680,-613294.8032814417,23.834181504615117,42.5959947479525
69,690,-613722.7590964756,23.87178180595491,42.94423000867537
70,700,-614154.1743081788,23.908133680059258,43.28798631823447
71,710,-614589.0047106193,23.94319287939885,43.627372736025436
72,720,-615027.2071255903,23.977237864932874,43.96249536667165
73,730,-615468.7394475121,24.01024546662219,44.29345769902866
74,740,-615913.5606307045,24.041954742086762,44.620357075250645
75,750,-616361.6304832906,24.072754560111154,44.94328774580062
76,760,-616812.9097870307,24.102699317329094,45.262343166446946
77,770,-617267.3603215013,24.131572402018413,45.57761207878356
78,780,-617724.9445745765,24.159807284607197,45.8891811603913
79,790,-618185.6260414792,24.18719889672933,46.197135257229085
80,800,-618649.3690068836,24.213483019964883,46.50155306342495
81,810,-619116.1384444428,24.239200163111903,46.80251202466462
82,820,-619585.9001807007,24.26443441827997,47.100090585433655
83,830,-620058.6208227956,24.288740789264498,47.39436216943578
84,840,-620534.2676639901,24.31225886202877,47.68539571159346
85,850,-621012.8086183962,24.335306083594332,47.973260397468415
86,860,-621494.2124134044,24.357672683475784,48.258023632850396
87,870,-621978.448322742,24.379534652878647,48.53975027703711
88,880,-622465.4863129039,24.40094740565388,48.81850429178012
89,890,-622955.2970085375,24.421684181329265,49.09434651133197
90,900,-623447.8515521333,24.441863195272227,49.36733511312341
91,910,-623943.1217321672,24.461488659348106,49.637527025828604
92,920,-624441.0798416717,24.480727339372905,49.90497824086342
93,930,-624941.6987585044,24.499640764112833,50.16974417078745
94,940,-625444.9519257055,24.51796597632942,50.43187738215929
95,950,-625950.81326474,24.53585839994762,50.69142819164117
96,960,-626459.2571867505,24.553412570804085,50.94844664562261
97,970,-626970.2586587231,24.57047222730762,51.20298092145968
98,980,-627483.7930363667,24.5872611447762,51.455078050079464
99,990,-627999.8362062019,24.60358953322561,51.7047838131999
100,1000,-628518.3645027766,24.61942159367041,51.952141474366364
101,1010,-629039.3545979366,24.63494976497044,52.197193779191004
102,1020,-629562.7837378241,24.650836378661843,52.43998640927603
103,1030,-630088.6294054198,24.66645998842119,52.680563939535936
104,1040,-630616.8699675298,24.680377806164472,52.91895969909674
105,1050,-631147.4834206655,24.69418212246099,53.15520670506667
106,1060,-631680.4486502379,24.708685308496783,53.38934845090553
107,1070,-632215.7447433864,24.722925771738165,53.62142654382624
108,1080,-632753.3513651378,24.736425557895487,53.851474723042344
109,1090,-633293.2482813491,24.74952364816831,54.0795251367279
110,1100,-633835.4157191333,24.762623548857015,54.30561244148703
111,1110,-634379.8342133111,24.77547148158475,54.52977104414458
112,1120,-634926.4846635102,24.788002417515884,54.7520329921128
113,1130,-635475.3482431043,24.800414609589076,54.97243006502104
114,1140,-636026.4064658934,24.81265211789885,55.19099383442081
115,1150,-636579.6411807239,24.824337136815302,55.40775315658539
116,1160,-637135.0344620021,24.83591428647034,55.6227364118633
117,1170,-637692.5686703911,24.847595036876903,55.83597407012276
118,1180,-638252.2265664855,24.857304025447313,56.04748793312902
119,1190,-638813.9910643444,24.86831554870279,56.25730421335175
120,1200,-639377.8448757232,24.882311788620513,56.46546923326386
121,1210,-639943.7725559612,24.892949968544503,56.6720089620052
122,1220,-640511.7572888905,24.90213948381698,56.876930340331455
123,1230,-641081.7831219477,24.912408169734146,57.08025824094511
124,1240,-641653.8343379542,24.922344432689627,57.28202151717996
125,1250,-642227.8952840869,24.932578737571376,57.48224515645561
126,1260,-642803.9508529638,24.942410917341476,57.68095329250646
127,1270,-643381.9858714222,24.952023901432042,57.87816742817959
128,1280,-643961.9855936615,24.961347221210872,58.07390900533501
129,1290,-644543.9353639233,24.97079435479827,58.26820029254886
130,1300,-645127.8207553659,24.980436303332496,58.46106491834652
131,1310,-645713.6277383949,24.989378968594522,58.65252282855363
132,1320,-646301.3422051636,24.9980507121888,58.84259172362508
133,1330,-646890.9504575897,25.006887499659108,59.03129216491797
134,1340,-647482.4388218437,25.01558949988122,59.21864477204508
135,1350,-648075.7940452055,25.02408681664402,59.40466832693492
136,1360,-648671.0027786731,25.032728549581662,59.58938222021534
137,1370,-649268.0521770632,25.040980175739872,59.77280474906874
138,1380,-649866.9293027229,25.049074200005172,59.954952702883745
139,1390,-650467.6215440087,25.057051114251756,60.13584349549055
140,1400,-651070.1164279901,25.06477522052592,60.31549382723897
141,1410,-651674.4015731454,25.072753376519437,60.493921354564364
142,1420,-652280.4649176061,25.080233834963494,60.67114251004822
143,1430,-652888.2944401194,25.087824517715493,60.84717285871156
144,1440,-653497.8782618234,25.095956542343004,61.02203126285167
145,1450,-654109.2048803851,25.102973459245028,61.19573197829159
146,1460,-654722.2627050803,25.109762847842756,61.368286294257274
147,1470,-655337.0402788464,25.11688621620436,61.53971021854669
148,1480,-655953.5265354188,25.124489448417023,61.71002183623642
149,1490,-656571.7102041693,25.131837752176008,61.87923689417076
150,1500,-657191.5807683109,25.137387844152137,62.04736321299861
151,1510,-657813.1269315733,25.143455776155932,62.21441098189244
152,1520,-658436.3383046282,25.150730916578002,62.380400125461165
153,1530,-659061.2041770637,25.15912575070979,62.545352158148305
154,1540,-659687.7144543445,25.165038955712554,62.709276195280836
155,1550,-660315.8589717699,25.170295971955273,62.872175370350305
156,1560,-660945.6269778155,25.177769658062275,63.03406785315892
157,1570,-661577.009326727,25.182547705899697,63.194965029347806
158,1580,-662209.9953396604,25.18862546857014,63.35487506595382
159,1590,-662844.5756174054,25.196009033734914,63.513818638854715
160,1600,-663480.7405687126,25.200214372482037,63.67180204157922
161,1610,-664118.4805267085,25.20687369465863,63.82883492793626
162,1620,-664757.7858513579,25.214722092286223,63.98494036071352
163,1630,-665398.6480133272,25.21751848779968,64.1401179282373
