,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-530690.7121303366,-0.0,0.0
1,10,-530691.1376269221,0.3900363165623276,0.1950181582811638
2,20,-530695.3068087766,1.5627773858490401,0.7807306630245876
3,30,-530707.5900727557,3.2855519634496884,1.719017003395129
4,40,-530731.1570349336,5.151304059661925,2.910522004761151
5,50,-530767.849878102,6.906930925368214,4.245128104755713
6,60,-530818.5203016872,8.446998488815735,5.639737738027179
7,70,-530883.3651308512,9.75670799651707,7.040561992798757
8,80,-530962.1968916996,10.867384688556196,8.416681249870454
9,90,-531054.6330007233,11.823298728794912,9.752742722282711
10,100,-531160.2104051547,12.66426905355183,11.042806104337798
11,110,-531278.4488649457,13.42019229370635,12.286028297638405
12,120,-531408.8809948241,14.111678186967044,13.484023629385048
13,130,-531551.0654284179,14.751897059159814,14.639390876630205
14,140,-531704.5905117834,15.348832380032395,15.754944117752894
15,150,-531869.0724443798,15.907385024620453,16.833362870241398
16,160,-532044.1538355427,16.430408422183234,17.87705930092197
17,170,-532229.4991537407,16.920353459971363,18.888167018820237
18,180,-532424.7931803575,17.378933350456652,19.868572622149074
19,190,-532629.738459478,17.8073106213182,20.81993420817598
20,200,-532844.0523770623,18.20733137597564,21.743730929978483
21,210,-533067.4668402076,18.580767122522214,22.641313431580784
22,220,-533299.7262365189,18.92891507187159,23.5139152640535
23,230,-533540.5871583134,19.25306683655943,24.362662810552862
24,240,-533789.8163051972,19.554825086169885,25.188599931077626
25,250,-534047.1910709175,19.835876408978947,25.99270964855241
26,260,-534312.4977490191,20.09770571743721,26.775921517451934
27,270,-534585.532385776,20.34179503462513,27.539115766220494
28,280,-534866.0987400985,20.56958656621861,28.28312972009444
29,290,-535154.0096932785,20.781631020849442,29.008747749037866
30,300,-535449.084854844,20.97935894387774,29.716707714553923
31,310,-535751.1513194303,21.164268551697045,30.40772286714055
32,320,-536060.0434481814,21.33705906709656,31.08247358525259
33,330,-536375.6016791973,21.498933349235422,31.741606547558327
34,340,-536697.6733653526,21.65029377471077,32.385734635098196
35,350,-537026.1113521148,21.79202252991672,33.01543591582595
36,360,-537360.7742163764,21.92536647735399,33.63126950224832
37,370,-537701.526193638,22.0504139039607,34.2337670473702
