,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,,,0.0
1,10,,,
2,20,,,
3,30,,,
4,40,,,
5,50,,,
6,60,,,
7,70,,,
8,80,,,
9,90,,,
10,100,,,
11,110,,,
12,120,,,
13,130,,,
14,140,,,
15,150,,,
16,160,,,
17,170,,,
18,180,,,
19,190,,,
20,200,,,
21,210,,,
22,220,,,
23,230,,,
24,240,,,
25,250,,,
26,260,,,
27,270,,,
28,280,,,
29,290,,,
30,300,,,
31,310,,,
32,320,,,
33,330,,,
34,340,,,
35,350,,,
36,360,,,
37,370,,,
38,380,,,
39,390,,,
40,400,,,
41,410,,,
42,420,,,
43,430,,,
44,440,,,
45,450,,,
46,460,,,
47,470,,,
48,480,,,
49,490,,,
50,500,,,
51,510,,,
52,520,,,
53,530,,,
54,540,,,
55,550,,,
56,560,,,
57,570,,,
58,580,,,
59,590,,,
60,600,,,
61,610,,,
62,620,-579417.0584256459,,
63,630,-579734.2902365201,,
64,640,-580055.1718099868,23.111941817775346,
65,650,-580379.6635680888,23.224402365158312,
66,660,-580707.7301579638,23.32524926501797,
67,670,-581039.3288395745,23.416211823286773,
68,680,-581374.4250206469,23.522146474209052,
69,690,-581712.9739390144,23.648632317336258,
70,700,-582054.9564400795,23.750269464450007,
71,710,-582400.3283905223,23.84101852297317,
72,720,-582749.0594420632,23.937015107343854,
73,730,-583101.1144017614,24.03623441023509,
74,740,-583456.4607857732,24.14089747416438,
75,750,-583815.0709524035,24.32085161351996,
76,760,-584176.9112632531,24.41411021698748,
77,770,-584541.998623906,24.338825564389175,
78,780,-584910.2112724261,24.439083081891184,
79,790,-585281.5698411564,24.60477608469955,
80,800,-585656.044144718,24.70474366936827,
81,810,-586033.5991728799,24.842666746216185,
82,820,-586414.2293888446,24.934124428621843,
83,830,-586797.8964881819,25.00959207059938,
84,840,-587184.5776204973,25.10586709761992,
85,850,-587574.2466189396,25.20417356005055,
86,860,-587966.8810269585,25.298721170873492,
87,870,-588362.4575372549,25.391575917098027,
88,880,-588760.9512804758,25.482774638268353,
89,890,-589162.3427433482,25.5803117457776,
90,900,-589566.6046133742,25.672738891647704,
91,910,-589973.7247187655,25.742719987163113,
92,920,-590383.6680524467,25.83883562188143,
93,930,-590796.4221754958,25.94890348719769,
94,940,-591211.9657678765,26.04145546593943,
95,950,-591630.2804509302,26.1313111598864,
96,960,-592051.3449537173,26.223165018204668,
97,970,-592475.1413836952,26.311940991875737,
98,980,-592901.6504583157,26.40153677277842,
99,990,-593330.8526014052,26.497202881320845,
100,1000,-593762.7321003724,26.586496613163035,
