,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-492458.2281138345,-0.0,0.0
1,10,-492458.30436824524,0.10105310278886463,0.050526551394432316
2,20,-492459.2812049331,0.4611296158458572,0.21633550675032895
3,30,-492462.49900117825,1.1613388893019874,0.5251743922621245
4,40,-492469.55688834866,2.2071155281271784,0.994620314828353
5,50,-492482.1781526353,3.505556187905313,1.6210653746347816
6,60,-492501.90372704546,4.907281816983595,2.3805611448406125
7,70,-492529.90175359556,6.294838867311774,3.239132643921039
8,80,-492566.9657778555,7.611516125802883,4.164483749448846
9,90,-492613.59586236905,8.840697922627442,5.131353391901939
10,100,-492670.0854092945,9.983083042752696,6.121657428629987
11,110,-492736.5819619098,11.045518086384986,7.1228805846942125
12,120,-492813.1373729046,12.03466288822819,8.12639387563031
13,130,-492899.7335817646,12.954628217482236,9.126093094081442
14,140,-492996.3048794754,13.809535140555825,10.117545709114346
15,150,-493102.7455961348,14.603471111433462,11.09752576308674
16,160,-493218.9282007335,15.338592702057213,12.063639155407145
17,170,-493344.70020013547,16.01818198533292,13.014093176915049
18,180,-493479.89800374676,16.646413734310766,13.947616557992296
19,190,-493624.3446441016,17.226830289429927,14.863354578696452
20,200,-493777.8598372807,17.76204252071329,15.760743280909809
21,210,-493940.2560992034,18.255446094615056,16.639447822370858
22,220,-494111.3457558561,18.711132822243986,17.499354319501435
23,230,-494290.9398325807,19.132172930455983,18.340524141024797
24,240,-494478.85191592644,19.520829059346553,19.163124882597188
25,250,-494674.8969101848,19.880543793697125,19.967419697207518
26,260,-494878.8927910957,20.213592551759202,20.753753506769137
27,270,-495090.6628578589,20.521142250117574,21.522497593236768
28,280,-495310.03150096,20.80767620660481,22.27408439256324
29,290,-495536.8304977553,21.074316266772815,23.009000319571353
30,300,-495770.895462548,21.321553776942892,23.727709829648667
31,310,-496012.0661600887,21.55258588054419,24.430691412176387
32,320,-496260.1881625053,21.76752794557251,25.118431389237955
33,330,-496515.11161065503,21.968163534725328,25.791399976034878
34,340,-496776.6902723945,22.157921631546948,26.450102727381452
35,350,-497044.78513823316,22.334803672303654,27.095023139970724
36,360,-497319.2605253797,22.499164508603293,27.7265801598136
37,370,-497599.9841557225,22.65533504479976,28.345221732047502
38,380,-497886.8298500411,22.80178642534299,28.951398413925197
39,390,-498179.6754273143,22.939723741471216,29.54552094184837
40,400,-498478.4010551502,23.072121047356617,30.128021477266884
41,410,-498782.89462069224,23.19406638733638,30.69927745849709
42,420,-499093.0443813067,23.30961080868151,31.259627293405355
43,430,-499408.74217152124,23.422083258218464,31.809472465503497
44,440,-499729.88733680476,23.526292896945883,32.34916650829691
45,450,-500056.3777067765,23.624405227026664,32.87900413717361
46,460,-500388.1178313001,23.719871665525716,33.399322220601604
47,470,-500725.01271334465,23.81114794007011,33.91045699708702
48,480,-501066.9743011567,23.895111347059753,34.41267449142105
49,490,-501413.9125266703,23.977099385252327,34.90624618072761
50,500,-501765.74336380255,24.056987325748302,35.391480333426436
51,510,-502122.3854823513,24.130755487209463,35.868626240872246
52,520,-502483.758016309,24.202469677902954,36.33791832965579
53,530,-502849.78452076734,24.269398262104406,36.79959097162936
54,540,-503220.38995318307,24.332438031045527,37.25384791114701
55,550,-503595.50008617365,24.396762297699635,37.70093701144723
56,560,-503975.0459182283,24.458243050286626,38.14110292969998
57,570,-504358.95875143283,24.515440009546122,38.57452781917381
58,580,-504747.17205688084,24.56965263344177,39.001382888844084
59,590,-505139.6212342426,24.6216727075473,39.42184848241668
60,600,-505536.24278355646,24.672532864875265,39.83611116624161
61,610,-505936.97637651506,24.722263256982842,40.24435710888865
62,620,-506341.76186547533,24.769934004242664,40.64675614328735
63,630,-506750.54283895605,24.813580494066812,41.04344685410397
64,640,-507163.2615499776,24.858251161314456,41.43458511982608
65,650,-507579.863955679,24.90104965443606,41.8203367428272
66,660,-508000.29764145566,24.938270999793804,42.200809574083536
67,670,-508424.5087952662,24.975734303929684,42.57612194643151
68,680,-508852.44783657,25.014956821268566,42.94644152936525
69,690,-509284.064521005,25.054576673913054,43.31192993883815
70,700,-509719.3127121674,25.08624143169431,43.67267228107012
71,710,-510158.1446390186,25.117836025450227,44.02874588906125
72,720,-510600.5125828686,25.15093019002811,44.38029129568531
73,730,-511046.3756505676,25.17951239320693,44.72741294676816
74,740,-511495.6851925643,25.212473499291963,45.070229911091154
75,750,-511948.40365520876,25.240186822920755,45.408852373914854
76,760,-512404.4861663137,25.265938541770335,45.743343565947725
77,770,-512863.89309282217,25.294752362613508,46.07381848454607
78,780,-513326.5850024535,25.319025543614355,46.40037156905674
79,790,-513792.52266153303,25.34230440332478,46.72306734651575
80,800,-514261.66795425664,25.362799729802816,47.041979176493626
81,810,-514733.9837767772,25.38575429016497,47.35719886178122
82,820,-515209.4323059247,25.41051697531354,47.66884322543629
83,830,-515687.9810669795,25.430403893120584,47.976980606290454
84,840,-516169.5920317271,25.452285419910794,48.281677509393916
85,850,-516654.23397351586,25.468433085014173,48.58299352058675
86,860,-517141.8718934437,25.479923195674445,48.88094692119848
87,870,-517632.4720250334,25.50055936205627,49.17564094840782
88,880,-518126.00288222806,25.52198551519541,49.46720716860655
89,890,-518622.4344716599,25.533885561390818,49.7556672452316
90,900,-519121.73477351933,25.548758120057755,50.041053585631744
91,910,-519623.8728219095,25.564474728022663,50.323455277600445
92,920,-520128.8216684195,25.573607343848366,50.60290642089167
93,930,-520636.5483039077,25.58487850842357,50.87944652758597
94,940,-521147.0275230344,25.596232912680783,51.15314981291376
95,950,-521660.2280347267,25.612580297063552,51.424103042176284
96,960,-522176.1253916547,25.619827955542064,51.69234270030647
97,970,-522694.6920098813,25.624143789163124,51.95786251964964
98,980,-523215.89818858984,25.63847675292657,52.22075428991957
99,990,-523739.7226422686,25.645573599824274,52.48108594377045
100,1000,-524266.1356699139,25.653230845637154,52.73887519698765
101,1010,-524795.115122575,25.65930149591121,52.9941675962451
102,1020,-525326.6344435762,25.662344164683383,53.2469896460032
103,1030,-525860.6697024837,25.669633953113518,53.49739532429084
104,1040,-526397.1968816168,25.676269875397196,53.745448803019826
105,1050,-526936.1930722771,25.679203344930936,53.99117432888015
106,1060,-527477.6348080711,25.680855675902848,54.234592361249085
107,1070,-528021.4989957258,25.686522846523363,54.475758953519104
108,1080,-528567.7636234596,25.690196257468855,54.71472552789491
109,1090,-529116.4073576217,25.685487556952207,54.9514849590967
110,1100,-529667.4073263509,25.68578329071162,55.18606185692624
111,1110,-530220.741586511,25.691408462974014,55.4185424824871
112,1120,-530776.3913140752,25.69002874321336,55.64895717595355
113,1130,-531334.3339806122,25.693203311622753,55.87733154458838
114,1140,-531894.5503120649,25.692743963235827,56.10370575842826
115,1150,-532457.0213139388,25.683495611127327,56.328060604173515
116,1160,-533021.7243079365,25.683067111507825,56.55043085187644
117,1170,-533588.6420370431,25.680839566827885,56.77088090499309
118,1180,-534157.7545338465,25.679746646672804,56.98944056842009
119,1190,-534729.0425343583,25.67746207274938,57.20614155031507
120,1200,-535302.4897586198,25.668822022620503,57.42098347151332
121,1210,-535878.0741113619,25.668111851214523,57.63400347450515
122,1220,-536455.7812574006,25.662315416540046,57.84524347624101
123,1230,-537035.5910145972,25.654016825309547,58.05470152132038
124,1240,-537617.4866300885,25.64994033115191,58.262413321316124
125,1250,-538201.4506875318,25.641456337325508,58.46840632542007
126,1260,-538787.4661770768,25.63532752302735,58.67269964094012
